year,player,player_id,position,player_game_count,team_name,grades_punter,attempts,yards,average_yards_per_attempt,average_net_yards,long,inside_twenties,blocks,percent_returned,returns,return_yards,average_yards_per_return,touchbacks,out_of_bounds,downeds,fair_catches,attempts_with_hangtime,average_hangtime
2016,Shane Lechler,673,P,16,HST,70.1,72,3423,47.54,40.08,62,34,0,65.3,47,477,10.1,3,5,3,13,72,4.3
2016,Matt Bryant,1223,K,1,ATL,59.2,2,67,33.5,33.5,36,0,0,0,0,0,,0,0,0,2,2,4.02
2016,Andy Lee,1906,P,9,CAR,72.4,36,1769,49.14,40.36,76,22,0,47.2,17,236,13.9,4,1,7,7,36,4.45
2016,Donnie Jones,1939,P,16,PHI,64.3,63,2888,45.84,40.73,72,29,0,38.1,24,202,8.4,6,6,11,15,63,4.29
2016,Dustin Colquitt,2316,P,16,KC,73.6,76,3427,45.09,40.66,64,48,0,38.2,29,157,5.4,9,4,6,27,76,4.51
2016,Sam Koch,3148,P,16,BLT,79.9,80,3665,45.81,39.88,68,43,0,40,32,375,11.7,5,18,10,14,80,4.31
2016,Jon Ryan,3493,P,16,SEA,65.7,71,3126,44.03,39.31,64,31,1,38,27,236,8.7,3,7,11,22,71,4.27
2016,Brett Kern,4580,P,16,TEN,67.3,77,3402,44.18,38.64,71,37,0,42.9,33,347,10.5,4,4,6,27,77,4.34
2016,Kevin Huber,5066,P,16,CIN,54.7,78,3613,46.32,39.54,72,36,0,48.7,38,369,9.7,8,4,8,20,78,4.17
2016,Thomas Morstead,5088,P,16,NO,85.7,57,2751,48.26,42.35,66,28,0,50.9,29,237,8.2,5,8,8,7,57,4.55
2016,Pat McAfee,5146,P,16,IND,87.8,55,2711,49.29,42.71,74,32,1,30.9,17,139,8.2,9,7,5,17,55,4.46
2016,Britton Colquitt,5192,P,16,CLV,64.7,83,3765,45.36,40.35,65,25,0,51.8,43,376,8.7,2,4,9,23,83,4.34
2016,Graham Gano,5443,K,1,CAR,50.2,4,180,45,29.75,54,2,0,50,2,21,10.5,2,0,0,0,4,4.35
2016,Matt Bosher,6344,P,14,ATL,78.3,44,2060,46.82,41.61,68,24,0,45.5,20,209,10.5,1,1,5,16,44,4.53
2016,Chris Jones,6798,P,16,DAL,81.5,58,2661,45.88,40.49,66,29,1,37.9,22,192,8.7,4,10,5,17,58,4.66
2016,Bryan Anger,7072,P,16,TB,83.6,70,3215,45.93,42.7,59,43,0,32.9,23,126,5.5,5,3,9,29,70,4.72
2016,Brad Nortman,7192,P,16,JAX,65.4,77,3588,46.6,39.47,78,40,0,39,30,389,13,8,5,14,19,77,4.52
2016,Johnny Hekker,7252,P,16,LA,80.1,98,4680,47.76,46,78,58,0,35.7,35,152,4.3,1,11,11,40,98,4.39
2016,Drew Butler,7302,P,7,ARZ,45,32,1350,42.19,35.63,62,10,0,62.5,20,210,10.5,0,2,2,8,32,4.34
2016,Marquette King,7410,P,16,OAK,78.7,81,3936,48.59,41.37,72,47,0,39.5,32,405,12.7,9,11,13,15,81,4.38
2016,Ryan Quigley,7573,P,6,ARZ,65.9,34,1416,41.65,37.17,55,17,1,23.5,8,75,9.4,2,1,5,18,34,4.71
2016,Jeff Locke,7937,P,16,MIN,62.4,74,3155,42.64,38.97,72,37,0,32.4,24,211,8.8,3,3,14,28,74,4.41
2016,Sam Martin,7947,P,16,DET,72.8,62,3010,48.55,44.19,63,30,0,56.5,35,210,6,3,3,7,14,62,4.45
2016,Colton Schmidt,8104,P,16,BUF,52.8,75,3183,42.44,38.15,58,27,0,50.7,38,262,6.9,3,18,7,8,75,4.29
2016,Ryan Allen,8242,P,16,NE,63.1,72,3217,44.68,41.43,57,33,0,36.1,26,134,5.2,5,7,14,19,72,4.21
2016,Brad Wing,8256,P,16,NYG,65.8,93,4297,46.2,40.94,63,42,0,38.7,36,330,9.2,8,12,20,16,93,4.17
2016,Tress Way,8358,P,16,WAS,69.7,49,2209,45.08,38.92,61,22,0,55.1,27,222,8.2,4,7,4,7,49,4.41
2016,Pat O'Donnell,8826,P,16,CHI,71.3,68,2994,44.03,38.41,67,32,0,30.9,21,282,13.4,5,5,5,31,68,4.44
2016,Chandler Catanzaro,9140,K,1,ARZ,58.8,2,66,33,33,47,0,0,0,0,0,,0,1,1,0,2,3.61
2016,Michael Palardy,9277,P,7,CAR,58.7,36,1531,42.53,37.92,56,17,0,58.3,21,126,6,2,0,7,6,36,4.32
2016,Jacob Schum,9373,P,16,GB,61.2,56,2420,43.21,39.09,65,23,0,28.6,16,151,9.4,4,11,7,18,56,4.3
2016,Bradley Pinion,9598,P,16,SF,56.2,100,4402,44.02,39.77,65,32,0,40,40,345,8.6,4,4,11,41,100,4.5
2016,Matt Darr,9812,P,16,MIA,67,90,3991,44.34,39.9,66,41,0,41.1,37,300,8.1,5,7,15,26,90,4.27
2016,Matt Wile,9972,K,4,ARZ,72.9,12,553,46.08,39.69,59,2,1,58.3,7,37,5.3,0,0,2,3,12,4.51
2016,Jordan Berry,10236,P,16,PIT,68.3,68,3100,45.59,40.16,64,31,1,41.2,28,269,9.6,3,11,9,17,68,4.37
2016,Drew Kaser,10813,P,16,SD,50.7,59,2731,46.29,39.81,69,24,0,55.9,33,282,8.5,5,5,6,10,59,4.31
2016,Riley Dixon,10862,P,16,DEN,63.4,89,4068,45.71,41.31,68,37,0,43.8,39,271,6.9,6,6,12,25,89,4.29
2016,Lachlan Edwards,10869,P,16,NYJ,50,75,3236,43.15,37.33,59,31,1,46.7,35,319,9.1,4,6,8,22,75,4.35
