player,player_id,position,player_game_count,team_name,snap_counts_kickoff_return,snap_counts_kickoff,snap_counts_punt_return,snap_counts_punt_coverage,snap_counts_field_goal_blocking,snap_counts_field_goal,grades_misc_st,grades_kickoff_kicker,grades_kick_return,grades_punter,grades_punt_return,grades_fgep_kicker,penalties,declined_penalties,tackles,assists,missed_tackles
Adam Vinatieri,226,K,16,IND,0,0,0,0,0,78,60.5,,,,,80.4,0,0,0,0,0
Phil Dawson,422,K,16,SF,0,41,0,0,0,56,60.7,20.4,,,,71.4,0,0,0,0,2
Sebastian Janikowski,595,K,16,OAK,0,89,0,0,0,74,61.0,53.2,,,,62.3,0,0,1,0,0
Shane Lechler,673,P,16,HST,0,0,0,73,0,67,63.5,,,70.1,,,0,0,0,0,1
Steve Smith,837,WR,1,BLT,1,0,0,0,0,0,60.0,,,,,,0,0,0,0,0
Julius Peppers,1010,ED,16,GB,0,0,0,2,69,70,59.4,,,,,,0,0,0,0,0
Matt Bryant,1223,K,16,ATL,0,0,0,2,0,94,60.6,,,59.2,,88.5,0,0,0,0,0
James Harrison,1251,ED,13,PIT,0,0,0,0,36,0,61.1,,,,,,0,0,0,0,0
Andre Johnson,1319,WR,2,TEN,4,0,0,0,0,0,54.9,,,,,,0,0,0,0,0
Terence Newman,1321,CB,14,MIN,0,1,7,0,45,0,61.5,,,,,,0,0,0,0,0
Jason Witten,1384,TE,16,DAL,6,0,0,0,0,78,45.4,,63.5,,,,1,0,0,0,0
Robert Mathis,1447,ED,1,IND,0,0,0,0,1,0,60.0,,,,,,0,0,0,0,0
Josh Brown,1520,K,5,NYG,0,24,0,0,0,21,60.5,50.1,,,,63.8,1,0,0,0,0
Jon Dorenbos,1600,LS,13,PHI,0,0,0,53,0,58,67.5,,,,,,1,0,0,0,0
Antonio Gates,1609,TE,1,SD,1,0,0,0,0,0,60.0,,,,,,0,0,0,0,0
Cullen Jenkins,1637,DI,15,WAS,0,0,0,0,67,0,60.5,,,,,,0,0,0,0,0
Larry Fitzgerald,1724,WR,2,ARZ,3,0,0,0,0,0,58.8,,,,,,0,0,0,0,0
Vince Wilfork,1742,DI,15,HST,0,0,0,0,59,0,57.3,,,,,,0,0,0,0,0
Karlos Dansby,1754,LB,16,CIN,0,0,1,0,63,0,61.3,,,,,,0,0,0,0,0
Daryl Smith,1760,LB,16,TB,0,0,2,0,71,0,61.3,,,,,,0,0,0,0,0
Matt Schaub,1811,QB,1,ATL,0,0,0,0,0,6,60.5,,,,,,0,0,0,0,0
Antonio Smith,1856,DI,2,HST,0,0,0,0,6,0,59.5,,,,,,0,0,0,0,0
Andy Lee,1906,P,9,CAR,0,1,0,38,0,41,63.3,60.0,,72.4,,,0,0,1,0,0
Donnie Jones,1939,P,16,PHI,0,0,0,65,0,73,66.0,,,64.3,,,0,0,0,0,0
Mike Adams,1972,S,15,IND,3,0,19,0,72,0,58.7,,,,,,0,0,0,0,0
Don Muhlbach,2130,LS,16,DET,0,0,0,62,0,69,71.1,,,,,,0,0,1,0,0
Adam Jones,2223,CB,14,CIN,9,0,17,0,2,0,60.5,,57.9,,28.2,,0,0,0,0,0
Thomas Davis Sr.,2231,LB,16,CAR,2,1,0,0,74,0,59.9,,,,,,0,0,0,0,0
Derrick Johnson,2232,LB,3,KC,0,0,3,0,0,0,60.3,,,,,,0,0,0,0,0
Mike Nugent,2264,K,13,CIN,0,63,0,0,0,58,60.8,64.5,,,,30.0,0,0,2,0,0
Jonathan Babineaux,2276,DI,16,ATL,0,0,0,0,8,94,62.5,,,,,,0,0,0,0,0
