player,player_id,position,player_game_count,team_name,grades_return,total_attempts,grades_kick_return,kickoff_attempts,kickoff_yards,kickoff_long,kickoff_ypa,kickoff_touchdowns,kickoff_fair_catches,kickoff_muffed_returns,grades_punt_return,punt_attempts,punt_yards,punt_long,punt_ypa,punt_touchdowns,punt_fair_catches,punt_muffed_returns
Jason Witten,1384,TE,16,DAL,63.9,2,63.5,2,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Adam Jones,2223,CB,16,CIN,35.6,14,57.9,4,79,23,19.8,0,0,0,28.2,10,51,15,5.1,0,0,0
Darren Sproles,2347,HB,15,PHI,82.4,18,59.9,1,19,19,19.0,0,0,0,90.1,17,224,66,13.2,0,13,1
Reggie Bush,2947,HB,13,BUF,62.8,7,61.9,5,103,35,20.6,0,0,0,62.0,2,13,13,6.5,0,2,0
Devin Hester,3002,WR,12,BLT,53.9,43,63.0,19,466,60,24.5,0,0,0,47.1,24,180,28,7.5,0,15,1
Will Blackmon,3060,S,15,WAS,67.1,5,66.6,4,109,45,27.3,0,0,0,60.5,1,16,16,16.0,0,1,0
Brandon Marshall,3064,WR,15,NYJ,61.2,2,61.2,2,-6,-3,-3.0,0,0,0,,0,0,0,,0,0,0
Tramon Williams,3558,CB,12,CLV,57.0,1,,0,0,0,,0,0,0,56.0,1,0,0,0.0,0,4,0
Ted Ginn Jr.,3625,WR,16,CAR,53.6,47,56.0,19,391,59,20.6,0,0,1,54.6,28,202,19,7.2,0,24,1
Brent Celek,3778,TE,16,PHI,61.2,1,61.2,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Eric Weems,4097,WR,16,ATL,57.5,41,50.2,17,391,42,23.0,0,0,0,69.0,24,273,73,11.4,0,21,0
Darren McFadden,4318,HB,3,DAL,61.2,1,61.2,1,30,30,30.0,0,0,0,,0,0,0,,0,0,0
Aqib Talib,4334,CB,13,DEN,60.2,1,,0,0,0,,0,0,0,60.1,1,1,1,1.0,0,0,0
Eddie Royal,4356,WR,9,CHI,68.2,18,,0,0,0,,0,0,0,70.9,18,166,65,9.2,1,15,1
Jerome Felton,4460,FB,15,BUF,59.6,2,59.7,2,18,11,9.0,0,0,0,,0,0,0,,0,0,0
Tim Hightower,4463,HB,16,NO,57.1,3,57.4,3,61,31,20.3,0,0,0,,0,0,0,,0,0,0
Matthew Slater,4467,WR,13,NE,28.8,3,28.8,3,52,19,17.3,0,0,0,,0,0,0,,0,0,0
Danny Amendola,4717,WR,12,NE,69.9,23,75.7,5,129,73,25.8,0,0,0,60.0,18,121,30,6.7,0,7,0
Patrick Chung,4957,S,16,NE,64.7,2,61.2,1,0,0,0.0,0,0,0,60.7,1,7,7,7.0,0,1,0
Jairus Byrd,4965,S,16,NO,57.5,1,,0,0,0,,0,0,0,56.6,1,2,2,2.0,0,9,0
Brandon Tate,5006,WR,15,BUF,72.1,56,63.1,29,662,45,22.8,0,0,0,75.8,27,301,43,11.1,0,14,0
Lardarius Webb,5011,S,16,BLT,60.9,3,59.9,1,8,8,8.0,0,0,0,61.5,2,3,3,1.5,0,3,0
Rashad Johnson,5018,S,14,TEN,,1,,1,0,0,0.0,0,0,1,,0,0,0,,0,0,0
Julian Edelman,5156,WR,16,NE,55.6,18,59.5,3,44,19,14.7,0,0,0,54.3,15,135,23,9.0,0,7,0
Jordan Norwood,5358,WR,14,DEN,40.3,28,59.0,3,65,27,21.7,0,0,0,33.0,25,204,17,8.2,0,15,2
Joe Haden,5532,CB,13,CLV,56.6,2,,0,0,0,,0,0,0,55.6,2,18,13,9.0,0,2,0
C.J. Spiller,5534,HB,6,NYJ,57.0,7,57.3,7,142,24,20.3,0,0,0,,0,0,0,,0,0,0
Demaryius Thomas,5547,WR,16,DEN,61.2,1,61.2,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Devin McCourty,5552,S,16,NE,58.7,2,58.8,2,9,9,4.5,0,0,0,,0,0,0,,0,0,0
Dexter McCluster,5561,HB,6,SD,61.3,17,58.3,9,182,30,20.2,0,0,0,65.1,8,57,16,7.1,0,3,0
Arrelious Benn,5564,WR,15,JAX,63.8,2,63.5,2,16,16,8.0,0,0,1,,0,0,0,,0,0,0
Andre Roberts,5612,WR,16,DET,73.7,53,71.3,33,747,42,22.6,0,0,0,66.5,20,246,85,12.3,2,16,1
Antonio Brown,5718,WR,15,PIT,66.8,16,61.2,1,23,23,23.0,0,0,0,66.9,15,140,33,9.3,0,15,0
Joe Webb III,5722,QB,14,CAR,62.5,6,62.3,6,131,37,21.8,0,0,0,,0,0,0,,0,0,0
Marc Mariani,5745,WR,16,TEN,59.5,56,56.8,27,560,37,20.7,0,0,0,63.5,29,235,18,8.1,0,22,0
Anthony Levine,6013,S,16,BLT,59.9,1,59.9,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Marcus Sherels,6017,CB,11,MIN,79.6,23,62.3,2,35,18,17.5,0,0,0,85.6,21,292,79,13.9,2,17,1
Bryan Walters,6139,WR,10,JAX,55.1,19,57.4,2,39,23,19.5,0,0,0,54.9,17,86,14,5.1,0,16,0
James Develin,6142,FB,16,NE,59.4,3,59.5,3,35,15,11.7,0,0,0,,0,0,0,,0,0,0
Patrick Peterson,6157,CB,16,ARZ,52.7,14,59.5,1,11,11,11.0,0,1,0,50.5,13,81,17,6.2,0,12,0
Kyle Rudolph,6195,TE,16,MIN,,1,,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Torrey Smith,6210,WR,12,SF,59.9,1,59.9,1,13,13,13.0,0,0,0,,0,0,0,,0,0,0
Randall Cobb,6216,WR,13,GB,62.4,3,,0,0,0,,0,0,0,63.2,3,54,23,18.0,0,4,0
Sam Acho,6255,ED,16,CHI,61.2,1,61.2,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Cecil Shorts,6266,WR,9,TB,55.9,1,56.2,1,19,19,19.0,0,0,0,,0,0,0,,0,0,0
Taiwan Jones,6277,HB,13,OAK,54.4,8,55.0,8,112,21,14.0,0,0,0,,0,0,0,,0,0,0
Shiloh Keo,6296,S,10,NO,60.0,0,,0,0,0,,0,0,0,60.0,0,0,0,,0,1,0
Dion Lewis,6301,HB,7,NE,58.2,2,58.4,2,35,23,17.5,0,0,0,,0,0,0,,0,0,0
Jeremy Kerley,6305,WR,16,SF,51.6,22,61.8,2,32,20,16.0,0,0,0,47.7,20,158,26,7.9,0,36,0
Richard Sherman,6306,CB,16,SEA,61.0,1,,0,0,0,,0,0,0,61.3,1,6,6,6.0,0,6,0
Niles Paul,6307,TE,8,WAS,59.9,1,59.9,1,14,14,14.0,0,0,0,,0,0,0,,0,0,0
Dwayne Harris,6328,WR,16,NYG,46.7,49,63.0,22,533,46,24.2,0,0,0,34.3,27,170,17,6.3,0,10,0
