year,player,player_id,position,player_game_count,team_name,grades_fgep_kicker,pat_made,pat_attempts,pat_percent,one_made,one_attempts,one_percent,twenty_made,twenty_attempts,twenty_percent,thirty_made,thirty_attempts,thirty_percent,forty_made,forty_attempts,forty_percent,fifty_made,fifty_attempts,fifty_percent
2016,Adam Vinatieri,226,K,16,IND,80.4,44,44,100,0,0,,3,3,100,7,7,100,10,12,83.3,7,9,77.8
2016,Phil Dawson,422,K,16,SF,71.4,33,34,97.1,0,0,,4,4,100,6,6,100,7,9,77.8,1,2,50
2016,Sebastian Janikowski,595,K,15,OAK,62.3,37,39,94.9,1,1,100,9,9,100,6,6,100,10,11,90.9,3,8,37.5
2016,Matt Bryant,1223,K,16,ATL,88.5,55,56,98.2,0,0,,12,12,100,7,8,87.5,9,9,100,6,8,75
2016,Josh Brown,1520,K,5,NYG,63.8,9,9,100,1,1,100,3,3,100,3,3,100,4,4,100,0,1,0
2016,Mike Nugent,2264,K,13,CIN,30,23,29,79.3,0,0,,9,9,100,9,10,90,5,7,71.4,0,3,0
2016,Robbie Gould,2607,K,10,NYG,63.8,20,23,87,0,0,,3,3,100,3,3,100,4,4,100,0,0,
2016,Nick Novak,2726,K,15,HST,56.8,22,25,88,1,1,100,12,12,100,11,11,100,8,11,72.7,3,6,50
2016,Stephen Gostkowski,3063,K,16,NE,57.3,46,49,93.9,0,0,,9,9,100,7,9,77.8,9,10,90,2,4,50
2016,Matt Prater,3471,K,16,DET,84,31,33,93.9,0,0,,10,10,100,4,5,80,10,14,71.4,7,7,100
2016,Nick Folk,3794,K,16,NYJ,69.2,24,26,92.3,0,0,,12,13,92.3,10,11,90.9,3,3,100,2,4,50
2016,Mason Crosby,3809,K,16,GB,62.9,44,47,93.6,1,1,100,6,6,100,13,15,86.7,5,6,83.3,1,2,50
2016,Stephen Hauschka,4655,K,16,SEA,53.2,29,35,82.9,0,0,,11,13,84.6,13,13,100,8,10,80,1,1,100
2016,Dan Carpenter,4697,K,16,BUF,36.2,41,45,91.1,1,1,100,8,8,100,5,5,100,4,9,44.4,1,2,50
2016,Connor Barth,4777,K,16,CHI,63,31,32,96.9,0,0,,7,8,87.5,7,8,87.5,3,4,75,1,3,33.3
2016,Ryan Succop,5180,K,16,TEN,81.7,39,41,95.1,1,1,100,4,4,100,6,6,100,8,8,100,3,5,60
2016,Graham Gano,5443,K,16,CAR,54.2,32,34,94.1,0,0,,4,4,100,9,11,81.8,14,17,82.4,3,6,50
2016,Dan Bailey,6796,K,16,DAL,72.3,46,46,100,0,0,,9,9,100,8,8,100,7,9,77.8,3,6,50
2016,Kai Forbath,6860,K,7,MIN,63.1,11,14,78.6,0,0,,5,5,100,5,5,100,4,4,100,1,1,100
2016,Randy Bullock,7154,K,5,CIN,50.4,9,10,90,0,0,,4,4,100,2,2,100,2,3,66.7,0,0,
2016,Greg Zuerlein,7163,K,15,LA,65.4,23,23,100,0,0,,5,5,100,9,9,100,3,4,75,2,4,50
2016,Blair Walsh,7167,K,9,MIN,30,15,19,78.9,1,1,100,1,1,100,5,6,83.3,4,6,66.7,1,2,50
2016,Justin Tucker,7604,K,16,BLT,92.9,27,27,100,0,0,,4,4,100,10,11,90.9,14,14,100,10,10,100
2016,Caleb Sturgis,7948,K,16,PHI,68.4,30,31,96.8,0,0,,12,12,100,12,12,100,7,11,63.6,4,6,66.7
2016,Dustin Hopkins,7958,K,16,WAS,40.8,36,39,92.3,0,0,,12,12,100,12,14,85.7,7,9,77.8,3,7,42.9
2016,Brandon McManus,8437,K,16,DEN,68.8,32,33,97,0,0,,9,9,100,10,10,100,7,9,77.8,3,6,50
2016,Cairo Santos,8932,K,16,KC,65.4,36,39,92.3,0,0,,8,9,88.9,15,17,88.2,6,7,85.7,2,2,100
2016,Chris Boswell,8990,K,15,PIT,74.2,36,36,100,0,0,,2,2,100,8,9,88.9,11,12,91.7,0,2,0
2016,Cody Parkey,9030,K,14,CLV,52.1,20,21,95.2,0,0,,6,6,100,6,6,100,7,12,58.3,1,1,100
2016,Chandler Catanzaro,9140,K,16,ARZ,55.6,43,47,91.5,1,1,100,5,6,83.3,6,7,85.7,6,8,75,3,6,50
2016,Patrick Murray,9389,K,2,CLV,53.5,3,4,75,0,0,,0,0,,1,1,100,0,0,,0,1,0
2016,Andrew Franks,9814,K,16,MIA,66.7,41,42,97.6,0,0,,8,10,80,6,6,100,1,3,33.3,1,2,50
2016,Josh Lambo,10133,K,16,SD,59.9,42,46,91.3,0,0,,7,7,100,13,14,92.9,6,8,75,0,3,0
2016,Jason Myers,10207,K,16,JAX,68.8,29,32,90.6,0,0,,7,7,100,3,4,75,10,11,90.9,7,12,58.3
2016,Roberto Aguayo,10693,K,16,TB,37.9,32,34,94.1,0,0,,5,5,100,13,15,86.7,4,10,40,0,1,0
2016,Wil Lutz,11096,K,16,NO,75.8,49,50,98,1,1,100,7,7,100,9,11,81.8,8,8,100,3,7,42.9
