year,player,player_id,position,player_game_count,team_name,dropbacks,attempts,deep_attempts,deep_completions,deep_drops,deep_yards,deep_touchdowns,deep_interceptions,deep_hit_as_threw,deep_attempt_percent,deep_accuracy_percent,qb_rating
2014,Andrew Luck,7007,QB,16,IND,680,616,88,39,3,1387,12,3,0,14.3,47.7,116.5
2014,Ben Roethlisberger,1732,QB,16,PIT,650,608,79,31,2,1077,9,1,0,13,41.8,119.6
2014,Philip Rivers,1725,QB,16,SD,627,570,77,29,3,933,10,6,0,13.5,41.6,91.1
2014,Eli Manning,1722,QB,16,NYG,635,601,74,22,3,750,3,4,0,12.3,33.8,60.3
2014,Derek Carr,8671,QB,16,OAK,635,599,71,15,2,565,2,2,0,11.9,23.9,57.9
2014,Peyton Manning,327,QB,16,DEN,614,597,70,31,0,1098,9,1,0,11.7,44.3,124.7
2014,Colin Kaepernick,6188,QB,16,SF,577,478,69,22,1,689,4,5,0,14.4,33.3,59.4
2014,Matt Ryan,4317,QB,16,ATL,683,628,68,30,8,827,5,5,0,10.8,55.9,83.4
2014,Brian Hoyer,5277,QB,14,CLV,472,440,67,29,2,907,3,4,0,15.2,46.3,80.3
2014,Drew Brees,802,QB,16,NO,702,659,64,27,6,929,8,4,0,9.7,51.6,102.9
2014,Matthew Stafford,4924,QB,16,DET,665,602,63,20,3,703,7,6,0,10.5,36.5,72.5
2014,Tony Romo,1693,QB,15,DAL,474,435,61,29,2,968,14,3,0,14,50.8,112.9
2014,Jay Cutler,2956,QB,15,CHI,619,561,61,19,1,647,6,6,0,10.9,32.8,65.4
2014,Tom Brady,698,QB,16,NE,612,582,60,17,3,528,5,2,0,10.3,33.3,77.6
2014,Nick Foles,7089,QB,8,PHI,330,312,59,19,2,578,9,6,0,18.9,35.6,69.7
2014,Aaron Rodgers,2241,QB,16,GB,577,520,56,26,3,1035,11,1,0,10.8,51.8,125
2014,Joe Flacco,4332,QB,16,BLT,582,554,56,21,7,663,11,2,0,10.1,50,107.4
2014,Cam Newton,6153,QB,14,CAR,518,448,54,14,3,483,5,2,0,12.1,31.5,79.8
2014,Andy Dalton,6187,QB,16,CIN,520,481,53,16,2,627,6,6,0,11,34,74.7
2014,Russell Wilson,7077,QB,16,SEA,546,452,52,21,3,733,5,3,0,11.5,46.2,95.8
2014,Ryan Tannehill,7014,QB,16,MIA,644,590,51,14,4,447,3,2,0,8.6,35.3,66.9
2014,Josh McCown,1085,QB,11,TB,382,327,50,19,2,623,6,2,0,15.3,42,108.6
2014,Blake Bortles,8638,QB,14,JAX,550,475,50,13,2,434,3,5,0,10.5,30,43.7
2014,Kyle Orton,2323,QB,12,BUF,484,446,45,15,0,505,4,2,0,10.1,33.3,87.7
2014,Geno Smith,7820,QB,14,NYJ,426,367,45,12,2,467,5,8,0,12.3,31.1,67.8
2014,Drew Stanton,3659,QB,9,ARZ,262,240,41,15,1,506,4,0,0,17.1,39,116.5
2014,Teddy Bridgewater,8667,QB,13,MIN,474,402,41,16,3,467,5,3,0,10.2,46.3,91.2
2014,Austin Davis,7305,QB,9,SL,319,284,39,16,2,541,4,4,0,13.7,46.2,83
2014,Mike Glennon,7854,QB,6,TB,225,203,38,14,0,420,3,4,0,18.7,36.8,65.6
2014,Ryan Fitzpatrick,2467,QB,12,HST,365,312,37,19,0,670,6,3,0,11.9,51.4,102.8
2014,Mark Sanchez,4928,QB,9,PHI,343,309,37,13,0,367,2,4,0,12,35.1,51.1
2014,Charlie Whitehurst,3026,QB,7,TEN,216,185,32,10,3,322,3,2,0,17.3,40.6,75.3
2014,Carson Palmer,1317,QB,6,ARZ,238,224,31,11,2,371,3,0,0,13.8,41.9,113.8
2014,Shaun Hill,1255,QB,8,SL,250,229,29,10,1,367,3,1,0,12.7,37.9,103
2014,Jake Locker,6160,QB,7,TEN,177,146,27,6,2,204,2,2,0,18.5,29.6,52.4
2014,Kirk Cousins,7102,QB,6,WAS,213,204,25,12,0,452,4,3,0,12.3,48,94.2
2014,Alex Smith,2218,QB,15,KC,546,465,24,8,1,228,2,2,0,5.2,37.5,62.5
2014,Zach Mettenberger,8813,QB,7,TEN,198,179,23,9,2,394,3,0,0,12.8,47.8,126.4
