year,player,player_id,position,player_game_count,team_name,pass_snaps,attempts,pass_block_percentage,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,pbe
2019,Ezekiel Elliott,10638,HB,16,DAL,559,95,17,0,1,11,12,93.7
2019,Jonnu Smith,11855,TE,16,TEN,310,71,22.9,3,1,2,6,93.7
2019,Jared Cook,5012,TE,14,NO,344,8,2.3,0,0,1,1,93.7
2019,Darren Sproles,2347,HB,6,PHI,74,8,10.8,0,0,1,1,93.7
2019,Brandon Parker,34693,T,7,OAK,111,110,99.1,3,2,6,11,93.6
2019,Dawson Knox,35883,TE,15,BUF,355,23,6.5,1,0,1,2,93.5
2019,Logan Thomas,8755,TE,16,DET,194,31,16,1,0,2,3,93.5
2019,Trey Pipkins,91462,T,6,LAC,146,146,100,4,6,5,15,93.5
2019,Malcolm Brown,9902,HB,14,LA,120,23,19.2,0,1,2,3,93.5
2019,J'Marcus Webb,5741,T,10,MIA,348,348,100,7,6,26,39,93.4
2019,Daniel Brown,10144,TE,14,NYJ,131,30,22.9,2,0,0,2,93.3
2019,Patrick Laird,28219,HB,8,MIA,202,45,22.3,0,1,5,6,93.3
2019,Aaron Stinnie,28653,G,2,TB,15,15,100,0,0,2,2,93.3
2019,Travis Homer,45859,HB,3,SEA,63,15,23.8,0,1,1,2,93.3
2019,Raheem Mostert,9783,HB,15,SF,185,37,20,1,0,3,4,93.2
2019,Brandon Knight,25018,T,2,DAL,66,66,100,0,2,7,9,93.2
2019,Antony Auclair,24606,TE,8,TB,60,29,48.3,1,1,1,3,93.1
2019,Josh Wells,8968,T,7,TB,122,122,100,3,1,10,14,93
2019,Benny Snell Jr.,45954,HB,9,PIT,38,7,18.4,0,0,1,1,92.9
2019,Josh Andrews,9068,C,2,IND,28,28,100,0,0,4,4,92.9
2019,Zach Zenner,9761,HB,2,MIA,22,7,31.8,0,0,1,1,92.9
2019,Miles Sanders,40555,HB,16,PHI,383,67,17.5,2,0,6,8,92.5
2019,David Sharpe,11884,T,6,OAK,141,140,99.3,3,3,12,18,92.5
2019,Bo Scarbrough,45731,HB,6,DET,65,20,30.8,1,0,1,2,92.5
2019,Irv Smith Jr.,42060,TE,16,MIN,325,20,6.2,0,1,2,3,92.5
2019,Dion Lewis,6301,HB,16,TEN,278,85,30.6,2,2,7,11,92.4
2019,Greg Little,46254,T,4,CAR,138,138,100,3,1,14,18,92.4
2019,Melvin Gordon III,9448,HB,12,LAC,221,13,5.9,0,2,0,2,92.3
2019,Mark Walton,45996,HB,7,MIA,131,26,19.8,1,0,2,3,92.3
2019,Justice Hill,45865,HB,16,BLT,104,13,12.5,1,0,0,1,92.3
2019,Derrick Henry,10679,HB,15,TEN,239,45,18.8,1,1,4,6,92.2
2019,James Conner,11860,HB,10,PIT,178,25,14,0,0,4,4,92
2019,Garrett Celek,7274,TE,5,SF,20,6,30,0,1,0,1,91.7
2019,Troy Fumagalli,47333,TE,11,DEN,77,6,7.8,0,0,1,1,91.7
2019,Andre Dillard,29250,T,10,PHI,171,170,99.4,4,4,17,25,91.5
2019,Dalvin Cook,11796,HB,14,MIN,303,34,11.2,1,1,3,5,91.2
2019,Noah Fant,42388,TE,16,DEN,407,39,9.6,2,1,2,5,91
2019,Hale Hentges,47150,TE,11,WAS,72,11,15.3,1,0,0,1,90.9
2019,Ronald Jones,34001,HB,16,TB,219,49,22.4,1,2,5,8,90.8
2019,Chris Carson,12004,HB,15,SEA,375,69,18.4,2,1,8,11,90.6
2019,Cooper Kupp,11824,WR,16,LA,573,16,2.8,1,0,1,2,90.6
2019,Robert Tonyan,12193,TE,11,GB,88,16,18.2,1,0,1,2,90.6
2019,Jaron Brown,8128,WR,14,SEA,203,5,2.5,0,0,1,1,90
2019,Darrell Henderson,41193,HB,7,LA,43,5,11.6,0,0,1,1,90
2019,Isaiah Prince,47019,T,3,CIN,36,35,97.2,1,0,5,6,90
2019,Larry Fitzgerald,1724,WR,16,ARZ,576,5,0.9,0,1,0,1,90
2019,Trevon Wesco,42018,TE,14,NYJ,56,35,62.5,2,1,2,5,90
2019,Eric Smith,46987,T,2,NYG,40,40,100,3,2,0,5,90
2019,Sean Culkin,12037,TE,4,LAC,53,10,18.9,1,0,0,1,90
2019,Eric Ebron,8645,TE,11,IND,213,5,2.3,0,0,1,1,90
2019,Leonard Fournette,11759,HB,15,JAX,561,79,14.1,2,5,7,14,89.9
2019,Adrian Peterson,3623,HB,15,WAS,156,29,18.6,1,1,3,5,89.7
2019,Jacob Hollister,12051,TE,11,SEA,328,34,10.4,1,1,4,6,89.7
2019,Charles Clay,6326,TE,15,ARZ,209,24,11.5,0,0,5,5,89.6
2019,Ross Dwelley,20994,TE,15,SF,162,19,11.7,1,0,2,3,89.5
2019,Vernon Davis,2951,TE,4,WAS,133,9,6.8,1,0,0,1,88.9
2019,David Njoku,11784,TE,4,CLV,61,9,14.8,1,0,0,1,88.9
2019,Chandler Cox,45629,FB,11,MIA,25,9,36,1,0,0,1,88.9
2019,Ryan Hunter,46904,G,1,KC,9,9,100,0,0,2,2,88.9
2019,T.J. Hockenson,40912,TE,12,DET,314,31,9.9,2,1,2,5,88.7
2019,Ty Johnson,45769,HB,16,DET,223,35,15.7,1,0,6,7,88.6
2019,Jamil Demby,31982,G,3,LA,85,85,100,3,2,12,17,88.2
2019,Bilal Powell,6278,HB,12,NYJ,87,21,24.1,1,0,3,4,88.1
2019,Buddy Howell,12888,HB,2,HST,24,4,16.7,0,0,1,1,87.5
2019,Tony Pollard,27126,HB,15,DAL,89,8,9,0,1,1,2,87.5
2019,Delanie Walker,3120,TE,7,TEN,144,4,2.8,0,0,1,1,87.5
2019,C.J. Prosise,10724,HB,8,SEA,87,12,13.8,0,1,2,3,87.5
2019,Mark Andrews,47436,TE,15,BLT,298,4,1.3,0,0,1,1,87.5
2019,Trey Edmunds,38329,HB,8,PIT,54,15,27.8,0,0,4,4,86.7
2019,Spencer Ware,7975,HB,3,KC,52,11,21.2,0,0,3,3,86.4
2019,Marlon Mack,11898,HB,14,IND,210,33,15.7,3,1,3,7,84.8
2019,Phillip Lindsay,12660,HB,16,DEN,240,29,12.1,0,1,8,9,84.5
2019,Jeff Wilson Jr.,29413,HB,8,SF,21,9,42.9,1,1,0,2,83.3
2019,C.J. Anderson,8101,HB,2,DET,17,6,35.3,0,1,1,2,83.3
2019,Ryquell Armstead,45810,HB,14,JAX,100,11,11,1,0,2,3,81.8
2019,Dontrell Hilliard,45691,HB,13,CLV,98,16,16.3,1,1,3,5,81.2
2019,Jordan Wilkins,26618,HB,13,IND,101,16,15.8,0,2,4,6,81.2
2019,Anthony Firkser,51837,TE,15,TEN,135,8,5.9,1,0,1,2,81.2
2019,D'Ernest Johnson,45734,HB,5,CLV,28,5,17.9,1,0,0,1,80
2019,Justin Jackson,29539,HB,7,LAC,54,10,18.5,0,0,4,4,80
2019,Brian Hill,11911,HB,10,ATL,136,28,20.6,2,1,7,10,78.6
2019,Randall Cobb,6216,WR,15,DAL,471,2,0.4,0,0,1,1,75
2019,Duke Williams,11366,WR,4,BUF,124,2,1.6,0,0,1,1,75
2019,Kenny Golladay,11851,WR,16,DET,583,2,0.3,0,0,1,1,75
2019,Zay Jones,11792,WR,15,OAK,368,2,0.5,0,0,1,1,75
2019,Jordan Thomas,42062,TE,5,HST,38,6,15.8,1,0,1,2,75
2019,Alex Bars,47018,T,1,CHI,1,1,100,0,0,1,1,50
2019,Charles Jones II,47186,TE,3,JAX,5,1,20,0,0,1,1,50
2019,Chris Herndon,47164,TE,1,NYJ,12,1,8.3,1,0,0,1,0
