player,player_id,position,player_game_count,team_name,pass_snaps,attempts,pass_block_percentage,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,pbe
Khaled Holmes,7903,C,9,IND,304,304,100.0,2,4,16,22,96.1
Senio Kelemete,7144,G,11,NO,245,245,100.0,3,3,10,16,96.1
Ed Dickson,5595,TE,16,CAR,268,90,33.6,0,1,6,7,96.1
Chris Clark,4623,T,9,HST,237,237,100.0,4,3,8,15,96.0
Fred Jackson,3368,HB,16,SEA,206,25,12.1,0,0,2,2,96.0
Jesse James,9593,TE,8,PIT,112,25,22.3,0,0,2,2,96.0
Jermon Bushrod,3741,T,7,CHI,97,97,100.0,1,0,6,7,95.9
Jamon Brown,9505,G,9,SL,270,269,99.6,3,6,10,19,95.9
Riley Reiff,7029,T,16,DET,700,700,100.0,6,7,38,51,95.9
Byron Bell,6848,G,16,TEN,617,617,100.0,6,3,35,44,95.9
Mike McGlynn,4423,G,2,NO,12,12,100.0,0,0,1,1,95.8
Troy Niklas,8687,TE,12,ARZ,48,12,25.0,0,0,1,1,95.8
Jordan Reed,7866,TE,14,WAS,425,36,8.5,0,2,1,3,95.8
Charcandrick West,9047,HB,13,KC,289,48,16.6,0,1,3,4,95.8
Tyler Varga,9712,HB,3,IND,32,24,75.0,0,0,2,2,95.8
Sebastian Vollmer,4981,T,14,NE,509,509,100.0,7,4,25,36,95.8
Chris Gragg,8004,TE,12,BUF,200,36,18.0,1,0,1,2,95.8
Doug Martin,7035,HB,16,TB,278,69,24.8,0,1,5,6,95.7
Jim Dray,5756,TE,16,CLV,206,47,22.8,1,1,1,3,95.7
Jeremy Hill,8690,HB,16,CIN,195,47,24.1,0,1,3,4,95.7
Jimmy Graham,5619,TE,11,SEA,358,23,6.4,1,0,0,1,95.7
Cornelius Lucas,9025,T,11,DET,211,211,100.0,1,3,13,17,95.7
King Dunlap,4544,T,7,SD,188,188,100.0,3,2,8,13,95.7
Breno Giacomini,4464,T,16,NYJ,662,662,100.0,3,7,44,54,95.7
Maxx Williams,9488,TE,14,BLT,299,23,7.7,0,0,2,2,95.7
Jacob Tamme,4441,TE,15,ATL,509,46,9.0,0,1,3,4,95.7
Ben Grubbs,3645,G,7,KC,290,290,100.0,5,2,13,20,95.7
Bryan Bulaga,5548,T,12,GB,471,470,99.8,6,2,27,35,95.6
Jermey Parnell,5426,T,15,JAX,630,630,100.0,3,13,36,52,95.6
Jonathan Stewart,4327,HB,13,CAR,276,79,28.6,1,1,4,6,95.6
Kory Lichtensteiger,4422,C,5,WAS,192,192,100.0,2,2,11,15,95.6
Nate Solder,6169,T,4,NE,137,137,100.0,3,2,4,9,95.6
Gosder Cherilus,4331,T,13,TB,484,484,100.0,4,7,28,39,95.6
Demar Dotson,5410,T,3,TB,112,112,100.0,0,1,9,10,95.5
Ladarius Green,7110,TE,13,SD,424,22,5.2,0,0,2,2,95.5
Benny Cunningham,8283,HB,16,SL,221,66,29.9,1,0,4,5,95.5
Spencer Ware,7975,HB,9,KC,69,22,31.9,0,0,2,2,95.5
Mike Remmers,7431,T,16,CAR,561,561,100.0,6,1,39,46,95.4
Xavier Su'a-Filo,8668,G,10,HST,324,324,100.0,4,7,15,26,95.4
Mike Tolbert,4740,FB,16,CAR,185,54,29.2,1,0,3,4,95.4
Greg Robinson,8637,T,16,SL,495,494,99.8,3,18,21,42,95.4
Ted Larsen,5728,G,10,ARZ,355,355,100.0,2,8,21,31,95.4
Kenny Wiggins,6471,G,14,SD,499,499,100.0,3,7,33,43,95.4
Jordan Mills,7945,T,7,BUF,175,175,100.0,3,2,8,13,95.4
Chris Hairston,6274,T,16,SD,480,480,100.0,7,6,24,37,95.4
Lane Taylor,8365,G,3,GB,95,95,100.0,1,0,7,8,95.3
Matt Kalil,7010,T,16,MIN,528,528,100.0,6,7,31,44,95.3
Charles Leno Jr.,8880,T,15,CHI,486,486,100.0,4,6,32,42,95.3
Joe Looney,7117,C,8,TEN,265,265,100.0,3,4,15,21,95.3
Andrus Peat,9446,T,11,NO,257,257,100.0,3,6,12,21,95.3
Marcus Cannon,6290,T,12,NE,364,364,100.0,4,8,19,31,95.2
Alfred Blue,8816,HB,14,HST,153,31,20.3,1,0,1,2,95.2
D'Brickashaw Ferguson,2949,T,16,NYJ,662,662,100.0,5,14,40,59,95.2
Trevor Robinson,7375,C,15,SD,612,612,100.0,8,4,39,51,95.2
Theo Riddick,7980,HB,16,DET,393,92,23.4,3,0,3,6,95.1
Lance Kendricks,6199,TE,15,SL,223,51,22.9,1,0,3,4,95.1
Austin Pasztor,7689,G,5,CLV,173,173,100.0,1,2,13,16,95.1
Donovan Smith,9467,T,16,TB,596,596,100.0,4,12,38,54,95.1
Erik Pears,2737,T,16,SF,625,625,100.0,10,4,37,51,95.1
Rodger Saffold,5558,G,5,SL,133,132,99.2,1,3,8,12,95.1
Marshall Newhouse,5692,T,14,NYG,555,555,100.0,5,7,39,51,95.0
J.D. Walton,5604,C,3,SD,60,60,100.0,0,1,5,6,95.0
