year,team_name,pass_snaps,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,pbe
2015,DAL,578,9,13,86,108,89.9
2015,OAK,655,19,17,100,136,88.2
2015,NO,700,20,30,102,152,87.7
2015,ATL,666,12,21,133,166,86.6
2015,CIN,573,16,10,117,143,86.1
2015,BUF,563,13,24,110,147,85.8
2015,CAR,561,18,9,118,145,85.5
2015,BLT,703,14,33,148,195,85.1
2015,WAS,587,14,27,120,161,85.1
2015,HST,665,28,35,114,177,84.6
2015,CHI,574,18,15,130,163,84.2
2015,PIT,636,24,21,133,178,84.1
2015,NYJ,662,12,35,154,201,83.9
2015,GB,663,31,13,140,184,83.8
2015,CLV,704,18,29,163,210,83.8
2015,TB,596,12,44,126,182,83.7
2015,PHI,671,27,43,122,192,83.7
2015,DEN,656,19,38,140,197,83.5
2015,DET,702,23,32,153,208,83.5
2015,JAX,683,24,27,152,203,83.4
2015,SL,495,11,52,94,157,83
2015,IND,688,19,46,152,217,82.8
2015,NYG,657,18,32,159,209,82.7
2015,SF,625,30,28,131,189,82.5
2015,KC,576,25,14,143,182,82
2015,NE,673,26,48,147,221,81.6
2015,SEA,592,22,32,143,197,81.5
2015,MIA,638,32,39,141,212,80.9
2015,TEN,619,37,30,135,201,80.7
2015,ARZ,590,21,45,147,213,80.2
2015,MIN,528,22,25,146,193,79.6
2015,SD,716,33,36,228,297,77
