player,player_id,position,player_game_count,team_name,snap_counts_offense,snap_counts_pass,snap_counts_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_ce,snap_counts_rg,snap_counts_rt,grades_offense,grades_pass_block,grades_run_block,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,penalties,declined_penalties
Peyton Manning,327,QB,10,DEN,580,366,0,214,0,0,0,0,0,62.6,,60.0,2,0,2,4,3,0
Charles Woodson,330,S,1,OAK,1,1,0,0,0,0,0,0,0,55.6,,,1,0,0,1,0,0
Matt Hasselbeck,408,QB,8,IND,447,297,0,150,0,0,0,0,0,65.3,,60.0,5,2,0,7,5,0
Tom Brady,698,QB,16,NE,1071,716,0,355,0,0,0,0,0,92.0,,60.1,4,1,7,12,1,0
Michael Vick,773,QB,5,PIT,163,90,0,73,0,0,0,0,0,39.4,,62.8,3,1,1,5,0,0
Drew Brees,802,QB,15,NO,1062,706,0,356,0,0,0,0,0,87.5,,60.0,0,1,3,4,5,0
Steve Smith,837,WR,7,BLT,93,0,0,93,0,0,0,0,0,90.3,,82.6,0,0,0,0,0,0
Josh McCown,1085,QB,8,CLV,501,356,0,145,0,0,0,0,0,58.5,,60.6,6,1,4,11,3,0
Shaun Hill,1255,QB,3,MIN,24,8,0,16,0,0,0,0,0,43.1,,60.0,0,1,0,1,0,0
Carson Palmer,1317,QB,16,ARZ,1017,617,0,400,0,0,0,0,0,92.1,,60.1,0,2,1,3,5,0
Andre Johnson,1319,WR,16,IND,217,0,0,217,0,0,0,0,0,66.2,,78.7,0,0,0,0,1,0
Anquan Boldin,1369,WR,14,SF,234,0,0,234,0,0,0,0,0,72.0,,71.0,0,0,0,0,1,0
Jason Witten,1384,TE,16,DAL,463,0,69,394,0,0,0,0,0,66.4,76.8,66.5,0,0,3,3,7,0
Antonio Gates,1609,TE,11,SD,117,0,8,109,0,0,0,0,0,77.9,41.7,63.1,0,0,1,1,1,0
Tony Romo,1693,QB,4,DAL,224,137,0,87,0,0,0,0,0,55.5,,60.0,0,1,1,2,1,0
Eli Manning,1722,QB,16,NYG,1091,699,0,392,0,0,0,0,0,65.7,,60.0,6,6,4,16,7,0
Larry Fitzgerald,1724,WR,16,ARZ,382,0,8,374,0,0,0,0,0,90.0,72.6,88.9,0,0,1,1,1,0
Philip Rivers,1725,QB,16,SD,1144,766,0,378,0,0,0,0,0,69.9,,60.0,1,0,1,2,7,0
Ben Roethlisberger,1732,QB,12,PIT,782,542,1,239,0,0,0,0,0,91.1,61.3,60.0,1,0,1,2,2,0
Steven Jackson,1745,HB,2,NE,1,0,0,1,0,0,0,0,0,68.0,,60.0,0,0,0,0,0,0
Benjamin Watson,1753,TE,16,NO,432,0,79,353,2,0,0,0,0,75.1,71.8,63.3,0,2,3,5,5,1
Matt Schaub,1811,QB,2,BLT,134,87,0,47,0,0,0,0,0,51.2,,60.0,0,1,0,1,1,0
Luke McCown,1827,QB,2,NO,71,46,0,25,0,0,0,0,0,77.5,,60.0,0,0,0,0,0,0
Jerricho Cotchery,1829,WR,14,CAR,160,0,1,159,0,0,0,0,0,80.0,64.9,78.6,0,0,0,0,1,0
Andy Lee,1906,P,1,CLV,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
Malcom Floyd,2044,WR,15,SD,270,0,0,270,0,0,0,0,0,61.4,,74.8,0,0,0,0,0,0
Jason Peters,2148,T,14,PHI,759,0,464,295,779,0,0,0,0,82.2,77.0,89.1,5,7,11,23,10,3
Wes Welker,2204,WR,8,SL,26,0,0,26,0,0,0,0,0,66.4,,57.8,0,0,0,0,0,0
Alex Smith,2218,QB,16,KC,957,610,1,346,0,0,0,0,0,66.2,61.3,60.0,4,1,4,9,5,0
Aaron Rodgers,2241,QB,16,GB,1117,739,0,378,0,0,0,0,0,74.7,,60.0,5,14,8,27,6,0
Roddy White,2244,WR,16,ATL,308,0,2,306,0,0,0,0,0,62.6,75.6,88.7,0,0,0,0,7,1
Heath Miller,2247,TE,15,PIT,427,0,100,327,0,0,0,0,0,70.3,67.6,66.4,0,2,5,7,4,0
