player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr,year
Brian Quick,7037,WR,7,SL,37,25,375,194,1.93,2014
Andre Johnson,1319,WR,15,HST,141,85,936,485,1.93,2014
Jordan Cameron,6254,TE,10,CLV,42,24,424,220,1.93,2014
Dontrelle Inman,6597,WR,2,SD,16,12,158,82,1.93,2014
Julian Edelman,5156,WR,14,NE,124,92,971,509,1.91,2014
Taylor Gabriel,9002,WR,16,CLV,71,38,633,333,1.9,2014
Jordan Reed,7866,TE,11,WAS,65,50,465,246,1.89,2014
Greg Olsen,3647,TE,16,CAR,118,82,997,533,1.87,2014
Kamar Aiken,6671,WR,15,BLT,32,24,267,143,1.87,2014
Kelvin Benjamin,8663,WR,16,CAR,142,73,1008,541,1.86,2014
Delanie Walker,3120,TE,15,TEN,100,63,890,481,1.85,2014
Jaron Brown,8128,WR,15,ARZ,32,22,229,125,1.83,2014
Brandon Williams,7876,TE,7,CAR,6,4,44,24,1.83,2014
Pierre Thomas,4080,HB,11,NO,50,45,378,206,1.83,2014
Miles Austin,3211,WR,12,CLV,67,47,568,313,1.81,2014
Alshon Jeffery,7048,WR,16,CHI,134,84,1124,622,1.81,2014
Jordan Matthews,8677,WR,16,PHI,98,67,876,485,1.81,2014
Devonta Freeman,8738,HB,16,ATL,34,30,225,125,1.8,2014
Ladarius Green,7110,TE,14,SD,22,18,222,123,1.8,2014
Brandon LaFell,5602,WR,16,NE,114,74,953,533,1.79,2014
Jeff Janis,8870,WR,3,GB,2,2,16,9,1.78,2014
Niles Paul,6307,TE,16,WAS,50,38,493,278,1.77,2014
De'Anthony Thomas,8759,HB,12,KC,30,24,173,98,1.77,2014
Adam Thielen,8288,WR,15,MIN,13,8,137,78,1.76,2014
Fred Jackson,3368,HB,14,BUF,81,66,494,283,1.75,2014
Jarvis Landry,8698,WR,16,MIA,105,84,755,432,1.75,2014
Zach Ertz,7816,TE,16,PHI,85,57,690,397,1.74,2014
Donte Moncrief,8725,WR,16,IND,46,32,444,255,1.74,2014
Vincent Jackson,2278,WR,16,TB,138,70,1002,579,1.73,2014
Victor Cruz,5827,WR,6,NYG,40,23,337,195,1.73,2014
Charles Johnson,7998,WR,11,MIN,55,31,476,275,1.73,2014
Mike Wallace,5007,WR,16,MIA,108,67,862,500,1.72,2014
Fozzy Whittaker,8547,HB,6,CAR,6,5,60,35,1.71,2014
Jimmy Graham,5619,TE,16,NO,121,85,889,522,1.7,2014
Ahmad Bradshaw,3866,HB,10,IND,45,38,300,177,1.69,2014
James Casey,5076,TE,15,PHI,3,3,59,35,1.69,2014
Le'Veon Bell,7829,HB,16,PIT,97,80,834,493,1.69,2014
Tony Moeaki,5617,TE,6,SEA,13,8,134,80,1.68,2014
Devin Hester,3002,WR,16,ATL,57,38,504,300,1.68,2014
Brenton Bersin,7516,WR,15,CAR,19,13,151,90,1.68,2014
Travaris Cadet,7457,HB,14,NO,43,38,296,176,1.68,2014
Peyton Hillis,4541,HB,5,NYG,14,10,87,52,1.67,2014
Bobby Rainey Jr.,7511,HB,12,TB,38,33,315,189,1.67,2014
C.J. Spiller,5534,HB,9,BUF,21,19,131,79,1.66,2014
Travis Benjamin,7100,WR,16,CLV,46,18,314,190,1.65,2014
Darren Sproles,2347,HB,15,PHI,60,40,387,234,1.65,2014
Andre Ellington,7968,HB,12,ARZ,62,46,395,239,1.65,2014
Torrey Smith,6210,WR,16,BLT,89,49,767,465,1.65,2014
Coby Fleener,7038,TE,16,IND,86,51,774,471,1.64,2014
Allen Robinson II,8696,WR,10,JAX,76,48,548,335,1.64,2014
Martellus Bennett,4375,TE,16,CHI,123,89,906,551,1.64,2014
Jarius Wright,7118,WR,16,MIN,60,42,588,361,1.63,2014
Zac Stacy,7942,HB,11,SL,22,18,152,93,1.63,2014
Corey Washington,9189,WR,8,NYG,7,5,52,32,1.63,2014
Doug Baldwin,6615,WR,16,SEA,89,65,808,500,1.62,2014
Kenny Britt,4953,WR,16,SL,81,48,748,465,1.61,2014
Jared Cook,5012,TE,16,SL,91,52,650,403,1.61,2014
Albert Wilson,8943,WR,7,KC,25,16,260,161,1.61,2014
Charles Sims,8704,HB,8,TB,23,18,184,115,1.6,2014
Percy Harvin,4945,WR,13,NYJ,76,51,483,301,1.6,2014
Corey Brown,8986,WR,12,CAR,36,21,296,185,1.6,2014
Sammy Watkins,8639,WR,16,BUF,124,65,982,618,1.59,2014
Branden Oliver,9286,HB,14,SD,43,35,251,158,1.59,2014
Cooper Helfet,7737,TE,9,SEA,21,12,185,116,1.59,2014
Matt Forte,4358,HB,16,CHI,118,102,808,509,1.59,2014
Keenan Allen,7857,WR,14,SD,112,77,783,495,1.58,2014
Rueben Randle,7065,WR,16,NYG,122,71,938,594,1.58,2014
Antonio Gates,1609,TE,16,SD,98,69,821,523,1.57,2014
Kendall Wright,7026,WR,14,TEN,86,57,715,455,1.57,2014
Courtney Roby,2285,WR,1,ATL,2,1,11,7,1.57,2014
Dwayne Bowe,3639,WR,15,KC,90,60,754,479,1.57,2014
Zach Sudfeld,8313,TE,16,NYJ,6,5,85,54,1.57,2014
Ted Ginn Jr.,3625,WR,16,ARZ,25,14,190,122,1.56,2014
Brandin Cooks,8655,WR,10,NO,65,53,550,353,1.56,2014
Marques Colston,3197,WR,16,NO,96,59,902,579,1.56,2014
Roddy White,2244,WR,14,ATL,122,80,921,590,1.56,2014
Charles Clay,6326,TE,14,MIA,81,58,605,387,1.56,2014
Larry Fitzgerald,1724,WR,14,ARZ,100,63,784,507,1.55,2014
Robert Turbin,7106,HB,15,SEA,19,16,186,120,1.55,2014
DeMarco Murray,6223,HB,16,DAL,62,57,416,270,1.54,2014
Jason Witten,1384,TE,16,DAL,86,63,702,458,1.53,2014
Cody Latimer,8691,WR,4,DEN,4,2,23,15,1.53,2014
John Brown,8726,WR,16,ARZ,94,48,696,459,1.52,2014
Stedman Bailey,7873,WR,14,SL,42,29,416,273,1.52,2014
Brice Butler,7991,WR,14,OAK,34,21,280,186,1.51,2014
Mohamed Sanu,7084,WR,16,CIN,97,56,790,523,1.51,2014
Eddie Royal,4356,WR,16,SD,86,62,778,516,1.51,2014
Brandon Marshall,3064,WR,13,CHI,101,61,721,481,1.5,2014
Cedric Peerman,5109,HB,6,CIN,3,3,27,18,1.5,2014
Heath Miller,2247,TE,16,PIT,87,66,766,515,1.49,2014
Dan Herron,7179,HB,11,IND,24,21,173,117,1.48,2014
Toby Gerhart,5576,HB,14,JAX,24,20,186,126,1.48,2014
C.J. Anderson,8101,HB,15,DEN,41,34,325,220,1.48,2014
Michael Crabtree,4933,WR,16,SF,102,68,698,473,1.48,2014
