player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr,year
Crockett Gillmore,8734,TE,14,BLT,13,10,121,109,1.11,2014
Joe Morgan,6696,WR,5,NO,10,4,92,83,1.11,2014
Zach Miller,3654,TE,3,SEA,7,6,76,69,1.1,2014
Richard Rodgers,8733,TE,16,GB,29,20,225,204,1.1,2014
Steven Jackson,1745,HB,15,ATL,23,20,148,136,1.09,2014
Jordan Todman,6335,HB,16,JAX,34,24,189,173,1.09,2014
Marlon Brown,8179,WR,14,BLT,29,24,255,237,1.08,2014
Ryan Mathews,5537,HB,6,SD,10,9,69,64,1.08,2014
Mychal Rivera,7965,TE,16,OAK,92,58,534,494,1.08,2014
Quinton Patton,7910,WR,4,SF,7,3,44,41,1.07,2014
Cordarrelle Patterson,7810,WR,15,MIN,58,33,384,362,1.06,2014
Austin Pettis,6230,WR,5,SL,18,12,118,112,1.05,2014
Alfred Blue,8816,HB,15,HST,17,14,116,110,1.05,2014
Mike Brown,7698,WR,5,JAX,15,7,88,84,1.05,2014
Jay Prosch,8845,FB,9,HST,4,1,24,23,1.04,2014
James Starks,5716,HB,16,GB,27,18,140,135,1.04,2014
Darren McFadden,4318,HB,16,OAK,44,36,212,203,1.04,2014
Stepfan Taylor,7922,HB,13,ARZ,13,11,79,76,1.04,2014
Tim Wright,8392,TE,16,NE,32,26,259,251,1.03,2014
Preston Parker,5950,WR,15,NYG,56,36,418,407,1.03,2014
Latavius Murray,7962,HB,10,OAK,21,16,137,133,1.03,2014
Lance Moore,2718,WR,14,PIT,25,14,198,195,1.02,2014
Donald Brown,4950,HB,13,SD,37,28,190,187,1.02,2014
Riley Cooper,5682,WR,16,PHI,91,55,573,563,1.02,2014
Virgil Green,6356,TE,12,DEN,6,6,74,73,1.01,2014
Daniel Thomas,6214,HB,12,MIA,18,13,121,120,1.01,2014
Kevin Dorsey,8007,WR,2,GB,1,1,4,4,1,2014
Ryan Broyles,7057,WR,5,DET,3,2,25,25,1,2014
Anthony Sherman,6288,FB,16,KC,12,10,71,71,1,2014
DuJuan Harris,6595,HB,4,GB,1,1,11,11,1,2014
DeVier Posey,7070,WR,1,HST,1,1,30,30,1,2014
Joe Banyard,7361,HB,9,MIN,9,8,52,52,1,2014
J.J. Watt,6163,DI,4,HST,3,3,4,4,1,2014
Wes Welker,2204,WR,14,DEN,64,49,464,469,0.99,2014
Kenbrell Thompkins,8126,WR,13,OAK,46,21,262,264,0.99,2014
Jack Doyle,8520,TE,16,IND,21,18,118,119,0.99,2014
T.J. Graham,7071,WR,11,NYJ,8,3,87,88,0.99,2014
Brian Tyms,7321,WR,11,NE,12,5,82,83,0.99,2014
Jeremy Kerley,6305,WR,16,NYJ,65,38,409,419,0.98,2014
Andre Roberts,5612,WR,16,WAS,68,36,453,462,0.98,2014
DeAngelo Williams,2972,HB,6,CAR,5,5,44,45,0.98,2014
Damaris Johnson,7530,WR,16,HST,46,31,331,338,0.98,2014
Brian Hartline,5031,WR,16,MIA,62,39,477,490,0.97,2014
Ronnie Hillman,7069,HB,8,DEN,32,21,139,143,0.97,2014
Kyle Rudolph,6195,TE,9,MIN,31,24,231,238,0.97,2014
Scott Chandler,3745,TE,16,BUF,66,46,460,473,0.97,2014
Mike Tolbert,4740,FB,8,CAR,17,12,93,96,0.97,2014
John Conner,5662,FB,11,NYJ,2,2,35,36,0.97,2014
Joseph Randle,7933,HB,9,DAL,5,4,23,24,0.96,2014
Hakeem Nicks,4952,WR,16,IND,68,38,405,423,0.96,2014
Andrew Quarless,5677,TE,16,GB,42,28,307,321,0.96,2014
Davante Adams,8688,WR,16,GB,62,38,446,465,0.96,2014
Jason Avant,3054,WR,16,KC,58,34,353,371,0.95,2014
Jonathan Grimes,7585,HB,9,HST,7,6,86,91,0.95,2014
Leon Washington,3062,HB,16,TEN,26,22,159,167,0.95,2014
Harold Hoskins,9349,TE,6,MIA,4,3,21,22,0.95,2014
Brandon Gibson,5118,WR,14,MIA,47,29,295,314,0.94,2014
Denard Robinson,7917,HB,13,JAX,28,23,124,132,0.94,2014
Eric Weems,4097,WR,15,ATL,11,10,102,110,0.93,2014
Austin Seferian-Jenkins,8673,TE,9,TB,34,21,221,237,0.93,2014
