year,player,player_id,position,player_game_count,team_name,route_snaps,targets,target_percent,slot_snaps,slot_snap_percent,slot_targets,slot_target_percent,slot_receptions,slot_drops,slot_yards,slot_yprr,slot_touchdowns,slot_drop_rate,slot_catch_rate
2014,Calvin Johnson,3618,WR,13,DET,469,124,26.4,71,15.1,20,28.2,11,1,174,2.45,3,8.3,55
2014,Junior Hemingway,7222,WR,13,KC,145,20,13.8,106,73.1,13,12.3,7,2,67,0.63,0,22.2,53.8
2014,Coby Fleener,7038,TE,16,IND,471,86,18.3,185,39.3,28,15.1,15,1,199,1.08,2,6.3,53.6
2014,Derek Hagan,3027,WR,16,TEN,198,31,15.7,96,48.5,15,15.6,8,1,157,1.64,1,11.1,53.3
2014,Scott Chandler,3745,TE,16,BUF,473,66,14,104,22,15,14.4,8,1,111,1.07,1,11.1,53.3
2014,Cecil Shorts,6266,WR,13,JAX,476,102,21.4,89,18.7,17,19.1,9,1,86,0.97,0,10,52.9
2014,Louis Murphy Jr.,5048,WR,11,TB,326,53,16.3,190,58.3,29,15.3,15,2,196,1.03,1,11.8,51.7
2014,Andre Roberts,5612,WR,16,WAS,462,68,14.7,327,70.8,51,15.6,26,7,342,1.05,2,21.2,51
2014,Jared Cook,5012,TE,16,SL,403,91,22.6,230,57.1,53,23,27,3,286,1.24,0,10,50.9
2014,Charles Johnson,7998,WR,11,MIN,275,55,20,42,15.3,6,14.3,3,0,81,1.93,0,0,50
2014,Greg Salas,6264,WR,8,NYJ,134,20,14.9,12,9,2,16.7,1,1,7,0.58,0,50,50
2014,Jordan Cameron,6254,TE,10,CLV,220,42,19.1,89,40.5,14,15.7,7,1,151,1.7,1,12.5,50
2014,Matt Asiata,6432,HB,15,MIN,226,58,25.7,7,3.1,2,28.6,1,0,9,1.29,0,0,50
2014,Bryan Walters,6139,WR,11,SEA,61,10,16.4,41,67.2,8,19.5,4,1,29,0.71,0,20,50
2014,Michael Floyd,7019,WR,16,ARZ,584,93,15.9,118,20.2,12,10.2,6,0,117,0.99,0,0,50
2014,Seyi Ajirotutu,6035,WR,11,SD,99,10,10.1,44,44.4,4,9.1,2,1,17,0.39,0,33.3,50
2014,David Nelson,5862,WR,6,NYJ,162,16,9.9,16,9.9,2,12.5,1,0,17,1.06,0,0,50
2014,Travis Benjamin,7100,WR,16,CLV,190,46,24.2,35,18.4,6,17.1,3,1,43,1.23,1,25,50
2014,Dennis Pitta,5638,TE,3,BLT,90,19,21.1,36,40,8,22.2,4,1,24,0.67,0,20,50
2014,Tony Moeaki,5617,TE,6,SEA,80,13,16.3,12,15,2,16.7,1,0,5,0.42,0,0,50
2014,James Hanna,7175,TE,16,DAL,52,5,9.6,11,21.2,2,18.2,1,0,7,0.64,0,0,50
2014,Brian Tyms,7321,WR,11,NE,83,12,14.5,13,15.7,2,15.4,1,0,4,0.31,0,0,50
2014,Jermaine Gresham,5546,TE,15,CIN,354,77,21.8,65,18.4,12,18.5,6,1,78,1.2,1,14.3,50
2014,Lance Dunbar,7332,HB,16,DAL,82,19,23.2,19,23.2,4,21.1,2,0,26,1.37,0,0,50
2014,Mike Brown,7698,WR,5,JAX,84,15,17.9,28,33.3,4,14.3,2,1,24,0.86,0,33.3,50
2014,Darrius Heyward-Bey,4930,WR,12,PIT,73,5,6.8,47,64.4,4,8.5,2,1,33,0.7,0,33.3,50
2014,Aaron Dobson,7840,WR,4,NE,27,5,18.5,6,22.2,2,33.3,1,0,9,1.5,0,0,50
2014,Justin Forsett,4547,HB,16,BLT,304,55,18.1,18,5.9,2,11.1,1,1,21,1.17,0,50,50
2014,Quinton Patton,7910,WR,4,SF,41,7,17.1,8,19.5,2,25,1,0,5,0.63,0,0,50
2014,Denard Robinson,7917,HB,13,JAX,132,28,21.2,5,3.8,2,40,1,0,-2,-0.4,0,0,50
2014,Jamaal Charles,4387,HB,15,KC,334,52,15.6,9,2.7,2,22.2,1,1,11,1.22,0,50,50
2014,John Carlson,4352,TE,16,ARZ,382,49,12.8,52,13.6,4,7.7,2,0,18,0.35,1,0,50
2014,Chris Gragg,8004,TE,10,BUF,73,9,12.3,5,6.8,2,40,1,1,6,1.2,0,50,50
2014,Jacoby Jones,3689,WR,13,BLT,115,16,13.9,75,65.2,6,8,3,3,20,0.27,0,50,50
2014,Robert Meachem,3643,WR,11,NO,136,18,13.2,30,22.1,2,6.7,1,0,25,0.83,0,0,50
2014,Ted Ginn Jr.,3625,WR,16,ARZ,122,25,20.5,28,23,2,7.1,1,0,4,0.14,0,0,50
2014,Demetrius Harris,8524,TE,7,KC,24,4,16.7,11,45.8,2,18.2,1,0,6,0.55,0,0,50
2014,Mike Evans,8642,WR,15,TB,510,116,22.7,139,27.3,20,14.4,10,0,205,1.47,2,0,50
2014,Vernon Davis,2951,TE,14,SF,416,47,11.3,189,45.4,27,14.3,13,6,112,0.59,0,31.6,48.1
2014,Dwayne Bowe,3639,WR,15,KC,479,90,18.8,120,25.1,22,18.3,10,3,153,1.28,0,23.1,45.5
2014,Malcom Floyd,2044,WR,16,SD,597,86,14.4,112,18.8,11,9.8,5,0,126,1.13,3,0,45.5
2014,Sammy Watkins,8639,WR,16,BUF,618,124,20.1,42,6.8,11,26.2,5,0,43,1.02,0,0,45.5
2014,Jacob Tamme,4441,TE,14,DEN,164,28,17.1,69,42.1,16,23.2,7,1,65,0.94,2,12.5,43.8
2014,Corey Brown,8986,WR,12,CAR,185,36,19.5,34,18.4,7,20.6,3,1,13,0.38,0,25,42.9
2014,Torrey Smith,6210,WR,16,BLT,465,89,19.1,96,20.6,12,12.5,5,2,83,0.86,1,28.6,41.7
2014,John Brown,8726,WR,16,ARZ,459,94,20.5,204,44.4,41,20.1,17,2,292,1.43,3,10.5,41.5
2014,Vincent Jackson,2278,WR,16,TB,579,138,23.8,140,24.2,29,20.7,12,1,180,1.29,0,7.7,41.4
2014,Austin Seferian-Jenkins,8673,TE,9,TB,237,34,14.3,111,46.8,13,11.7,5,2,79,0.71,0,28.6,38.5
2014,Andre Holmes,6489,WR,16,OAK,473,91,19.2,59,12.5,3,5.1,1,1,11,0.19,0,50,33.3
2014,Josh Huff,8721,WR,12,PHI,106,17,16,25,23.6,6,24,2,2,14,0.56,0,50,33.3
