player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
Antonio Brown,5718,WR,16,PIT,178,129,72.5,1698,13,91.2,91.2,89.7,72.5,,13.2,615,4.8,63,86,5,3,1,17,119.5,5,1
Demaryius Thomas,5547,WR,16,DEN,178,111,62.4,1619,11,89.9,89.9,63.4,84.4,,14.6,668,6.0,86,69,9,6,0,11,98.5,4,0
Julio Jones,6158,WR,15,ATL,156,104,66.7,1593,6,89.8,88.0,63.5,34.8,,15.3,553,5.3,79,76,8,4,2,16,102.3,2,0
Jordy Nelson,4350,WR,16,GB,146,98,67.1,1519,13,89.4,87.8,51.9,85.2,,15.5,519,5.3,80,71,8,1,0,14,128.2,1,0
Kelvin Benjamin,8663,WR,16,CAR,142,73,51.4,1008,9,73.5,73.2,33.9,49.6,,13.8,177,2.4,51,52,11,3,1,9,86.8,7,0
Andre Johnson,1319,WR,15,HST,141,85,60.3,936,3,75.3,74.2,55.5,24.8,,11.0,383,4.5,35,49,9,3,3,6,78.2,1,0
Emmanuel Sanders,5606,WR,16,DEN,140,101,72.1,1409,9,87.9,89.9,90.1,61.8,,14.0,381,3.8,48,69,2,2,1,8,119.6,5,0
Jeremy Maclin,4942,WR,16,PHI,140,85,60.7,1318,10,80.6,80.3,90.8,83.0,,15.5,511,6.0,72,56,1,7,0,8,94.9,3,1
Vincent Jackson,2278,WR,16,TB,138,70,50.7,1002,2,75.7,75.1,57.5,48.1,,14.3,159,2.3,50,51,7,6,1,6,61.3,2,0
Golden Tate,5585,WR,16,DET,136,99,72.8,1331,4,79.3,80.1,76.3,59.8,,13.4,709,7.2,73,58,6,3,1,20,104.1,1,0
Alshon Jeffery,7048,WR,16,CHI,135,85,63.0,1133,10,76.6,76.3,66.5,57.0,70.2,13.3,483,5.7,74,60,5,3,0,6,105.0,6,0
Dez Bryant,5549,WR,16,DAL,135,88,65.2,1320,16,90.6,90.5,77.2,84.8,,15.0,373,4.2,68,60,5,5,0,16,121.2,1,0
Steve Smith,837,WR,16,BLT,130,79,60.8,1068,6,76.2,75.4,58.3,31.5,,13.5,375,4.7,80,45,8,3,2,20,92.7,5,2
Odell Beckham Jr.,8647,WR,12,NYG,129,91,70.5,1305,12,90.8,91.2,88.4,87.3,,14.3,481,5.3,80,58,2,2,0,15,127.6,2,0
Martellus Bennett,4375,TE,16,CHI,125,90,72.0,916,6,79.7,78.3,54.8,83.1,59.4,10.2,471,5.2,37,44,8,6,0,25,88.6,5,2
Randall Cobb,6216,WR,16,GB,125,91,72.8,1287,12,82.7,84.8,62.8,64.4,,14.1,607,6.7,70,71,8,1,1,18,134.3,0,0
Calvin Johnson,3618,WR,13,DET,124,71,57.3,1077,8,89.8,88.2,58.9,81.4,,15.2,241,3.4,67,59,7,4,0,1,94.1,2,0
Rob Gronkowski,5567,TE,15,NE,124,82,66.1,1124,12,91.8,92.0,64.7,82.4,75.4,13.7,460,5.6,46,60,7,3,0,19,117.1,4,2
Julian Edelman,5156,WR,14,NE,124,92,74.2,971,4,75.8,75.2,49.4,47.6,73.3,10.6,435,4.7,69,49,11,1,2,13,103.9,1,0
Sammy Watkins,8639,WR,16,BUF,124,65,52.4,982,6,69.3,69.0,67.2,47.0,,15.1,341,5.2,84,48,5,4,1,10,81.5,6,0
T.Y. Hilton,7092,WR,15,IND,123,82,66.7,1346,7,84.2,82.9,74.3,24.7,,16.4,364,4.4,73,63,5,3,3,5,112.0,0,0
Roddy White,2244,WR,14,ATL,122,80,65.6,921,7,68.5,69.3,47.3,24.1,55.9,11.5,185,2.3,39,55,10,4,3,0,93.6,5,0
Rueben Randle,7065,WR,16,NYG,122,71,58.2,938,3,76.9,76.3,77.0,81.7,,13.2,227,3.2,49,48,4,5,0,13,73.7,2,0
Anquan Boldin,1369,WR,16,SF,121,83,68.6,1062,5,79.3,79.2,55.0,84.7,,12.8,403,4.9,76,56,10,2,0,12,102.7,6,2
Jimmy Graham,5619,TE,16,NO,121,85,70.2,889,10,74.7,73.4,51.6,54.8,62.9,10.5,294,3.5,29,54,8,3,2,7,108.5,4,1
Greg Olsen,3647,TE,16,CAR,121,84,69.4,1008,6,84.2,82.8,86.6,53.4,83.2,12.0,381,4.5,38,56,3,3,1,2,100.8,5,0
DeAndre Hopkins,7808,WR,16,HST,120,76,63.3,1210,6,84.0,83.6,84.6,28.6,83.2,15.9,384,5.1,76,58,3,6,2,7,92.7,3,0
Matt Forte,4358,HB,16,CHI,118,102,86.4,808,4,63.6,69.2,78.0,79.5,55.1,7.9,821,8.0,56,28,6,1,1,20,103.0,2,1
Mike Evans,8642,WR,15,TB,116,68,58.6,1051,12,84.6,84.0,80.8,81.3,,15.5,170,2.5,56,46,4,6,0,7,101.6,5,1
Brandon LaFell,5602,WR,16,NE,114,74,64.9,953,7,75.3,74.8,76.9,52.8,61.6,12.9,361,4.9,56,50,5,2,1,12,104.2,6,0
Keenan Allen,7857,WR,14,SD,112,77,68.8,783,4,76.1,74.9,83.4,56.0,,10.2,311,4.0,35,42,4,6,1,12,78.1,1,0
Eric Decker,5611,WR,15,NYJ,110,74,67.3,962,5,78.3,77.0,54.6,83.9,,13.0,328,4.4,74,47,8,4,0,3,94.6,3,1
Reggie Wayne,800,WR,15,IND,110,64,58.2,779,2,63.4,63.3,42.1,44.4,,12.2,272,4.3,80,40,9,5,1,2,67.2,2,0
A.J. Green,6156,WR,13,CIN,109,69,63.3,1041,6,84.3,86.8,81.6,23.6,,15.1,312,4.5,81,48,4,6,2,10,90.0,6,0
James Jones,3694,WR,16,OAK,108,73,67.6,666,6,65.7,66.0,67.3,27.5,,9.1,231,3.2,42,41,4,1,3,9,98.8,5,0
Mike Wallace,5007,WR,16,MIA,108,67,62.0,862,10,72.5,74.0,67.5,27.4,,12.9,246,3.7,50,47,4,1,1,9,114.0,2,0
Jarvis Landry,8698,WR,16,MIA,105,84,80.0,755,5,78.0,77.2,90.2,29.1,,9.0,448,5.3,25,48,2,4,1,11,96.6,0,0
Cecil Shorts,6266,WR,13,JAX,102,53,52.0,557,1,62.4,61.7,47.9,25.5,,10.5,273,5.2,53,26,7,4,1,4,55.1,4,2
Michael Crabtree,4933,WR,16,SF,102,68,66.7,698,4,66.1,65.6,37.1,81.2,,10.3,266,3.9,51,35,10,2,0,10,91.1,4,3
Brandon Marshall,3064,WR,13,CHI,101,61,60.4,721,8,74.8,71.9,60.3,45.8,77.0,11.8,228,3.7,47,41,6,4,1,10,92.1,6,1
Andrew Hawkins,6125,WR,15,CLV,101,63,62.4,824,2,83.5,81.9,72.8,81.3,66.3,13.1,404,6.4,65,44,4,3,0,11,82.3,2,1
Le'Veon Bell,7829,HB,16,PIT,100,83,83.0,854,3,80.8,77.1,80.3,91.6,83.4,10.3,827,10.0,48,41,4,1,0,29,108.1,1,0
Larry Fitzgerald,1724,WR,14,ARZ,100,63,63.0,784,2,76.1,74.0,90.2,48.4,68.7,12.4,333,5.3,80,39,1,0,1,11,93.9,2,1
Delanie Walker,3120,TE,15,TEN,100,63,63.0,890,4,74.0,70.1,53.1,26.2,72.4,14.1,414,6.6,68,35,6,7,2,18,75.8,2,0
Pierre Garcon,4519,WR,16,WAS,99,68,68.7,752,3,70.4,70.0,90.3,81.3,,11.1,349,5.1,70,32,2,4,0,11,84.2,3,0
Antonio Gates,1609,TE,16,SD,98,69,70.4,821,12,72.3,73.4,80.8,47.6,58.9,11.9,260,3.8,34,44,2,5,1,3,114.0,3,0
Robert Woods,7822,WR,16,BUF,98,64,65.3,697,5,68.6,68.1,52.2,48.3,,10.9,208,3.3,37,36,8,2,1,6,94.6,2,1
Jordan Matthews,8677,WR,16,PHI,98,67,68.4,876,8,72.2,72.8,67.5,81.0,,13.1,399,6.0,44,42,5,1,0,9,119.3,2,0
Mohamed Sanu,7084,WR,16,CIN,97,56,57.7,790,5,67.6,65.4,28.1,81.8,70.6,14.1,334,6.0,76,37,14,2,0,8,92.7,2,0
Marques Colston,3197,WR,16,NO,96,59,61.5,902,5,65.3,64.3,32.6,41.8,68.9,15.3,298,5.1,57,47,8,4,1,5,92.4,1,0
John Brown,8726,WR,16,ARZ,94,48,51.1,696,5,69.7,69.9,71.5,79.8,,14.5,179,3.7,75,31,3,2,0,1,84.4,2,0
Michael Floyd,7019,WR,16,ARZ,93,47,50.5,844,6,69.4,65.1,63.3,20.0,77.4,18.0,112,2.4,63,34,5,3,3,2,90.1,3,0
Mychal Rivera,7965,TE,16,OAK,92,58,63.0,534,4,53.1,56.5,57.4,21.5,68.2,9.2,180,3.1,33,29,5,5,3,2,70.7,4,1
Andre Holmes,6489,WR,16,OAK,91,47,51.6,693,4,63.9,62.7,58.1,79.3,52.1,14.7,195,4.1,77,33,5,3,0,1,77.8,3,0
Jared Cook,5012,TE,16,SL,91,52,57.1,650,3,72.4,70.8,62.4,80.3,73.2,12.5,278,5.3,59,32,5,4,0,4,72.1,6,1
