player,player_id,position,player_game_count,team_name,snap_counts_offense,snap_counts_pass,snap_counts_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_ce,snap_counts_rg,snap_counts_rt,grades_offense,grades_pass_block,grades_run_block,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,penalties,declined_penalties
Peyton Manning,327,QB,16,DEN,1070,658,0,412,0,0,0,0,0,79.5,,60.0,0,1,1,2,5,2
Matt Hasselbeck,408,QB,4,IND,75,50,0,25,0,0,0,0,0,67.3,,60.0,0,0,0,0,1,0
Phil Dawson,422,K,1,SF,1,0,1,0,0,0,0,0,0,60.0,,,0,0,0,0,0,0
Shane Lechler,673,P,1,HST,1,1,0,0,0,0,0,0,0,73.9,,,0,0,0,0,0,0
Tom Brady,698,QB,16,NE,1036,657,0,379,0,0,0,0,0,84.3,,60.0,1,0,0,1,2,0
Michael Vick,773,QB,10,NYJ,258,158,0,100,0,0,0,0,0,35.3,,61.5,5,1,2,8,5,0
Santana Moss,786,WR,10,WAS,31,0,0,31,0,0,0,0,0,57.2,,59.1,0,0,0,0,1,0
Reggie Wayne,800,WR,15,IND,263,0,0,263,0,0,0,0,0,63.4,,55.9,0,0,0,0,2,0
Drew Brees,802,QB,16,NO,1126,740,0,386,0,0,0,0,0,89.1,,60.0,0,1,1,2,3,0
Dominic Raiola,820,C,15,DET,1024,0,659,365,0,0,1041,0,0,61.7,72.8,57.9,4,2,17,23,6,0
Steve Smith,837,WR,16,BLT,288,0,0,288,0,0,0,0,0,76.2,,72.6,0,0,0,0,5,2
Roberto Garza,856,C,12,CHI,747,0,514,233,0,0,769,0,0,70.1,71.2,67.5,1,2,11,14,4,2
Josh McCown,1085,QB,11,TB,622,405,0,217,0,0,0,0,0,54.7,,60.2,3,2,1,6,2,0
Jonathan Goodwin,1146,C,14,NO,853,0,572,281,0,0,865,0,0,67.6,67.3,67.3,3,5,15,23,3,1
James Harrison,1251,ED,1,PIT,1,0,0,1,0,0,0,0,0,59.4,,60.0,0,0,0,0,2,0
