year,team_name,pass_snaps,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,pbe
2014,DEN,624,12,25,74,111,90.1
2014,CIN,545,12,21,71,103,89.4
2014,GB,595,18,18,76,112,89.1
2014,DAL,517,9,17,81,107,88.8
2014,BLT,576,13,21,83,117,88.7
2014,CLV,549,17,23,75,115,88
2014,PHI,673,15,31,115,161,86.9
2014,PIT,643,22,18,106,146,86.9
2014,OAK,663,17,20,125,162,86.5
2014,NYG,643,19,27,111,157,86.3
2014,HST,545,8,27,107,142,86.2
2014,JAX,649,31,23,95,149,86.1
2014,NYJ,585,10,30,116,156,85.8
2014,CHI,672,20,28,127,175,85.5
2014,WAS,629,29,26,100,155,85.4
2014,ARZ,612,14,42,112,168,85.1
2014,DET,662,27,25,121,173,84.9
2014,BUF,629,24,36,108,168,84.7
2014,IND,726,18,61,126,205,84.6
2014,NE,646,19,52,109,180,84.6
2014,NO,696,16,38,146,200,84.5
2014,SF,587,25,12,122,159,84.3
2014,SEA,547,14,20,124,158,84.3
2014,ATL,682,21,38,141,200,83.8
2014,KC,580,27,30,109,166,83.4
2014,CAR,619,29,18,132,179,83.2
2014,TB,603,27,41,118,186,82.3
2014,SL,567,25,30,121,176,82.3
2014,SD,630,27,28,142,197,82.2
2014,MIA,648,31,46,133,210,81.4
2014,TEN,591,34,25,131,190,81
2014,MIN,603,36,32,130,198,80.6
