year,player,player_id,position,player_game_count,team_name,targets,receptions,drops,catchable,drop_rate
2015,Shane Vereen,6208,HB,16,NYG,74,59,5,64,7.8
2015,Robert Woods,7822,WR,14,BUF,79,47,4,51,7.8
2015,Jordan Cameron,6254,TE,16,MIA,64,35,3,38,7.9
2015,Owen Daniels,3043,TE,16,DEN,72,46,4,50,8
2015,Steve Smith,837,WR,7,BLT,70,46,4,50,8
2015,Jarius Wright,7118,WR,16,MIN,45,34,3,37,8.1
2015,Travis Benjamin,7100,WR,16,CLV,116,68,6,74,8.1
2015,Gary Barnidge,4455,TE,16,CLV,119,79,7,86,8.1
2015,Michael Hoomanawanui,5655,TE,14,NO,14,11,1,12,8.3
2015,Justin Hunter,7815,WR,9,TEN,31,22,2,24,8.3
2015,Markus Wheaton,7860,WR,16,PIT,76,44,4,48,8.3
2015,Carlos Hyde,8692,HB,7,SF,14,11,1,12,8.3
2015,Karlos Williams,9588,HB,11,BUF,12,11,1,12,8.3
2015,J.J. Nelson,9592,WR,11,ARZ,24,11,1,12,8.3
2015,Cameron Meredith,10008,WR,9,CHI,16,11,1,12,8.3
2015,Zach Ertz,7816,TE,15,PHI,106,75,7,82,8.5
2015,James Starks,5716,HB,16,GB,50,43,4,47,8.5
2015,Dorial Green-Beckham,9473,WR,16,TEN,63,32,3,35,8.6
2015,Michael Crabtree,4933,WR,16,OAK,143,85,8,93,8.6
2015,Benjamin Watson,1753,TE,16,NO,102,74,7,81,8.6
2015,Darrius Heyward-Bey,4930,WR,16,PIT,37,21,2,23,8.7
2015,Darren Fells,8549,TE,14,ARZ,28,21,2,23,8.7
2015,Justin Hardy,9540,WR,9,ATL,34,21,2,23,8.7
2015,Devonta Freeman,8738,HB,15,ATL,92,73,7,80,8.8
2015,Dexter McCluster,5561,HB,11,TEN,38,31,3,34,8.8
2015,Corey Brown,8986,WR,14,CAR,47,31,3,34,8.8
2015,Terrance Williams,7855,WR,16,DAL,91,52,5,57,8.8
2015,Charles Clay,6326,TE,13,BUF,75,51,5,56,8.9
2015,James Jones,3694,WR,16,GB,89,50,5,55,9.1
2015,T.J. Jones,8824,WR,6,DET,18,10,1,11,9.1
2015,Louis Murphy Jr.,5048,WR,6,TB,17,10,1,11,9.1
2015,Allen Robinson II,8696,WR,16,JAX,142,80,8,88,9.1
2015,Malcom Floyd,2044,WR,15,SD,68,30,3,33,9.1
2015,Bruce Miller,6363,FB,16,SF,13,10,1,11,9.1
2015,MyCole Pruitt,9576,TE,16,MIN,13,10,1,11,9.1
2015,Rhett Ellison,7128,TE,15,MIN,13,10,1,11,9.1
2015,Eric Decker,5611,WR,15,NYJ,126,80,8,88,9.1
2015,Rex Burkhead,7971,WR,12,CIN,15,10,1,11,9.1
