year,player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr
2015,Marcus Mariota,9435,QB,1,TEN,1,1,41,1,41
2015,Tom Brady,698,QB,1,NE,1,1,36,1,36
2015,Paul Richardson Jr.,8680,WR,1,SEA,1,1,40,3,13.33
2015,Brandon Tate,5006,WR,3,CIN,3,2,59,5,11.8
2015,Cody Davis,8458,S,2,SL,1,1,20,2,10
2015,Ryan Tannehill,7014,QB,1,MIA,1,1,9,1,9
2015,Mario Alford,9671,WR,1,CIN,1,1,15,2,7.5
2015,Aaron Ripkowski,9639,FB,4,GB,1,1,18,4,4.5
2015,Marcus Easley,5631,WR,4,BUF,3,1,58,13,4.46
2015,Tyrell Williams,10154,WR,3,SD,6,2,90,22,4.09
2015,Tyrod Taylor,6332,QB,1,BUF,1,1,4,1,4
2015,Tyson Alualu,5535,DI,4,JAX,2,2,19,5,3.8
2015,Rashad Ross,8061,WR,12,WAS,13,8,184,52,3.54
2015,Deonte Thompson,7513,WR,5,CHI,3,2,81,23,3.52
2015,Lance Dunbar,7332,HB,4,DAL,22,21,215,65,3.31
2015,Joique Bell,5797,HB,13,DET,27,22,286,87,3.29
2015,DuJuan Harris,6595,HB,4,SF,14,9,97,30,3.23
2015,J.J. Nelson,9592,WR,11,ARZ,24,11,299,96,3.11
2015,Jake Fisher,9486,T,8,CIN,4,1,31,10,3.1
2015,Julio Jones,6158,WR,16,ATL,193,136,1871,615,3.04
2015,Steve Smith,837,WR,7,BLT,70,46,670,231,2.9
2015,Antonio Brown,5718,WR,16,PIT,190,136,1834,632,2.9
2015,Branden Oliver,9286,HB,6,SD,15,13,112,39,2.87
2015,Alshon Jeffery,7048,WR,9,CHI,92,54,807,281,2.87
2015,Brenton Bersin,7516,WR,7,CAR,10,9,119,43,2.77
2015,Sammy Watkins,8639,WR,13,BUF,91,60,1047,390,2.68
2015,Tyler Murphy,9912,WR,1,PIT,1,1,16,6,2.67
2015,Phillip Supernaw,7324,TE,6,TEN,4,3,32,12,2.67
2015,Tony Moeaki,5617,TE,8,ATL,4,3,58,22,2.64
2015,Taiwan Jones,6277,HB,8,OAK,9,7,106,41,2.59
2015,Daniel Fells,3309,TE,2,NYG,7,6,60,24,2.5
2015,Scott Simonson,8954,TE,2,CAR,1,1,10,4,2.5
2015,Travaris Cadet,7457,HB,7,NO,22,17,214,87,2.46
2015,Jordan Reed,7866,TE,14,WAS,111,87,952,389,2.45
2015,Zach Line,8420,FB,15,MIN,8,6,95,39,2.44
2015,Odell Beckham Jr.,8647,WR,15,NYG,153,96,1450,598,2.42
2015,Rex Burkhead,7971,WR,12,CIN,15,10,94,39,2.41
2015,A.J. Green,6156,WR,16,CIN,123,86,1297,540,2.4
2015,Matt Jones,9528,HB,13,WAS,23,19,304,128,2.38
2015,Mike Evans,8642,WR,15,TB,146,74,1206,506,2.38
2015,Austin Seferian-Jenkins,8673,TE,7,TB,38,21,338,144,2.35
2015,Brandon Marshall,3064,WR,16,NYJ,167,109,1502,639,2.35
2015,Theo Riddick,7980,HB,16,DET,93,79,702,301,2.33
2015,Tim Hightower,4463,HB,5,NO,13,12,129,56,2.3
2015,DeAndre Hopkins,7808,WR,16,HST,187,111,1521,662,2.3
2015,Rob Gronkowski,5567,TE,15,NE,112,71,1165,508,2.29
2015,Pierre Thomas,4080,HB,4,WAS,10,9,84,37,2.27
2015,Delanie Walker,3120,TE,15,TEN,130,94,1088,482,2.26
2015,Joseph Randle,7933,HB,6,DAL,10,10,86,38,2.26
2015,Charles Sims,8704,HB,16,TB,65,52,557,248,2.25
2015,Tyler Varga,9712,HB,3,IND,1,1,18,8,2.25
2015,Jerick McKinnon,8731,HB,16,MIN,24,21,173,77,2.25
2015,Steven Jackson,1745,HB,2,NE,1,1,20,9,2.22
2015,Demaryius Thomas,5547,WR,16,DEN,169,105,1304,591,2.21
2015,Larry Fitzgerald,1724,WR,16,ARZ,139,109,1215,552,2.2
2015,Greg Olsen,3647,TE,16,CAR,114,76,1077,492,2.19
2015,Allen Robinson II,8696,WR,16,JAX,142,80,1400,645,2.17
2015,Jeremy Maclin,4942,WR,15,KC,120,87,1088,504,2.16
2015,Keenan Allen,7857,WR,8,SD,86,67,725,335,2.16
2015,DeSean Jackson,4363,WR,9,WAS,44,30,528,246,2.15
2015,David Johnson,9519,HB,16,ARZ,52,36,457,216,2.12
2015,Arian Foster,5398,HB,4,HST,27,22,227,107,2.12
2015,Emmanuel Sanders,5606,WR,15,DEN,131,76,1135,538,2.11
2015,Martavis Bryant,8753,WR,11,PIT,88,50,765,367,2.08
2015,Rishard Matthews,7211,WR,11,MIA,59,43,662,318,2.08
2015,Michael Floyd,7019,WR,15,ARZ,88,52,849,411,2.07
2015,Doug Baldwin,6615,WR,16,SEA,99,78,1069,518,2.06
2015,James White,8765,HB,11,NE,47,40,410,199,2.06
2015,Zach Miller,5104,TE,15,CHI,42,34,439,213,2.06
2015,Jamize Olawale,7572,FB,12,OAK,11,9,84,41,2.05
2015,Jarvis Landry,8698,WR,16,MIA,155,110,1157,566,2.04
2015,Devin Funchess,9474,WR,16,CAR,61,31,473,232,2.04
2015,Julian Edelman,5156,WR,9,NE,85,61,692,342,2.02
2015,Dion Lewis,6301,HB,7,NE,46,36,388,193,2.01
2015,John Brown,8726,WR,15,ARZ,99,65,1003,502,2
2015,Trey Burton,9185,TE,5,PHI,4,3,54,27,2
2015,Jerricho Cotchery,1829,WR,14,CAR,53,39,485,248,1.96
2015,Donald Brown,4950,HB,6,SD,11,8,88,45,1.96
2015,Willie Snead IV,8999,WR,15,NO,95,69,984,510,1.93
2015,Ricardo Lockette,6622,WR,8,SEA,7,4,69,36,1.92
2015,Danny Woodhead,4914,HB,16,SD,96,80,755,396,1.91
2015,Vincent Jackson,2278,WR,10,TB,57,33,543,285,1.91
2015,Ted Ginn Jr.,3625,WR,15,CAR,89,44,739,393,1.88
2015,Kenny Britt,4953,WR,16,SL,70,36,681,364,1.87
2015,Brandon Bolden,7469,HB,12,NE,26,19,180,97,1.86
2015,Marquise Goodwin,7859,WR,2,BUF,2,2,24,13,1.85
2015,Brent Celek,3778,TE,16,PHI,32,27,398,215,1.85
2015,Calvin Johnson,3618,WR,16,DET,142,88,1214,655,1.85
2015,Nick O'Leary,9627,TE,4,BUF,3,1,37,20,1.85
2015,Amari Cooper,9437,WR,16,OAK,123,72,1070,581,1.84
2015,Griff Whalen,7351,WR,12,IND,25,19,205,112,1.83
2015,Travis Kelce,7844,TE,16,KC,99,72,875,480,1.82
2015,T.Y. Hilton,7092,WR,16,IND,125,69,1124,619,1.82
2015,Eric Decker,5611,WR,15,NYJ,126,80,1027,567,1.81
2015,Stefon Diggs,9579,WR,13,MIN,77,52,720,397,1.81
2015,Brandin Cooks,8655,WR,16,NO,126,84,1138,627,1.81
2015,B.J. Daniels,8020,WR,5,HST,2,2,18,10,1.8
2015,Jimmy Graham,5619,TE,11,SEA,68,48,605,337,1.8
2015,Antonio Gates,1609,TE,11,SD,75,56,630,350,1.8
2015,Zach Ertz,7816,TE,15,PHI,106,75,853,477,1.79
2015,Rashad Jennings,5174,HB,16,NYG,32,29,296,166,1.78
2015,Bruce Ellington,8741,WR,13,SF,19,13,153,86,1.78
2015,Allen Hurns,8931,WR,15,JAX,99,64,1031,578,1.78
2015,Khiry Robinson,8514,HB,8,NO,20,17,115,65,1.77
2015,Gary Barnidge,4455,TE,16,CLV,119,79,1043,591,1.76
2015,Giovani Bernard,7818,HB,16,CIN,63,48,463,265,1.75
2015,Jordan Matthews,8677,WR,16,PHI,120,85,997,574,1.74
2015,Zurlon Tipton,9164,HB,6,IND,7,5,57,33,1.73
2015,Javorius Allen,9558,HB,15,BLT,55,45,343,199,1.72
2015,T.J. Graham,7071,WR,3,NO,4,4,24,14,1.71
2015,C.J. Spiller,5534,HB,13,NO,40,34,239,140,1.71
2015,Lorenzo Taliaferro,8773,HB,3,BLT,5,5,29,17,1.71
2015,Jared Abbrederis,8811,WR,7,GB,14,9,111,65,1.71
2015,Akeem Hunt,9839,HB,7,HST,9,6,39,23,1.7
2015,Marcel Reece,4702,FB,15,OAK,36,30,269,160,1.68
2015,DeVante Parker,9447,WR,13,MIA,44,26,494,294,1.68
2015,Jeremy Langford,9539,HB,15,CHI,40,22,279,166,1.68
2015,Terrance Williams,7855,WR,16,DAL,91,52,840,509,1.65
2015,Bilal Powell,6278,HB,11,NYJ,60,47,388,235,1.65
2015,Travis Benjamin,7100,WR,16,CLV,116,68,966,587,1.65
2015,Shane Vereen,6208,HB,16,NYG,74,59,495,303,1.63
2015,Michael Crabtree,4933,WR,16,OAK,143,85,922,565,1.63
2015,Markus Wheaton,7860,WR,16,PIT,76,44,749,463,1.62
2015,Kyle Juszczyk,7912,FB,16,BLT,49,41,321,200,1.61
2015,Kamar Aiken,6671,WR,16,BLT,121,75,944,587,1.61
2015,Kendall Gaskins,8390,HB,5,SF,10,8,69,43,1.6
2015,Benny Cunningham,8283,HB,16,SL,31,26,250,156,1.6
2015,Brice Butler,7991,WR,7,DAL,23,12,258,161,1.6
2015,Devonta Freeman,8738,HB,15,ATL,92,73,578,361,1.6
2015,Tyler Eifert,7802,TE,13,CIN,64,50,570,359,1.59
2015,Benjamin Watson,1753,TE,16,NO,102,74,825,519,1.59
2015,Juwan Thompson,8955,HB,7,DEN,8,6,51,32,1.59
2015,Marvin Jones Jr.,7158,WR,16,CIN,93,65,816,513,1.59
2015,Anquan Boldin,1369,WR,14,SF,107,69,789,499,1.58
2015,Chase Coffman,5021,TE,2,SEA,10,8,71,45,1.58
2015,Duke Johnson Jr.,9510,HB,16,CLV,70,61,534,341,1.57
2015,Danny Amendola,4717,WR,14,NE,80,65,648,413,1.57
2015,Eric Weems,4097,WR,3,ATL,1,1,11,7,1.57
2015,Tyler Lockett,9502,WR,16,SEA,67,51,664,424,1.57
2015,Virgil Green,6356,TE,16,DEN,14,12,173,111,1.56
2015,Justin Perillo,9248,TE,9,GB,13,11,102,66,1.55
2015,Brandon Coleman,9086,WR,16,NO,48,30,454,292,1.55
2015,Percy Harvin,4945,WR,5,BUF,29,19,218,142,1.54
2015,Pierre Garcon,4519,WR,16,WAS,108,72,777,505,1.54
2015,Cameron Artis-Payne,9607,HB,5,CAR,4,4,46,30,1.53
2015,Kendall Wright,7026,WR,10,TEN,59,36,408,266,1.53
2015,Will Tye,10070,TE,13,NYG,57,42,464,304,1.53
2015,Jarius Wright,7118,WR,16,MIN,45,34,442,291,1.52
2015,Bruce Miller,6363,FB,16,SF,13,10,135,89,1.52
2015,Phillip Dorsett,9462,WR,11,IND,36,18,225,148,1.52
