player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
Julio Jones,6158,WR,16,ATL,193,136,70.5,1871,8,92.5,92.1,67.7,30.4,,13.8,665,4.9,70,93,10,2,3,20,110.7,1,0
Antonio Brown,5718,WR,16,PIT,190,136,71.6,1834,10,92.5,92.6,90.7,55.0,,13.5,624,4.6,59,84,5,9,1,23,99.8,4,1
DeAndre Hopkins,7808,WR,16,HST,187,111,59.4,1521,11,90.4,90.6,75.5,60.2,66.2,13.7,216,1.9,61,83,7,5,1,5,93.9,6,1
Demaryius Thomas,5547,WR,16,DEN,169,105,62.1,1304,6,79.3,78.4,47.2,33.6,,12.4,492,4.7,72,64,12,7,2,19,80.6,5,0
Brandon Marshall,3064,WR,16,NYJ,167,109,65.3,1502,14,85.4,85.8,56.1,26.2,62.4,13.8,439,4.0,69,77,11,9,3,14,99.4,6,0
Jarvis Landry,8698,WR,16,MIA,155,110,71.0,1157,4,87.8,86.2,76.2,90.3,72.3,10.5,571,5.2,50,61,7,3,0,26,92.9,6,1
Odell Beckham Jr.,8647,WR,15,NYG,153,96,62.7,1450,13,88.1,90.1,84.2,39.7,,15.1,591,6.2,87,68,4,3,2,13,114.0,8,2
Mike Evans,8642,WR,15,TB,146,74,50.7,1206,3,83.5,85.7,28.9,81.8,,16.3,239,3.2,68,64,15,5,1,4,71.3,9,0
Michael Crabtree,4933,WR,16,OAK,143,85,59.4,922,9,77.2,75.9,59.7,53.1,,10.8,281,3.3,38,45,8,2,1,17,93.6,3,0
Calvin Johnson,3618,WR,16,DET,142,88,62.0,1214,9,88.6,86.0,77.4,57.7,,13.8,304,3.5,57,65,5,4,1,2,98.7,1,0
Allen Robinson II,8696,WR,16,JAX,142,80,56.3,1400,14,84.0,83.8,58.6,82.2,,17.5,353,4.4,90,61,8,6,0,10,105.4,3,0
Larry Fitzgerald,1724,WR,16,ARZ,139,109,78.4,1215,9,90.0,87.6,90.3,38.0,72.6,11.1,469,4.3,44,67,3,2,3,6,118.7,1,0
Emmanuel Sanders,5606,WR,15,DEN,131,76,58.0,1135,6,81.9,81.8,66.3,85.7,,14.9,364,4.8,75,52,6,4,1,6,89.1,1,0
Delanie Walker,3120,TE,15,TEN,130,94,72.3,1088,6,88.0,84.8,79.0,83.2,77.2,11.6,398,4.2,61,52,5,4,0,16,99.8,2,1
Brandin Cooks,8655,WR,16,NO,126,84,66.7,1138,9,73.1,73.0,85.6,83.7,65.7,13.5,370,4.4,71,45,3,4,1,4,105.9,1,0
Eric Decker,5611,WR,15,NYJ,126,80,63.5,1027,12,78.0,79.7,58.1,53.2,,12.8,222,2.8,35,61,8,2,1,2,114.1,5,1
T.Y. Hilton,7092,WR,16,IND,125,69,55.2,1124,5,78.9,77.8,81.2,82.3,,16.3,386,5.6,87,49,3,6,1,5,78.9,1,0
Randall Cobb,6216,WR,16,GB,123,79,64.2,829,6,67.5,66.9,42.2,84.6,33.1,10.5,452,5.7,53,43,10,0,0,12,99.9,2,0
Amari Cooper,9437,WR,16,OAK,123,72,58.5,1070,6,71.2,71.1,27.3,54.3,69.4,14.9,383,5.3,68,45,18,3,1,14,93.2,4,2
A.J. Green,6156,WR,16,CIN,123,86,69.9,1297,10,90.5,90.7,87.1,48.5,,15.1,337,3.9,80,64,3,3,1,6,121.2,4,1
Kamar Aiken,6671,WR,16,BLT,121,75,62.0,944,5,78.5,77.8,77.8,50.4,66.5,12.6,214,2.9,48,53,4,4,1,8,86.2,1,0
Golden Tate,5585,WR,16,DET,121,90,74.4,813,6,77.4,75.8,78.5,65.5,61.6,9.0,544,6.0,43,50,6,2,1,30,101.7,2,0
Jeremy Maclin,4942,WR,15,KC,120,87,72.5,1088,8,77.9,79.8,90.8,29.2,,12.5,356,4.1,61,50,1,2,2,4,115.6,5,2
Jordan Matthews,8677,WR,16,PHI,120,85,70.8,997,8,65.6,64.5,47.9,33.5,,11.7,436,5.1,78,44,9,2,2,13,111.0,4,2
Gary Barnidge,4455,TE,16,CLV,119,79,66.4,1043,9,74.6,78.8,62.0,81.9,37.7,13.2,364,4.6,40,52,7,2,0,7,112.1,5,0
Travis Benjamin,7100,WR,16,CLV,116,68,58.6,966,5,67.0,67.5,57.4,64.2,,14.2,324,4.8,61,40,6,3,1,8,89.2,2,1
