player,player_id,position,player_game_count,team_name,route_snaps,targets,target_percent,slot_snaps,slot_snap_percent,slot_targets,slot_target_percent,slot_receptions,slot_drops,slot_yards,slot_yprr,slot_touchdowns,slot_drop_rate,slot_catch_rate
Roy Helu,6257,HB,8,OAK,58,12,20.7,3,5.2,1,33.3,1,0,9,3.0,0,0.0,100.0
C.J. Anderson,8101,HB,15,DEN,240,31,12.9,15,6.3,1,6.7,1,0,3,0.2,0,0.0,100.0
Rashad Ross,8061,WR,12,WAS,52,13,25.0,7,13.5,3,42.9,3,0,59,8.43,0,0.0,100.0
Khiry Robinson,8514,HB,8,NO,65,20,30.8,1,1.5,1,100.0,1,0,7,7.0,0,0.0,100.0
Jake Stoneburner,8353,TE,10,MIA,47,5,10.6,21,44.7,1,4.8,1,0,5,0.24,1,0.0,100.0
B.J. Daniels,8020,WR,5,HST,10,2,20.0,6,60.0,1,16.7,1,0,12,2.0,0,0.0,100.0
Kerwynn Williams,8013,HB,4,ARZ,13,2,15.4,2,15.4,1,50.0,1,0,4,2.0,0,0.0,100.0
Mike Tolbert,4740,FB,16,CAR,131,22,16.8,9,6.9,1,11.1,1,0,2,0.22,0,0.0,100.0
Virgil Green,6356,TE,16,DEN,111,14,12.6,13,11.7,2,15.4,2,0,30,2.31,0,0.0,100.0
Albert Wilson,8943,WR,14,KC,390,55,14.1,42,10.8,6,14.3,6,0,70,1.67,0,0.0,100.0
Dion Lewis,6301,HB,7,NE,193,46,23.8,20,10.4,3,15.0,3,0,14,0.7,0,0.0,100.0
Taiwan Jones,6277,HB,8,OAK,41,9,22.0,4,9.8,1,25.0,1,0,16,4.0,0,0.0,100.0
Luke Stocker,6256,TE,14,TB,112,12,10.7,29,25.9,1,3.4,1,0,11,0.38,0,0.0,100.0
Juwan Thompson,8955,HB,7,DEN,32,8,25.0,2,6.3,1,50.0,1,0,7,3.5,0,0.0,100.0
