player,player_id,position,player_game_count,team_name,attempts,yards,deep_attempts,deep_yards,breakaway_percent,year
Pierre Thomas,4080,HB,10,NO,45,223,2,43,19.3,2014
Daniel Thomas,6214,HB,11,MIA,44,168,1,15,8.9,2014
Maurice Jones-Drew,3005,HB,11,OAK,43,103,0,0,0,2014
Andy Dalton,6187,QB,15,CIN,42,84,2,40,47.6,2014
Dexter McCluster,5561,HB,12,TEN,40,131,1,16,12.2,2014
Roy Helu,6257,HB,11,WAS,40,216,6,96,44.4,2014
Jonathan Grimes,7585,HB,9,HST,39,153,0,0,0,2014
Mike Tolbert,4740,FB,8,CAR,37,78,1,15,19.2,2014
Blake Bortles,8638,QB,13,JAX,36,191,4,78,40.8,2014
Bryce Brown,7213,HB,7,BUF,36,126,0,0,0,2014
Tavon Austin,7789,WR,14,SL,36,224,5,88,39.3,2014
Ka'Deem Carey,8752,HB,10,CHI,36,158,1,15,9.5,2014
Damien Williams,9205,HB,8,MIA,36,122,1,19,15.6,2014
Christine Michael,7843,HB,10,SEA,34,175,3,78,44.6,2014
Percy Harvin,4945,WR,11,NYJ,33,217,3,88,40.6,2014
Bilal Powell,6278,HB,14,NYJ,33,141,1,15,10.6,2014
Jordan Todman,6335,HB,12,JAX,32,186,2,96,51.6,2014
Fozzy Whittaker,8547,HB,8,CAR,32,145,2,33,22.8,2014
Joe Flacco,4332,QB,12,BLT,31,16,0,0,0,2014
Darrin Reaves,9006,HB,4,CAR,31,78,0,0,0,2014
Knowshon Moreno,4935,HB,3,MIA,31,148,1,15,10.1,2014
Lance Dunbar,7332,HB,9,DAL,29,99,0,0,0,2014
Storm Johnson,8856,HB,5,JAX,29,86,2,37,43,2014
Brandon Bolden,7469,HB,8,NE,28,89,1,17,19.1,2014
Tom Brady,698,QB,13,NE,27,-2,0,0,0,2014
Andrew Luck,7007,QB,12,IND,27,-20,0,0,0,2014
Geno Smith,7820,QB,13,NYJ,27,50,0,0,0,2014
