year,player,player_id,position,player_game_count,team_name,snap_counts_kickoff_return,snap_counts_kickoff,snap_counts_punt_return,snap_counts_punt_coverage,snap_counts_field_goal_blocking,snap_counts_field_goal,grades_misc_st,grades_kickoff_kicker,grades_kick_return,grades_punter,grades_punt_return,grades_fgep_kicker,penalties,declined_penalties,tackles,assists,missed_tackles
2015,Adam Vinatieri,226,K,16,IND,0,0,0,0,0,64,60.4,,,,,74.9,0,0,0,0,0
2015,Phil Dawson,422,K,16,SF,0,7,0,1,0,48,60.4,57.4,,60,,76.8,0,0,1,0,0
2015,Sebastian Janikowski,595,K,16,OAK,0,79,0,0,0,65,60.9,56.4,,,,73.3,0,0,0,0,0
2015,Shane Lechler,673,P,16,HST,0,0,0,98,0,63,63.4,,,58.5,,,1,0,0,0,0
2015,Shayne Graham,730,K,5,ATL,0,0,0,0,0,21,60.1,,,,,73.2,0,0,0,0,0
2015,Mike Leach,750,LS,16,ARZ,0,0,0,62,0,89,27.9,,,,,,2,1,0,1,0
2015,Steve Smith,837,WR,3,BLT,0,0,6,0,0,0,60.2,,,,62.7,,0,0,0,0,0
2015,Julius Peppers,1010,ED,16,GB,0,0,0,1,63,0,57.7,,,,,,0,0,0,0,0
2015,Matt Bryant,1223,K,10,ATL,0,0,0,0,0,44,60.3,,,,,59.4,0,0,0,0,0
2015,Billy Cundiff,1230,K,1,BUF,0,4,0,0,0,0,60,60,,,,,0,0,0,0,0
2015,James Harrison,1251,ED,15,PIT,0,0,0,0,57,0,46.6,,,,,,1,0,0,0,0
2015,Terence Newman,1321,CB,7,MIN,0,0,7,0,7,0,60.2,,,,,,0,0,0,0,0
2015,Kevin Williams,1325,DI,16,NO,0,0,0,0,81,0,73.6,,,,,,0,0,0,0,0
2015,Calvin Pace,1334,ED,15,NYJ,0,0,11,0,60,0,61,,,,,,0,0,0,0,0
2015,Charles Tillman,1351,CB,11,CAR,3,0,46,0,32,0,70.5,,,,,,0,0,0,0,0
2015,Rashean Mathis,1355,CB,7,DET,0,0,2,0,36,0,61.9,,,,,,0,0,0,0,0
2015,Cory Redding,1381,DI,6,ARZ,0,0,3,0,3,0,59.8,,,,,,0,0,0,0,0
