player,player_id,position,player_game_count,team_name,grades_kickoff_kicker,attempts,average_distance,average_starting_field_position,onside_kicks,percent_returned,kicks_returned,return_yards,average_yards_per_return,touchbacks,fair_catches,attempts_with_hangtime,average_hangtime
Phil Dawson,422,K,4,SF,57.4,7,48.7,39.4,1,85.7,6,162,27.0,0,0,6,3.39
Sebastian Janikowski,595,K,16,OAK,56.4,79,68.0,23.1,2,43.0,34,736,21.6,44,0,62,4.01
Billy Cundiff,1230,K,1,BUF,60.0,3,69.0,14.3,0,100.0,3,53,17.7,0,0,3,4.18
Mike Scifres,1458,P,1,SD,60.0,1,66.0,39.0,0,100.0,1,15,15.0,0,0,1,4.42
Josh Brown,1520,K,16,NYG,35.6,93,64.7,23.4,2,59.1,55,1117,20.3,37,0,79,4.0
Josh Scobee,1858,K,4,PIT,64.1,20,67.1,21.4,1,40.0,8,138,17.3,12,0,14,4.02
Mike Nugent,2264,K,16,CIN,44.8,89,68.5,20.6,1,52.8,47,1041,22.1,42,0,80,3.84
Robbie Gould,2607,K,16,CHI,49.7,83,63.9,26.0,4,50.6,42,988,23.5,39,0,72,3.95
Nick Novak,2726,K,13,HST,38.9,62,67.1,22.0,1,62.9,39,886,22.7,23,1,58,3.83
Stephen Gostkowski,3063,K,16,NE,76.9,99,69.0,20.3,0,28.3,28,524,18.7,69,0,94,4.11
Matt Prater,3471,K,3,DET,60.0,4,55.8,22.3,0,75.0,3,52,17.3,0,1,3,2.23
Jon Ryan,3493,P,1,SEA,60.0,1,61.0,41.0,0,100.0,1,22,22.0,0,0,1,4.64
Nick Folk,3794,K,7,NYJ,50.0,39,65.7,21.8,1,64.1,25,555,22.2,13,0,36,3.87
Mason Crosby,3809,K,16,GB,55.9,80,68.1,23.9,1,46.3,37,975,26.4,41,0,69,3.76
Stephen Hauschka,4655,K,16,SEA,71.8,91,68.7,22.5,3,48.4,44,1051,23.9,47,0,83,3.96
Dan Carpenter,4697,K,1,BUF,60.0,4,53.3,30.3,0,100.0,4,84,21.0,0,0,2,4.25
Connor Barth,4777,K,12,TB,66.7,64,67.8,23.7,2,50.0,32,770,24.1,32,0,57,3.88
Thomas Morstead,5088,P,6,NO,73.8,23,69.4,22.0,1,30.4,7,153,21.9,16,0,22,3.87
Pat McAfee,5146,P,16,IND,88.2,77,69.8,21.3,3,11.7,9,156,17.3,67,0,72,3.84
Ryan Succop,5180,K,16,TEN,73.4,66,70.5,22.3,1,33.3,22,599,27.2,43,0,60,4.0
Britton Colquitt,5192,P,1,DEN,60.0,1,63.0,23.0,0,100.0,1,16,16.0,0,0,1,4.41
Graham Gano,5443,K,16,CAR,83.4,102,72.0,22.0,0,32.4,33,892,27.0,69,0,94,4.16
Tim Masthay,5510,P,1,GB,60.0,1,56.0,37.0,0,100.0,1,13,13.0,0,0,1,4.4
Matt Bosher,6344,P,16,ATL,81.6,76,70.1,22.3,2,32.9,25,599,24.0,52,0,71,4.05
Dan Bailey,6796,K,16,DAL,77.5,73,67.7,23.0,2,34.2,25,549,22.0,49,0,69,4.14
Kai Forbath,6860,K,11,NO,46.8,52,68.8,22.9,0,57.7,30,796,26.5,22,0,46,3.78
Randy Bullock,7154,K,11,NYJ,63.8,56,69.7,21.6,1,44.6,25,585,23.4,30,0,55,4.03
Greg Zuerlein,7163,K,14,SL,66.7,64,69.4,21.5,0,40.6,26,606,23.3,38,0,60,4.01
Blair Walsh,7167,K,16,MIN,62.1,86,70.7,22.6,0,45.3,39,1037,26.6,47,0,81,4.12
Brad Nortman,7192,P,1,CAR,60.0,1,51.0,42.0,0,100.0,1,13,13.0,0,0,1,3.24
