player,player_id,position,player_game_count,team_name,grades_return,total_attempts,grades_kick_return,kickoff_attempts,kickoff_yards,kickoff_long,kickoff_ypa,kickoff_touchdowns,kickoff_fair_catches,kickoff_muffed_returns,grades_punt_return,punt_attempts,punt_yards,punt_long,punt_ypa,punt_touchdowns,punt_fair_catches,punt_muffed_returns
Steve Smith,837,WR,7,BLT,62.1,2,,0,0,0,,0,0,0,62.7,2,32,22,16.0,0,1,0
Larry Fitzgerald,1724,WR,16,ARZ,,1,,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Wes Welker,2204,WR,8,SL,60.8,2,,0,0,0,,0,0,0,61.0,2,23,13,11.5,0,0,0
Adam Jones,2223,CB,14,CIN,76.0,26,71.1,10,235,49,23.5,0,0,0,72.7,16,202,35,12.6,0,1,0
Thomas Davis Sr.,2231,LB,16,CAR,,1,,1,3,3,3.0,0,0,0,,0,0,0,,0,0,0
Roddy White,2244,WR,16,ATL,,1,,1,0,0,0.0,0,1,0,,0,0,0,,0,0,0
Vincent Jackson,2278,WR,10,TB,,1,,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Darren Sproles,2347,HB,16,PHI,83.8,39,62.5,1,20,20,20.0,0,0,0,90.6,38,446,89,11.7,2,18,0
Lorenzo Alexander,2476,ED,16,OAK,,0,,0,0,0,,0,0,0,,0,8,8,,0,0,0
John Kuhn,2686,FB,16,GB,,2,,2,9,9,4.5,0,0,0,,0,0,0,,0,0,0
Lance Moore,2718,WR,14,DET,61.2,2,,0,0,0,,0,0,0,61.6,2,1,1,0.5,0,2,0
Reggie Bush,2947,HB,5,SF,61.6,2,,0,0,0,,0,0,0,62.0,2,9,9,4.5,0,1,0
Antonio Cromartie,2964,CB,15,NYJ,65.7,15,65.1,15,377,54,25.1,0,0,0,,0,0,0,,0,0,0
DeAngelo Williams,2972,HB,16,PIT,,1,,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Devin Hester,3002,WR,5,ATL,60.6,17,57.7,9,235,35,26.1,0,0,0,64.6,8,34,11,4.3,0,4,0
Will Blackmon,3060,CB,15,WAS,,1,,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Brandon Marshall,3064,WR,16,NYJ,,1,,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Tramon Williams,3558,CB,15,CLV,,1,,0,0,0,,0,0,0,,1,1,1,1.0,0,0,0
Brent Grimes,3589,CB,15,MIA,61.3,4,59.6,0,0,0,,0,0,0,62.8,4,59,28,14.8,0,0,0
Calvin Johnson,3618,WR,16,DET,,1,,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Ted Ginn Jr.,3625,WR,15,CAR,70.9,28,59.0,1,8,8,8.0,0,0,0,75.2,27,277,37,10.3,0,23,0
Jacoby Jones,3689,WR,9,PIT,34.3,28,39.0,18,413,36,22.9,0,0,0,46.5,10,15,14,1.5,0,12,0
Pierre Thomas,4080,HB,5,WAS,59.9,1,59.9,1,15,15,15.0,0,0,0,,0,0,0,,0,0,0
Eric Weems,4097,WR,16,ATL,71.0,35,65.3,16,404,51,25.3,0,0,0,71.2,19,221,41,11.6,0,16,0
Darren McFadden,4318,HB,16,DAL,58.9,1,59.0,1,23,23,23.0,0,0,0,,0,0,0,,0,0,0
Leodis McKelvin,4325,CB,9,BUF,42.5,7,,0,0,0,,0,0,0,36.9,7,21,12,3.0,0,4,0
Eddie Royal,4356,WR,9,CHI,60.5,1,,0,0,0,,0,0,0,60.3,1,16,16,16.0,0,0,0
DeSean Jackson,4363,WR,9,WAS,38.9,3,59.9,1,8,8,8.0,0,0,0,32.2,2,-5,2,-2.5,0,1,0
Harry Douglas,4398,WR,14,TEN,50.6,11,,0,0,0,,0,0,0,47.5,11,72,18,6.5,0,2,0
Andre Caldwell,4411,WR,14,DEN,59.6,7,59.6,7,162,29,23.1,0,0,0,,0,0,0,,0,0,0
Tyvon Branch,4414,S,16,KC,,2,,2,2,2,1.0,0,0,0,,0,0,0,,0,0,0
Quintin Demps,4431,S,14,HST,55.6,2,56.1,2,46,23,23.0,0,0,0,,0,0,0,,0,0,0
Jerome Felton,4460,FB,16,BUF,,1,,1,5,5,5.0,0,0,0,,0,0,0,,0,0,0
Kellen Davis,4472,TE,16,NYJ,,2,,2,24,13,12.0,0,0,0,,0,0,0,,0,0,0
Pierre Garcon,4519,WR,16,WAS,,2,,2,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Marcel Reece,4702,FB,15,OAK,57.1,2,57.4,2,32,18,16.0,0,0,0,,0,0,0,,0,0,0
Danny Amendola,4717,WR,14,NE,75.0,31,62.1,8,172,29,21.5,0,0,0,80.5,23,276,82,12.0,0,12,0
Mike Tolbert,4740,FB,16,CAR,,1,,1,8,8,8.0,0,0,0,,0,0,0,,0,0,0
Danny Woodhead,4914,HB,16,SD,59.6,1,59.6,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Jeremy Maclin,4942,WR,15,KC,61.1,3,,1,0,0,0.0,0,0,0,61.4,2,13,11,6.5,0,4,0
Percy Harvin,4945,WR,5,BUF,55.7,6,56.1,6,109,25,18.2,0,0,0,,0,0,0,,0,0,0
Patrick Chung,4957,S,15,NE,53.1,2,53.0,1,17,17,17.0,0,0,0,60.1,1,4,4,4.0,0,0,0
Jairus Byrd,4965,S,13,NO,61.0,1,,0,0,0,,0,0,0,61.3,1,1,1,1.0,0,5,0
Brandon Tate,5006,WR,16,CIN,71.3,45,65.2,18,413,58,22.9,0,0,0,71.7,27,171,18,6.3,0,11,0
Lardarius Webb,5011,CB,15,BLT,62.1,2,,0,0,0,,0,0,0,62.8,2,16,9,8.0,0,3,0
Cedric Peerman,5109,HB,16,CIN,59.9,4,59.9,4,44,20,11.0,0,0,0,,0,0,0,,0,0,0
John Phillips,5132,TE,16,SD,,2,,2,18,13,9.0,0,0,0,,0,0,0,,0,0,0
Julian Edelman,5156,WR,9,NE,68.5,10,60.0,0,0,0,,0,0,0,71.9,10,81,19,8.1,0,1,0
Colt Anderson,5242,S,14,IND,,1,,1,5,5,5.0,0,0,0,,0,0,0,,0,0,0
Jordan Norwood,5358,WR,11,DEN,69.7,8,57.7,2,27,15,13.5,0,0,0,77.5,6,51,14,8.5,0,2,0
