player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties
Timmy Jernigan,8683,DI,15,BLT,537,353,177,7,67.3,66.3,70.1,64.3,72.1,30,5,8,17,0,20,10,1,20,0,0,0,0,,0,,0,0,0,0.0,3,0
Jeremiah Attaochu,8685,ED,15,SD,670,384,244,42,74.3,73.4,61.7,64.7,73.3,48,7,9,32,2,40,7,6,36,0,3,1,23,23.0,23,23,0,0,0,61.8,1,1
Ego Ferguson,8686,DI,4,CHI,105,52,53,0,62.6,66.0,71.8,53.3,60.0,2,0,0,2,0,6,0,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0
Kony Ealy,8695,ED,16,CAR,649,420,217,12,48.4,39.6,31.6,65.3,48.8,41,5,6,30,2,18,7,8,19,2,2,2,16,8.0,10,13,1,0,0,139.6,7,0
Dezmen Southward,8703,CB,1,ATL,17,0,2,15,72.9,60.0,41.0,,73.1,0,0,0,0,0,1,0,0,0,0,4,2,16,8.0,2,11,1,0,0,100.0,0,0
Christian Kirksey,8706,LB,16,CLV,576,47,206,323,70.2,46.6,74.6,70.0,80.0,11,4,1,6,0,39,10,7,22,1,39,28,362,12.9,334,68,2,0,1,117.7,1,0
Scott Crichton,8707,ED,11,MIN,128,63,64,1,58.5,63.1,82.3,50.8,60.0,2,0,0,2,0,6,2,0,3,0,0,0,0,,0,,0,0,0,0.0,0,0
Preston Brown,8708,LB,16,BUF,1067,142,398,527,34.8,36.5,61.9,45.9,48.9,12,0,6,6,0,66,29,13,28,1,45,38,409,10.8,370,36,0,2,0,86.0,5,0
Jay Bromley,8709,DI,16,NYG,478,238,238,2,60.7,61.1,77.4,63.1,56.1,15,0,4,11,0,24,7,1,19,0,0,0,0,,0,,0,0,0,0.0,2,0
Terrence Brooks,8714,S,6,BLT,65,10,16,39,68.8,70.6,66.5,65.2,64.8,3,0,1,2,0,5,1,0,3,0,5,4,48,12.0,22,22,0,0,1,106.7,0,0
Dexter McDougle,8715,CB,3,NYJ,50,2,8,40,51.1,67.0,64.9,56.7,48.0,0,0,0,0,0,2,0,0,1,0,8,4,48,12.0,15,18,0,0,1,68.8,0,0
Will Sutton III,8717,DI,13,CHI,420,226,192,2,53.0,55.6,76.6,54.9,59.4,8,0,2,6,4,17,4,3,11,0,0,0,0,,0,,0,0,0,0.0,2,0
Louis Nix III,8718,DI,3,NYG,22,9,13,0,64.8,65.2,,56.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Kareem Martin,8719,ED,10,ARZ,144,78,58,8,49.3,33.4,27.8,61.7,66.3,6,2,1,3,0,3,0,2,5,1,1,1,7,7.0,12,7,0,0,0,95.8,0,0
Khyri Thornton,8720,DI,6,DET,102,57,45,0,38.7,42.9,71.5,51.2,,0,0,0,0,0,4,2,0,2,0,0,0,0,,0,,0,0,0,0.0,1,0
Phillip Gaines,8722,CB,3,KC,169,5,52,112,54.6,29.2,40.7,50.7,61.7,1,0,0,1,0,6,0,2,3,0,11,7,80,11.4,26,20,0,0,0,85.4,0,0
Will Clarke,8723,ED,12,CIN,135,85,47,3,51.3,50.8,72.8,51.9,60.7,5,0,1,4,1,3,0,0,2,0,0,0,0,,0,,0,0,0,0.0,0,0
Jaylen Watkins,8736,CB,3,PHI,84,0,33,51,68.9,29.2,27.2,,81.1,0,0,0,0,0,3,1,3,2,0,10,2,31,15.5,0,29,0,0,4,40.0,1,0
Bashaud Breeland,8737,CB,15,WAS,914,0,323,591,73.7,88.3,77.1,,69.9,0,0,0,0,0,69,9,6,18,4,96,54,752,13.9,229,48,6,2,11,93.8,3,0
Bruce Ellington,8741,WR,1,SF,1,0,0,1,60.0,,74.8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,1,0.0,2,2
