year,player,player_id,position,player_game_count,team_name,coverage_snaps,targets,receptions,yards,yards_after_catch,touchdowns,interceptions,qb_rating_against,yards_per_coverage_snap,coverage_snaps_per_target,coverage_snaps_per_reception
2015,Nick Perry,7033,ED,14,GB,13,3,3,57,59,0,0,118.8,4.38,4.3,4.3
2015,Crezdon Butler,5687,CB,4,DET,13,4,3,19,4,0,0,84.4,1.46,3.3,4.3
2015,Orie Lemon,6800,LB,1,TB,4,1,1,11,9,0,0,112.5,2.75,4,4
2015,Jurrell Casey,6229,DI,16,TEN,4,1,1,69,64,1,0,158.3,17.25,4,4
2015,Kyle Love,5806,DI,15,CAR,4,2,1,7,2,0,0,58.3,1.75,2,4
2015,IK Enemkpali,8844,ED,11,BUF,8,2,2,18,20,1,0,143.8,2.25,4,4
2015,Cliff Avril,4406,ED,16,SEA,19,5,5,28,25,0,0,90,1.47,3.8,3.8
2015,Mike Catapano,7989,DI,3,NYJ,7,2,2,27,19,0,0,118.8,3.86,3.5,3.5
2015,Darius Fleming,7157,LB,3,NE,10,4,3,26,18,0,0,91.7,2.6,2.5,3.3
2015,Jack Crawford,7151,DI,16,DAL,3,1,1,35,26,0,0,118.8,11.67,3,3
2015,Brock Coyle,8929,LB,2,SEA,9,3,3,27,7,0,0,104.2,3,3,3
2015,Tom Johnson,3378,DI,16,MIN,3,1,1,10,8,0,0,108.3,3.33,3,3
2015,Brock Vereen,8766,S,1,CHI,3,1,1,30,18,1,0,158.3,10,3,3
2015,Cameron Heyward,6183,DI,16,PIT,9,3,3,23,16,0,0,98.6,2.56,3,3
2015,Angelo Blackson,9533,DI,16,TEN,3,1,1,17,15,0,0,118.8,5.67,3,3
2015,Tyson Alualu,5535,DI,16,JAX,3,1,1,11,4,0,0,112.5,3.67,3,3
2015,Stephon Tuitt,8681,DI,14,PIT,3,1,1,11,8,0,1,72.9,3.67,3,3
2015,Sylvester Williams,7809,DI,15,DEN,3,1,1,80,65,1,0,158.3,26.67,3,3
2015,Jason Babin,1748,ED,2,BLT,3,1,1,16,19,0,0,118.8,5.33,3,3
2015,Chris Owens,5013,CB,2,NO,8,3,3,35,5,2,0,154.9,4.38,2.7,2.7
2015,Kroy Biermann,4468,ED,16,ATL,20,8,8,76,37,1,0,145.8,3.8,2.5,2.5
2015,William Gholston,7908,ED,16,TB,7,4,3,56,36,0,0,116.7,8,1.8,2.3
2015,JoLonn Dunbar,4588,LB,2,NO,14,6,6,111,103,2,0,158.3,7.93,2.3,2.3
2015,Jayrone Elliott,9336,ED,12,GB,9,4,4,27,37,0,1,55.2,3,2.3,2.3
2015,Josh Mauro,9003,ED,14,ARZ,2,2,1,9,9,0,0,62.5,4.5,1,2
2015,D.J. Alexander,9605,LB,1,KC,2,1,1,10,14,0,0,108.3,5,2,2
2015,Tyrunn Walker,7459,DI,4,DET,2,1,1,17,14,0,0,118.8,8.5,2,2
2015,Olivier Vernon,7074,ED,16,MIA,4,2,2,2,5,0,0,79.2,0.5,2,2
2015,George Johnson,6112,ED,11,TB,2,1,1,5,1,0,0,87.5,2.5,2,2
2015,Ryan Davis Sr.,7365,ED,14,JAX,4,2,2,34,5,0,0,118.8,8.5,2,2
2015,DeAndre Coleman,9157,DI,4,MIA,2,1,1,10,6,0,0,108.3,5,2,2
2015,Jason Jones,4368,ED,15,DET,3,2,2,20,3,1,0,147.9,6.67,1.5,1.5
2015,J.J. Watt,6163,DI,16,HST,1,1,1,-5,3,0,0,79.2,-5,1,1
2015,Cordarro Law,7727,ED,9,SD,1,1,1,18,23,0,0,118.8,18,1,1
2015,Jackson Jeffcoat,9139,ED,5,WAS,1,1,1,14,15,0,0,118.8,14,1,1
2015,Jared Crick,7126,DI,16,HST,1,1,1,-3,4,0,0,79.2,-3,1,1
2015,Josh Shirley,9986,ED,5,TB,1,1,1,9,0,0,0,104.2,9,1,1
2015,Steve McLendon,5232,DI,16,PIT,1,1,1,23,23,0,0,118.8,23,1,1
2015,Adrian Clayborn,6172,DI,16,ATL,2,2,2,14,7,0,0,95.8,7,1,1
2015,Nico Johnson,7881,LB,1,NYG,1,1,1,14,16,0,0,118.8,14,1,1
2015,Brandon Thompson,7093,DI,9,CIN,0,1,1,-1,1,0,0,79.2,,0,0
2015,Linval Joseph,5571,DI,12,MIN,0,1,1,4,6,0,0,83.3,,0,0
2015,Henry Melton,5028,DI,16,TB,0,1,1,5,9,0,0,87.5,,0,0
2015,Chris Long,4316,ED,12,SL,0,1,1,14,11,0,0,118.8,,0,0
2015,Ricardo Mathews,5761,DI,16,SD,0,1,1,0,5,0,0,79.2,,0,0
2015,Malik Jackson,7647,DI,16,DEN,0,1,1,3,10,0,0,79.2,,0,0
