year,player,player_id,position,player_game_count,team_name,run_snaps,tackles,assists,misses,stops,stop_percent
2015,Cedric Peerman,5109,HB,1,CIN,1,1,0,0,1,100
2015,Matthew Slater,4467,WR,1,NE,1,1,0,0,1,100
2015,Jeremiah George,8789,LB,1,TB,1,1,0,0,1,100
2015,Nick Bellore,6515,LB,1,SF,2,1,0,0,1,50
2015,Brock Coyle,8929,LB,2,SEA,2,1,0,0,1,50
2015,Danny McCray,5929,S,1,DAL,3,1,0,0,1,33.3
2015,Justin Trattou,6669,ED,3,MIN,3,1,0,0,1,33.3
2015,Lonnie Ballentine,8890,CB,2,HST,3,1,0,0,1,33.3
2015,Mike Catapano,7989,DI,2,NYJ,3,1,0,0,1,33.3
2015,Greg Scruggs,7216,DI,1,CHI,3,1,0,0,1,33.3
2015,Paul Dawson,9532,LB,3,CIN,3,1,0,0,1,33.3
2015,Tony Steward,9621,LB,2,BUF,4,1,0,2,1,25
2015,Damien Wilson,9560,LB,1,DAL,15,4,1,0,3,20
2015,Brandon Copeland,8378,ED,9,DET,31,7,0,0,6,19.4
2015,Cam Johnson,7221,ED,1,CLV,16,3,0,1,3,18.8
2015,Denzel Perryman,9481,LB,13,SD,169,41,6,2,31,18.3
2015,Damon Harrison Sr.,7355,DI,16,NYJ,271,54,12,2,49,18.1
2015,Sam Barrington,8015,LB,1,GB,6,1,0,0,1,16.7
2015,Ben Jacobs,6817,LB,4,CAR,6,1,0,0,1,16.7
2015,Erin Henderson,4656,LB,11,NYJ,80,17,5,1,13,16.3
2015,Lerentee McCray,8159,ED,9,DEN,51,9,1,1,8,15.7
2015,Joey Mbu,9772,DI,2,ATL,26,4,0,0,4,15.4
2015,Brandon Bair,6529,ED,5,PHI,33,6,0,0,5,15.2
2015,Jordan Hill,7868,DI,10,SEA,74,12,6,0,11,14.9
2015,Bennie Logan,7848,DI,14,PHI,284,48,4,5,42,14.8
2015,Troy Hill,9881,CB,1,SL,7,1,0,0,1,14.3
2015,Wesley Woodyard,4583,LB,16,TEN,252,52,12,3,36,14.3
2015,Ron Brooks,7124,CB,2,BUF,14,4,0,1,2,14.3
2015,Allen Bradford,6339,LB,2,ATL,7,2,0,1,1,14.3
2015,Sio Moore,7847,LB,5,IND,22,4,0,1,3,13.6
2015,Luke Kuechly,7015,LB,13,CAR,242,44,12,3,33,13.6
2015,JoLonn Dunbar,4588,LB,3,NO,30,6,2,1,4,13.3
2015,Vontaze Burfict,7280,LB,10,CIN,166,33,7,2,22,13.3
