year,player,player_id,position,player_game_count,team_name,coverage_snaps,targets,receptions,yards,yards_after_catch,touchdowns,interceptions,qb_rating_against,yards_per_coverage_snap,coverage_snaps_per_target,coverage_snaps_per_reception
2015,Nate Palmer,7974,LB,8,GB,15,9,5,57,36,0,0,74.8,3.8,1.7,3
2015,Derrick Morgan,5541,ED,6,TEN,6,3,2,10,0,1,0,111.1,1.67,2,3
2015,Ryan Kerrigan,6168,ED,2,WAS,3,1,1,19,26,0,0,118.8,6.33,3,3
2015,Lamarr Houston,5569,ED,5,CHI,3,2,1,4,3,0,0,56.3,1.33,1.5,3
2015,Omar Bolden,7101,S,2,DEN,3,2,1,22,4,0,0,89.6,7.33,1.5,3
2015,Alex Okafor,7885,ED,3,ARZ,3,1,1,11,14,0,0,112.5,3.67,3,3
2015,Justin Tuggle,8225,LB,2,HST,3,1,1,9,12,0,0,104.2,3,3,3
2015,Jalen Collins,9475,CB,2,ATL,3,1,1,10,4,0,0,108.3,3.33,3,3
2015,Markus Golden,9491,ED,3,ARZ,3,1,1,6,4,0,0,91.7,2,3,3
2015,Jaiquawn Jarrett,6206,S,2,NYJ,3,1,1,22,10,0,0,118.8,7.33,3,3
2015,Kelvin Sheppard,6220,LB,9,MIA,21,7,7,67,38,0,0,106.5,3.19,3,3
2015,Shamiel Gary,9231,S,2,MIA,3,2,1,3,1,0,0,56.3,1,1.5,3
2015,Ramon Humber,5310,LB,5,NO,9,3,3,28,10,0,0,105.6,3.11,3,3
2015,Philip Wheeler,4407,LB,1,ATL,3,1,1,19,2,0,0,118.8,6.33,3,3
2015,Nate Irving,6219,LB,4,IND,8,4,3,53,27,1,0,156.3,6.63,2,2.7
2015,Major Wright,5600,S,4,TB,8,3,3,40,2,0,0,118.8,5,2.7,2.7
2015,Tamba Hali,2965,ED,6,KC,10,5,4,72,14,0,0,118.8,7.2,2,2.5
2015,Nate Ebner,7193,S,2,NE,5,2,2,22,21,0,0,112.5,4.4,2.5,2.5
