player,player_id,position,player_game_count,team_name,snap_counts_offense,snap_counts_pass,snap_counts_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_ce,snap_counts_rg,snap_counts_rt,grades_offense,grades_pass_block,grades_run_block,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,penalties,declined_penalties
Tom Brady,698,QB,16,NE,1072,625,0,447,0,0,0,0,0,90.7,,60.1,4,1,4,9,1,0
Drew Brees,802,QB,15,NO,943,542,0,401,0,0,0,0,0,94.7,,63.4,0,1,5,6,7,0
Josh McCown,1085,QB,4,NYJ,191,126,0,65,0,0,0,0,0,47.0,,60.0,3,3,0,6,0,0
Antonio Gates,1609,TE,16,LAC,97,0,16,81,0,0,0,0,0,69.8,72.8,51.0,0,0,0,0,2,0
Eli Manning,1722,QB,16,NYG,996,657,0,339,0,0,0,0,0,64.3,,60.0,5,3,6,14,5,0
Larry Fitzgerald,1724,WR,16,ARZ,312,1,0,311,0,0,0,0,0,73.2,,61.5,0,0,0,0,2,1
Philip Rivers,1725,QB,16,LAC,948,579,0,369,0,0,0,0,0,90.8,,60.2,4,2,3,9,4,0
Ben Roethlisberger,1732,QB,16,PIT,1066,761,0,305,0,0,0,0,0,78.2,,60.0,2,11,11,24,3,0
Benjamin Watson,1753,TE,16,NO,244,0,43,201,1,0,0,0,3,71.0,72.9,55.4,0,1,3,4,1,0
Matt Schaub,1811,QB,3,ATL,11,7,0,4,0,0,0,0,0,40.1,,60.0,0,0,0,0,0,0
Andy Lee,1906,P,1,ARZ,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
Don Muhlbach,2130,LS,3,DET,3,0,2,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
Jason Peters,2148,T,16,PHI,868,0,559,309,880,0,0,0,0,71.1,75.5,65.8,2,8,24,34,8,0
Alex Smith,2218,QB,10,WAS,632,396,0,236,0,0,0,0,0,70.2,,60.0,3,1,5,9,2,0
Aaron Rodgers,2241,QB,16,GB,1002,724,0,278,0,0,0,0,0,89.1,,60.0,5,6,12,23,11,1
Frank Gore,2282,HB,14,MIA,32,0,19,13,0,0,0,0,0,80.7,53.1,69.9,1,0,2,3,1,0
Darren Sproles,2347,HB,6,PHI,16,0,15,1,0,0,0,0,0,65.3,37.7,60.0,1,0,0,1,0,0
Derek Anderson,2430,QB,2,BUF,117,77,0,40,0,0,0,0,0,47.5,,61.6,1,0,0,1,0,0
Matt Cassel,2447,QB,2,DET,22,21,0,1,0,0,0,0,0,48.6,,60.0,0,0,0,0,0,0
Ryan Fitzpatrick,2467,QB,8,TB,415,302,0,113,0,0,0,0,0,84.4,,60.0,1,3,7,11,1,0
Lorenzo Alexander,2476,LB,2,BUF,2,0,1,1,0,0,0,0,0,60.0,61.5,60.0,0,0,0,0,0,0
John Denney,2561,LS,1,MIA,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
Robbie Gould,2607,K,1,SF,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
L.P. Ladouceur,2687,LS,1,DAL,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
Vernon Davis,2951,TE,14,WAS,233,0,32,201,0,0,0,0,0,61.0,66.7,39.8,1,0,1,2,5,0
Marcedes Lewis,2973,TE,16,GB,147,0,31,116,0,0,0,0,0,51.1,49.5,59.9,0,1,3,4,2,0
Andrew Whitworth,3000,T,16,LA,1038,0,638,400,1058,0,0,0,0,83.6,86.1,77.4,4,4,25,33,8,1
Brandon Marshall,3064,WR,7,NO,84,0,0,84,0,0,0,0,0,54.9,,53.5,0,0,0,0,1,0
Kyle Williams,3079,DI,1,BUF,1,0,0,1,0,0,0,0,0,62.1,,60.0,0,0,0,0,2,0
Delanie Walker,3120,TE,1,TEN,12,0,0,12,0,0,0,0,0,79.5,,57.5,0,0,0,0,1,0
Sam Koch,3148,P,2,BLT,2,1,0,1,0,0,0,0,0,71.6,,60.0,0,0,0,0,0,0
Donald Penn,3459,T,4,OAK,188,0,117,71,0,0,0,0,192,48.9,41.5,56.3,3,2,4,9,1,0
Matt Prater,3471,K,2,DET,2,1,1,0,0,0,0,0,0,88.9,,,0,0,0,0,0,0
Adrian Peterson,3623,HB,16,WAS,48,0,22,26,0,0,0,0,0,76.8,38.7,59.8,1,0,3,4,0,0
Ted Ginn Jr.,3625,WR,5,NO,42,0,0,42,0,0,0,0,0,67.2,,70.0,0,0,0,0,2,0
Marshawn Lynch,3628,HB,6,OAK,31,0,26,5,0,0,0,0,0,74.1,83.2,60.0,0,0,1,1,0,0
Joe Staley,3644,T,16,SF,1005,0,609,396,1037,0,0,0,0,84.7,83.8,79.9,4,7,14,25,5,1
Greg Olsen,3647,TE,9,CAR,172,0,23,149,6,0,0,0,5,65.8,63.2,46.1,1,1,0,2,0,0
Ryan Kalil,3675,C,16,CAR,1028,0,651,377,0,0,1052,0,0,65.1,63.2,63.3,2,4,23,29,2,0
