player,player_id,position,player_game_count,team_name,pass_snaps,attempts,pass_block_percentage,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,pbe
Xavier Grimble,9092,TE,15,PIT,54,5,9.3,0,0,0,0,100.0
Willie Snead IV,8999,WR,16,BLT,436,1,0.2,0,0,0,0,100.0
Shaquil Barrett,9000,ED,1,DEN,1,1,100.0,0,0,0,0,100.0
Charcandrick West,9047,HB,3,KC,26,1,3.8,0,0,0,0,100.0
Taylor Gabriel,9002,WR,16,CHI,481,1,0.2,0,0,0,0,100.0
Micah Kiser,50879,LB,4,LA,4,4,100.0,0,0,0,0,100.0
Lorenzo Alexander,2476,LB,1,BUF,1,1,100.0,0,0,0,0,100.0
Keishawn Bierria,50812,LB,1,DEN,1,1,100.0,0,0,0,0,100.0
Josey Jewell,50720,LB,1,DEN,1,1,100.0,0,0,0,0,100.0
Justin Lawler,50592,LB,4,LA,4,3,75.0,0,0,0,0,100.0
Jeremy Reaves,50406,S,1,WAS,1,1,100.0,0,0,0,0,100.0
Shaun Dion Hamilton,49706,LB,1,WAS,1,1,100.0,0,0,0,0,100.0
Isaac Yiadom,49355,CB,1,DEN,1,1,100.0,0,0,0,0,100.0
Patrick Ricard,48862,FB,8,BLT,15,9,60.0,0,0,0,0,100.0
Harrison Phillips,48690,DI,1,BUF,1,1,100.0,0,0,0,0,100.0
Sam Hubbard,48457,ED,3,CIN,3,1,33.3,0,0,0,0,100.0
Daren Bates,8077,LB,1,TEN,1,1,100.0,0,0,0,0,100.0
Chris Manhertz,10211,TE,16,CAR,112,58,51.8,0,0,0,0,100.0
Tyrell Williams,10154,WR,16,LAC,463,1,0.2,0,0,0,0,100.0
Colton Schmidt,8104,P,1,BUF,1,1,100.0,0,0,0,0,100.0
Jaron Brown,8128,WR,16,SEA,152,5,3.3,0,0,0,0,100.0
Abry Jones,8177,DI,1,JAX,1,1,100.0,0,0,0,0,100.0
Brian Parker,10135,TE,10,DEN,82,13,15.9,0,0,0,0,100.0
Andrew East,10060,,1,WAS,1,1,100.0,0,0,0,0,100.0
Darius Jennings,10038,WR,16,TEN,102,1,1.0,0,0,0,0,100.0
Khari Lee,10018,TE,2,BUF,17,8,47.1,0,0,0,0,100.0
Adam Thielen,8288,WR,16,MIN,655,3,0.5,0,0,0,0,100.0
Will Compton,8308,LB,1,TEN,1,1,100.0,0,0,0,0,100.0
Rod Smith,9996,HB,15,DAL,90,15,16.7,0,0,0,0,100.0
Chris Banjo,8419,S,1,NO,1,1,100.0,0,0,0,0,100.0
Gabe Holmes,9980,TE,8,ARZ,26,7,26.9,0,0,0,0,100.0
Brynden Trawick,8471,S,1,TEN,1,1,100.0,0,0,0,0,100.0
Deshazor Everett,9940,S,1,WAS,1,1,100.0,0,0,0,0,100.0
Deon Lacey,8512,LB,1,BUF,1,1,100.0,0,0,0,0,100.0
Cameron Lynch,9911,LB,1,TB,1,1,100.0,0,0,0,0,100.0
Malcolm Brown,9902,HB,11,LA,62,15,24.2,0,0,0,0,100.0
Corey Grant,9827,HB,5,JAX,46,3,6.5,0,0,0,0,100.0
Sammy Watkins,8639,WR,10,KC,286,1,0.3,0,0,0,0,100.0
Zach Vigil,9824,LB,1,WAS,1,1,100.0,0,0,0,0,100.0
Mike Evans,8642,WR,16,TB,638,1,0.2,0,0,0,0,100.0
Eric Ebron,8645,TE,16,IND,461,9,2.0,0,0,0,0,100.0
Raheem Mostert,9783,HB,8,SF,48,11,22.9,0,0,0,0,100.0
Bryce Hager,9657,LB,4,LA,4,4,100.0,0,0,0,0,100.0
Marcus Smith,8661,ED,1,WAS,1,1,100.0,0,0,0,0,100.0
Darren Waller,9637,TE,4,OAK,29,1,3.4,0,0,0,0,100.0
Michael Burton,9601,FB,5,CHI,12,6,50.0,0,0,0,0,100.0
