year,player,player_id,position,player_game_count,team_name,dropbacks,percent_pa,comp_pct_diff,ypa_diff,pa_dropbacks,pa_attempts,pa_completions,pa_touchdowns,pa_interceptions,pa_comp_percent,pa_yards,pa_ypa,pa_qb_rating,npa_dropbacks,npa_attempts,npa_completions,npa_touchdowns,npa_interceptions,npa_comp_percent,npa_yards,npa_ypa,npa_qb_rating
2015,Philip Rivers,1725,QB,16,SD,711,10.4,5.3,1.41,74,72,51,4,1,70.8,613,8.5,109.3,637,589,386,25,12,65.5,4179,7.1,91.9
2015,Blake Bortles,8638,QB,16,JAX,685,18.7,-0.39,1.08,128,115,67,6,5,58.3,941,8.2,84,557,491,288,29,13,58.7,3487,7.1,89.2
2015,Tom Brady,698,QB,16,NE,670,17.6,-6.91,0.04,118,114,67,7,2,58.8,876,7.7,96.2,552,510,335,29,5,65.7,3894,7.6,103.5
2015,Matthew Stafford,4924,QB,16,DET,662,19.6,6.6,2.18,130,113,82,7,1,72.6,1012,9,116.8,532,479,316,25,12,66,3250,6.8,92.3
2015,Drew Brees,802,QB,15,NO,661,18,-10.02,-0.99,119,110,66,11,2,60,765,7,106.8,542,517,362,21,9,70,4105,7.9,99.8
2015,Aaron Rodgers,2241,QB,16,GB,661,15.6,-7.81,-1.43,103,96,52,3,2,54.2,527,5.5,71.8,558,476,295,28,6,62,3294,6.9,96.9
2015,Matt Ryan,4317,QB,16,ATL,657,22.1,-2.36,2.77,145,135,87,8,3,64.4,1301,9.6,106.4,512,479,320,13,13,66.8,3290,6.9,84.1
2015,Eli Manning,1722,QB,16,NYG,653,15.9,-5.03,1.07,104,101,59,5,2,58.4,815,8.1,92.6,549,517,328,30,12,63.4,3621,7,93.8
2015,Ryan Tannehill,7014,QB,16,MIA,637,20.3,2.7,2.58,129,117,75,7,2,64.1,1082,9.2,106.9,508,469,288,17,10,61.4,3126,6.7,84.2
2015,Derek Carr,8671,QB,16,OAK,621,20.8,0.1,1.33,129,121,74,7,3,61.2,969,8,95.4,492,452,276,25,10,61.1,3018,6.7,90
2015,Ryan Fitzpatrick,2467,QB,16,NYJ,615,17.4,-0.8,-0.24,107,95,56,1,1,58.9,641,6.7,78.4,508,467,279,30,14,59.7,3264,7,89.9
2015,Jameis Winston,9434,QB,16,TB,598,19.9,2.47,2.61,119,101,61,3,1,60.4,975,9.7,98.4,479,435,252,19,14,57.9,3063,7,80.8
2015,Russell Wilson,7077,QB,16,SEA,586,24.2,-11.52,-2.12,142,113,67,8,1,59.3,758,6.7,99.4,444,370,262,26,7,70.8,3266,8.8,113.4
2015,Kirk Cousins,7102,QB,16,WAS,574,18.6,5.48,4.43,107,101,75,8,2,74.3,1139,11.3,129.1,467,442,304,21,9,68.8,3027,6.8,95.3
2015,Alex Smith,2218,QB,16,KC,572,24.3,5.13,0.11,139,123,85,6,1,69.1,922,7.5,103.8,433,347,222,14,6,64,2564,7.4,92.4
2015,Sam Bradford,5526,QB,14,PHI,570,21.6,4.37,3.97,123,108,74,6,6,68.5,1098,10.2,96.9,447,424,272,13,8,64.2,2627,6.2,83.7
2015,Carson Palmer,1317,QB,16,ARZ,569,20,-1.77,2.62,114,106,66,8,3,62.3,1145,10.8,112.3,455,431,276,27,8,64,3526,8.2,102.7
2015,Cam Newton,6153,QB,16,CAR,557,29.8,3.53,0.63,166,151,94,13,4,62.3,1236,8.2,105.7,391,344,202,22,6,58.7,2601,7.6,96.6
2015,Jay Cutler,2956,QB,15,CHI,527,18.4,8.81,-0.13,97,88,63,4,1,71.6,657,7.5,103.3,430,395,248,17,10,62.8,3002,7.6,89.9
2015,Teddy Bridgewater,8667,QB,16,MIN,520,29.6,-0.52,1.55,154,137,89,4,2,65,1137,8.3,94.4,366,310,203,10,7,65.5,2094,6.8,86.1
2015,Ben Roethlisberger,1732,QB,12,PIT,493,12.8,-7.28,0.67,63,60,37,2,4,61.7,539,9,74.2,430,409,282,19,12,68.9,3399,8.3,97.4
2015,Tyrod Taylor,6332,QB,14,BUF,468,21.8,5.9,3.5,102,79,54,5,1,68.4,850,10.8,119.7,366,301,188,15,5,62.5,2185,7.3,94.1
2015,Andy Dalton,6187,QB,13,CIN,433,23.1,4.6,2.22,100,92,64,6,1,69.6,930,10.1,119.4,333,294,191,19,6,65,2320,7.9,102.1
2015,Joe Flacco,4332,QB,10,BLT,430,25.8,10.58,1,111,108,78,2,5,72.2,810,7.5,80.4,319,305,188,12,7,61.6,1981,6.5,84.1
2015,Marcus Mariota,9435,QB,12,TEN,424,24.1,3.02,1.4,102,90,58,4,3,64.4,781,8.7,92.9,322,280,172,15,7,61.4,2037,7.3,91
2015,Brian Hoyer,5277,QB,11,HST,398,25.4,4.19,3.9,101,94,60,3,1,63.8,937,10,103,297,275,164,16,6,59.6,1669,6.1,87.4
2015,Nick Foles,7089,QB,11,SL,356,26.1,12.71,3.77,93,85,56,2,0,65.9,757,8.9,101.9,263,252,134,5,10,53.2,1295,5.1,57.9
2015,Peyton Manning,327,QB,10,DEN,347,20.7,9.85,3.28,72,68,46,3,4,67.6,639,9.4,87.8,275,263,152,6,13,57.8,1610,6.1,62.8
2015,Andrew Luck,7007,QB,7,IND,333,13.5,0.61,0.9,45,43,24,2,3,55.8,309,7.2,65,288,250,138,13,9,55.2,1572,6.3,76.6
2015,Blaine Gabbert,6162,QB,8,SF,330,26.4,4.03,1.67,87,68,45,4,0,66.2,576,8.5,112.1,243,214,133,6,7,62.1,1455,6.8,77.9
2015,Josh McCown,1085,QB,8,CLV,327,15.3,-4.92,0.62,50,47,28,1,1,59.6,364,7.7,82.2,277,245,158,11,3,64.5,1745,7.1,95.4
2015,Brock Osweiler,7059,QB,8,DEN,310,18.7,-1.27,2.22,58,51,31,2,1,60.8,457,9,95,252,224,139,8,5,62.1,1510,6.7,84.5
2015,Colin Kaepernick,6188,QB,9,SF,295,32.2,3.31,3.12,95,85,52,2,1,61.2,735,8.6,92,200,159,92,4,4,57.9,880,5.5,71.3
2015,Matt Hasselbeck,408,QB,8,IND,278,20.1,10.38,3.36,56,55,38,3,0,69.1,508,9.2,116.3,222,201,118,6,5,58.7,1182,5.9,75.1
2015,Johnny Manziel,8657,QB,9,CLV,269,18.2,4.38,2.12,49,44,27,1,1,61.4,371,8.4,86.5,220,179,102,6,4,57,1129,6.3,77.7
2015,Ryan Mallett,6226,QB,7,BLT,253,17,8.79,2.02,43,38,24,1,0,63.2,273,7.2,93.4,210,206,112,4,6,54.4,1063,5.2,63.2
2015,Matt Cassel,2447,QB,8,DAL,230,16.1,7.29,2.59,37,31,20,0,2,64.5,262,8.5,64.2,193,173,99,5,5,57.2,1014,5.9,71.8
2015,Zach Mettenberger,8813,QB,6,TEN,181,14.9,8.43,-0.93,27,25,17,0,0,68,121,4.8,78.9,154,141,84,4,7,59.6,814,5.8,64.6
2015,Brandon Weeden,7028,QB,6,HST,159,13.8,-5,1.75,22,20,13,1,0,65,179,9,110.2,137,120,84,4,2,70,864,7.2,94.6
2015,Jimmy Clausen,5573,QB,4,BLT,140,15.7,23.57,1.86,22,18,14,1,0,77.8,135,7.5,116.4,118,107,58,1,4,54.2,604,5.6,58.3
2015,A.J. McCarron,8799,QB,6,CIN,139,18.7,7.78,-0.61,26,22,16,2,1,72.7,147,6.7,101.9,113,97,63,4,1,64.9,707,7.3,96
2015,Case Keenum,7323,QB,5,SL,132,22.7,16.93,3.69,30,27,20,2,0,74.1,257,9.5,128.2,102,98,56,2,1,57.1,571,5.8,76.5
2015,Tony Romo,1693,QB,4,DAL,129,18.6,6.57,-0.49,24,23,17,1,0,73.9,159,6.9,107,105,98,66,4,7,67.3,725,7.4,72.9
2015,Kellen Moore,7466,QB,3,DAL,109,11,-20.64,0.23,12,10,4,0,0,40,77,7.7,67.5,97,94,57,4,6,60.6,702,7.5,71.3
2015,Austin Davis,7305,QB,3,CLV,109,12.8,2.28,0.84,14,13,8,0,0,61.5,85,6.5,80.6,95,81,48,1,3,59.3,462,5.7,63.9
2015,Mark Sanchez,4928,QB,3,PHI,102,19.6,9.21,2.37,20,18,13,0,1,72.2,156,8.7,75.2,82,73,46,4,3,63,460,6.3,82
2015,E.J. Manuel,7797,QB,2,BUF,94,8.5,19.24,3.32,8,5,4,0,0,80,49,9.8,107.5,86,79,48,3,3,60.8,512,6.5,76.6
2015,Michael Vick,773,QB,4,PIT,87,32.2,5.52,4.63,28,17,11,2,0,64.7,154,9.1,133,59,49,29,0,1,59.2,217,4.4,61.4
2015,Matt Schaub,1811,QB,2,BLT,85,25.9,-14.42,0.15,22,22,12,1,0,54.5,151,6.9,91.3,63,58,40,2,4,69,389,6.7,70.3
2015,T.J. Yates,6304,QB,4,HST,63,20.6,-9.44,3.6,13,12,5,1,0,41.7,112,9.3,103.5,50,45,23,2,1,51.1,258,5.7,74.1
2015,Landry Jones,7897,QB,5,PIT,57,10.5,-27.89,-7.66,6,6,2,0,1,33.3,15,2.5,2.8,51,49,30,3,3,61.2,498,10.2,90.3
