year,player,player_id,position,player_game_count,team_name,dropbacks,attempts,no_pressure_dropback_percent,no_pressure_dropbacks,no_pressure_attempts,no_pressure_completions,no_pressure_completion_percent,no_pressure_thrown_aways,no_pressure_hit_as_threw,no_pressure_drops,no_pressure_yards,no_pressure_touchdowns,no_pressure_interceptions,no_pressure_accuracy_percent,no_pressure_qb_rating
2019,Chase Daniel,5214,QB,3,CHI,74,64,62.2,46,44,35,79.5,0,0,1,353,2,1,83.7,105.8
2019,Ben Roethlisberger,1732,QB,2,PIT,65,62,75.4,49,49,28,57.1,0,0,4,281,0,1,66.7,65.1
2019,Will Grier,38265,QB,2,CAR,63,52,60.3,38,36,21,58.3,1,0,1,156,0,2,64.7,45.6
2019,Matt Barkley,7880,QB,2,BUF,53,51,62.3,33,33,18,54.5,0,0,4,196,0,2,73.3,47
2019,Robert Griffin III,7008,QB,6,BLT,44,38,70.5,31,30,20,66.7,0,0,0,210,0,2,66.7,59
2019,A.J. McCarron,8799,QB,2,HST,47,37,63.8,30,27,18,66.7,0,0,0,184,0,1,66.7,70.6
2019,Colt McCoy,5609,QB,1,WAS,35,27,60,21,21,16,76.2,0,0,1,109,0,1,81,67.4
2019,Sean Mannion,9522,QB,1,MIN,21,21,71.4,15,15,9,60,0,0,2,70,0,2,84.6,31.9
2019,Brett Hundley,9580,QB,3,ARZ,15,11,66.7,10,9,4,44.4,0,0,1,46,0,0,55.6,60.4
2019,Mike Glennon,7854,QB,2,OAK,10,10,70,7,7,5,71.4,0,0,0,58,1,0,71.4,135.7
2019,Tyrod Taylor,6332,QB,2,LAC,6,6,83.3,5,5,3,60,0,0,1,19,0,0,80,67.9
2019,Taysom Hill,12112,QB,6,NO,9,6,44.4,4,4,2,50,0,0,1,35,0,0,75,80.2
2019,Trevor Siemian,9683,QB,1,NYJ,8,6,50,4,4,2,50,0,0,0,0,0,0,50,56.3
2019,Jaylen Samuels,47297,HB,2,PIT,5,5,80,4,4,4,100,0,0,0,35,0,0,100,103.1
2019,Josh McCown,1085,QB,1,PHI,5,5,80,4,4,3,75,0,0,0,24,0,0,75,89.6
2019,Ryan Griffin,7983,QB,1,TB,4,4,50,2,2,1,50,0,0,0,5,0,0,50,56.3
2019,Jarrett Stidham,13725,QB,2,NE,5,4,80,4,4,2,50,0,0,0,14,0,1,50,18.8
2019,Tim Boyle,21956,QB,1,GB,4,4,75,3,3,2,66.7,0,0,0,10,0,0,66.7,71.5
2019,Johnny Hekker,7252,P,3,LA,3,3,66.7,2,2,2,100,0,0,0,28,0,0,100,118.8
2019,Garrett Gilbert,8848,QB,2,CLV,3,3,66.7,2,2,0,0,1,0,0,0,0,0,0,39.6
2019,Julian Edelman,5156,WR,2,NE,2,2,50,1,1,1,100,0,0,0,32,0,0,100,118.8
2019,Albert Wilson,8943,WR,2,MIA,3,2,33.3,1,1,0,0,0,0,0,0,0,0,0,39.6
2019,Odell Beckham Jr.,8647,WR,2,CLV,2,2,50,1,1,1,100,0,0,0,20,0,0,100,118.8
2019,Blake Bortles,8638,QB,1,LA,2,2,50,1,1,1,100,0,0,0,3,0,0,100,79.2
2019,Christian McCaffrey,11763,HB,2,CAR,2,2,50,1,1,0,0,0,0,0,0,0,0,0,39.6
2019,Matt Haack,12212,P,2,MIA,2,2,50,1,1,0,0,0,0,0,0,0,0,0,39.6
2019,DeAndre Hopkins,7808,WR,2,HST,2,2,50,1,1,0,0,0,0,0,0,0,1,0,0
2019,Logan Cooke,29214,P,3,JAX,3,2,66.7,2,2,2,100,0,0,0,16,0,0,100,100
2019,Brett Kern,4580,P,2,TEN,2,2,100,2,2,1,50,0,0,0,11,0,0,50,66.7
2019,Dante Pettis,48113,WR,1,SF,1,1,100,1,1,1,100,0,0,0,16,0,0,100,118.8
2019,Josh Gordon,7618,WR,1,SEA,1,1,0,0,0,0,,0,0,0,0,0,0,,0
2019,Courtland Sutton,48164,WR,1,DEN,2,1,100,2,1,1,100,0,0,0,38,0,0,100,118.8
2019,Alex Tanney,7610,QB,1,NYG,1,1,100,1,1,1,100,0,0,0,1,0,0,100,79.2
2019,Alvin Kamara,11822,HB,1,NO,1,1,100,1,1,1,100,0,0,0,13,0,0,100,118.8
2019,Kenjon Barner,7963,HB,1,ATL,1,1,100,1,1,1,100,0,0,0,3,0,0,100,79.2
