year,team_name,pass_snaps,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,pbe
2017,NO,559,15,26,69,110,88.8
2017,BUF,569,16,15,93,124,87.7
2017,TEN,553,14,16,96,126,87.3
2017,OAK,592,20,14,99,133,87.1
2017,MIA,646,14,23,116,153,87.1
2017,BLT,596,17,16,105,138,87
2017,PIT,619,14,24,113,151,86.7
2017,KC,616,14,20,121,155,86.3
2017,PHI,636,23,35,96,154,86.1
2017,JAX,575,9,31,111,151,86.1
2017,TB,677,24,26,119,169,85.7
2017,MIN,572,11,33,110,154,85.6
2017,ATL,568,18,32,98,148,85.4
2017,SF,667,23,32,124,179,84.9
2017,LA,551,19,25,107,151,84.6
2017,DAL,555,19,26,108,153,84.5
2017,GB,651,24,26,131,181,84.3
2017,CAR,564,17,21,123,161,84.2
2017,CHI,536,17,26,109,152,84.2
2017,NYG,650,27,24,129,180,84.1
2017,CLV,679,26,32,133,191,84
2017,CIN,562,23,10,125,158,83.9
2017,LAC,602,9,36,142,187,83.7
2017,NE,628,21,40,125,186,83.5
2017,WAS,606,25,35,121,181,83
2017,SEA,653,19,28,162,209,82.5
2017,NYJ,577,25,28,124,177,82.5
2017,DET,633,22,23,154,199,82.5
2017,IND,581,22,26,134,182,82.4
2017,DEN,655,32,31,144,207,81.8
2017,ARZ,664,31,39,147,217,81.3
2017,HST,602,35,36,182,253,76.1
