year,player,player_id,position,player_game_count,team_name,pass_snaps,attempts,pass_block_percentage,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,pbe
2017,David Quessenberry,7957,G,2,HST,6,6,100,0,0,0,0,100
2017,Jared Abbrederis,8811,WR,7,DET,68,1,1.5,0,0,0,0,100
2017,Brandon Coleman,9086,WR,16,NO,365,2,0.5,0,0,0,0,100
2017,Orson Charles,7116,TE,5,KC,28,4,14.3,0,0,0,0,100
2017,Patrick Onwuasor,11100,LB,2,BLT,2,2,100,0,0,0,0,100
2017,Rhett Ellison,7128,TE,16,NYG,259,56,21.6,0,0,0,0,100
2017,Anthony Fabiano,11094,C,2,IND,26,26,100,0,0,0,0,100
2017,Marvin Jones Jr.,7158,WR,16,DET,627,1,0.2,0,0,0,0,100
2017,Byron Marshall,11076,HB,3,WAS,40,2,5,0,0,0,0,100
2017,James Hanna,7175,TE,16,DAL,98,23,23.5,0,0,0,0,100
2017,Matt Jones,9528,HB,1,IND,3,1,33.3,0,0,0,0,100
2017,Patrick Ricard,48862,FB,13,BLT,27,10,37,0,0,0,0,100
2017,Josh Walker,9046,G,1,JAX,2,2,100,0,0,0,0,100
2017,Bryce Harris,7245,T,1,NO,1,1,100,0,0,0,0,100
2017,Jared Norris,11011,LB,1,CAR,1,1,100,0,0,0,0,100
2017,Michael Thomas,7279,S,1,MIA,1,1,100,0,0,0,0,100
2017,L.J. Fort,7292,LB,1,PIT,1,1,100,0,0,0,0,100
2017,Steven Johnson,7298,LB,2,BLT,2,2,100,0,0,0,0,100
2017,Hakeem Valles,10960,TE,1,DET,5,4,80,0,0,0,0,100
2017,Lance Dunbar,7332,HB,3,LA,20,5,25,0,0,0,0,100
2017,Julian Stanford,7372,LB,1,NYJ,1,1,100,0,0,0,0,100
2017,Kameron Canaday,10949,LS,1,PIT,1,1,100,0,0,0,0,100
2017,Derek Carrier,7406,TE,14,LA,47,9,19.1,0,0,0,0,100
2017,Jermaine Kearse,7428,WR,16,NYJ,528,2,0.4,0,0,0,0,100
2017,Jamison Crowder,9538,WR,15,WAS,455,2,0.4,0,0,0,0,100
2017,Chester Rogers,10918,WR,11,IND,268,1,0.4,0,0,0,0,100
2017,Bobby Rainey Jr.,7511,HB,4,BLT,27,3,11.1,0,0,0,0,100
2017,Emmanuel Lamur,7561,LB,1,MIN,1,1,100,0,0,0,0,100
2017,Jamize Olawale,7572,FB,8,OAK,56,18,32.1,0,0,0,0,100
2017,Andrew DePaola,7633,TE,1,CHI,1,1,100,0,0,0,0,100
2017,Jarrod Wilson,10902,S,1,JAX,1,1,100,0,0,0,0,100
2017,Tyler Matakevich,10880,LB,1,PIT,1,1,100,0,0,0,0,100
2017,Stephen Weatherly,10861,ED,1,MIN,1,1,100,0,0,0,0,100
2017,Greg Van Roten,7746,C,1,CAR,2,2,100,0,0,0,0,100
2017,Derek Watt,10832,FB,15,LAC,28,6,21.4,0,0,0,0,100
2017,Justin Hardy,9540,WR,16,ATL,200,1,0.5,0,0,0,0,100
2017,Danny Vitale,10831,FB,15,CLV,42,13,31,0,0,0,0,100
2017,Jalston Fowler,9541,FB,8,TEN,24,11,45.8,0,0,0,0,100
2017,Andy Janovich,10810,FB,16,DEN,41,12,29.3,0,0,0,0,100
2017,Rashard Higgins,10806,WR,15,CLV,471,1,0.2,0,0,0,0,100
2017,Tyler Eifert,7802,TE,2,CIN,62,4,6.5,0,0,0,0,100
2017,Cordarrelle Patterson,7810,WR,16,OAK,274,1,0.4,0,0,0,0,100
2017,Tyreek Hill,10799,WR,15,KC,506,1,0.2,0,0,0,0,100
2017,DeAndre Washington,10777,HB,15,OAK,146,23,15.8,0,0,0,0,100
2017,Robert Woods,7822,WR,12,LA,362,3,0.8,0,0,0,0,100
2017,Jerald Hawkins,10757,T,4,PIT,10,9,90,0,0,0,0,100
2017,Pharoh Cooper,10751,WR,16,LA,88,5,5.7,0,0,0,0,100
2017,Vance McDonald,7836,TE,10,PIT,126,13,10.3,0,0,0,0,100
2017,Ricardo Louis,10748,WR,15,CLV,372,1,0.3,0,0,0,0,100
2017,C.J. Prosise,10724,HB,5,SEA,56,6,10.7,0,0,0,0,100
2017,Robert Thomas,9022,DI,2,NYG,2,2,100,0,0,0,0,100
2017,Keenan Allen,7857,WR,16,LAC,548,2,0.4,0,0,0,0,100
2017,Sean Davis,10692,S,1,PIT,1,1,100,0,0,0,0,100
2017,Christian Jones,9020,LB,1,CHI,1,1,100,0,0,0,0,100
2017,Kamalei Correa,10676,LB,2,BLT,2,2,100,0,0,0,0,100
2017,Josh Doctson,10656,WR,16,WAS,457,1,0.2,0,0,0,0,100
2017,Darron Lee,10654,LB,1,NYJ,1,1,100,0,0,0,0,100
2017,Mike Gillislee,7946,HB,9,NE,46,8,17.4,0,0,0,0,100
2017,Corey Coleman,10649,WR,9,CLV,293,1,0.3,0,0,0,0,100
2017,Willie Snead IV,8999,WR,11,NO,133,2,1.5,0,0,0,0,100
2017,Ross Travis,10320,TE,14,IND,76,1,1.3,0,0,0,0,100
2017,Roosevelt Nix,10269,FB,15,PIT,39,4,10.3,0,0,0,0,100
2017,Rex Burkhead,7971,HB,10,NE,120,13,10.8,0,0,0,0,100
