player,player_id,position,player_game_count,team_name,snap_counts_offense,snap_counts_pass,snap_counts_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_ce,snap_counts_rg,snap_counts_rt,grades_offense,grades_pass_block,grades_run_block,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,penalties,declined_penalties
Malcolm Brown,9902,HB,11,LA,24,0,14,10,0,0,0,0,0,61.5,51.2,60.1,0,0,2,2,0,0
Darrell Williams,9917,T,6,LA,120,0,51,69,122,0,0,2,2,55.5,41.8,63.0,2,1,3,6,1,0
Larry Pinkard,9930,WR,3,JAX,5,0,0,5,0,0,0,0,0,57.7,,60.1,0,0,0,0,0,0
Deshazor Everett,9940,S,1,WAS,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
David Andrews,9948,C,14,NE,990,0,603,387,0,0,1006,0,0,83.2,80.1,81.6,2,3,17,22,2,0
Brandon King,9952,S,1,NE,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
Damiere Byrd,9964,WR,8,CAR,80,0,0,80,0,0,0,0,0,59.8,,57.2,0,0,0,0,0,0
Gabe Holmes,9980,TE,2,ARZ,7,0,0,7,0,0,0,0,0,34.6,,60.4,0,0,0,0,0,0
Jesse Davis,9989,G,15,MIA,736,0,504,232,32,181,0,443,98,53.6,55.2,50.2,2,3,19,24,3,1
Thomas Rawls,9993,HB,12,SEA,42,0,29,13,0,0,0,0,0,51.5,60.4,70.5,1,0,1,2,3,0
Rod Smith,9996,HB,15,DAL,40,0,28,12,0,0,0,0,0,67.8,87.4,79.3,0,0,0,0,1,0
Jonathan Anderson,9998,LB,1,CHI,1,0,1,0,0,0,0,0,0,60.0,,,0,0,0,0,0,0
Kendall Lamm,10017,T,6,HST,159,0,88,71,130,0,0,0,0,58.4,50.2,60.5,3,0,5,8,0,0
Khari Lee,10018,TE,8,BUF,44,0,2,42,0,0,0,0,0,73.2,70.3,68.1,0,0,0,0,0,0
Greg Mancz,10019,G,10,HST,560,0,350,210,0,20,127,427,0,57.1,48.5,58.1,3,2,21,26,0,0
Chad Slade,10024,G,5,HST,163,0,88,75,0,0,0,144,0,63.6,60.0,61.9,2,1,3,6,1,1
Justin March-Lillard,10065,LB,1,DAL,1,0,1,0,0,0,0,0,0,60.0,,,0,0,0,0,0,0
Will Tye,10070,TE,3,NYJ,50,0,9,41,0,0,0,0,0,49.7,49.0,46.2,0,0,1,1,0,0
Adam Humphries,10075,WR,16,TB,146,0,0,146,0,0,0,0,0,63.0,,64.0,0,0,0,0,0,0
Quinton Spain,10110,G,14,TEN,875,0,496,379,2,885,0,7,0,63.5,74.0,58.8,4,2,21,27,5,2
Mack Brown,10115,HB,2,MIN,1,0,1,0,0,0,0,0,0,68.4,72.4,,0,0,0,0,0,0
Tyreek Burwell,10124,T,1,IND,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
Curtis Grant,10130,LB,1,NYG,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
Josh Lambo,10133,K,1,JAX,1,0,1,0,0,0,0,0,0,60.0,,,0,0,0,0,0,0
Tyrell Adams,10140,LB,1,OAK,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
Daniel Brown,10144,TE,10,CHI,63,0,9,54,0,0,0,0,0,54.7,73.8,56.0,0,0,0,0,1,0
Tyrell Williams,10154,WR,16,LAC,298,0,1,297,0,0,0,0,0,62.0,66.4,54.4,0,0,0,0,3,0
Daniel Munyer,10174,C,1,ARZ,10,0,10,0,0,10,0,0,0,63.0,68.3,,0,0,1,1,0,0
Kasen Williams,10195,WR,7,CLV,44,0,0,44,0,0,0,0,0,61.9,,69.3,0,0,0,0,0,0
Chris Manhertz,10211,TE,16,CAR,238,0,37,201,14,0,0,0,5,48.8,57.6,58.3,1,1,2,4,3,1
Jordan Berry,10236,P,1,PIT,1,0,1,0,0,0,0,0,0,60.0,62.1,,0,0,0,0,0,0
Brett Jones,10247,C,15,NYG,966,0,605,361,0,128,866,0,0,68.6,82.1,60.0,2,1,7,10,2,0
Roosevelt Nix,10269,FB,16,PIT,143,0,4,139,0,0,0,0,0,54.7,21.9,62.9,0,0,0,0,3,0
Ross Travis,10320,TE,15,IND,36,0,1,35,0,0,0,0,0,57.6,65.9,55.7,0,0,0,0,0,0
Erik Harris,10346,S,2,OAK,2,0,0,2,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
Jared Goff,10635,QB,15,LA,913,539,0,374,0,0,0,0,0,73.8,,60.0,5,3,2,10,5,0
Carson Wentz,10636,QB,13,PHI,849,537,0,312,0,0,0,0,0,84.9,,60.0,1,3,6,10,3,0
Ezekiel Elliott,10638,HB,10,DAL,60,0,43,17,0,0,0,0,0,69.5,47.6,59.7,1,1,2,4,0,0
Ronnie Stanley,10640,T,15,BLT,1008,0,582,426,989,0,0,0,0,75.1,76.2,69.8,3,2,29,34,6,0
Jack Conklin,10642,T,16,TEN,1021,0,587,434,27,0,0,1,1011,71.8,73.4,68.8,2,7,18,27,8,2
