year,player,player_id,position,player_game_count,team_name,attempts,receptions,total_attempts,yco_attempt,rush_tackles_avoided,rec_tackles_avoided,elusive
2019,Alex Erickson,11107,WR,16,CIN,5,43,48,4.2,3,4,61.2
2019,Albert Wilson,8943,WR,13,MIA,5,43,48,2,1,12,54.2
2019,Darius Slayton,25578,WR,14,NYG,0,48,48,,0,5,10.4
2019,Chris Conley,9509,WR,16,JAX,0,47,47,,0,7,14.9
2019,Evan Engram,11778,TE,8,NYG,3,44,47,1,0,1,2.1
2019,Darwin Thompson,83791,HB,11,KC,37,9,46,2.78,6,1,42.4
2019,Marquise Brown,61568,WR,14,BLT,0,46,46,,0,8,17.4
2019,Dare Ogunbowale,12329,HB,16,TB,11,35,46,1.73,2,4,22.5
2019,Ty Montgomery,9527,WR,16,NYJ,32,13,45,2.16,2,0,9.6
2019,T.Y. Hilton,7092,WR,10,IND,0,45,45,,0,3,6.7
2019,Taysom Hill,12112,QB,16,NO,25,19,44,3.4,7,1,61.8
2019,Alshon Jeffery,7048,WR,10,PHI,1,43,44,2,1,0,4.5
2019,James Washington,47792,WR,15,PIT,0,44,44,,0,2,4.5
2019,Corey Davis,11760,WR,15,TEN,0,43,43,,0,7,16.3
2019,Darrell Henderson,41193,HB,8,LA,39,4,43,3.72,10,1,95.1
2019,Jack Doyle,8520,TE,16,IND,0,43,43,,0,1,2.3
2019,Tyler Eifert,7802,TE,16,CIN,0,43,43,,0,0,0
2019,Noah Fant,42388,TE,16,DEN,3,40,43,0.33,0,6,4.7
2019,Myles Gaskin,45914,HB,7,MIA,36,7,43,3.28,8,1,68.6
2019,Zach Pascal,12303,WR,16,IND,2,41,43,2.5,0,4,23.3
2019,Jared Cook,5012,TE,14,NO,0,43,43,,0,4,9.3
2019,Steven Sims,48341,WR,16,WAS,9,34,43,7.44,3,1,69.3
2019,Tyrell Williams,10154,WR,14,OAK,0,42,42,,0,4,9.5
2019,JuJu Smith-Schuster,11817,WR,12,PIT,0,42,42,,0,4,9.5
2019,Nelson Agholor,9453,WR,11,PHI,2,39,41,3.5,0,5,42.7
2019,Jacob Hollister,12051,TE,11,SEA,0,41,41,,0,2,4.9
2019,Wayne Gallman,11895,HB,10,NYG,29,11,40,1.66,3,4,29
2019,Kenny Stills,7926,WR,13,HST,0,40,40,,0,0,0
2019,Auden Tate,48192,WR,12,CIN,0,40,40,,0,5,12.5
2019,Jonnu Smith,11855,TE,16,TEN,4,35,39,21,5,14,1023.1
2019,Kyle Rudolph,6195,TE,16,MIN,0,39,39,,0,2,5.1
2019,Vance McDonald,7836,TE,14,PIT,1,38,39,1,0,5,12.8
2019,Adam Humphries,10075,WR,12,TEN,1,37,38,2,0,1,5.3
2019,Gerald Everett,11799,TE,12,LA,1,37,38,1,0,13,34.2
2019,Justin Jackson,29539,HB,7,LAC,29,9,38,4.17,8,0,87.8
2019,Breshad Perriman,9459,WR,14,TB,2,36,38,2,0,2,10.5
2019,Jimmy Graham,5619,TE,16,GB,0,38,38,,0,4,10.5
2019,Ameer Abdullah,9487,HB,16,MIN,23,15,38,2.17,4,1,28.6
2019,Cameron Brate,9207,TE,16,TB,0,36,36,,0,3,8.3
2019,Jordan Akins,47050,TE,16,HST,0,36,36,,0,8,22.2
2019,Allen Lazard,48135,WR,15,GB,1,35,36,8,0,1,22.2
2019,Demaryius Thomas,5547,WR,11,NYJ,0,36,36,,0,3,8.3
2019,Irv Smith Jr.,42060,TE,16,MIN,0,36,36,,0,1,2.8
2019,Deshaun Watson,11767,QB,15,HST,34,1,35,5.35,6,0,91.8
2019,Geronimo Allison,11141,WR,16,GB,1,34,35,3,0,1,8.6
2019,Isaiah McKenzie,11927,WR,15,BUF,8,27,35,2.75,2,4,47.1
2019,O.J. Howard,11774,TE,14,TB,0,34,34,,0,2,5.9
2019,Ryan Griffin,7982,TE,13,NYJ,0,34,34,,0,1,2.9
2019,Adam Thielen,8288,WR,10,MIN,4,30,34,3,1,2,26.5
2019,Darren Fells,8549,TE,15,HST,0,34,34,,0,2,5.9
2019,Jimmy Garoppolo,8697,QB,16,SF,34,0,34,2.18,1,0,6.4
2019,Jon Hilliman,45826,HB,3,NYG,30,3,33,1.93,0,0,0
2019,Willie Snead IV,8999,WR,16,BLT,2,31,33,0.5,0,4,6.1
2019,Carson Wentz,10636,QB,16,PHI,33,0,33,3.97,7,0,84.2
2019,Ted Ginn Jr.,3625,WR,16,NO,3,30,33,0.33,0,0,0
2019,C.J. Prosise,10724,HB,8,SEA,23,10,33,2.04,2,0,12.4
2019,Ito Smith,45932,HB,7,ATL,22,11,33,3.09,4,5,84.3
2019,Damiere Byrd,9964,WR,11,ARZ,0,32,32,,0,5,15.6
2019,Taylor Gabriel,9002,WR,9,CHI,3,29,32,2.67,1,0,8.3
2019,Olabisi Johnson,47882,WR,16,MIN,1,31,32,2,0,1,6.3
2019,Phillip Dorsett,9462,WR,14,NE,3,29,32,1.33,0,0,0
2019,Dak Prescott,10769,QB,16,DAL,32,0,32,5.22,14,0,228.3
2019,Demarcus Robinson,10760,WR,16,KC,0,32,32,,0,9,28.1
2019,Allen Hurns,8931,WR,14,MIA,0,32,32,,0,3,9.4
2019,Preston Williams,38855,WR,8,MIA,0,32,32,,0,0,0
2019,T.J. Hockenson,40912,TE,12,DET,0,32,32,,0,4,12.5
2019,Nick Boyle,9604,TE,16,BLT,0,31,31,,0,1,3.2
2019,Blake Jarwin,12320,TE,16,DAL,0,31,31,,0,3,9.7
2019,John Ross,11764,WR,8,CIN,3,28,31,1.33,0,6,25.8
2019,Eric Ebron,8645,TE,11,IND,0,31,31,,0,4,12.9
2019,Wendell Smallwood,10787,HB,12,WAS,22,9,31,2.5,4,0,32.3
2019,Kaden Smith,40973,TE,9,NYG,0,31,31,,0,2,6.5
2019,Kelvin Harmon,47931,WR,16,WAS,0,30,30,,0,3,10
2019,T.J. Yeldon,9469,HB,6,BUF,17,13,30,3.35,3,1,44.7
2019,Mecole Hardman,42683,WR,16,KC,4,26,30,0.75,1,8,22.5
2019,Jeff Wilson Jr.,29413,HB,8,SF,27,3,30,2.52,1,0,8.4
2019,Kendrick Bourne,12270,WR,16,SF,0,30,30,,0,5,16.7
2019,Hayden Hurst,47294,TE,16,BLT,0,30,30,,0,2,6.7
2019,Russell Wilson,7077,QB,16,SEA,30,0,30,3.47,6,0,69.3
2019,Paul Richardson Jr.,8680,WR,10,WAS,1,28,29,1,0,1,3.4
2019,Jarius Wright,7118,WR,16,CAR,1,28,29,3,1,1,20.7
2019,Dawson Knox,35883,TE,15,BUF,1,28,29,3,0,6,62.1
2019,Travis Homer,45859,HB,4,SEA,18,11,29,2.28,2,2,31.4
2019,Greg Ward,12258,WR,7,PHI,1,28,29,3,0,2,20.7
2019,DaeSean Hamilton,45416,WR,16,DEN,0,28,28,,0,2,7.1
2019,Marquez Valdes-Scantling,47809,WR,16,GB,2,26,28,2.5,0,2,17.9
2019,Josh Gordon,7618,WR,11,SEA,1,27,28,1,0,4,14.3
2019,Cordarrelle Patterson,7810,WR,16,CHI,17,11,28,2.53,3,3,54.2
2019,Trey Edmunds,38329,HB,9,PIT,22,6,28,2.14,0,1,7.6
2019,Zay Jones,11792,WR,15,OAK,1,27,28,1,0,0,0
2019,Jameis Winston,9434,QB,16,TB,27,0,27,4.52,4,0,66.9
2019,C.J. Uzomah,9590,TE,16,CIN,0,27,27,,0,2,7.4
2019,Josh Reynolds,11872,WR,16,LA,5,21,26,1.4,0,7,37.7
2019,Jeremy Sprinkle,11909,TE,16,WAS,0,26,26,,0,2,7.7
2019,Kerrith Whyte Jr.,26392,HB,6,PIT,25,1,26,3.6,4,0,55.4
2019,Pharoh Cooper,10751,WR,13,ARZ,1,25,26,1,0,2,7.7
2019,Trey Quinn,38276,WR,12,WAS,0,26,26,,0,2,7.7
2019,Jakobi Meyers,47468,WR,15,NE,0,26,26,,0,5,19.2
2019,Dontrell Hilliard,45691,HB,14,CLV,13,12,25,1.85,1,2,22.2
2019,Tajae Sharpe,10774,WR,15,TEN,0,25,25,,0,0,0
2019,Josh Hill,8200,TE,16,NO,0,25,25,,0,2,8
2019,Ryan Tannehill,7014,QB,12,TEN,25,0,25,2.64,2,0,21.1
2019,Mitchell Trubisky,11757,QB,15,CHI,25,0,25,5,7,0,140
2019,Keelan Cole,51593,WR,16,JAX,1,24,25,5,0,0,0
2019,Keke Coutee,47698,WR,9,HST,2,22,24,0,0,3,0
2019,Sam Darnold,29048,QB,13,NYJ,24,0,24,1.04,0,0,0
2019,Bennie Fowler,8914,WR,8,NYG,1,23,24,23,1,0,95.8
2019,Will Dissly,30762,TE,6,SEA,1,23,24,2,0,1,8.3
2019,Cody Latimer,8691,WR,15,NYG,0,24,24,,0,1,4.2
2019,C.J. Ham,11347,FB,16,MIN,7,17,24,2.29,2,2,38.1
2019,Brandon Bolden,7469,HB,13,NE,15,9,24,2,3,4,58.3
2019,Jacoby Brissett,10725,QB,15,IND,23,1,24,6.09,11,0,279
2019,Tom Brady,698,QB,16,NE,23,0,23,1.13,1,0,4.9
2019,Darren Sproles,2347,HB,6,PHI,17,6,23,2,1,2,26.1
2019,Andy Dalton,6187,QB,13,CIN,22,1,23,1.86,2,0,16.2
2019,Kyle Juszczyk,7912,FB,12,SF,3,20,23,2,0,1,8.7
2019,Jakeem Grant,10820,WR,10,MIA,4,19,23,0.75,1,1,6.5
2019,Isaiah Ford,11991,WR,8,MIA,0,23,23,,1,3,17.4
2019,Qadree Ollison,45934,HB,6,ATL,22,1,23,1.82,1,0,7.9
2019,Spencer Ware,7975,HB,3,KC,17,5,22,2.47,1,1,22.5
2019,Parris Campbell,47940,WR,7,IND,4,18,22,6.75,2,5,214.8
2019,KeeSean Johnson,39587,WR,10,ARZ,1,21,22,0,0,1,0
2019,Kirk Cousins,7102,QB,15,MIN,22,0,22,0.86,0,0,0
2019,Tra Carson,11104,HB,2,DET,18,4,22,1.83,3,0,25
2019,Reggie Bonnafon,47542,HB,9,CAR,16,6,22,2.06,1,0,9.4
2019,Jared Goff,10635,QB,16,LA,21,0,21,1.24,1,0,5.9
2019,Seth Roberts,9079,WR,16,BLT,0,21,21,,0,3,14.3
2019,Foster Moreau,47043,TE,13,OAK,0,21,21,,0,4,19
2019,Delanie Walker,3120,TE,7,TEN,0,21,21,,0,2,9.5
2019,David Moore,11981,WR,14,SEA,3,17,20,6,2,5,210
2019,Vyncint Smith,66957,WR,13,NYJ,3,17,20,2.33,1,2,35
2019,Mike Davis,9559,HB,7,CAR,13,7,20,1.85,0,0,0
2019,Aaron Rodgers,2241,QB,16,GB,20,0,20,2.9,2,0,29
2019,Tavon Austin,7789,WR,14,DAL,6,13,19,2.33,1,0,12.3
2019,Robert Griffin III,7008,QB,7,BLT,19,0,19,1.68,1,0,8.9
2019,Patrick Mahomes,11765,QB,14,KC,19,0,19,3.05,2,0,32.1
2019,Justin Hardy,9540,WR,16,ATL,0,19,19,,0,1,5.3
2019,Javon Wims,41406,WR,16,CHI,0,18,18,,0,0,0
2019,Ryan Fitzpatrick,2467,QB,15,MIA,18,0,18,9.67,4,0,214.8
2019,Tre'Quan Smith,48228,WR,11,NO,0,18,18,,0,7,38.9
2019,Charles Clay,6326,TE,15,ARZ,0,18,18,,0,1,5.6
2019,Rhett Ellison,7128,TE,10,NYG,0,18,18,,0,3,16.7
2019,Marcus Johnson,11074,WR,8,IND,0,17,17,,0,0,0
2019,Chester Rogers,10918,WR,12,IND,1,16,17,3,0,1,17.6
2019,N'Keal Harry,48297,WR,7,NE,5,12,17,10.4,4,4,489.4
2019,Gardner Minshew,41401,QB,14,JAX,17,0,17,7.65,5,0,224.9
2019,Benjamin Watson,1753,TE,10,NE,0,17,17,,0,3,17.6
2019,Nick Vannett,10728,TE,16,PIT,0,17,17,,0,3,17.6
2019,Elijhaa Penny,11300,HB,15,NYG,15,2,17,1.93,1,0,11.4
2019,Tim Patrick,12087,WR,8,DEN,0,16,16,,0,1,6.3
2019,Jesse James,9593,TE,16,DET,0,16,16,,0,0,0
2019,Daniel Jones,39395,QB,13,NYG,16,0,16,5.94,6,0,222.7
2019,Jaron Brown,8128,WR,14,SEA,0,16,16,,0,1,6.3
2019,Teddy Bridgewater,8667,QB,9,NO,16,0,16,3.13,2,0,39.1
2019,Alec Ingold,34934,FB,16,OAK,10,6,16,1.3,0,0,0
2019,Logan Thomas,8755,TE,16,DET,0,16,16,,0,0,0
2019,C.J. Anderson,8101,HB,2,DET,16,0,16,2.06,1,0,12.9
2019,Ian Thomas,42130,TE,16,CAR,0,16,16,,0,1,6.3
2019,Maxx Williams,9488,TE,16,ARZ,0,15,15,,0,5,33.3
2019,Marcedes Lewis,2973,TE,16,GB,0,15,15,,0,2,13.3
2019,Malik Turner,48078,WR,15,SEA,0,15,15,,0,4,26.7
2019,Scotty Miller,47481,WR,10,TB,2,13,15,8,1,0,53.3
2019,Demetrius Harris,8524,TE,15,CLV,0,15,15,,0,5,33.3
2019,Justin Watson,66915,WR,13,TB,0,15,15,,0,0,0
2019,Ross Dwelley,20994,TE,15,SF,0,15,15,,0,0,0
2019,Anthony Firkser,51837,TE,15,TEN,0,14,14,,0,0,0
2019,Derek Carrier,7406,TE,15,OAK,1,13,14,1,0,0,0
2019,Jeff Heuerman,9525,TE,14,DEN,0,14,14,,0,1,7.1
2019,Ricky Seals-Jones,12020,TE,14,CLV,0,14,14,,0,0,0
2019,James O'Shaughnessy,9606,TE,5,JAX,0,14,14,,0,2,14.3
2019,Trey Burton,9185,TE,8,CHI,0,14,14,,0,0,0
2019,Marquise Goodwin,7859,WR,8,SF,1,12,13,1,0,0,0
2019,Geoff Swaim,9679,TE,6,JAX,0,13,13,,0,0,0
2019,Andy Isabella,47448,WR,14,ARZ,4,9,13,0.75,0,3,17.3
2019,Nick O'Leary,9627,TE,12,JAX,0,13,13,,0,0,0
2019,Paul Perkins,10783,HB,3,DET,12,1,13,1.42,1,0,10.9
2019,Zach Line,8420,FB,12,NO,7,6,13,1.86,2,0,28.6
2019,Derek Carr,8671,QB,16,OAK,13,0,13,1,0,0,0
2019,Devlin Hodges,29838,QB,8,PIT,13,0,13,0.54,0,0,0
2019,Miles Boykin,48209,WR,16,BLT,0,13,13,,0,0,0
2019,Matt LaCosse,9840,TE,11,NE,0,13,13,,0,1,7.7
2019,Dontrelle Inman,6597,WR,7,IND,0,12,12,,0,0,0
2019,Marshawn Lynch,3628,HB,1,SEA,12,0,12,2.58,1,0,21.5
2019,Wes Hills,30228,HB,1,DET,10,2,12,1.5,1,0,12.5
2019,Damion Ratley,48182,WR,13,CLV,0,12,12,,0,2,16.7
2019,Jake Kumerow,9883,WR,14,GB,0,12,12,,0,3,25
2019,Byron Pringle,42345,WR,14,KC,0,12,12,,0,5,41.7
2019,Seth DeValve,10772,TE,12,JAX,0,12,12,,0,0,0
2019,Kyle Allen,26152,QB,13,CAR,12,0,12,6.33,3,0,158.3
2019,Trevor Davis,10797,WR,9,MIA,4,8,12,1,0,1,8.3
2019,Devine Ozigbo,45903,HB,4,JAX,9,3,12,1.89,0,1,15.7
2019,Troymaine Pope,11473,HB,2,LAC,10,2,12,1.5,3,0,37.5
2019,Duke Williams,11366,WR,4,BUF,0,12,12,,0,2,16.7
2019,Matt Ryan,4317,QB,15,ATL,12,0,12,5.25,3,0,131.3
2019,Jeff Driskel,10841,QB,3,DET,10,1,11,6.2,3,0,169.1
2019,DeAndre Carter,9859,WR,10,HST,0,11,11,,0,0,0
2019,Javorius Allen,9558,HB,5,NYG,10,1,11,4,2,0,72.7
2019,Dalyn Dawkins,39541,HB,2,TEN,11,0,11,1.18,1,0,10.7
2019,Baker Mayfield,46518,QB,16,CLV,11,0,11,5.64,3,0,153.7
2019,Mason Rudolph,46569,QB,10,PIT,11,0,11,3.27,3,0,89.3
2019,Matthew Stafford,4924,QB,8,DET,11,0,11,1.55,2,0,28.1
2019,Christian Blake,47900,WR,9,ATL,0,11,11,,0,0,0
2019,Dante Pettis,48113,WR,11,SF,0,11,11,,0,2,18.2
2019,Keelan Doss,48143,WR,8,OAK,0,11,11,,0,3,27.3
2019,J.J. Arcega-Whiteside,35014,WR,16,PHI,0,10,10,,0,0,0
2019,Robert Tonyan,12193,TE,11,GB,0,10,10,,0,0,0
2019,Jay Ajayi,9582,HB,3,PHI,10,0,10,2.7,4,0,108
2019,Kalif Raymond,11028,WR,8,TEN,1,9,10,0,0,0,0
2019,Deonte Harris,91470,WR,11,NO,4,6,10,1.75,0,2,35
2019,Kenjon Barner,7963,HB,10,ATL,4,6,10,1.5,0,0,0
2019,D'Ernest Johnson,45734,HB,8,CLV,4,6,10,1.75,0,1,17.5
2019,Andrew Beck,47121,TE,15,DEN,1,9,10,2,0,0,0
2019,Vernon Davis,2951,TE,4,WAS,0,10,10,,0,3,30
2019,Taiwan Jones,6277,HB,2,HST,9,1,10,3.11,1,1,62.2
2019,Derek Watt,10832,FB,16,LAC,7,3,10,0.86,0,1,8.6
2019,Mack Hollins,11873,WR,15,MIA,0,10,10,,0,0,0
2019,Dwayne Washington,10870,HB,6,NO,8,1,9,6.75,3,0,225
2019,Virgil Green,6356,TE,15,LAC,0,9,9,,0,2,22.2
2019,Tyrod Taylor,6332,QB,6,LAC,9,0,9,0.56,0,0,0
2019,Jaeden Graham,31849,TE,15,ATL,0,9,9,,0,1,11.1
2019,Laquon Treadwell,10657,WR,13,MIN,0,9,9,,0,1,11.1
2019,DeSean Jackson,4363,WR,3,PHI,0,9,9,,0,0,0
2019,Diontae Spencer,91248,WR,14,DEN,3,6,9,1,0,0,0
2019,Deon Cain,13597,WR,13,PIT,0,9,9,,0,0,0
2019,Joshua Perkins,11051,TE,4,PHI,0,9,9,,0,1,11.1
2019,Adam Shaheen,11800,TE,8,CHI,0,9,9,,0,1,11.1
2019,Drew Brees,802,QB,11,NO,9,0,9,0,0,0,0
2019,Damion Willis,61737,WR,9,CIN,0,9,9,,0,2,22.2
