year,player,player_id,position,player_game_count,team_name,pass_snaps,attempts,pass_block_percentage,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,pbe
2016,Troymaine Pope,11473,HB,3,SEA,16,1,6.3,0,0,0,0,100
2016,Anquan Boldin,1369,WR,16,DET,551,4,0.7,0,0,0,0,100
2016,Philip Rivers,1725,QB,16,SD,622,1,0.2,0,0,0,0,100
2016,Alex Smith,2218,QB,15,KC,541,1,0.2,0,0,0,0,100
2016,Reggie Bush,2947,HB,10,BUF,48,5,10.4,0,0,0,0,100
2016,Brandon Marshall,3064,WR,15,NYJ,548,1,0.2,0,0,0,0,100
2016,Delanie Walker,3120,TE,15,TEN,444,22,5,0,0,0,0,100
2016,Sam Koch,3148,P,1,BLT,1,1,100,0,0,0,0,100
2016,Thomas Gafford,3316,LS,1,DEN,1,1,100,0,0,0,0,100
2016,Adrian Peterson,3623,HB,3,MIN,46,8,17.4,0,0,0,0,100
2016,Ryan Harris,3686,T,1,PIT,15,15,100,0,0,0,0,100
2016,Darren McFadden,4318,HB,3,DAL,21,3,14.3,0,0,0,0,100
2016,Jamaal Charles,4387,HB,3,KC,13,1,7.7,0,0,0,0,100
2016,John Sullivan,4501,C,3,WAS,56,56,100,0,0,0,0,100
2016,Matthew Mulligan,4701,TE,8,DET,65,45,69.2,0,0,0,0,100
2016,Marcel Reece,4702,FB,4,SEA,28,5,17.9,0,0,0,0,100
2016,Darrius Heyward-Bey,4930,WR,9,PIT,144,1,0.7,0,0,0,0,100
2016,Jeremy Maclin,4942,WR,12,KC,388,1,0.3,0,0,0,0,100
2016,Will Beatty,4983,T,1,NYG,1,1,100,0,0,0,0,100
2016,Chase Coffman,5021,TE,1,IND,4,1,25,0,0,0,0,100
2016,David Bruton,5037,S,1,WAS,1,1,100,0,0,0,0,100
2016,Zach Miller,5104,TE,10,CHI,323,21,6.5,0,0,0,0,100
2016,Cedric Peerman,5109,HB,2,CIN,5,3,60,0,0,0,0,100
2016,Julian Edelman,5156,WR,16,NE,559,1,0.2,0,0,0,0,100
2016,David Johnson,5165,TE,16,PIT,81,19,23.5,0,0,0,0,100
2016,Arian Foster,5398,HB,4,MIA,57,6,10.5,0,0,0,0,100
2016,Antone Smith,5440,HB,3,TB,37,2,5.4,0,0,0,0,100
2016,Nick Sundberg,5512,LS,1,WAS,1,1,100,0,0,0,0,100
2016,C.J. Spiller,5534,HB,6,NYJ,44,5,11.4,0,0,0,0,100
2016,Tyson Alualu,5535,DI,2,JAX,2,1,50,0,0,0,0,100
2016,Dexter McCluster,5561,HB,6,SD,35,2,5.7,0,0,0,0,100
2016,Rob Gronkowski,5567,TE,8,NE,200,31,15.5,0,0,0,0,100
2016,Linval Joseph,5571,DI,1,MIN,1,1,100,0,0,0,0,100
2016,Clay Harbor,5648,TE,10,DET,65,9,13.8,0,0,0,0,100
2016,Dekoda Watson,5740,ED,1,DEN,1,1,100,0,0,0,0,100
2016,Jim Dray,5756,TE,5,SF,18,6,33.3,0,0,0,0,100
2016,Victor Cruz,5827,WR,15,NYG,468,1,0.2,0,0,0,0,100
2016,Ben Garland,5839,DI,3,ATL,15,15,100,0,0,0,0,100
2016,Chris Ivory,6007,HB,11,JAX,161,21,13,0,0,0,0,100
2016,Morgan Cox,6020,LS,1,BLT,1,1,100,0,0,0,0,100
2016,Andrew Hawkins,6125,WR,16,CLV,448,1,0.2,0,0,0,0,100
