year,player,player_id,position,player_game_count,team_name,snap_counts_offense,snap_counts_pass,snap_counts_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_ce,snap_counts_rg,snap_counts_rt,grades_offense,grades_pass_block,grades_run_block,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,penalties,declined_penalties
2016,Kyle Juszczyk,7912,FB,16,BLT,200,0,95,105,0,0,0,0,0,75.6,91,67.7,2,1,1,4,0,0
2016,Levine Toilolo,7915,TE,16,ATL,392,0,101,291,0,0,0,0,0,67.6,63.6,65.6,1,1,9,11,2,0
2016,Denard Robinson,7917,HB,6,JAX,20,0,14,6,0,0,0,0,0,56.2,35.9,59.8,0,1,2,3,0,0
2016,Stepfan Taylor,7922,HB,4,ARZ,7,0,2,5,0,0,0,0,0,65.1,17.7,60.1,0,1,0,1,0,0
2016,Oday Aboushi,7923,G,4,HST,267,0,154,113,0,70,0,201,0,66.6,74.2,62.7,0,1,5,6,1,0
2016,Jonathan Meeks,7925,S,1,BUF,1,0,0,1,0,0,0,0,0,60,,60,0,0,0,0,0,0
2016,Kenny Stills,7926,WR,16,MIA,302,0,0,302,0,0,0,0,0,67.7,,56.4,0,0,0,0,6,3
2016,Chris Thompson,7936,HB,16,WAS,94,0,85,9,0,0,0,0,0,63.2,68.3,60.6,2,2,6,10,0,0
2016,Luke Willson,7940,TE,11,SEA,204,0,41,163,0,0,0,0,1,64.5,64.7,66.4,0,1,2,3,3,0
2016,Tavarres King,7943,WR,7,NYG,33,0,0,33,0,0,0,0,0,58.7,,58.9,0,0,0,0,0,0
2016,Jordan Mills,7945,T,16,BUF,1033,0,596,437,24,0,0,0,1009,61.8,61.5,59.7,8,3,46,57,6,0
2016,Mike Gillislee,7946,HB,15,BUF,71,0,44,27,0,0,0,0,0,79.2,54,58.3,0,1,5,6,0,0
2016,Caleb Sturgis,7948,K,1,PHI,1,0,0,1,0,0,0,0,0,60,,60,0,0,0,0,0,0
2016,Rick Wagner,7950,T,14,BLT,926,0,612,314,0,0,0,4,933,74,78.4,63.4,3,4,25,32,3,1
2016,Eric Kush,7952,C,6,CHI,279,0,164,115,0,284,0,0,0,69.7,69.8,68.5,0,1,5,6,1,0
2016,Vinston Painter,7955,T,4,WAS,10,0,2,8,3,0,0,0,3,63.3,74.3,60.9,0,0,0,0,0,0
2016,Latavius Murray,7962,HB,14,OAK,93,0,71,22,0,0,0,0,0,65.3,84.9,62.2,0,0,3,3,0,0
2016,Kenjon Barner,7963,HB,13,PHI,17,0,8,9,0,0,0,0,0,47.3,50.5,60,0,1,0,1,1,0
2016,Mychal Rivera,7965,TE,13,OAK,136,0,13,123,0,0,0,0,0,64.4,81,59.7,0,0,0,0,0,0
2016,Andre Ellington,7968,HB,16,ARZ,27,0,16,11,0,0,0,0,0,64.8,73.3,55.9,0,0,2,2,0,0
2016,Mike James,7970,HB,3,TB,3,0,2,1,0,0,0,0,0,52.5,79.1,60,0,0,0,0,0,0
2016,Rex Burkhead,7971,HB,11,CIN,51,0,47,4,0,0,0,0,0,75.9,73.7,59.9,0,1,2,3,0,0
2016,Nate Palmer,7974,LB,2,TEN,1,0,0,1,0,0,0,0,0,60,,60,0,0,0,0,0,0
2016,Spencer Ware,7975,HB,14,KC,62,0,29,33,0,0,0,0,0,73.2,73.9,75.9,0,0,1,1,0,0
2016,Cobi Hamilton,7978,WR,11,PIT,126,0,0,126,0,0,0,0,0,62.6,,57,0,0,0,0,1,0
2016,Theo Riddick,7980,HB,10,DET,55,0,48,7,0,0,0,0,0,72,77.2,58,0,1,1,2,0,0
2016,Ryan Griffin,7982,TE,16,HST,206,0,14,192,0,0,0,0,0,55.9,64.4,56.2,0,1,0,1,3,0
2016,Ryan Jensen,7985,G,5,BLT,273,0,198,75,1,99,0,178,0,64.6,73.6,62,0,2,8,10,2,0
2016,Mike Catapano,7989,ED,1,NYJ,1,0,0,1,0,0,0,0,0,60,,60,0,0,0,0,0,0
2016,Brice Butler,7991,WR,16,DAL,194,0,0,194,0,0,0,0,0,61.1,,54.1,0,0,0,0,3,0
2016,Charles Johnson,7998,WR,16,MIN,135,0,0,135,0,0,0,0,0,60.4,,63.1,0,0,0,0,1,0
2016,Jordan Poyer,8000,S,1,CLV,1,0,0,1,0,0,0,0,0,60,,60,0,0,0,0,2,1
2016,Nick Williams,8005,WR,2,ATL,1,0,0,1,0,0,0,0,0,93.6,,60,0,0,0,0,0,0
2016,Kerwynn Williams,8013,HB,6,ARZ,6,0,4,2,0,0,0,0,0,62,76.6,60,0,0,0,0,0,0
2016,David Bass,8016,ED,1,TEN,1,0,0,1,0,0,0,0,0,60,,60,0,0,0,0,1,0
2016,Marquess Wilson,8019,WR,3,CHI,12,0,0,12,0,0,0,0,0,74.6,,79.2,0,0,0,0,0,0
2016,T.J. Johnson,8034,C,6,CIN,99,0,53,46,0,72,28,0,0,64.8,89.3,56.4,0,0,1,1,0,0
2016,Carson Tinker,8043,LS,1,JAX,1,0,0,1,0,0,0,0,0,60,,60,0,0,0,0,0,0
2016,Chris Hubbard,8051,T,13,PIT,324,0,156,168,0,1,2,0,208,69.4,76.3,64.3,0,1,4,5,3,1
2016,Rashad Ross,8061,WR,5,WAS,12,0,0,12,0,0,0,0,0,56.2,,60.9,0,0,0,0,0,0
