year,team_name,pass_snaps,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,pbe
2016,OAK,629,8,16,102,126,89.3
2016,GB,697,15,6,115,136,89.2
2016,NO,698,16,26,108,150,88.1
2016,PIT,617,14,17,104,135,87.9
2016,KC,601,20,14,91,125,87.9
2016,PHI,662,18,27,101,146,87.6
2016,CHI,591,16,20,97,133,87.4
2016,TEN,554,15,9,108,132,86.7
2016,DAL,539,15,17,98,130,86.5
2016,WAS,635,13,24,121,158,86.5
2016,NE,595,15,26,106,147,86.4
2016,BLT,713,15,22,143,180,86.3
2016,JAX,699,15,28,137,180,86.1
2016,ATL,593,25,33,84,142,85.9
2016,CIN,625,28,12,109,149,85.8
2016,NYG,624,15,29,125,169,85.3
2016,NYJ,610,21,29,116,166,84.7
2016,DET,655,23,19,140,182,84.4
2016,TB,643,17,38,141,196,83.4
2016,BUF,572,17,19,139,175,83.2
2016,CLV,660,33,29,134,196,82.7
2016,CAR,608,21,25,144,190,82.6
2016,MIN,634,28,44,126,198,82.2
2016,MIA,521,19,33,118,170,81.9
2016,LA,594,30,24,133,187,81.7
2016,DEN,628,23,28,157,208,81.6
2016,HST,630,25,32,153,210,81.3
2016,ARZ,691,28,52,157,237,80.8
2016,SEA,648,23,37,178,238,79.9
2016,SF,591,25,18,172,215,79.7
2016,SD,623,27,42,169,238,78.7
2016,IND,667,28,44,189,261,78.3
