player,player_id,position,player_game_count,team_name,coverage_snaps,targets,receptions,yards,yards_after_catch,touchdowns,interceptions,qb_rating_against,yards_per_coverage_snap,coverage_snaps_per_target,coverage_snaps_per_reception
Terrence Brooks,8714,S,1,PHI,3,2,0,0,0,0,1,0.0,0.0,1.5,
Marcus Sherels,6017,CB,1,MIN,3,3,0,0,0,0,0,39.6,0.0,1.0,
Brennan Scarlett,11169,ED,5,HST,9,1,0,0,0,0,0,39.6,0.0,9.0,
DeVante Parker,9447,WR,1,MIA,1,1,0,0,0,0,0,39.6,0.0,1.0,
Cliff Avril,4406,ED,16,SEA,16,1,0,0,0,0,0,39.6,0.0,16.0,
Jordan Phillips,9485,DI,16,MIA,5,1,0,0,0,0,1,0.0,0.0,5.0,
Chris Landrum,10992,ED,9,SD,8,1,0,0,0,0,0,39.6,0.0,8.0,
Jarrod Wilson,10902,S,5,JAX,7,1,0,0,0,0,0,39.6,0.0,7.0,
Jayron Kearse,10878,S,5,MIN,42,3,0,0,0,0,0,39.6,0.0,14.0,
Kavon Frazier,10846,S,3,DAL,23,1,0,0,0,0,0,39.6,0.0,23.0,
Harlan Miller,10839,CB,2,ARZ,87,1,0,0,0,0,1,0.0,0.0,87.0,
Jordan Richards,9497,S,4,NE,8,1,0,0,0,0,0,39.6,0.0,8.0,
Dewey McDonald,8913,S,1,SEA,5,1,0,0,0,0,0,39.6,0.0,5.0,
KeiVarae Russell,10708,CB,1,CIN,1,1,0,0,0,0,1,0.0,0.0,1.0,
Henry Anderson,9526,DI,11,IND,2,1,0,0,0,0,0,39.6,0.0,2.0,
Ezekiel Ansah,8094,ED,12,DET,8,1,0,0,0,0,0,39.6,0.0,8.0,
Sheldon Price,8479,CB,2,BLT,4,2,0,0,0,0,0,39.6,0.0,2.0,
Justin Gilbert,8643,CB,3,PIT,9,1,0,0,0,0,0,39.6,0.0,9.0,
Deshazor Everett,9940,S,4,WAS,23,1,0,0,0,0,1,0.0,0.0,23.0,
Duron Harmon,7872,S,16,NE,346,5,4,50,13,0,1,68.8,0.14,69.2,86.5
Cody Davis,8458,S,15,LA,166,6,2,22,17,0,1,5.6,0.13,27.7,83.0
Ricardo Allen,8782,S,16,ATL,710,18,10,128,83,2,2,75.5,0.18,39.4,71.0
Rashad Johnson,5018,S,14,TEN,345,12,5,35,16,0,0,49.3,0.1,28.8,69.0
Derron Smith,9630,S,8,CIN,63,2,1,7,0,1,0,97.9,0.11,31.5,63.0
Deon Bush,10758,S,8,CHI,176,6,3,41,30,0,0,72.2,0.23,29.3,58.7
Andrew Adams,11240,S,14,NYG,436,16,8,117,48,1,1,69.0,0.27,27.3,54.5
Rodney McLeod,7271,S,16,PHI,589,20,11,144,54,1,3,55.0,0.24,29.5,53.5
Tashaun Gipson Sr.,7288,S,16,JAX,593,17,12,200,34,2,1,124.6,0.34,34.9,49.4
Maurice Alexander,8745,S,14,LA,519,16,11,131,35,0,2,53.9,0.25,32.4,47.2
Kentrell Brice,11142,S,14,GB,188,7,4,79,42,0,0,96.7,0.42,26.9,47.0
Tre Boston,8763,S,15,CAR,554,27,12,178,88,0,2,35.7,0.32,20.5,46.2
Eric Weddle,3653,S,16,BLT,593,22,13,221,89,2,4,83.9,0.37,27.0,45.6
Reggie Nelson,3637,S,16,OAK,574,23,13,197,71,2,5,74.3,0.34,25.0,44.2
Max Bullough,8919,LB,13,HST,88,6,2,3,-1,1,0,81.9,0.03,14.7,44.0
James Ihedigbo,4147,S,4,BUF,44,3,1,17,3,0,0,53.5,0.39,14.7,44.0
Dexter McCoil,10341,S,11,SD,176,8,4,19,6,1,1,56.3,0.11,22.0,44.0
Andrew Sendejo,6118,S,14,MIN,511,19,12,214,53,1,2,79.6,0.42,26.9,42.6
Steven Terrell,8450,S,11,SEA,200,8,5,79,22,1,0,134.9,0.4,25.0,40.0
Jaylen Watkins,8736,S,14,PHI,252,14,7,81,30,1,0,91.7,0.32,18.0,36.0
Mike Mitchell,4970,S,16,PIT,608,36,17,251,91,0,1,58.9,0.41,16.9,35.8
Chris Prosinski,6273,S,14,CHI,107,6,3,42,5,0,0,72.9,0.39,17.8,35.7
Adrian Phillips,9177,S,14,SD,320,11,9,252,105,2,1,120.5,0.79,29.1,35.6
Trent Murphy,8682,ED,16,WAS,35,4,1,13,12,0,0,40.6,0.37,8.8,35.0
Da'Norris Searcy,6252,S,14,TEN,345,21,10,162,57,0,1,54.1,0.47,16.4,34.5
D.J. Swearinger Sr.,7838,S,16,ARZ,478,22,14,195,67,1,3,67.6,0.41,21.7,34.1
Devin McCourty,5552,S,16,NE,642,31,19,180,64,3,1,96.2,0.28,20.7,33.8
Nate Allen,5562,S,7,OAK,131,7,4,98,25,1,2,101.8,0.75,18.7,32.8
Earl Thomas III,5539,S,11,SEA,392,19,12,127,44,0,2,43.0,0.32,20.6,32.7
Ed Reynolds Jr.,8797,S,8,CLV,259,10,8,74,54,2,0,137.1,0.29,25.9,32.4
George Iloka,7159,S,16,CIN,612,27,19,256,109,2,3,85.3,0.42,22.7,32.2
Ha Ha Clinton-Dix,8656,S,16,GB,599,28,19,203,57,1,5,61.2,0.34,21.4,31.5
Kevin Byard,10698,S,16,TEN,402,25,13,90,38,0,0,60.4,0.22,16.1,30.9
Shaquil Barrett,9000,ED,16,DEN,61,4,2,3,12,0,0,56.3,0.05,15.3,30.5
Isa Abdul-Quddus,6722,S,15,MIA,516,28,17,150,43,3,2,81.0,0.29,18.4,30.4
Andre Hal,8850,S,15,HST,475,23,16,257,98,1,2,84.9,0.54,20.7,29.7
Jordan Dangerfield,8468,S,6,PIT,88,4,3,40,24,0,0,106.3,0.45,22.0,29.3
Jaquiski Tartt,9479,S,15,SF,315,19,11,176,49,1,0,106.5,0.56,16.6,28.6
Quintin Demps,4431,S,13,HST,399,22,14,138,35,2,6,72.0,0.35,18.1,28.5
Michael Griffin,3635,S,10,CAR,141,6,5,82,73,1,0,158.3,0.58,23.5,28.2
Marcus Gilchrist,6202,S,13,NYJ,476,26,17,285,81,2,2,95.8,0.6,18.3,28.0
Harrison Smith,7641,S,14,MIN,492,25,18,175,83,3,0,130.8,0.36,19.7,27.3
Dominique Easley,8664,DI,16,LA,27,2,1,14,14,0,0,72.9,0.52,13.5,27.0
Corey Graham,3784,S,16,BUF,538,33,20,220,133,3,1,98.0,0.41,16.3,26.9
Kurt Coleman,5767,S,15,CAR,616,34,23,265,114,1,4,61.2,0.43,18.1,26.8
Bacarri Rambo,7972,S,9,MIA,287,16,11,187,88,1,1,102.9,0.65,17.9,26.1
Shane Ray,9456,ED,16,DEN,26,2,1,4,1,0,0,56.3,0.15,13.0,26.0
Eric Berry,5530,S,16,KC,623,35,24,194,100,1,4,52.3,0.31,17.8,26.0
Reshad Jones,5686,S,6,MIA,207,13,8,67,30,0,1,42.8,0.32,15.9,25.9
Cam Johnson,7221,ED,12,CLV,51,3,2,11,9,0,0,72.9,0.22,17.0,25.5
Glover Quin,5035,S,16,DET,584,31,23,253,155,2,2,92.5,0.43,18.8,25.4
Mike Adams,1972,S,15,IND,557,29,22,200,87,2,2,88.3,0.36,19.2,25.3
Shawn Williams,7865,S,15,CIN,503,28,20,341,124,3,3,108.5,0.68,18.0,25.2
Robenson Therezie,9776,S,6,NO,25,1,1,11,12,0,0,112.5,0.44,25.0,25.0
Lardarius Webb,5011,S,16,BLT,600,35,24,209,79,1,1,81.7,0.35,17.1,25.0
Patrick Onwuasor,11100,LB,6,BLT,25,1,1,3,1,0,0,79.2,0.12,25.0,25.0
Tank Carder,7141,ED,10,CLV,25,1,1,9,5,0,0,104.2,0.36,25.0,25.0
Justin Houston,6222,ED,5,KC,25,2,1,12,8,0,0,68.8,0.48,12.5,25.0
Bradley McDougald,8220,S,16,TB,572,42,23,373,124,1,2,72.8,0.65,13.6,24.9
Jairus Byrd,4965,S,16,NO,535,31,22,251,82,1,2,78.8,0.47,17.3,24.3
Duke Ihenacho,7297,S,14,WAS,363,17,15,129,46,1,0,117.9,0.36,21.4,24.2
