player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties
Julius Peppers,1010,ED,16,GB,584,396,169,19,73.4,58.2,59.8,76.1,59.9,37,8,5,24,2,12,3,3,16,2,2,1,5,5.0,9,5,0,0,1,56.3,2,0
Dwight Freeney,1019,ED,15,ATL,415,348,66,1,64.4,51.3,42.4,63.6,60.0,46,4,6,36,0,3,1,2,5,0,0,0,0,,0,,0,0,0,0.0,1,0
James Harrison,1251,ED,15,PIT,587,249,198,140,85.2,73.7,82.3,80.2,74.9,38,5,5,28,0,36,10,3,25,2,14,12,85,7.1,38,18,0,1,0,62.2,0,0
Terence Newman,1321,CB,15,MIN,754,4,295,455,83.0,74.8,71.3,53.9,83.0,0,0,0,0,0,37,2,4,13,0,56,29,245,8.4,31,24,1,1,7,62.0,4,0
Terrell Suggs,1326,ED,15,BLT,697,454,231,12,69.7,71.9,61.8,67.9,61.2,45,8,11,26,3,22,6,3,25,3,1,1,1,1.0,1,1,0,0,0,79.2,5,1
Robert Mathis,1447,ED,14,IND,536,346,161,29,54.3,41.7,42.1,61.0,51.1,26,5,1,20,0,14,2,4,13,3,4,4,33,8.3,6,14,0,0,0,101.0,0,0
Cullen Jenkins,1637,DI,15,WAS,308,190,116,2,59.9,56.8,60.9,63.1,57.2,11,1,1,9,0,14,1,1,12,0,0,0,0,,0,,0,0,0,0.0,1,0
Larry Fitzgerald,1724,WR,1,ARZ,1,0,0,1,60.0,,,,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,1,0
DeAngelo Hall,1729,S,3,WAS,166,3,73,90,55.4,64.9,57.1,54.9,53.2,0,0,0,0,0,12,0,2,3,0,7,6,79,13.2,48,29,0,0,1,113.7,0,0
Vince Wilfork,1742,DI,15,HST,508,253,253,2,55.8,56.0,77.0,58.1,59.5,13,0,3,10,0,20,5,1,17,0,0,0,0,,0,,0,0,0,0.0,2,0
Karlos Dansby,1754,LB,16,CIN,782,61,292,429,65.0,67.0,70.4,61.7,62.2,7,0,2,5,1,87,17,11,45,0,61,49,527,10.8,323,44,2,0,3,113.6,3,2
Daryl Smith,1760,LB,16,TB,476,65,242,169,57.5,56.4,66.4,51.3,60.6,5,0,0,5,0,23,5,3,12,0,12,11,158,14.4,102,33,0,1,0,84.0,0,0
Antonio Smith,1856,DI,13,HST,244,196,48,0,51.5,49.5,71.5,58.5,,16,1,4,11,0,3,1,1,2,0,0,0,0,,0,,0,0,0,0.0,2,0
Mike Adams,1972,S,15,IND,997,25,380,592,75.8,86.2,77.7,59.5,70.0,2,0,2,0,0,66,8,8,12,2,29,22,200,9.1,87,34,2,2,0,88.3,0,0
Adam Jones,2223,CB,16,CIN,1058,2,384,672,71.4,73.1,55.3,54.0,72.0,1,0,0,1,0,60,4,12,11,1,79,53,498,9.4,189,41,3,1,5,91.6,8,1
DeMarcus Ware,2228,ED,10,DEN,315,210,95,10,64.5,66.1,60.3,68.4,53.6,26,5,3,18,0,6,5,2,6,0,1,1,20,20.0,16,20,0,0,0,118.8,4,2
Thomas Davis Sr.,2231,LB,16,CAR,1008,102,327,579,66.4,60.8,71.6,89.9,60.5,20,3,2,15,1,80,15,10,36,2,81,64,614,9.6,399,42,6,3,0,107.5,2,0
Derrick Johnson,2232,LB,13,KC,841,37,317,487,70.5,51.4,47.5,50.5,82.8,4,1,1,2,0,72,20,20,41,0,37,29,245,8.4,197,30,1,1,3,92.0,0,0
Jonathan Babineaux,2276,DI,16,ATL,424,262,151,11,54.2,54.8,28.4,56.4,56.9,14,0,2,12,1,16,3,5,12,0,1,1,10,10.0,4,10,0,0,0,108.3,1,0
Darren Sproles,2347,HB,2,PHI,2,0,2,0,63.6,61.7,71.4,,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,,0,0,0,0.0,1,0
Trent Cole,2363,ED,7,IND,237,143,90,4,62.5,62.2,32.9,61.3,43.2,17,2,4,11,1,10,3,3,10,0,1,1,8,8.0,8,8,0,0,0,100.0,0,0
Lorenzo Alexander,2476,ED,16,BUF,788,383,322,83,75.9,70.0,67.7,77.4,58.2,50,14,13,23,5,42,9,7,44,3,11,10,107,10.7,79,28,0,1,0,69.3,4,0
Ahmad Brooks,2945,ED,16,SF,918,388,425,105,59.6,68.2,47.9,56.1,63.2,39,4,3,32,2,34,12,10,29,1,10,9,108,12.0,74,31,0,0,1,111.7,8,3
Mario Williams,2946,ED,13,MIA,448,252,185,11,65.6,68.3,44.4,55.6,64.2,22,2,3,17,1,11,1,3,11,0,1,1,0,0.0,0,0,0,0,0,79.2,0,0
Donte Whitner,2953,S,11,WAS,564,9,208,347,57.2,70.5,86.1,50.1,52.8,2,0,0,2,0,49,11,4,9,1,33,26,340,13.1,213,47,2,0,0,129.8,1,0
Haloti Ngata,2957,DI,13,DET,527,337,180,10,58.1,67.0,52.9,52.9,54.1,15,1,2,12,3,12,5,2,12,0,1,1,8,8.0,0,8,1,0,0,139.6,1,0
Chad Greenway,2962,LB,16,MIN,399,18,223,158,54.8,67.0,48.9,56.4,41.9,1,0,0,1,0,27,10,7,20,0,25,18,160,8.9,117,27,2,1,0,98.8,0,0
Antonio Cromartie,2964,CB,4,IND,204,0,66,138,52.7,55.6,68.0,,52.0,0,0,0,0,0,13,0,1,1,0,21,14,173,12.4,78,44,1,0,1,107.8,5,1
Tamba Hali,2965,ED,16,KC,592,388,175,29,77.7,73.1,85.2,72.4,78.0,44,4,5,35,0,21,7,2,15,0,0,0,0,,0,,0,0,0,0.0,3,2
Johnathan Joseph,2969,CB,13,HST,620,1,221,398,66.5,78.5,66.8,59.1,64.2,0,0,0,0,0,39,4,6,7,1,69,41,469,11.4,158,36,1,0,6,84.8,4,0
D'Qwell Jackson,2979,LB,12,IND,708,58,275,375,49.2,57.7,52.8,46.6,48.7,3,1,1,1,1,56,13,13,23,0,30,21,280,13.3,196,40,1,0,2,110.4,2,1
Roman Harper,2988,S,12,NO,300,28,98,174,50.2,58.1,44.1,43.6,55.4,5,0,1,4,0,22,2,5,6,0,15,12,150,12.5,78,24,0,0,1,108.3,3,0
Devin Hester,3002,WR,1,BLT,1,0,1,0,60.0,60.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Darryl Tapp,3008,ED,15,NO,291,154,135,2,74.7,70.8,78.5,67.0,61.8,20,1,9,10,0,17,2,0,16,0,0,0,0,,0,,0,0,0,0.0,0,0
Frostee Rucker,3036,DI,13,ARZ,304,167,136,1,56.3,55.0,45.7,57.3,62.8,6,0,1,5,1,9,3,2,7,1,0,0,0,,0,,0,0,0,0.0,0,0
Will Blackmon,3060,S,14,WAS,570,9,204,357,76.9,68.4,65.6,58.9,76.5,3,1,0,2,0,29,6,6,7,1,22,15,165,11.0,85,32,1,1,3,86.4,0,0
Stephen Tulloch,3061,LB,12,PHI,70,2,34,34,60.5,67.0,41.0,57.8,54.9,0,0,0,0,0,4,0,1,2,0,5,4,40,10.0,32,19,0,0,0,100.0,0,0
Domata Peko Sr.,3068,DI,16,CIN,593,304,287,2,54.6,55.3,42.4,55.1,60.9,7,0,2,5,4,23,10,6,18,0,0,0,0,,0,,0,0,0,0.0,2,0
Elvis Dumervil,3071,ED,8,BLT,272,211,61,0,76.5,68.6,55.0,72.2,52.7,25,3,5,17,0,7,1,3,7,2,0,0,0,,0,,0,0,0,0.0,0,0
Kyle Williams,3079,DI,15,BUF,794,459,328,7,73.3,82.3,28.8,60.3,44.4,39,6,8,25,0,39,11,10,31,0,1,1,18,18.0,10,18,0,0,0,118.8,2,0
Rob Ninkovich,3080,ED,12,NE,462,205,159,98,60.2,65.6,29.1,57.0,53.3,22,4,2,16,1,16,11,11,13,1,17,13,119,9.2,65,22,0,0,1,95.0,0,0
Kedric Golston,3141,DI,2,WAS,30,8,21,1,61.0,63.0,69.7,56.2,60.0,1,0,1,0,0,2,1,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0
Antoine Bethea,3152,S,16,SF,1125,17,516,592,59.4,69.7,81.9,50.5,54.1,3,0,1,2,0,98,14,8,31,1,43,35,559,16.0,225,78,4,1,1,140.1,1,0
Tom Johnson,3378,DI,14,MIN,476,361,115,0,64.2,57.5,36.5,66.0,80.9,35,2,13,20,0,12,6,3,10,0,0,0,0,,0,,0,1,0,0.0,2,0
Tony McDaniel,3423,DI,16,SEA,484,257,226,1,67.7,71.4,71.2,53.9,73.4,9,0,1,8,3,28,10,2,23,0,0,0,0,,0,,0,0,0,0.0,1,0
Tramon Williams,3558,CB,12,CLV,625,7,244,374,65.8,75.7,50.4,48.2,63.7,1,0,1,0,0,32,7,8,12,0,50,35,411,11.7,192,42,3,1,4,106.3,3,1
Brent Grimes,3589,CB,16,TB,998,1,389,608,88.6,83.4,86.7,60.0,87.4,1,0,0,1,0,54,5,3,12,1,91,50,610,12.2,160,40,5,4,14,75.8,4,2
