year,player,player_id,position,player_game_count,team_name,pass_snaps,pass_rush_snaps,pass_rush_percent,sacks,hits,hurries,pressures,prp,lhs_pass_rush_snaps,lhs_pass_rush_percent,lhs_sacks,lhs_hits,lhs_hurries,lhs_pressures,lhs_prp,rhs_pass_rush_snaps,rhs_pass_rush_percent,rhs_sacks,rhs_hits,rhs_hurries,rhs_pressures,rhs_prp
2016,Darius Slay,7817,CB,13,DET,442,1,0.2,1,0,0,1,100,1,100,1,0,0,1,100,0,0,0,0,0,0,
2016,Desmond Trufant,7803,CB,9,ATL,383,3,0.8,2,0,0,2,66.7,2,66.7,2,0,0,2,100,1,33.3,0,0,0,0,0
2016,Bryan Braman,6699,ED,1,PHI,1,1,100,0,0,1,1,50,0,0,0,0,0,0,,1,100,0,0,1,1,50
2016,Darrell Stuckey,5634,S,5,SD,16,1,6.3,0,0,1,1,50,1,100,0,0,1,1,50,0,0,0,0,0,0,
2016,Janoris Jenkins,7043,CB,15,NYG,573,2,0.3,1,0,0,1,50,0,0,0,0,0,0,,2,100,1,0,0,1,50
2016,Briean Boddy-Calhoun,10903,CB,14,CLV,336,2,0.6,1,0,0,1,50,2,100,1,0,0,1,50,0,0,0,0,0,0,
2016,Blake Countess,10830,S,3,LA,83,5,6,1,1,2,4,50,4,80,1,0,2,3,50,1,20,0,1,0,1,50
2016,Shareece Wright,6241,CB,12,BLT,396,1,0.3,0,0,1,1,50,1,100,0,0,1,1,50,0,0,0,0,0,0,
2016,Brent Grimes,3589,CB,16,TB,573,1,0.2,0,0,1,1,50,0,0,0,0,0,0,,1,100,0,0,1,1,50
2016,Josh Norman,7649,CB,16,WAS,609,4,0.7,0,1,3,4,50,2,66.7,0,1,1,2,50,1,33.3,0,0,1,1,50
2016,Buster Skrine,6289,CB,14,NYJ,471,6,1.3,1,0,3,4,41.7,3,50,1,0,0,1,33.3,3,50,0,0,3,3,50
2016,Brandon Flowers,4349,CB,6,SD,236,6,2.5,0,0,5,5,41.7,3,50,0,0,2,2,33.3,3,50,0,0,3,3,50
2016,Tyrann Mathieu,7850,S,10,ARZ,333,4,1.2,1,0,1,2,37.5,2,50,0,0,1,1,25,2,50,1,0,0,1,50
2016,Daryl Worley,10711,CB,15,CAR,561,4,0.7,1,0,1,2,37.5,0,0,0,0,0,0,,4,100,1,0,1,2,37.5
2016,Ramon Humber,5310,LB,8,BUF,29,3,10.3,0,0,2,2,33.3,2,66.7,0,0,1,1,25,1,33.3,0,0,1,1,50
2016,Eric Pinkins,8842,LB,1,NYG,3,3,100,0,1,1,2,33.3,1,33.3,0,0,1,1,50,2,66.7,0,1,0,1,25
2016,Joe Haden,5532,CB,13,CLV,457,3,0.7,0,0,2,2,33.3,2,66.7,0,0,2,2,50,1,33.3,0,0,0,0,0
2016,A.J. Bouye,8110,CB,15,HST,446,5,1.1,1,0,1,2,30,3,60,1,0,0,1,33.3,2,40,0,0,1,1,25
2016,Chris Davis,9242,CB,4,SF,28,5,17.9,1,0,1,2,30,3,60,1,0,0,1,33.3,2,40,0,0,1,1,25
2016,Demontre Hurst,8359,S,9,CHI,135,5,3.7,1,0,1,2,30,4,80,1,0,0,1,25,1,20,0,0,1,1,50
2016,Jaylen Watkins,8736,S,14,PHI,256,5,2,0,0,3,3,30,2,40,0,0,2,2,50,3,60,0,0,1,1,16.7
2016,Lardarius Webb,5011,S,16,BLT,605,9,1.5,1,0,3,4,27.8,9,100,1,0,3,4,27.8,0,0,0,0,0,0,
2016,Tre Boston,8763,S,15,CAR,568,15,2.6,2,2,2,6,26.7,6,42.9,0,0,1,1,8.3,8,57.1,2,2,1,5,43.8
2016,Brian Poole,11052,CB,16,ATL,594,17,2.9,1,2,5,8,26.5,8,47.1,1,0,3,4,31.3,9,52.9,0,2,2,4,22.2
2016,Shawn Williams,7865,S,15,CIN,531,29,5.5,1,6,7,14,25.9,10,34.5,0,1,3,4,20,19,65.5,1,5,4,10,28.9
2016,Byron Maxwell,6325,CB,13,MIA,491,2,0.4,0,0,1,1,25,2,100,0,0,1,1,25,0,0,0,0,0,0,
2016,Tharold Simon,7920,CB,7,ARZ,55,2,3.6,0,0,1,1,25,1,50,0,0,0,0,0,1,50,0,0,1,1,50
2016,Quinton Dunbar,10073,CB,12,WAS,196,2,1,0,0,1,1,25,0,0,0,0,0,0,,1,100,0,0,1,1,50
