player,player_id,position,player_game_count,team_name,snaps,run_snaps,run_tackles,run_assists,run_misses,run_stops,run_tackle_efficiency,pass_snaps,pass_tackles,pass_assists,pass_misses,pass_stops,pass_tackle_efficiency,combined_tackle_efficiency
Matthias Farley,10953,S,6,IND,64,19,1,0,1,1,2.0,45,3,1,0,3,1.0e3,6.0
Kyle Williams,3079,DI,15,BUF,753,314,36,11,8,26,6.9,439,3,0,2,5,2.5,6.0
T.J. Green,10691,S,15,IND,457,141,9,1,2,3,6.0,316,27,3,6,6,6.0,6.0
Ryan Kerrigan,6168,ED,16,WAS,751,281,16,3,0,15,1.0e3,470,0,1,4,11,1.3,6.0
Will Clarke,8723,ED,16,CIN,356,113,10,2,3,8,5.0,243,2,1,0,4,1.0e3,6.0
Kevin Dodd,10667,ED,9,TEN,161,58,3,0,0,3,1.0e3,103,2,0,1,1,3.0,6.0
Grady Jarrett,9570,DI,16,ATL,599,238,27,9,8,18,5.5,361,4,0,0,5,1.0e3,6.0
Sam Acho,6255,ED,16,CHI,469,206,13,5,4,8,5.5,263,5,2,1,5,8.0,6.0
Bene Benwikere,8783,CB,4,MIA,194,77,1,1,1,0,3.0,117,8,0,1,3,9.0,6.0
John Timu,10011,LB,6,CHI,170,72,7,6,1,5,14.0,98,7,0,3,3,3.3,6.0
Doug Middleton,11262,S,4,NYJ,39,11,2,1,1,2,4.0,28,2,0,0,0,1.0e3,6.0
Ethan Westbrooks,8976,ED,16,LA,506,202,14,4,3,13,7.0,304,1,1,1,2,3.0,6.0
Corbin Bryant,6825,DI,8,BUF,216,119,7,2,2,5,5.5,97,1,0,0,0,1.0e3,6.0
Josh Bynes,6503,LB,9,DET,349,152,15,6,5,8,5.2,197,14,5,3,6,7.3,6.0
Julius Peppers,1010,ED,16,GB,557,161,10,2,2,8,7.0,396,2,1,1,8,4.0,6.0
John Jenkins,7863,DI,9,SEA,200,98,7,1,1,3,9.0,102,2,0,1,0,3.0,6.0
Chris Conte,6245,S,14,TB,686,269,22,6,8,2,4.5,417,31,5,5,5,8.2,5.9
Carlos Dunlap,5579,ED,16,CIN,804,272,21,7,4,12,8.0,532,10,1,4,10,3.8,5.9
Tramon Williams,3558,CB,12,CLV,601,238,6,3,0,4,1.0e3,363,26,4,8,8,4.8,5.9
Robert Ayers,4941,ED,12,TB,553,194,18,4,3,16,8.3,359,2,0,2,8,2.0,5.8
Keith Reaser,8805,CB,15,SF,331,113,6,1,1,5,8.0,218,17,0,4,2,5.3,5.8
Alec Ogletree,7811,LB,16,LA,1036,395,63,14,17,41,5.5,641,45,7,10,15,6.2,5.8
Shareece Wright,6241,CB,12,BLT,637,239,9,2,3,5,4.7,398,35,2,7,12,6.3,5.8
David Amerson,7832,CB,15,OAK,907,364,12,0,4,4,4.0,543,49,1,9,12,6.6,5.8
Vontae Davis,4948,CB,14,IND,784,286,3,0,4,3,1.8,498,34,1,4,9,9.8,5.8
Geno Atkins,5643,DI,16,CIN,752,254,19,5,5,16,5.8,498,0,0,0,10,,5.8
Corey Graham,3784,S,16,BUF,999,435,35,7,9,15,5.7,564,28,6,7,5,5.9,5.8
Andrew Sendejo,6118,S,14,MIN,817,292,14,10,3,5,9.0,525,26,3,8,4,4.6,5.8
Roman Harper,2988,S,12,NO,288,97,12,1,2,5,7.5,191,10,1,3,1,4.7,5.8
Noah Spence,10673,ED,16,TB,537,151,10,3,2,5,7.5,386,1,0,1,7,2.0,5.7
Kevon Seymour,10852,CB,15,BUF,273,95,3,0,1,1,4.0,178,8,3,2,3,6.5,5.7
Craig Mager,9516,CB,10,SD,389,134,7,2,0,3,1.0e3,255,16,3,6,3,4.2,5.7
Damarious Randall,9463,CB,10,GB,480,154,3,0,1,0,4.0,326,30,0,6,5,6.0,5.7
Jabaal Sheard,6189,ED,15,NE,550,177,14,3,3,10,6.7,373,9,2,3,10,4.7,5.7
Mike Daniels,7132,DI,16,GB,635,246,20,5,3,19,9.3,389,2,1,3,5,2.0,5.7
Eddie Goldman,9472,DI,6,CHI,182,100,10,2,1,8,13.0,82,1,1,2,3,2.0,5.7
Joe Haden,5532,CB,13,CLV,818,360,11,3,2,6,8.0,458,31,2,8,7,5.1,5.7
Willie Young,5736,ED,16,CHI,668,272,15,14,4,12,8.3,396,1,3,3,7,2.3,5.7
Kyle Van Noy,8675,LB,14,NE,502,183,20,10,4,12,8.5,319,15,1,6,8,3.7,5.6
Derrick Johnson,2232,LB,13,KC,802,310,47,15,14,31,5.4,492,25,5,6,10,6.0,5.6
Andrew Adams,11240,S,14,NYG,713,263,8,5,3,2,5.3,450,21,3,5,4,5.8,5.6
Telvin Smith Sr.,8779,LB,16,JAX,1002,397,64,5,9,41,8.7,605,49,6,18,21,4.1,5.6
Ahmad Brooks,2945,ED,16,SF,879,415,28,12,6,21,7.7,464,6,0,4,8,2.5,5.6
Matthew Judon,10780,ED,14,BLT,292,111,7,7,2,4,8.0,181,2,2,2,4,3.0,5.5
A.J. Klein,7930,LB,13,CAR,343,154,8,4,2,5,7.0,189,13,2,4,5,4.8,5.5
Denzel Rice,9784,CB,1,HST,30,18,4,1,2,1,3.5,12,4,0,0,2,1.0e3,5.5
Justin Coleman,9892,CB,7,NE,209,42,0,0,0,0,,167,9,0,2,3,5.5,5.5
Tyrone Crawford,7083,ED,14,DAL,589,192,14,4,3,12,7.0,397,0,0,1,4,1.0,5.5
Freddie Bishop,10338,ED,4,NYJ,148,89,7,2,2,4,5.5,59,0,0,0,0,,5.5
Zack Sanchez,10775,CB,3,CAR,82,18,1,1,0,1,1.0e3,64,6,1,2,1,4.5,5.5
Kendall Langford,4380,DI,7,IND,284,95,8,1,1,8,10.0,189,0,0,1,0,1.0,5.5
Trumaine Johnson,7067,CB,14,LA,905,341,7,1,7,2,2.1,564,43,2,5,13,10.0,5.4
Briean Boddy-Calhoun,10903,CB,14,CLV,546,207,11,2,3,7,5.3,339,25,2,6,7,5.5,5.4
Nick Bellore,6515,LB,12,SF,659,324,38,9,8,31,6.9,335,21,2,8,10,3.9,5.4
Kelcie McCray,7396,S,8,SEA,322,130,10,7,2,6,9.5,192,11,3,5,2,3.8,5.4
Tavon Young,10738,CB,16,BLT,789,260,6,2,2,3,5.0,529,42,3,10,22,5.5,5.4
Derrick Morgan,5541,ED,15,TEN,737,237,11,10,1,10,22.0,500,5,0,5,10,2.0,5.3
Melvin Ingram III,7024,ED,16,SD,921,355,28,6,8,19,5.3,566,12,1,3,14,5.3,5.3
Blake Countess,10830,S,4,LA,133,50,6,2,2,4,5.0,83,9,0,2,2,5.5,5.3
Rashard Robinson,10767,CB,14,SF,522,230,5,3,5,2,2.6,292,18,0,1,3,19.0,5.3
Michael Johnson,4993,ED,16,CIN,797,291,27,5,6,21,6.3,506,5,2,3,6,3.3,5.3
Rashad Johnson,5018,S,14,TEN,527,172,14,1,3,5,6.0,355,17,2,5,5,4.8,5.3
Trent Cole,2363,ED,7,IND,228,88,10,3,3,8,5.3,140,0,0,0,2,,5.3
Jude Adjei-Barimah,10298,CB,9,TB,269,72,4,0,2,2,3.0,197,16,1,3,6,6.7,5.2
Michael Thomas,7279,S,16,MIA,530,217,17,2,5,6,4.8,313,17,1,4,6,5.5,5.1
Chris Long,4316,ED,16,NE,652,196,15,6,2,9,11.5,456,8,0,5,8,2.6,5.1
Perrish Cox,5660,CB,11,TEN,583,183,2,1,2,2,2.5,400,36,2,8,7,5.8,5.1
Jeremy Lane,7164,CB,16,SEA,718,263,10,2,2,7,7.0,455,31,2,9,8,4.7,5.1
Kony Ealy,8695,ED,16,CAR,604,216,15,7,5,14,5.4,388,5,2,2,7,4.5,5.1
Winston Guy,7171,S,2,IND,70,30,1,1,0,0,1.0e3,40,2,0,1,0,3.0,5.0
T.Y. McGill,10156,DI,13,IND,282,52,1,2,1,1,4.0,230,1,0,0,3,1.0e3,5.0
Trovon Reed,10294,CB,4,SD,116,36,1,0,1,1,2.0,80,11,0,2,1,6.5,5.0
Robert Mathis,1447,ED,14,IND,506,155,11,2,4,8,4.3,351,3,0,0,5,1.0e3,5.0
Pernell McPhee,6317,ED,9,CHI,256,109,9,6,4,8,4.8,147,1,0,0,4,1.0e3,5.0
Antonio Smith,1856,DI,13,HST,227,44,3,1,0,2,1.0e3,183,0,0,1,0,1.0,5.0
Christian Jones,9020,ED,6,CHI,107,41,2,0,0,2,1.0e3,66,2,0,1,0,3.0,5.0
