player,player_id,position,player_game_count,team_name,snaps,run_snaps,run_tackles,run_assists,run_misses,run_stops,run_tackle_efficiency,pass_snaps,pass_tackles,pass_assists,pass_misses,pass_stops,pass_tackle_efficiency,combined_tackle_efficiency
Chris Milton,10914,CB,4,IND,103,27,0,0,0,0,,76,3,3,3,0,3.0,3.0
Curt Maggitt,10911,ED,8,IND,120,50,2,0,1,1,3.0,70,0,0,0,0,,3.0
Nick Dzubnar,10127,LB,3,SD,40,14,1,0,0,1,1.0e3,26,2,0,2,1,2.0,2.5
Will Davis,7874,CB,2,BLT,52,14,0,0,0,0,,38,1,2,2,1,2.5,2.5
Bryan Braman,6699,ED,3,PHI,4,3,1,0,0,1,1.0e3,1,0,0,1,0,1.0,2.0
Matt Elam,7813,S,6,BLT,52,17,0,0,1,0,1.0,35,1,0,0,1,1.0e3,2.0
Owa Odighizuwa,9507,ED,14,NYG,161,24,1,0,0,1,1.0e3,137,0,0,1,0,1.0,2.0
Terrance Smith,11181,LB,2,KC,38,20,0,0,1,0,1.0,18,1,0,0,0,1.0e3,2.0
Jordan Tripp,8806,LB,2,GB,20,11,0,0,1,0,1.0,9,1,0,0,1,1.0e3,2.0
Ryan Delaire,9939,ED,6,CAR,138,50,3,0,2,3,2.5,88,0,0,1,1,1.0,2.0
Johnny Maxey,10888,DI,2,PIT,47,23,1,0,1,1,2.0,24,0,0,0,0,,2.0
Chris Landrum,10992,ED,9,SD,83,28,2,1,2,2,2.5,55,0,0,1,1,1.0,2.0
Josh Hawkins,11149,CB,2,GB,8,1,0,0,0,0,,7,0,0,2,0,1.0,1.0
Josh Robinson,7068,CB,1,TB,2,0,0,0,0,0,,2,0,0,1,0,1.0,1.0
Marwin Evans,11343,S,4,GB,17,0,0,0,0,0,,17,0,0,1,0,1.0,1.0
Eric Weems,4097,WR,1,ATL,1,1,0,0,1,0,1.0,0,0,0,0,0,,1.0
Sharrif Floyd,7804,DI,1,MIN,25,12,0,0,0,0,,13,0,0,1,0,1.0,1.0
Sergio Brown,5803,S,2,BUF,4,4,0,0,1,0,1.0,0,0,0,0,0,,1.0
Dashon Goldson,3742,S,2,ATL,5,2,0,0,0,0,,3,0,0,1,0,1.0,1.0
Dadi Nicolas,10837,ED,5,KC,29,6,0,0,1,0,1.0,23,0,0,0,0,,1.0
Josh Martin,8138,ED,6,NYJ,22,2,0,0,1,0,1.0,20,0,0,0,1,,1.0
