player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties
Julius Peppers,1010,ED,16,CAR,499,347,145,7,73.2,76.9,60.5,64.3,61.6,31,13,5,13,0,14,2,3,25,2,0,0,0,,0,,0,0,0,0.0,1,0
Dwight Freeney,1019,ED,9,DET,227,198,27,2,68.0,37.1,36.7,69.9,60.1,19,3,2,14,1,0,0,1,3,0,0,0,0,,0,,0,0,0,0.0,0,0
James Harrison,1251,ED,6,NE,67,29,22,16,78.8,44.6,56.7,86.0,76.0,8,3,1,4,0,2,1,1,4,1,3,2,7,3.5,1,5,0,0,0,70.1,0,0
Terence Newman,1321,CB,16,MIN,554,13,168,373,76.2,68.6,63.0,58.4,76.4,2,0,0,2,0,27,8,4,16,0,51,28,293,10.5,127,45,2,1,3,76.7,1,0
Terrell Suggs,1326,ED,16,BLT,845,525,306,14,81.0,77.6,67.8,73.5,90.0,77,12,8,57,3,29,7,6,33,4,2,2,14,7.0,18,8,0,0,1,95.8,5,1
DeAngelo Hall,1729,S,4,WAS,158,0,48,110,46.3,32.0,36.0,,54.5,0,0,0,0,0,10,2,5,1,0,7,5,72,14.4,19,24,1,0,2,144.0,0,0
Karlos Dansby,1754,LB,16,ARZ,921,69,361,491,63.0,65.8,59.6,66.3,58.2,11,1,2,8,0,77,18,13,48,0,64,47,400,8.5,259,35,2,1,2,93.2,1,0
Mike Adams,1972,S,16,CAR,965,34,322,609,75.8,65.1,72.2,56.2,80.3,5,0,2,3,0,60,6,8,22,2,47,32,304,9.5,190,33,5,2,7,103.5,3,0
Adam Jones,2223,CB,9,CIN,299,0,111,188,55.9,65.7,65.3,,56.9,0,0,0,0,0,22,0,3,3,0,30,15,142,9.5,27,20,1,1,4,60.7,5,1
Thomas Davis Sr.,2231,LB,15,CAR,791,113,272,406,64.3,64.9,74.3,70.0,61.7,21,2,3,16,0,58,11,7,35,0,55,44,403,9.2,239,24,5,0,0,127.5,4,1
Derrick Johnson,2232,LB,15,KC,845,36,323,486,66.6,51.5,53.7,42.4,78.1,4,0,0,4,0,57,13,14,28,1,43,24,183,7.6,91,20,1,0,6,74.1,0,0
Lorenzo Alexander,2476,ED,16,BUF,672,193,286,193,56.2,61.5,36.9,63.3,49.0,30,3,12,15,0,51,8,17,28,2,32,27,278,10.3,164,39,1,0,1,113.3,3,0
Ahmad Brooks,2945,ED,12,GB,346,210,133,3,63.9,83.6,61.0,55.4,50.8,16,2,4,10,2,13,2,1,14,0,1,1,18,18.0,14,18,0,0,0,118.8,4,0
Haloti Ngata,2957,DI,5,DET,145,91,52,2,66.4,61.2,73.1,75.5,54.3,7,2,1,4,1,5,1,0,6,0,0,0,0,,0,,0,0,0,0.0,1,0
Tamba Hali,2965,ED,5,KC,99,75,23,1,62.5,58.4,70.5,61.3,60.0,6,0,1,5,0,1,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Johnathan Joseph,2969,CB,16,HST,746,2,258,486,67.4,61.9,60.9,56.2,71.0,1,0,0,1,0,38,8,7,11,0,67,39,660,16.9,259,94,4,2,6,99.1,8,4
Darryl Tapp,3008,ED,3,TB,56,30,26,0,44.1,42.2,38.3,54.4,,1,1,0,0,0,2,0,1,3,0,0,0,0,,0,,0,0,0,0.0,0,0
Frostee Rucker,3036,DI,16,ARZ,607,361,245,1,61.2,67.0,36.1,55.7,63.4,18,2,7,9,1,27,1,5,23,0,1,1,8,8.0,3,8,0,0,0,100.0,4,1
Domata Peko Sr.,3068,DI,14,DEN,460,214,246,0,78.4,78.4,70.3,56.5,80.0,5,1,0,4,0,25,13,2,24,0,0,0,0,,0,,0,0,0,0.0,1,0
Elvis Dumervil,3071,ED,16,SF,341,289,50,2,68.3,45.0,54.9,73.5,63.4,50,7,9,34,0,4,0,1,10,0,0,0,0,,0,,0,0,0,0.0,2,0
Kyle Williams,3079,DI,16,BUF,756,470,281,5,65.5,69.3,53.2,61.3,55.8,34,3,7,24,1,28,10,6,22,0,0,0,0,,0,,0,0,0,0.0,3,0
Antoine Bethea,3152,S,15,ARZ,741,8,230,503,86.4,80.6,86.6,76.5,87.6,3,1,1,1,0,49,7,3,15,1,22,16,244,15.3,102,54,1,5,2,84.5,3,0
Tom Johnson,3378,DI,16,MIN,674,469,203,2,65.4,68.8,47.2,63.2,62.1,31,2,9,20,0,22,6,4,22,0,0,0,0,,0,,0,0,0,0.0,5,1
Tony McDaniel,3423,DI,5,NO,88,39,49,0,76.6,70.4,73.0,71.7,,0,0,0,0,1,7,1,0,6,1,0,0,0,,0,,0,0,0,0.0,0,0
Tramon Williams,3558,CB,13,ARZ,666,2,228,436,81.5,59.2,84.7,56.8,83.8,0,0,0,0,0,38,1,1,12,0,63,31,351,11.3,111,41,1,2,10,58.4,2,0
Brent Grimes,3589,CB,13,TB,844,0,323,521,74.1,61.1,58.2,,75.2,0,0,0,0,0,49,2,6,14,0,72,45,559,12.4,171,38,1,3,8,73.8,0,0
Darrelle Revis,3630,CB,5,KC,191,0,58,133,56.6,63.8,55.7,,54.7,0,0,0,0,0,12,1,2,1,0,16,9,114,12.7,31,22,0,0,1,78.6,1,0
Lawrence Timmons,3631,LB,14,MIA,794,66,363,365,53.7,47.9,47.8,58.6,59.2,10,0,3,7,2,62,22,17,46,0,57,45,393,8.7,282,31,3,0,1,112.9,0,0
Leon Hall,3634,CB,9,SF,205,6,52,147,53.6,65.0,41.7,66.1,51.4,2,0,1,1,0,14,2,5,3,0,13,9,143,15.9,60,24,0,0,1,105.6,0,0
Reggie Nelson,3637,S,16,OAK,1026,18,425,583,63.8,81.9,74.6,55.8,52.9,2,0,0,2,1,65,18,9,18,2,29,16,248,15.5,136,34,1,1,3,80.8,2,1
Alan Branch,3649,DI,12,NE,274,136,138,0,58.2,64.4,39.1,54.6,39.2,4,0,0,4,0,12,5,3,9,0,0,0,0,,0,,0,0,0,0.0,1,0
Paul Posluszny,3650,LB,16,JAX,478,17,244,217,85.6,73.9,79.0,73.7,84.4,5,2,1,2,0,45,9,2,25,0,24,20,190,9.5,79,43,1,0,2,113.5,0,0
Eric Weddle,3653,S,16,BLT,1084,32,414,638,73.3,60.8,48.1,68.9,76.1,9,1,1,7,0,51,9,10,13,1,24,17,202,11.9,119,57,1,6,2,70.5,0,0
David Harris,3663,LB,10,NE,181,15,86,80,61.0,52.8,46.5,69.1,65.4,4,1,0,3,0,14,6,5,4,0,8,5,41,8.2,45,17,0,0,1,75.5,0,0
Justin Durant,3664,LB,7,DAL,158,23,59,76,59.3,64.9,44.1,51.4,57.2,1,0,0,1,0,11,2,3,8,0,7,6,94,15.7,41,38,0,0,0,118.8,0,0
Charles Johnson,3699,ED,12,CAR,389,242,138,9,52.6,65.8,31.4,54.0,52.0,20,1,2,17,1,11,9,6,9,0,2,2,24,12.0,9,16,0,0,0,116.7,5,0
Brandon Mebane,3701,DI,16,LAC,535,276,254,5,50.5,55.3,43.9,47.0,56.5,6,0,2,4,0,18,10,6,10,0,0,0,0,,0,,0,0,0,0.0,1,0
Brian Robison,3718,ED,15,MIN,563,383,164,16,64.4,60.4,72.2,61.0,73.5,37,5,4,28,1,14,3,2,15,0,0,0,0,,0,,0,0,0,0.0,1,0
Corey Graham,3784,S,14,PHI,367,9,82,276,73.1,54.5,53.7,67.4,75.2,5,0,0,5,0,25,3,6,8,0,16,12,90,7.5,75,20,0,2,1,48.4,1,0
William Gay,3786,CB,16,PIT,264,1,22,241,62.7,52.5,42.5,59.1,66.4,0,0,0,0,0,18,1,5,8,1,21,16,141,8.8,70,29,1,1,2,89.6,3,0
Eric Weems,4097,WR,2,TEN,2,0,0,2,63.7,,54.0,,60.1,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Chris Long,4316,ED,16,PHI,496,359,130,7,84.0,66.5,46.1,83.5,63.1,52,5,14,33,0,17,6,6,19,4,1,1,9,9.0,11,9,0,0,0,104.2,2,0
Dominique Rodgers-Cromartie,4330,CB,15,NYG,604,33,211,360,67.6,58.3,47.1,60.5,69.0,6,1,1,4,0,33,9,9,18,0,43,33,264,8.0,183,38,2,0,1,107.1,0,0
Aqib Talib,4334,CB,15,DEN,753,0,288,465,81.4,76.9,84.7,,81.6,0,0,0,0,0,27,4,1,7,1,46,25,250,10.0,84,32,3,1,6,82.7,3,1
Calais Campbell,4364,ED,16,JAX,801,492,304,5,90.9,87.6,57.2,83.8,69.2,73,17,14,42,3,37,11,6,47,3,0,0,0,,0,,0,0,0,0.0,1,0
Pat Sims,4391,DI,14,CIN,304,119,185,0,55.4,52.5,67.1,67.8,60.0,4,1,1,2,0,15,10,1,8,0,0,0,0,,0,,0,0,0,0.0,2,0
Cliff Avril,4406,ED,4,SEA,151,94,53,4,43.8,63.9,44.6,54.9,47.6,6,1,1,4,0,1,1,1,2,0,1,1,-1,-1.0,2,-1,0,0,0,79.2,4,0
Tyvon Branch,4414,S,9,ARZ,579,14,218,347,79.2,72.4,88.8,63.7,79.7,3,0,2,1,1,51,16,4,22,1,27,18,133,7.4,54,21,2,0,3,102.9,1,1
William Hayes,4417,ED,10,MIA,271,129,140,2,90.3,91.0,70.5,81.2,59.8,18,1,4,13,1,16,3,1,17,0,0,0,0,,0,,0,0,0,0.0,3,1
Quintin Demps,4431,S,3,CHI,177,0,71,106,48.6,67.7,28.4,,45.6,0,0,0,0,0,9,3,3,2,0,6,3,127,42.3,54,88,1,0,0,135.4,1,1
Brandon Carr,4454,CB,16,BLT,1023,5,394,624,67.7,72.5,69.4,49.9,66.2,0,0,0,0,0,55,5,6,13,0,84,47,651,13.9,154,43,2,4,7,69.1,10,2
Orlando Scandrick,4457,CB,11,DAL,614,35,226,353,55.3,81.6,46.7,50.9,48.9,4,0,1,3,1,32,3,7,14,0,57,38,516,13.6,274,56,3,0,2,112.9,3,0
Erik Walden,4481,ED,16,TEN,582,298,210,74,61.4,56.0,73.1,65.9,66.1,29,4,3,22,0,22,12,2,15,0,5,4,44,11.0,28,16,0,0,0,103.3,3,0
Ahtyba Rubin,4504,DI,12,ATL,162,72,90,0,64.5,63.7,73.2,65.0,,3,0,1,2,0,6,3,0,4,0,0,0,0,,0,,0,0,0,0.0,1,0
Wesley Woodyard,4583,LB,16,TEN,1016,120,369,527,67.9,83.7,81.3,66.0,51.1,24,5,4,15,0,100,26,10,55,0,83,60,561,9.4,405,32,1,0,4,94.5,1,0
Leger Douzable,4654,ED,5,SF,220,90,128,2,54.6,63.3,55.6,51.6,46.3,3,2,1,0,0,18,1,3,14,0,1,0,0,,0,,0,0,0,39.6,1,1
Jerrell Freeman,4888,LB,1,CHI,56,2,22,32,50.7,78.9,54.5,73.6,32.6,1,0,0,1,0,8,0,2,2,0,7,6,57,9.5,15,18,0,0,0,100.6,0,0
Cameron Wake,4907,ED,16,MIA,610,395,198,17,75.0,65.2,77.6,81.5,52.8,62,11,15,36,0,18,8,3,17,0,4,3,38,12.7,22,20,0,0,0,104.2,5,1
Brian Orakpo,4936,ED,16,TEN,836,471,268,97,81.5,68.7,88.8,75.9,74.5,58,9,10,39,0,29,6,3,28,2,10,8,55,6.9,19,17,0,0,0,89.6,0,0
Malcolm Jenkins,4937,S,16,PHI,947,51,290,606,74.9,77.3,73.8,59.6,72.6,7,1,3,3,0,63,8,9,27,1,65,44,375,8.5,229,44,2,2,3,80.0,1,0
Brian Cushing,4938,LB,5,HST,163,20,112,31,59.3,69.2,71.6,64.7,38.8,5,2,1,2,0,15,2,1,12,0,3,3,40,13.3,21,20,0,0,0,118.8,2,1
Robert Ayers,4941,ED,12,TB,588,364,222,2,86.9,73.7,41.6,84.6,60.5,45,2,17,26,0,25,5,5,21,2,1,0,0,,0,,0,0,0,39.6,2,0
Vontae Davis,4948,CB,5,IND,330,1,142,187,58.3,77.4,86.5,58.5,53.4,0,0,0,0,0,15,5,0,2,0,27,16,226,14.1,27,41,1,0,2,98.7,0,0
Clay Matthews,4949,ED,14,GB,656,356,257,43,80.0,81.5,74.8,73.1,57.7,39,10,11,18,1,27,6,3,20,1,11,9,113,12.6,84,31,1,0,1,139.8,3,0
Ziggy Hood,4955,DI,15,WAS,539,262,274,3,42.5,40.8,53.3,54.9,57.8,14,0,1,13,0,17,3,4,8,0,0,0,0,,0,,0,0,0,0.0,2,0
Patrick Chung,4957,S,16,NE,929,31,320,578,73.3,64.0,78.9,61.4,76.7,5,0,3,2,0,69,7,7,22,0,90,60,589,9.8,307,39,2,1,8,87.7,2,0
Rey Maualuga,4961,LB,6,MIA,176,3,113,60,59.2,49.4,55.5,56.6,78.5,0,0,0,0,0,18,5,5,10,0,6,6,25,4.2,4,6,0,0,0,84.0,1,0
Darius Butler,4964,S,15,IND,500,5,148,347,63.3,59.6,41.0,65.1,65.5,0,0,0,0,0,24,3,7,4,1,13,10,167,16.7,71,37,0,0,3,118.3,4,0
