player,player_id,position,player_game_count,team_name,coverage_snaps,targets,receptions,yards,yards_after_catch,touchdowns,interceptions,qb_rating_against,yards_per_coverage_snap,coverage_snaps_per_target,coverage_snaps_per_reception
Devon Kennard,8809,ED,8,NYG,12,2,2,16,4,0,0,100.0,1.33,6.0,6.0
Vontae Davis,4948,CB,4,IND,12,4,2,36,6,0,0,81.3,3.0,3.0,6.0
Shaquill Griffin,11845,CB,12,SEA,41,12,7,57,28,0,0,70.5,1.39,3.4,5.9
Justin Simmons,10732,S,10,DEN,65,13,11,106,47,2,1,108.2,1.63,5.0,5.9
Jason McCourty,5127,CB,11,CLV,23,5,4,25,8,1,0,127.1,1.09,4.6,5.8
Jordan Richards,9497,S,12,NE,29,6,5,43,11,0,0,96.5,1.48,4.8,5.8
Kelvin Sheppard,6220,LB,6,NYG,23,4,4,107,81,2,0,158.3,4.65,5.8,5.8
Telvin Smith Sr.,8779,LB,13,JAX,58,11,10,91,57,2,0,140.7,1.57,5.3,5.8
Ken Crawley,11224,CB,11,NO,29,5,5,92,57,1,0,158.3,3.17,5.8,5.8
Matthew Judon,10780,ED,12,BLT,35,7,6,29,8,0,0,83.9,0.83,5.0,5.8
Shawn Williams,7865,S,9,CIN,35,6,6,25,4,1,0,123.6,0.71,5.8,5.8
Sterling Moore,6871,CB,4,NO,34,9,6,64,34,1,0,124.3,1.88,3.8,5.7
Kurt Coleman,5767,S,12,CAR,63,13,11,107,84,0,0,101.0,1.7,4.8,5.7
Jordan Hicks,9517,LB,5,PHI,17,4,3,22,14,0,0,87.5,1.29,4.3,5.7
Bobby Wagner,7050,LB,16,SEA,51,10,9,71,36,0,0,96.3,1.39,5.1,5.7
Justin Bethel,7654,CB,12,ARZ,40,10,7,80,21,1,0,127.1,2.0,4.0,5.7
Christian Kirksey,8706,LB,16,CLV,135,28,24,200,80,3,0,132.1,1.48,4.8,5.6
Demario Davis,7079,LB,13,NYJ,28,10,5,42,30,0,0,61.2,1.5,2.8,5.6
Kiko Alonso,7827,LB,16,MIA,78,18,14,165,68,1,0,123.4,2.12,4.3,5.6
Bradley McDougald,8220,S,13,SEA,84,19,15,101,51,1,0,106.4,1.2,4.4,5.6
Ross Cockrell,8744,CB,11,NYG,73,17,13,171,121,1,0,127.3,2.34,4.3,5.6
Daniel Sorensen,9253,S,15,KC,78,20,14,142,67,1,0,106.7,1.82,3.9,5.6
Quincy Wilson,11801,CB,5,IND,11,2,2,59,9,0,0,118.8,5.36,5.5,5.5
Lawrence Timmons,3631,LB,14,MIA,55,13,10,98,60,0,0,97.6,1.78,4.2,5.5
Adarius Taylor,9074,LB,6,TB,33,9,6,52,21,0,0,81.7,1.58,3.7,5.5
Thomas Davis Sr.,2231,LB,14,CAR,61,13,11,112,65,2,0,142.1,1.84,4.7,5.5
Artie Burns,10659,CB,5,PIT,11,4,2,4,4,0,0,56.3,0.36,2.8,5.5
Anthony Hitchens,8754,LB,12,DAL,44,9,8,61,31,0,0,94.9,1.39,4.9,5.5
Marcus Williams,9115,CB,7,HST,11,2,2,60,13,0,0,118.8,5.45,5.5,5.5
Damien Wilson,9560,LB,13,DAL,33,6,6,66,58,0,0,112.5,2.0,5.5,5.5
Marwin Evans,11343,S,5,GB,11,3,2,22,5,1,0,127.8,2.0,3.7,5.5
Mike Adams,1972,S,16,CAR,110,23,20,212,138,4,1,126.5,1.93,4.8,5.5
Martrell Spaight,9574,LB,9,WAS,37,8,7,100,38,0,0,118.8,2.7,4.6,5.3
Robert Alford,7841,CB,15,ATL,64,18,12,151,47,1,0,111.1,2.36,3.6,5.3
Clayton Fejedelem,10879,S,9,CIN,21,6,4,52,21,0,1,54.2,2.48,3.5,5.3
John Johnson III,11847,S,11,LA,37,8,7,60,8,2,0,137.5,1.62,4.6,5.3
Jonathan Casillas,5422,LB,7,NYG,16,4,3,65,34,1,0,156.3,4.06,4.0,5.3
Josh Jones,11816,S,15,GB,66,16,13,140,53,1,1,97.9,2.12,4.1,5.1
De'Vante Harris,11227,CB,5,NO,40,10,8,135,41,1,0,152.1,3.38,4.0,5.0
Robert Golden,7303,S,4,PIT,5,1,1,12,8,0,0,116.7,2.4,5.0,5.0
Najee Goode,7137,LB,3,PHI,5,1,1,6,9,0,0,91.7,1.2,5.0,5.0
Nicholas Morrow,51674,LB,14,OAK,65,16,13,145,125,0,0,104.4,2.23,4.1,5.0
Barkevious Mingo,7787,ED,10,IND,15,4,3,27,17,0,0,92.7,1.8,3.8,5.0
D.J. Hayden,7793,CB,6,DET,10,2,2,38,25,0,0,118.8,3.8,5.0,5.0
Derrick Morgan,5541,ED,4,TEN,10,2,2,14,10,0,0,95.8,1.4,5.0,5.0
David Amerson,7832,CB,3,OAK,5,1,1,12,0,0,0,116.7,2.4,5.0,5.0
Jamie Collins Sr.,7833,LB,5,CLV,20,5,4,17,22,0,0,80.8,0.85,4.0,5.0
Deon Bush,10758,S,3,CHI,5,1,1,14,0,1,0,158.3,2.8,5.0,5.0
Leon McQuay,11973,CB,1,KC,5,1,1,7,0,0,0,95.8,1.4,5.0,5.0
Darrelle Revis,3630,CB,3,KC,5,1,1,10,4,0,0,108.3,2.0,5.0,5.0
Rashaan Melvin,8334,CB,8,IND,20,7,4,31,14,0,1,28.6,1.55,2.9,5.0
Damontae Kazee,11904,S,2,ATL,5,1,1,8,1,0,0,100.0,1.6,5.0,5.0
Lorenzo Alexander,2476,ED,11,BUF,25,5,5,40,38,0,0,100.0,1.6,5.0,5.0
Craig Robertson,7003,LB,15,NO,49,11,10,100,43,0,0,104.5,2.04,4.5,4.9
Nick Vigil,10721,LB,11,CIN,57,17,12,117,56,0,0,89.6,2.05,3.4,4.8
Dexter McDonald,9675,CB,7,OAK,19,5,4,28,7,1,0,129.6,1.47,3.8,4.8
Nate Allen,5562,S,6,MIA,19,4,4,76,39,0,0,118.8,4.0,4.8,4.8
Stephone Anthony,9464,LB,7,MIA,19,4,4,28,6,1,0,135.4,1.47,4.8,4.8
Jamal Agnew,11920,CB,3,DET,33,7,7,69,66,0,0,107.7,2.09,4.7,4.7
Brandon Marshall,7648,LB,13,DEN,61,14,13,117,63,0,0,101.5,1.92,4.4,4.7
Ramon Humber,5310,LB,11,BUF,54,15,12,87,51,1,0,113.1,1.61,3.6,4.5
