year,player,player_id,position,player_game_count,team_name,pass_snaps,pass_rush_snaps,pass_rush_percent,sacks,hits,hurries,pressures,prp,lhs_pass_rush_snaps,lhs_pass_rush_percent,lhs_sacks,lhs_hits,lhs_hurries,lhs_pressures,lhs_prp,rhs_pass_rush_snaps,rhs_pass_rush_percent,rhs_sacks,rhs_hits,rhs_hurries,rhs_pressures,rhs_prp
2017,Sam Acho,6255,ED,16,CHI,333,233,70,4,12,13,29,7.1,10,4.3,0,0,0,0,0,223,95.7,4,12,13,29,7.4
2017,Da'Norris Searcy,6252,S,13,TEN,206,7,3.4,0,1,0,1,7.1,1,14.3,0,0,0,0,0,6,85.7,0,1,0,1,8.3
2017,Reuben Foster,11786,LB,10,SF,296,35,11.8,0,2,3,5,7.1,19,54.3,0,1,1,2,5.3,16,45.7,0,1,2,3,9.4
2017,Deiontrez Mount,9610,ED,4,DEN,23,21,91.3,0,1,2,3,7.1,8,38.1,0,1,1,2,12.5,13,61.9,0,0,1,1,3.8
2017,Jonathan Casillas,5422,LB,8,NYG,229,35,15.3,0,2,3,5,7.1,19,54.3,0,0,1,1,2.6,16,45.7,0,2,2,4,12.5
2017,Marcus Williams,11797,S,15,NO,579,7,1.2,0,0,1,1,7.1,3,50,0,0,1,1,16.7,3,50,0,0,0,0,0
2017,Robert McClain,5771,CB,14,TB,419,7,1.7,0,0,1,1,7.1,3,42.9,0,0,1,1,16.7,4,57.1,0,0,0,0,0
2017,Morgan Burnett,5596,S,12,GB,396,28,7.1,0,0,4,4,7.1,17,63,0,0,1,1,2.9,10,37,0,0,3,3,15
2017,Reshad Jones,5686,S,16,MIA,562,42,7.5,1,1,3,5,7.1,22,52.4,0,0,2,2,4.5,20,47.6,1,1,1,3,10
2017,Derek Barnett,11769,ED,15,PHI,312,304,97.4,6,10,21,37,7.1,13,4.3,0,0,1,1,3.8,291,95.7,6,10,20,36,7.2
2017,Jamar Taylor,7835,CB,15,CLV,523,14,2.7,1,0,0,1,7.1,9,64.3,0,0,0,0,0,5,35.7,1,0,0,1,20
2017,Derrick Kindred,10763,S,14,CLV,365,64,17.5,0,2,7,9,7,31,48.4,0,0,1,1,1.6,33,51.6,0,2,6,8,12.1
2017,Jon Bostic,7831,LB,14,IND,483,50,10.4,0,1,6,7,7,25,54.3,0,1,2,3,6,21,45.7,0,0,4,4,9.5
2017,NaVorro Bowman,5615,LB,15,OAK,561,57,10.2,1,4,2,7,7,27,55.1,1,2,0,3,7.4,22,44.9,0,2,2,4,9.1
2017,Chris Wormley,11829,DI,6,BLT,36,36,100,0,1,4,5,6.9,22,61.1,0,1,4,5,11.4,14,38.9,0,0,0,0,0
2017,Robert Ayers,4941,ED,12,TB,344,342,99.4,2,17,26,45,6.9,56,16.8,1,0,3,4,4.5,277,83.2,1,17,23,41,7.6
2017,Kawann Short,7825,DI,16,CAR,444,442,99.5,10,9,32,51,6.9,41,9.7,3,0,4,7,12.2,383,90.3,7,8,27,42,6.4
2017,Dante Fowler Jr.,9436,ED,16,JAX,345,333,96.5,9,2,26,37,6.9,231,69.4,7,2,20,29,7.8,102,30.6,2,0,6,8,4.9
2017,Za'Darius Smith,9555,ED,14,BLT,334,328,98.2,5,12,23,40,6.9,186,56.7,4,8,16,28,8.6,142,43.3,1,4,7,12,4.6
2017,Julius Peppers,1010,ED,16,CAR,332,325,97.9,13,5,13,31,6.8,272,83.7,11,5,11,27,7,53,16.3,2,0,2,4,5.7
2017,Matthew Judon,10780,ED,16,BLT,467,307,65.7,9,6,18,33,6.8,193,62.9,6,5,9,20,6.7,114,37.1,3,1,9,13,7
2017,Bud Dupree,9455,ED,15,PIT,459,337,73.4,6,0,34,40,6.8,311,93.1,6,0,32,38,7.1,23,6.9,0,0,2,2,4.3
2017,Howard Jones,8909,ED,4,CHI,22,22,100,1,0,1,2,6.8,3,13.6,0,0,0,0,0,19,86.4,1,0,1,2,7.9
2017,Ramon Humber,5310,LB,13,BUF,315,45,14.3,1,3,1,5,6.7,20,45.5,0,1,0,1,2.5,24,54.5,1,2,1,4,10.4
2017,Malik Jackson,7647,DI,16,JAX,455,447,98.2,9,5,37,51,6.7,305,69.6,5,3,32,40,7.4,133,30.4,3,2,3,8,4.1
2017,Kyle Van Noy,8675,LB,13,NE,439,180,41,6,2,10,18,6.7,86,48.6,4,2,7,13,9.9,91,51.4,2,0,3,5,3.8
2017,Darian Stewart,5820,S,16,DEN,491,15,3.1,0,0,2,2,6.7,6,40,0,0,1,1,8.3,9,60,0,0,1,1,5.6
2017,Chris Odom,12031,ED,5,GB,15,15,100,0,0,2,2,6.7,11,73.3,0,0,2,2,9.1,4,26.7,0,0,0,0,0
