player,player_id,position,player_game_count,team_name,coverage_snaps,targets,receptions,yards,yards_after_catch,touchdowns,interceptions,qb_rating_against,yards_per_coverage_snap,coverage_snaps_per_target,coverage_snaps_per_reception
Jatavis Brown,10809,LB,16,LAC,288,43,37,320,178,2,0,113.2,1.11,6.7,7.8
Kevin Johnson,9449,CB,12,HST,303,50,39,448,147,5,0,137.3,1.48,6.1,7.8
Dexter McDougle,8715,CB,5,NO,39,8,5,29,13,0,0,69.3,0.74,4.9,7.8
Kendell Beckwith,11862,LB,16,TB,306,51,39,344,194,2,0,107.0,1.12,6.0,7.8
Cory James,10828,LB,10,OAK,219,37,28,248,143,2,0,111.1,1.13,5.9,7.8
Michael Davis,12040,CB,2,LAC,23,5,3,25,8,0,0,72.9,1.09,4.6,7.7
Kareem Jackson,5545,CB,16,HST,475,86,62,818,230,4,1,112.5,1.72,5.5,7.7
Kwon Alexander,9557,LB,12,TB,357,53,47,548,318,0,3,86.2,1.54,6.7,7.6
Sterling Moore,6871,CB,5,NO,61,14,8,97,55,1,0,102.4,1.59,4.4,7.6
Lawrence Timmons,3631,LB,14,MIA,344,57,45,393,282,3,0,112.9,1.14,6.0,7.6
Denzel Perryman,9481,LB,7,LAC,149,23,20,164,66,0,0,96.4,1.1,6.5,7.5
James Harrison,1251,ED,6,NE,15,3,2,7,1,0,0,70.1,0.47,5.0,7.5
Stephone Anthony,9464,LB,7,MIA,82,15,11,74,31,1,0,106.0,0.9,5.5,7.5
Justin Currie,9834,S,2,CLV,15,3,2,10,4,0,0,71.5,0.67,5.0,7.5
Deone Bucannon,8662,LB,12,ARZ,362,66,48,502,302,3,1,103.2,1.39,5.5,7.5
Jeremiah George,8789,LB,14,IND,103,16,14,133,94,0,0,101.3,1.29,6.4,7.4
Ray-Ray Armstrong,8271,LB,11,NYG,214,37,29,343,239,2,2,100.8,1.6,5.8,7.4
Duke Riley,11830,LB,11,ATL,96,14,13,138,107,1,0,131.5,1.44,6.9,7.4
Leonard Johnson,7385,CB,15,BUF,442,85,60,616,370,2,0,98.9,1.39,5.2,7.4
Patrick Onwuasor,11100,LB,16,BLT,269,43,37,345,284,0,0,100.1,1.28,6.3,7.3
Christian Jones,9020,LB,15,CHI,299,48,41,365,238,2,0,112.2,1.22,6.2,7.3
Ramon Humber,5310,LB,13,BUF,271,46,37,262,196,1,0,97.6,0.97,5.9,7.3
Lardarius Webb,5011,CB,15,BLT,202,41,28,372,124,0,2,76.5,1.84,4.9,7.2
Blake Martinez,10765,LB,16,GB,447,77,63,517,408,3,1,102.2,1.16,5.8,7.1
Marcus Williams,9115,CB,11,HST,121,31,17,232,66,1,1,76.3,1.92,3.9,7.1
Damien Wilson,9560,LB,16,DAL,127,19,18,232,196,2,0,152.6,1.83,6.7,7.1
Chris Long,4316,ED,16,PHI,7,1,1,9,11,0,0,104.2,1.29,7.0,7.0
Jerry Hughes,5556,ED,16,BUF,7,1,1,19,9,0,0,118.8,2.71,7.0,7.0
Maurice Smith,51190,S,1,MIA,14,3,2,32,15,0,0,102.1,2.29,4.7,7.0
Brandon Dixon,8830,CB,5,NYG,146,30,21,269,119,3,0,131.1,1.84,4.9,7.0
Chuck Clark,11941,S,9,BLT,35,7,5,47,15,1,0,129.2,1.34,5.0,7.0
Everson Griffen,5624,ED,15,MIN,7,1,1,13,8,0,0,118.8,1.86,7.0,7.0
Jadeveon Clowney,8636,ED,16,HST,21,3,3,28,28,0,0,105.6,1.33,7.0,7.0
Martrell Spaight,9574,LB,12,WAS,196,34,28,295,145,1,0,112.6,1.51,5.8,7.0
Terrell Suggs,1326,ED,16,BLT,14,2,2,14,18,0,0,95.8,1.0,7.0,7.0
Tony McRae,11358,CB,3,CIN,7,2,1,20,0,1,0,125.0,2.86,3.5,7.0
Jaylen Hill,37997,CB,2,BLT,7,2,1,14,2,0,0,72.9,2.0,3.5,7.0
Fabian Moreau,11836,CB,6,WAS,48,10,7,132,59,1,0,145.8,2.75,4.8,6.9
James Burgess,11202,LB,14,CLV,255,41,37,411,293,0,0,108.4,1.61,6.2,6.9
Lorenzo Alexander,2476,ED,16,BUF,185,32,27,278,164,1,0,113.3,1.5,5.8,6.9
Chandler Jones,7027,ED,16,ARZ,47,9,7,59,50,0,0,94.0,1.26,5.2,6.7
Bruce Irvin,7021,ED,16,OAK,121,22,18,128,98,2,0,121.2,1.06,5.5,6.7
Sam Acho,6255,ED,16,CHI,100,16,15,119,61,0,0,97.7,1.19,6.3,6.7
Kiko Alonso,7827,LB,16,MIA,516,91,77,810,425,4,0,118.4,1.57,5.7,6.7
Eli Harold,9512,LB,16,SF,100,16,15,133,99,2,0,140.9,1.33,6.3,6.7
Josh Bynes,6503,LB,11,ARZ,112,23,17,166,148,1,1,90.1,1.48,4.9,6.6
Julian Stanford,7372,LB,6,NYJ,59,13,9,58,34,0,0,78.4,0.98,4.5,6.6
James Cowser,11351,ED,15,OAK,26,4,4,18,23,0,0,85.4,0.69,6.5,6.5
Mike Hull,9815,LB,5,MIA,85,13,13,118,92,0,0,104.5,1.39,6.5,6.5
Brian Poole,11052,CB,15,ATL,423,77,65,657,286,1,0,106.5,1.55,5.5,6.5
Ryan Anderson,11804,ED,14,WAS,13,2,2,-1,2,0,0,79.2,-0.08,6.5,6.5
Cameron Jordan,6176,ED,16,NO,26,5,4,18,3,0,1,42.1,0.69,5.2,6.5
Marquel Lee,11923,LB,10,OAK,52,9,8,50,46,1,0,126.9,0.96,5.8,6.5
Leonard Floyd,10643,ED,10,CHI,65,11,10,162,96,0,0,118.8,2.49,5.9,6.5
Jelani Jenkins,7886,LB,4,HST,45,9,7,79,50,0,0,103.2,1.76,5.0,6.4
Tyus Bowser,11802,ED,16,BLT,25,5,4,48,15,1,1,106.7,1.92,5.0,6.3
Tramaine Brock Sr.,5903,CB,5,MIN,38,9,6,62,14,1,0,123.4,1.63,4.2,6.3
Whitney Mercilus,7031,ED,5,HST,19,4,3,19,11,0,0,84.4,1.0,4.8,6.3
C.J. Goodwin,9243,CB,5,ARZ,50,9,8,97,48,0,0,111.6,1.94,5.6,6.3
Antonio Hamilton,11353,CB,3,OAK,37,7,6,112,27,1,0,158.3,3.03,5.3,6.2
Jamie Collins Sr.,7833,LB,6,CLV,104,21,17,170,125,0,1,80.6,1.63,5.0,6.1
Jordan Evans,11947,LB,11,CIN,149,32,25,377,220,2,0,136.6,2.53,4.7,6.0
Isaiah Irving,12171,ED,4,CHI,6,1,1,1,0,0,0,79.2,0.17,6.0,6.0
