year,player,player_id,position,player_game_count,team_name,snaps,run_snaps,run_tackles,run_assists,run_misses,run_stops,run_tackle_efficiency,pass_snaps,pass_tackles,pass_assists,pass_misses,pass_stops,pass_tackle_efficiency,combined_tackle_efficiency
2017,Jihad Ward,10678,DI,5,OAK,119,53,0,3,0,0,1.00E+03,66,0,0,0,1,,1.00E+03
2017,Neiko Thorpe,7716,CB,4,SEA,18,0,0,0,0,0,,18,2,0,0,0,1.00E+03,1.00E+03
2017,Dion Jordan,7785,ED,5,SEA,131,70,8,2,0,8,1.00E+03,61,1,0,0,5,1.00E+03,1.00E+03
2017,Stefan McClure,10912,S,4,WAS,21,10,1,0,0,0,1.00E+03,11,0,0,0,0,,1.00E+03
2017,Stephen Weatherly,10861,ED,8,MIN,85,31,3,1,0,1,1.00E+03,54,0,0,0,0,,1.00E+03
2017,Daniel Ross,51592,DI,3,DAL,52,23,2,0,0,0,1.00E+03,29,0,0,0,1,,1.00E+03
2017,Kamu Grugier-Hill,10842,LB,6,PHI,79,26,3,0,0,2,1.00E+03,53,6,1,0,2,1.00E+03,1.00E+03
2017,Harlan Miller,10839,S,4,ARZ,54,17,1,1,0,0,1.00E+03,37,2,0,0,1,1.00E+03,1.00E+03
2017,Jordan Lucas,10838,S,5,MIA,25,13,0,0,0,0,,12,2,0,0,0,1.00E+03,1.00E+03
2017,Kyle Peko,11027,DI,6,DEN,91,47,5,0,0,3,1.00E+03,44,1,0,0,0,1.00E+03,1.00E+03
2017,Donald Payne,51589,LB,1,JAX,3,2,0,1,0,0,1.00E+03,1,0,0,0,0,,1.00E+03
2017,Xavier Woodson-Luster,50835,LB,4,OAK,44,28,2,1,0,1,1.00E+03,16,2,0,0,0,1.00E+03,1.00E+03
2017,Tyrone Holmes,10815,ED,4,CLV,33,11,1,1,0,1,1.00E+03,22,1,0,0,1,1.00E+03,1.00E+03
2017,Haloti Ngata,2957,DI,5,DET,136,52,5,1,0,4,1.00E+03,84,0,0,0,2,,1.00E+03
2017,Tamba Hali,2965,ED,5,KC,90,22,1,0,0,0,1.00E+03,68,0,0,0,0,,1.00E+03
2017,D.J. White,10812,CB,2,IND,51,19,0,0,0,0,,32,3,0,0,1,1.00E+03,1.00E+03
2017,Brandon Bell,50096,LB,3,CIN,35,21,2,1,0,1,1.00E+03,14,4,0,0,1,1.00E+03,1.00E+03
2017,Marqui Christian,10801,S,10,LA,42,21,3,0,0,3,1.00E+03,21,2,1,0,0,1.00E+03,1.00E+03
2017,Roy Robertson-Harris,11341,DI,12,CHI,196,76,4,3,0,3,1.00E+03,120,2,0,0,4,1.00E+03,1.00E+03
2017,James Cowser,11351,ED,16,OAK,150,75,7,0,0,4,1.00E+03,75,6,3,0,4,1.00E+03,1.00E+03
2017,Ronald Darby,9483,CB,8,PHI,357,129,7,1,0,2,1.00E+03,228,22,1,0,5,1.00E+03,1.00E+03
2017,Tony McRae,11358,CB,5,CIN,17,10,2,0,0,1,1.00E+03,7,0,0,0,0,,1.00E+03
2017,Treston Decoud,11924,CB,5,HST,49,25,4,0,0,3,1.00E+03,24,2,1,0,0,1.00E+03,1.00E+03
2017,Akeem Ayers,6191,LB,3,NYG,4,2,0,1,0,0,1.00E+03,2,0,0,0,0,,1.00E+03
