year,player,player_id,position,player_game_count,team_name,grades_fgep_kicker,pat_made,pat_attempts,pat_percent,one_made,one_attempts,one_percent,twenty_made,twenty_attempts,twenty_percent,thirty_made,thirty_attempts,thirty_percent,forty_made,forty_attempts,forty_percent,fifty_made,fifty_attempts,fifty_percent
2017,Adam Vinatieri,226,K,15,IND,69.5,22,24,91.7,0,0,,11,11,100,7,10,70,6,7,85.7,5,6,83.3
2017,Phil Dawson,422,K,16,ARZ,62.7,23,26,88.5,1,1,100,7,7,100,10,14,71.4,10,13,76.9,4,5,80
2017,Matt Bryant,1223,K,16,ATL,87,35,35,100,1,1,100,6,6,100,10,13,76.9,9,10,90,8,9,88.9
2017,Mike Nugent,2264,K,8,CHI,60.9,15,17,88.2,0,0,,3,3,100,3,4,75,4,5,80,1,1,100
2017,Robbie Gould,2607,K,16,SF,90.4,28,30,93.3,0,0,,7,8,87.5,11,11,100,17,18,94.4,4,4,100
2017,Nick Novak,2726,K,7,LAC,47.7,17,18,94.4,0,0,,4,4,100,4,5,80,0,2,0,1,2,50
2017,Stephen Gostkowski,3063,K,16,NE,77.8,45,47,95.7,0,0,,16,16,100,9,9,100,8,11,72.7,4,4,100
2017,Matt Prater,3471,K,16,DET,87.7,40,41,97.6,2,2,100,4,4,100,10,10,100,7,8,87.5,7,11,63.6
2017,Nick Folk,3794,K,4,TB,28.3,7,9,77.8,0,0,,2,2,100,1,2,50,2,5,40,1,2,50
2017,Mason Crosby,3809,K,14,GB,55.2,33,35,94.3,0,0,,8,8,100,2,4,50,4,4,100,1,3,33.3
2017,Stephen Hauschka,4655,K,16,BUF,84.9,29,29,100,0,0,,6,6,100,9,9,100,7,9,77.8,7,9,77.8
2017,Connor Barth,4777,K,10,CHI,56.5,17,17,100,1,1,100,4,4,100,0,0,,5,9,55.6,1,2,50
2017,Ryan Succop,5180,K,16,TEN,68.2,31,33,93.9,0,0,,10,10,100,7,7,100,16,20,80,2,5,40
2017,Graham Gano,5443,K,16,CAR,75.3,34,37,91.9,0,0,,8,8,100,11,11,100,10,10,100,0,1,0
2017,Dan Bailey,6796,K,11,DAL,44.6,26,28,92.9,1,1,100,3,4,75,4,5,80,4,5,80,3,5,60
2017,Kai Forbath,6860,K,16,MIN,59.5,34,39,87.2,0,0,,8,8,100,12,14,85.7,6,7,85.7,6,9,66.7
2017,Randy Bullock,7154,K,14,CIN,69.2,31,33,93.9,0,0,,6,6,100,7,8,87.5,4,5,80,1,1,100
2017,Greg Zuerlein,7163,K,14,LA,85.6,45,46,97.8,1,1,100,8,8,100,11,12,91.7,12,12,100,6,7,85.7
2017,Blair Walsh,7167,K,16,SEA,43.6,37,38,97.4,0,0,,6,6,100,7,10,70,8,12,66.7,0,1,0
2017,Giorgio Tavecchio,7278,K,15,OAK,61.9,33,34,97.1,0,0,,5,5,100,5,7,71.4,3,5,60,3,4,75
2017,Justin Tucker,7604,K,16,BLT,90.8,39,39,100,0,0,,7,7,100,11,11,100,11,12,91.7,5,7,71.4
2017,Caleb Sturgis,7948,K,1,PHI,54.8,1,2,50,0,0,,0,0,,1,1,100,1,1,100,1,1,100
2017,Dustin Hopkins,7958,K,8,WAS,58.5,18,19,94.7,1,1,100,7,7,100,2,2,100,4,5,80,0,2,0
2017,Jeff Heath,8396,S,1,DAL,45.4,2,3,66.7,0,0,,0,0,,0,0,,0,0,,0,0,
2017,Brandon McManus,8437,K,15,DEN,52.9,27,27,100,0,0,,6,8,75,11,12,91.7,4,6,66.7,3,6,50
2017,Cairo Santos,8932,K,5,CHI,59,14,14,100,0,0,,0,0,,4,4,100,0,0,,0,1,0
2017,Chris Boswell,8990,K,16,PIT,81.3,37,39,94.9,0,0,,10,10,100,12,14,85.7,9,10,90,4,4,100
2017,Cody Parkey,9030,K,15,MIA,69.7,26,29,89.7,0,0,,6,6,100,8,8,100,6,7,85.7,1,2,50
2017,Chandler Catanzaro,9140,K,15,NYJ,73,29,29,100,1,1,100,6,6,100,4,4,100,12,17,70.6,2,2,100
2017,Travis Coons,9268,K,3,LAC,47.9,5,6,83.3,0,0,,4,4,100,2,3,66.7,1,1,100,0,0,
2017,Patrick Murray,9389,K,12,TB,57.8,21,22,95.5,0,0,,5,5,100,8,8,100,4,5,80,2,5,40
2017,Josh Lambo,10133,K,10,JAX,78.5,22,24,91.7,0,0,,2,2,100,11,11,100,4,5,80,2,2,100
2017,Jason Myers,10207,K,6,JAX,33.7,15,17,88.2,0,0,,4,4,100,2,3,66.7,5,5,100,0,3,0
2017,Drew Kaser,10813,P,1,LAC,29.4,1,3,33.3,0,0,,0,0,,0,0,,0,0,,0,0,
2017,Nick Rose,11091,K,10,LAC,47.3,23,26,88.5,0,0,,6,6,100,3,4,75,1,2,50,1,2,50
2017,Wil Lutz,11096,K,16,NO,72.3,47,50,94,0,0,,10,10,100,4,5,80,13,16,81.3,4,5,80
2017,Ka'imi Fairbairn,11161,K,15,HST,46.7,32,35,91.4,0,0,,3,4,75,8,10,80,6,7,85.7,3,4,75
2017,Marshall Koehn,11209,K,1,CIN,60.4,1,1,100,0,0,,0,0,,0,0,,0,0,,0,0,
2017,Aldrick Rosas,11331,K,16,NYG,49.4,20,23,87,0,0,,8,8,100,3,5,60,4,9,44.4,3,3,100
2017,Sam Ficken,11437,K,2,LA,39,4,5,80,0,0,,2,2,100,0,1,0,0,0,,0,0,
