player,player_id,position,player_game_count,team_name,snap_counts_kickoff_return,snap_counts_kickoff,snap_counts_punt_return,snap_counts_punt_coverage,snap_counts_field_goal_blocking,snap_counts_field_goal,grades_misc_st,grades_kickoff_kicker,grades_kick_return,grades_punter,grades_punt_return,grades_fgep_kicker,penalties,declined_penalties,tackles,assists,missed_tackles
Brandon King,9952,S,13,NE,49,82,58,46,0,0,61.6,,,,,,1,0,9,1,1
Jordan Williams,9962,ED,1,NYG,10,4,2,0,0,0,77.4,,,,,,0,0,0,0,0
Damiere Byrd,9964,WR,8,CAR,26,15,2,6,10,0,61.6,,77.6,,60.1,,1,0,1,0,0
Gabe Holmes,9980,TE,2,ARZ,3,0,10,0,0,0,61.3,,,,,,0,0,0,0,0
Jesse Davis,9989,G,15,MIA,0,0,0,0,0,52,63.6,,,,,,0,0,0,0,0
Ronald Martin,9991,S,2,IND,1,10,7,0,0,0,65.0,,,,,,0,0,0,0,0
Rod Smith,9996,HB,15,DAL,70,74,57,58,0,0,63.0,,59.9,,,,0,0,5,0,2
Jonathan Anderson,9998,LB,12,CHI,63,42,56,64,15,0,66.9,,,,,,1,0,4,0,1
Bryce Callahan,10000,CB,1,CHI,0,0,1,0,0,0,60.0,,,,62.0,,0,0,0,0,0
Rick Lovato,10007,LS,16,PHI,0,0,0,69,0,80,85.1,,,,,,0,0,3,0,0
Olsen Pierre,10010,DI,10,ARZ,11,0,8,0,17,0,44.9,,,,,,1,0,0,0,0
John Timu,10011,LB,11,CHI,39,25,45,43,41,0,66.2,,,,,,3,1,3,1,1
Kurtis Drummond,10015,S,15,HST,87,71,79,88,1,0,66.8,,60.0,,,,1,0,8,3,1
Kendall Lamm,10017,T,10,HST,0,0,0,0,0,36,61.7,,,,,,0,0,0,0,0
Khari Lee,10018,TE,2,BUF,2,0,0,0,0,7,60.2,,,,,,0,0,0,0,0
Greg Mancz,10019,G,8,HST,0,0,0,0,0,28,61.4,,,,,,0,0,0,0,0
Chad Slade,10024,G,5,HST,0,0,0,0,0,14,61.6,,,,,,0,0,0,0,0
Carlos Thompson,10025,ED,3,LA,17,15,10,10,6,0,71.5,,,,,,0,0,2,0,0
Richard Ash,10047,DI,3,DAL,0,0,2,0,8,0,59.6,,,,,,0,0,0,0,0
Cap Capi,10048,ED,8,BUF,17,24,29,26,0,0,46.5,,,,,,2,1,2,0,3
David Irving,10063,DI,8,DAL,0,0,5,0,30,0,58.8,,,,,,0,0,0,0,0
