player,player_id,position,player_game_count,team_name,grades_return,total_attempts,grades_kick_return,kickoff_attempts,kickoff_yards,kickoff_long,kickoff_ypa,kickoff_touchdowns,kickoff_fair_catches,kickoff_muffed_returns,grades_punt_return,punt_attempts,punt_yards,punt_long,punt_ypa,punt_touchdowns,punt_fair_catches,punt_muffed_returns
Larry Fitzgerald,1724,WR,16,ARZ,61.2,1,61.2,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
DeAngelo Hall,1729,S,5,WAS,61.1,2,,0,0,0,,0,0,0,61.4,2,7,7,3.5,0,0,0
Adam Jones,2223,CB,9,CIN,85.9,6,,0,0,0,,0,0,0,91.5,6,131,40,21.8,0,0,0
Darren Sproles,2347,HB,3,PHI,56.3,1,,0,0,0,,0,0,0,55.1,1,10,10,10.0,0,5,0
John Kuhn,2686,FB,2,NO,59.9,1,59.9,1,9,9,9.0,0,0,0,,0,0,0,,0,0,0
Ted Ginn Jr.,3625,WR,15,NO,52.4,25,44.6,6,56,17,9.3,0,0,0,60.8,19,103,17,5.4,0,13,1
Paul Posluszny,3650,LB,16,JAX,59.9,1,59.9,1,0,0,0.0,0,0,1,,0,0,0,,0,0,0
Brent Celek,3778,TE,16,PHI,59.6,2,59.7,2,18,10,9.0,0,0,0,,0,0,0,,0,0,0
Eric Weems,4097,WR,16,TEN,60.8,4,59.2,2,18,18,9.0,0,0,0,62.2,2,15,13,7.5,0,0,0
Danny Amendola,4717,WR,15,NE,62.6,28,59.5,1,16,16,16.0,0,0,0,63.8,27,231,40,8.6,0,18,0
Mike Tolbert,4740,HB,12,BUF,60.0,0,60.0,0,0,0,,0,1,0,,0,0,0,,0,0,0
Patrick Chung,4957,S,16,NE,60.5,2,59.9,1,4,4,4.0,0,0,0,60.9,1,0,0,0.0,0,3,0
Brandon Tate,5006,WR,13,BUF,60.3,48,55.1,28,548,29,19.6,0,0,0,68.2,20,193,40,9.7,0,6,1
Lardarius Webb,5011,CB,16,BLT,61.4,2,,0,0,0,,0,0,0,61.9,2,7,7,3.5,0,8,0
Devin McCourty,5552,S,16,NE,59.6,2,59.7,2,15,12,7.5,0,0,0,,0,0,0,,0,0,0
Golden Tate,5585,WR,16,DET,65.6,4,59.2,2,0,1,0.0,0,0,0,69.4,2,23,13,11.5,0,2,0
Emmanuel Sanders,5606,WR,12,DEN,60.8,2,,0,0,0,,0,0,0,61.0,2,-2,3,-1.0,0,0,0
Eric Decker,5611,WR,16,TEN,61.2,1,61.2,1,22,22,22.0,0,0,0,,0,0,0,,0,0,0
Andre Roberts,5612,WR,16,ATL,68.6,65,61.1,38,860,61,22.6,0,0,1,73.2,27,201,27,7.4,0,21,0
Antonio Brown,5718,WR,14,PIT,61.6,11,,0,0,0,,0,0,0,62.1,11,61,16,5.5,0,10,1
Ben Garland,5839,G,16,ATL,59.9,1,59.9,1,11,11,11.0,0,0,0,,0,0,0,,0,0,0
Marcus Sherels,6017,CB,16,MIN,64.4,50,59.0,11,271,32,24.6,0,0,0,67.4,39,372,46,9.5,0,24,0
Patrick Peterson,6157,CB,16,ARZ,64.9,13,,0,0,0,,0,0,0,66.4,13,88,19,6.8,0,9,0
Shane Vereen,6208,HB,16,NYG,54.7,9,55.3,9,196,30,21.8,0,0,0,,0,0,0,,0,0,0
Torrey Smith,6210,WR,16,PHI,60.5,1,,0,0,0,,0,0,0,60.5,1,9,9,9.0,0,0,0
Sam Acho,6255,ED,16,CHI,59.9,1,59.9,1,3,3,3.0,0,0,0,,0,0,0,,0,0,0
Taiwan Jones,6277,HB,8,BUF,58.4,2,58.5,2,50,27,25.0,0,0,0,,0,0,0,,0,0,0
Anthony Sherman,6288,FB,16,KC,63.1,1,62.9,1,7,7,7.0,0,0,0,,0,0,0,,0,0,0
Jacquizz Rodgers,6297,HB,16,TB,62.5,11,62.2,11,255,45,23.2,0,0,0,,0,0,0,,0,0,0
Dion Lewis,6301,HB,16,NE,60.2,23,60.2,23,570,103,24.8,1,0,0,,0,0,0,,0,0,0
Jeremy Kerley,6305,WR,8,NYJ,51.1,16,60.0,0,0,0,,0,0,0,48.4,16,85,15,5.3,0,9,1
Niles Paul,6307,TE,14,WAS,62.2,3,62.0,3,47,24,15.7,0,0,0,,0,0,0,,0,0,0
Dwayne Harris,6328,WR,5,NYG,65.9,16,64.1,9,188,30,20.9,0,0,0,64.4,7,48,17,6.9,0,9,0
Jordan Todman,6335,HB,14,HST,59.5,4,59.5,4,84,25,21.0,0,0,0,,0,0,0,,0,0,0
Chris Hogan,6468,WR,9,NE,61.2,1,61.2,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Patrick DiMarco,6997,FB,16,BUF,59.9,1,59.9,1,24,24,24.0,0,0,0,,0,0,0,,0,0,0
Trumaine Johnson,7067,CB,16,LA,60.2,1,,0,0,0,,0,0,0,60.1,1,6,6,6.0,0,0,0
Travis Benjamin,7100,WR,16,LAC,71.2,27,,0,0,0,,0,0,0,74.8,27,257,65,9.5,1,25,0
Nate Stupar,7214,LB,4,NO,61.2,1,61.2,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Robert Golden,7303,S,16,PIT,59.9,1,59.9,1,5,5,5.0,0,0,0,,0,0,0,,0,0,0
Cole Beasley,7330,WR,15,DAL,61.3,2,60.0,0,0,0,,0,1,0,62.2,2,19,15,9.5,0,5,0
Griff Whalen,7351,WR,2,BLT,60.5,1,,0,0,0,,0,0,0,60.5,1,2,2,2.0,0,1,0
Derek Carrier,7406,TE,14,LA,59.4,3,59.5,3,41,14,13.7,0,0,0,,0,0,0,,0,0,0
Brittan Golden,7481,WR,13,ARZ,58.7,11,55.5,4,81,26,20.3,0,0,0,64.5,7,63,15,9.0,0,1,0
Bobby Rainey Jr.,7511,HB,4,BLT,65.7,13,64.8,11,338,96,30.7,1,0,0,61.9,2,22,13,11.0,0,0,0
