player,player_id,position,player_game_count,team_name,targets,receptions,drops,catchable,drop_rate
Christian McCaffrey,11763,HB,16,CAR,122,108,0,108,0.0
Antonio Gates,1609,TE,16,LAC,44,28,0,28,0.0
Tim White,12144,WR,1,BLT,1,1,0,1,0.0
Marcus Kemp,12137,WR,7,KC,1,1,0,1,0.0
Paul Richardson Jr.,8680,WR,7,WAS,33,20,0,20,0.0
Jeremy Hill,8690,HB,1,NE,1,1,0,1,0.0
Cody Latimer,8691,WR,6,NYG,16,11,0,11,0.0
Bobo Wilson,12067,WR,5,TB,5,4,0,4,0.0
Sean Culkin,12037,TE,13,LAC,1,1,0,1,0.0
Noah Brown,11993,WR,7,DAL,8,5,0,5,0.0
Richard Rodgers,8733,TE,4,PHI,1,1,0,1,0.0
Alex Armah,11948,FB,9,CAR,1,1,0,1,0.0
T.J. Logan,11935,HB,6,ARZ,7,7,0,7,0.0
Shelton Gibson,11921,WR,9,PHI,3,1,0,1,0.0
De'Anthony Thomas,8759,WR,5,KC,5,3,0,3,0.0
Brian Hill,11911,HB,4,ATL,2,1,0,1,0.0
T.J. Jones,8824,WR,15,DET,25,19,0,19,0.0
Jeremy Sprinkle,11909,TE,16,WAS,8,5,0,5,0.0
Jake Butt,11900,TE,3,DEN,11,8,0,8,0.0
Jehu Chesson,11894,WR,2,WAS,2,1,0,1,0.0
Scott Simonson,8954,TE,13,NYG,13,9,0,9,0.0
Jamaal Williams,11889,HB,16,GB,33,27,0,27,0.0
Charcandrick West,9047,HB,3,KC,3,2,0,2,0.0
Alejandro Villanueva,9091,T,1,PIT,1,1,0,1,0.0
Xavier Grimble,9092,TE,15,PIT,7,6,0,6,0.0
Ryan Hewitt,9107,TE,11,IND,1,1,0,1,0.0
Damien Williams,9205,HB,12,KC,24,23,0,23,0.0
Josh Reynolds,11872,WR,16,LA,49,29,0,29,0.0
Samaje Perine,11869,HB,3,WAS,3,3,0,3,0.0
Erik Swoope,9303,TE,7,IND,10,8,0,8,0.0
D'Onta Foreman,11844,HB,1,HST,2,2,0,2,0.0
Marcus Mariota,9435,QB,2,TEN,1,1,0,1,0.0
Kevin White,9440,WR,9,CHI,8,4,0,4,0.0
Dion Dawkins,11818,T,3,BUF,1,1,0,1,0.0
Breshad Perriman,9459,WR,10,CLV,25,16,0,16,0.0
Adam Shaheen,11800,TE,6,CHI,6,5,0,5,0.0
Ameer Abdullah,9487,HB,6,MIN,4,3,0,3,0.0
Maxx Williams,9488,TE,12,BLT,16,16,0,16,0.0
Tyler Lockett,9502,WR,16,SEA,65,57,0,57,0.0
Seth DeValve,10772,TE,10,CLV,7,5,0,5,0.0
Sammie Coates,9520,WR,2,HST,1,1,0,1,0.0
Ben Braunecker,11335,TE,13,CHI,5,3,0,3,0.0
Elijhaa Penny,11300,FB,10,NYG,9,8,0,8,0.0
Blake Bell,9550,TE,10,JAX,9,8,0,8,0.0
Tre Madden,11286,FB,12,SEA,3,2,0,2,0.0
MyCole Pruitt,9576,TE,11,TEN,11,9,0,9,0.0
Jay Ajayi,9582,HB,4,PHI,6,5,0,5,0.0
