year,player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
2018,Julio Jones,6158,WR,16,ATL,166,113,68.1,1677,8,90.9,90.7,71.9,38.6,,14.8,452,4,58,79,8,3,2,11,109.4,1,0
2018,Antonio Brown,5718,WR,15,PIT,164,104,63.4,1297,15,79.3,79,91.3,84.1,,12.5,494,4.8,78,64,1,11,0,14,90.4,3,0
2018,Davante Adams,8688,WR,15,GB,162,111,68.5,1386,13,87.8,87.5,85.1,84.3,,12.5,477,4.3,57,64,5,0,0,9,121.6,2,0
2018,JuJu Smith-Schuster,11817,WR,16,PIT,161,111,68.9,1426,7,81.8,81.2,80.2,60.6,,12.8,660,5.9,97,67,6,4,1,7,100.6,2,0
2018,DeAndre Hopkins,7808,WR,16,HST,159,115,72.3,1572,11,92.4,92.5,92,40.5,,13.7,387,3.4,49,81,0,3,2,12,118.8,2,1
2018,Zach Ertz,7816,TE,16,PHI,154,116,75.3,1163,8,75.6,79.1,80.9,60.8,71.3,10,373,3.2,34,65,6,5,1,2,100.1,4,1
2018,Adam Thielen,8288,WR,16,MIN,149,113,75.8,1373,9,89.4,89.4,90,62.6,77.7,12.2,419,3.7,68,74,5,3,1,6,115.4,1,0
2018,Michael Thomas,10681,WR,16,NO,146,125,85.6,1405,9,91.3,91.6,90.9,42,64.9,11.2,503,4,72,75,3,1,2,17,124.5,6,2
2018,Stefon Diggs,9579,WR,15,MIN,141,102,72.3,1021,9,81.1,81,91.2,84.5,66.3,10,438,4.3,75,49,1,2,0,12,107.9,4,0
2018,Travis Kelce,7844,TE,16,KC,139,103,74.1,1336,10,88,90.3,60.7,34.6,71.8,13,574,5.6,43,67,8,3,2,9,118.9,6,0
2018,Jarvis Landry,8698,WR,16,CLV,137,81,59.1,976,4,74.7,70.8,69.6,56.3,38.5,12,283,3.5,51,44,6,2,1,7,84.7,3,1
2018,Mike Evans,8642,WR,16,TB,135,86,63.7,1524,8,84.3,84.2,55.7,53.8,65.9,17.7,294,3.4,72,68,7,8,1,5,97.3,5,1
2018,Tyreek Hill,10799,WR,16,KC,129,87,67.4,1479,12,89.6,90.3,70.8,87.7,,17,524,6,75,59,5,6,0,11,117.7,6,1
2018,George Kittle,11901,TE,16,SF,128,88,68.8,1377,5,89.7,90.4,68.4,83.1,55.7,15.6,873,9.9,85,60,6,3,0,17,107.5,6,1
2018,Robert Woods,7822,WR,16,LA,127,86,67.7,1219,6,87.9,87.9,90.8,84.7,78.9,14.2,428,5,39,66,2,3,0,7,104.4,5,0
2018,Keenan Allen,7857,WR,16,LAC,125,97,77.6,1196,6,90.3,90.5,90,61.7,,12.3,402,4.1,54,62,3,2,2,7,115.9,5,0
2018,Christian McCaffrey,11763,HB,16,CAR,122,108,88.5,874,6,82.8,89.1,91.8,58.7,62.6,8.1,861,8,38,41,0,0,2,21,112.9,0,0
2018,Odell Beckham Jr.,8647,WR,12,NYG,119,77,64.7,1052,6,90,89.9,84,84.6,,13.7,318,4.1,51,51,3,4,0,20,95.6,2,0
2018,T.Y. Hilton,7092,WR,14,IND,116,76,65.5,1270,6,86.6,86,78.3,82.2,,16.7,447,5.9,68,53,4,3,0,7,108.8,2,1
2018,James White,8765,HB,16,NE,116,87,75,751,7,71.4,83.8,81.4,90,73.2,8.6,683,7.9,42,38,5,1,0,7,108.1,1,0
2018,Kenny Golladay,11851,WR,15,DET,115,70,60.9,1063,5,81,81.3,81.9,49.4,,15.2,350,5,60,55,3,2,1,7,98.6,4,1
2018,Saquon Barkley,45791,HB,16,NYG,114,91,79.8,721,4,85.2,86.3,78.1,91.5,54,7.9,787,8.6,57,30,5,1,0,31,101.1,1,0
2018,Brandin Cooks,8655,WR,16,LA,110,80,72.7,1204,5,79.7,80.5,90.7,55.7,,15.1,352,4.4,57,56,1,2,1,7,115.9,2,0
2018,Corey Davis,11760,WR,16,TEN,108,65,60.2,891,4,76.4,75.8,72.2,48.2,,13.7,274,4.2,51,46,4,1,1,8,95.1,2,0
2018,Eric Ebron,8645,TE,16,IND,108,66,61.1,750,13,67.5,71.9,61.7,47.8,72.6,11.4,244,3.7,53,38,5,3,0,3,110,5,1
2018,Larry Fitzgerald,1724,WR,16,ARZ,107,69,64.5,734,6,73.2,72.3,81,81.4,,10.6,212,3.1,37,39,3,3,0,11,91.4,2,1
2018,Julian Edelman,5156,WR,12,NE,105,74,70.5,850,6,75.2,74.1,49.3,86.6,,11.5,349,4.7,36,41,8,2,0,5,105.7,5,1
2018,Golden Tate,5585,WR,15,PHI,105,74,70.5,795,4,70.1,69.8,61.1,29.6,,10.7,429,5.8,67,32,7,2,2,23,97.1,2,0
2018,Tyler Boyd,10689,WR,14,CIN,103,76,73.8,1028,7,84.5,85.7,84,82.3,,13.5,422,5.6,49,54,3,0,0,6,127.8,2,1
2018,Adam Humphries,10075,WR,16,TB,103,76,73.8,816,5,75.2,74,84.2,86.5,,10.7,433,5.7,51,48,3,1,0,9,108.7,1,1
