player,player_id,position,player_game_count,team_name,targets,deep_targets,deep_receptions,deep_drops,deep_yards,deep_catchable,deep_touchdowns,target_rate,drop_rate,catch_rate
Chris Thompson,7936,HB,10,WAS,52,0,0,0,0,0,0,0.0,,
Frank Gore,2282,HB,14,MIA,16,0,0,0,0,0,0,0.0,,
Darren Sproles,2347,HB,6,PHI,22,0,0,0,0,0,0,0.0,,
Marcedes Lewis,2973,TE,14,GB,3,0,0,0,0,0,0,0.0,,
Kyle Williams,3079,DI,1,BUF,1,0,0,0,0,0,0,0.0,,
Delanie Walker,3120,TE,1,TEN,7,0,0,0,0,0,0,0.0,,
Adrian Peterson,3623,HB,16,WAS,25,0,0,0,0,0,0,0.0,,
Marshawn Lynch,3628,HB,6,OAK,19,0,0,0,0,0,0,0.0,,
Joe Staley,3644,T,1,SF,1,0,0,0,0,0,0,0.0,,
Matt Ryan,4317,QB,2,ATL,1,0,0,0,0,0,0,0.0,,
Jamaal Charles,4387,HB,2,JAX,3,0,0,0,0,0,0,0.0,,
LeSean McCoy,4976,HB,13,BUF,41,0,0,0,0,0,0,0.0,,
Chase Daniel,5214,QB,3,CHI,1,0,0,0,0,0,0,0.0,,
Jermaine Gresham,5546,TE,13,ARZ,12,0,0,0,0,0,0,0.0,,
Ed Dickson,5595,TE,10,SEA,12,0,0,0,0,0,0,0.0,,
Joe Webb III,5722,WR,2,HST,3,0,0,0,0,0,0,0.0,,
Logan Paulsen,5795,TE,15,ATL,9,0,0,0,0,0,0,0.0,,
LeGarrette Blount,5863,HB,16,DET,14,0,0,0,0,0,0,0.0,,
Sam Shields,5943,CB,3,LA,1,0,0,0,0,0,0,0.0,,
Chris Ivory,6007,HB,13,BUF,20,0,0,0,0,0,0,0.0,,
James Develin,6142,FB,16,NE,17,0,0,0,0,0,0,0.0,,
Mark Ingram II,6180,HB,12,NO,25,0,0,0,0,0,0,0.0,,
Stevan Ridley,6225,HB,8,PIT,4,0,0,0,0,0,0,0.0,,
Jacquizz Rodgers,6297,HB,16,TB,43,0,0,0,0,0,0,0.0,,
Dion Lewis,6301,HB,16,TEN,67,0,0,0,0,0,0,0.0,,
Jeremy Kerley,6305,WR,1,BUF,4,0,0,0,0,0,0,0.0,,
Niles Paul,6307,TE,5,JAX,13,0,0,0,0,0,0,0.0,,
Lee Smith,6311,TE,15,OAK,11,0,0,0,0,0,0,0.0,,
Dwayne Harris,6328,WR,10,OAK,6,0,0,0,0,0,0,0.0,,
Virgil Green,6356,TE,16,LAC,27,0,0,0,0,0,0,0.0,,
Nick Bellore,6515,FB,13,DET,4,0,0,0,0,0,0,0.0,,
Kamar Aiken,6671,WR,5,PHI,7,0,0,0,0,0,0,0.0,,
Patrick DiMarco,6997,FB,12,BUF,4,0,0,0,0,0,0,0.0,,
Andrew Luck,7007,QB,2,IND,2,0,0,0,0,0,0,0.0,,
Ryan Tannehill,7014,QB,2,MIA,1,0,0,0,0,0,0,0.0,,
Doug Martin,7035,HB,16,OAK,23,0,0,0,0,0,0,0.0,,
Brian Quick,7037,WR,5,WAS,3,0,0,0,0,0,0,0.0,,
Nick Foles,7089,QB,1,PHI,1,0,0,0,0,0,0,0.0,,
Robert Turbin,7106,HB,2,IND,1,0,0,0,0,0,0,0.0,,
Orson Charles,7116,TE,12,CLV,4,0,0,0,0,0,0,0.0,,
Alfred Morris,7165,HB,10,SF,10,0,0,0,0,0,0,0.0,,
Derrick Coleman,7377,FB,7,ARZ,3,0,0,0,0,0,0,0.0,,
Travaris Cadet,7457,HB,1,CAR,1,0,0,0,0,0,0,0.0,,
Brandon Bolden,7469,HB,3,MIA,3,0,0,0,0,0,0,0.0,,
Jamize Olawale,7572,FB,15,DAL,4,0,0,0,0,0,0,0.0,,
Bradley Sowell,7693,T,4,CHI,2,0,0,0,0,0,0,0.0,,
Giovani Bernard,7818,HB,12,CIN,41,0,0,0,0,0,0,0.0,,
Terrance Williams,7855,WR,3,DAL,2,0,0,0,0,0,0,0.0,,
Tom Brady,698,QB,2,NE,1,0,0,0,0,0,0,0.0,,
Mike Gillislee,7946,HB,4,NO,1,0,0,0,0,0,0,0.0,,
Latavius Murray,7962,HB,16,MIN,25,0,0,0,0,0,0,0.0,,
Kenjon Barner,7963,HB,5,CAR,1,0,0,0,0,0,0,0.0,,
Spencer Ware,7975,HB,13,KC,22,0,0,0,0,0,0,0.0,,
Tommy Bohanon,7997,FB,12,JAX,8,0,0,0,0,0,0,0.0,,
C.J. Anderson,8101,HB,9,LA,7,0,0,0,0,0,0,0.0,,
Benny Cunningham,8283,HB,4,CHI,2,0,0,0,0,0,0,0.0,,
Zach Line,8420,FB,14,NO,10,0,0,0,0,0,0,0.0,,
Jack Doyle,8520,TE,6,IND,32,0,0,0,0,0,0,0.0,,
Austin Seferian-Jenkins,8673,TE,5,JAX,17,0,0,0,0,0,0,0.0,,
Jeremy Hill,8690,HB,1,NE,1,0,0,0,0,0,0,0.0,,
Richard Rodgers,8733,TE,4,PHI,1,0,0,0,0,0,0,0.0,,
Devonta Freeman,8738,HB,2,ATL,7,0,0,0,0,0,0,0.0,,
Bruce Ellington,8741,WR,7,DET,42,0,0,0,0,0,0,0.0,,
Alfred Blue,8816,HB,16,HST,24,0,0,0,0,0,0,0.0,,
Kapri Bibbs,8906,HB,9,GB,21,0,0,0,0,0,0,0.0,,
Charcandrick West,9047,HB,3,KC,3,0,0,0,0,0,0,0.0,,
Alejandro Villanueva,9091,T,1,PIT,1,0,0,0,0,0,0,0.0,,
Xavier Grimble,9092,TE,15,PIT,7,0,0,0,0,0,0,0.0,,
Ryan Hewitt,9107,TE,11,IND,1,0,0,0,0,0,0,0.0,,
Damien Williams,9205,HB,12,KC,24,0,0,0,0,0,0,0.0,,
Freddie Martino,9292,WR,3,TB,1,0,0,0,0,0,0,0.0,,
Isaiah Crowell,9295,HB,13,NYJ,26,0,0,0,0,0,0,0.0,,
Keith Smith,9302,FB,15,OAK,7,0,0,0,0,0,0,0.0,,
Jerome Cunningham,9400,TE,3,DET,1,0,0,0,0,0,0,0.0,,
Marcus Mariota,9435,QB,2,TEN,1,0,0,0,0,0,0,0.0,,
T.J. Yeldon,9469,HB,14,JAX,70,0,0,0,0,0,0,0.0,,
Ameer Abdullah,9487,HB,6,MIN,4,0,0,0,0,0,0,0.0,,
Maxx Williams,9488,TE,12,BLT,16,0,0,0,0,0,0,0.0,,
Tyler Kroft,9518,TE,5,CIN,5,0,0,0,0,0,0,0.0,,
Sammie Coates,9520,WR,2,HST,1,0,0,0,0,0,0,0.0,,
Justin Hardy,9540,WR,16,ATL,20,0,0,0,0,0,0,0.0,,
Mike Davis,9559,HB,15,SEA,41,0,0,0,0,0,0,0.0,,
Rashad Greene Sr.,9572,WR,8,JAX,9,0,0,0,0,0,0,0.0,,
Jay Ajayi,9582,HB,4,PHI,6,0,0,0,0,0,0,0.0,,
Michael Burton,9601,FB,3,CHI,1,0,0,0,0,0,0,0.0,,
Nick Boyle,9604,TE,16,BLT,31,0,0,0,0,0,0,0.0,,
Cameron Artis-Payne,9607,HB,2,CAR,4,0,0,0,0,0,0,0.0,,
Nick O'Leary,9627,TE,12,MIA,10,0,0,0,0,0,0,0.0,,
Darren Waller,9637,TE,4,OAK,6,0,0,0,0,0,0,0.0,,
Neal Sterling,9653,TE,5,NYJ,7,0,0,0,0,0,0,0.0,,
Marcus Murphy,9663,HB,9,BUF,17,0,0,0,0,0,0,0.0,,
Geoff Swaim,9679,TE,9,DAL,30,0,0,0,0,0,0,0.0,,
Zach Zenner,9761,HB,8,DET,10,0,0,0,0,0,0,0.0,,
Raheem Mostert,9783,HB,8,SF,7,0,0,0,0,0,0,0.0,,
Corey Grant,9827,HB,5,JAX,10,0,0,0,0,0,0,0.0,,
Malcolm Brown,9902,HB,10,LA,6,0,0,0,0,0,0,0.0,,
Damiere Byrd,9964,WR,6,CAR,2,0,0,0,0,0,0,0.0,,
Rod Smith,9996,HB,15,DAL,11,0,0,0,0,0,0,0.0,,
Khari Lee,10018,TE,2,BUF,1,0,0,0,0,0,0,0.0,,
Roosevelt Nix,10269,FB,13,PIT,5,0,0,0,0,0,0,0.0,,
Taylor Decker,10650,T,1,DET,1,0,0,0,0,0,0,0.0,,
Derrick Henry,10679,HB,16,TEN,18,0,0,0,0,0,0,0.0,,
C.J. Prosise,10724,HB,3,SEA,3,0,0,0,0,0,0,0.0,,
Pharoh Cooper,10751,WR,2,ARZ,1,0,0,0,0,0,0,0.0,,
Tyler Ervin,10753,HB,5,HST,3,0,0,0,0,0,0,0.0,,
Kenneth Dixon,10768,HB,6,BLT,7,0,0,0,0,0,0,0.0,,
Dak Prescott,10769,QB,1,DAL,1,0,0,0,0,0,0,0.0,,
DeAndre Washington,10777,HB,8,OAK,1,0,0,0,0,0,0,0.0,,
Jordan Howard,10784,HB,16,CHI,26,0,0,0,0,0,0,0.0,,
Jonathan Williams,10790,HB,3,IND,1,0,0,0,0,0,0,0.0,,
Alex Collins,10805,HB,10,BLT,17,0,0,0,0,0,0,0.0,,
David Morgan,10822,TE,11,MIN,6,0,0,0,0,0,0,0.0,,
Danny Vitale,10831,FB,2,GB,2,0,0,0,0,0,0,0.0,,
Derek Watt,10832,FB,9,LAC,1,0,0,0,0,0,0,0.0,,
Charone Peake,10875,WR,9,NYJ,3,0,0,0,0,0,0,0.0,,
Peyton Barber,10927,HB,16,TB,27,0,0,0,0,0,0,0.0,,
Alan Cross,10931,TE,14,TB,4,0,0,0,0,0,0,0.0,,
Hakeem Valles,10960,TE,3,DET,3,0,0,0,0,0,0,0.0,,
J.D. McKissic,11047,HB,3,SEA,1,0,0,0,0,0,0,0.0,,
Byron Marshall,11076,HB,6,WAS,6,0,0,0,0,0,0,0.0,,
Cole Wick,11139,TE,2,TEN,1,0,0,0,0,0,0,0.0,,
George Fant,11282,T,8,SEA,1,0,0,0,0,0,0,0.0,,
Tre Madden,11286,FB,12,SEA,3,0,0,0,0,0,0,0.0,,
Elijhaa Penny,11300,FB,10,NYG,9,0,0,0,0,0,0,0.0,,
C.J. Ham,11347,FB,13,MIN,14,0,0,0,0,0,0,0.0,,
Leonard Fournette,11759,HB,8,JAX,25,0,0,0,0,0,0,0.0,,
Dalvin Cook,11796,HB,11,MIN,48,0,0,0,0,0,0,0.0,,
Dion Dawkins,11818,T,3,BUF,1,0,0,0,0,0,0,0.0,,
D'Onta Foreman,11844,HB,1,HST,2,0,0,0,0,0,0,0.0,,
Jourdan Lewis,11846,CB,4,DAL,1,0,0,0,0,0,0,0.0,,
Jonnu Smith,11855,TE,13,TEN,29,0,0,0,0,0,0,0.0,,
James Conner,11860,HB,13,PIT,67,0,0,0,0,0,0,0.0,,
Samaje Perine,11869,HB,3,WAS,3,0,0,0,0,0,0,0.0,,
Michael Roberts,11882,TE,8,DET,18,0,0,0,0,0,0,0.0,,
Josh Malone,11883,WR,8,CIN,4,0,0,0,0,0,0,0.0,,
Jamaal Williams,11889,HB,16,GB,33,0,0,0,0,0,0,0.0,,
Jehu Chesson,11894,WR,2,WAS,2,0,0,0,0,0,0,0.0,,
Wayne Gallman,11895,HB,15,NYG,21,0,0,0,0,0,0,0.0,,
Marlon Mack,11898,HB,12,IND,24,0,0,0,0,0,0,0.0,,
Jake Butt,11900,TE,3,DEN,11,0,0,0,0,0,0,0.0,,
Jordan Leggett,11905,TE,15,NYJ,22,0,0,0,0,0,0,0.0,,
Jeremy Sprinkle,11909,TE,16,WAS,8,0,0,0,0,0,0,0.0,,
Brian Hill,11911,HB,4,ATL,2,0,0,0,0,0,0,0.0,,
Eric Saubert,11929,TE,14,ATL,9,0,0,0,0,0,0,0.0,,
T.J. Logan,11935,HB,6,ARZ,7,0,0,0,0,0,0,0.0,,
Alex Armah,11948,FB,9,CAR,1,0,0,0,0,0,0,0.0,,
Stacy Coley,11974,WR,2,NYG,1,0,0,0,0,0,0,0.0,,
Isaiah Ford,11991,WR,1,MIA,1,0,0,0,0,0,0,0.0,,
Chris Carson,12004,HB,14,SEA,22,0,0,0,0,0,0,0.0,,
Jacob Hollister,12051,TE,6,NE,5,0,0,0,0,0,0,0.0,,
Marcus Kemp,12137,WR,7,KC,1,0,0,0,0,0,0,0.0,,
Tim White,12144,WR,1,BLT,1,0,0,0,0,0,0,0.0,,
Johnny Mundt,12206,TE,2,LA,1,0,0,0,0,0,0,0.0,,
Keon Hatcher,12249,WR,2,OAK,2,0,0,0,0,0,0,0.0,,
Tyrone Swoopes,12267,TE,1,SEA,1,0,0,0,0,0,0,0.0,,
Matt Breida,12271,HB,13,SF,31,0,0,0,0,0,0,0.0,,
Phillip Lindsay,12660,HB,15,DEN,44,0,0,0,0,0,0,0.0,,
Darrel Williams,13014,HB,4,KC,3,0,0,0,0,0,0,0.0,,
Justin Hardee,18348,CB,1,NO,1,0,0,0,0,0,0,0.0,,
Ross Dwelley,20994,TE,4,SF,2,0,0,0,0,0,0,0.0,,
Chad Beebe,21528,WR,3,MIN,4,0,0,0,0,0,0,0.0,,
Darvin Kidsy,23254,WR,1,WAS,2,0,0,0,0,0,0,0.0,,
Keith Ford,23614,HB,2,BUF,4,0,0,0,0,0,0,0.0,,
Antony Auclair,24606,TE,15,TB,8,0,0,0,0,0,0,0.0,,
Dane Cruikshank,25546,S,1,TEN,1,0,0,0,0,0,0,0.0,,
De'Lance Turner,25681,HB,2,BLT,2,0,0,0,0,0,0,0.0,,
KhaDarel Hodge,26104,WR,9,LA,3,0,0,0,0,0,0,0.0,,
Jordan Wilkins,26618,HB,13,IND,16,0,0,0,0,0,0,0.0,,
Rashaad Penny,27414,HB,11,SEA,12,0,0,0,0,0,0,0.0,,
Sony Michel,27589,HB,13,NE,11,0,0,0,0,0,0,0.0,,
Roc Thomas,27875,HB,5,MIN,3,0,0,0,0,0,0,0.0,,
Richie James Jr.,28991,WR,10,SF,13,0,0,0,0,0,0,0.0,,
Jeff Wilson Jr.,29413,HB,6,SF,15,0,0,0,0,0,0,0.0,,
Justin Jackson,29539,HB,8,LAC,17,0,0,0,0,0,0,0.0,,
Chris Lacy,29726,WR,1,DET,1,0,0,0,0,0,0,0.0,,
Mike Boone,31615,HB,5,MIN,3,0,0,0,0,0,0,0.0,,
Ronald Jones,34001,HB,8,TB,9,0,0,0,0,0,0,0.0,,
Kerryon Johnson,34455,HB,10,DET,37,0,0,0,0,0,0,0.0,,
John Kelly,34761,HB,3,LA,3,0,0,0,0,0,0,0.0,,
Trey Quinn,38276,WR,3,WAS,10,0,0,0,0,0,0,0.0,,
Javon Wims,41406,WR,3,CHI,5,0,0,0,0,0,0,0.0,,
Josh Adams,45662,HB,12,PHI,13,0,0,0,0,0,0,0.0,,
Dontrell Hilliard,45691,HB,8,CLV,10,0,0,0,0,0,0,0.0,,
Detrez Newsome,45695,HB,3,LAC,2,0,0,0,0,0,0,0.0,,
Kalen Ballage,45741,HB,8,MIA,11,0,0,0,0,0,0,0.0,,
Royce Freeman,45747,HB,14,DEN,19,0,0,0,0,0,0,0.0,,
Chase Edmonds,45851,HB,16,ARZ,23,0,0,0,0,0,0,0.0,,
Ito Smith,45932,HB,13,ATL,30,0,0,0,0,0,0,0.0,,
Shaun Wilson,45993,HB,5,TB,5,0,0,0,0,0,0,0.0,,
Mark Walton,45996,HB,6,CIN,7,0,0,0,0,0,0,0.0,,
Gus Edwards,46027,HB,9,BLT,2,0,0,0,0,0,0,0.0,,
Lamar Jackson,46416,QB,6,BLT,1,0,0,0,0,0,0,0.0,,
Baker Mayfield,46518,QB,3,CLV,1,0,0,0,0,0,0,0.0,,
Josh Allen,46601,QB,1,BUF,1,0,0,0,0,0,0,0.0,,
Ricky Ortiz,47053,FB,12,ATL,3,0,0,0,0,0,0,0.0,,
Tyler Conklin,47124,TE,15,MIN,7,0,0,0,0,0,0,0.0,,
Jaylen Samuels,47297,HB,11,PIT,29,0,0,0,0,0,0,0.0,,
Matt Flanagan,47298,TE,3,WAS,1,0,0,0,0,0,0,0.0,,
Dalton Schultz,47304,TE,11,DAL,16,0,0,0,0,0,0,0.0,,
Cam Phillips,47593,WR,2,BUF,1,0,0,0,0,0,0,0.0,,
Ray-Ray McCloud III,47895,WR,10,BUF,6,0,0,0,0,0,0,0.0,,
Brandon Powell,48036,WR,5,DET,17,0,0,0,0,0,0,0.0,,
Malik Turner,48078,WR,3,SEA,2,0,0,0,0,0,0,0.0,,
Allen Lazard,48135,WR,1,GB,1,0,0,0,0,0,0,0.0,,
Auden Tate,48192,WR,5,CIN,12,0,0,0,0,0,0,0.0,,
J'Mon Moore,48316,WR,6,GB,3,0,0,0,0,0,0,0.0,,
Derrick Willies,48345,WR,3,CLV,5,0,0,0,0,0,0,0.0,,
Justin Watson,66915,WR,10,TB,2,0,0,0,0,0,0,0.0,,
J.J. Jones,66921,WR,2,NYJ,1,0,0,0,0,0,0,0.0,,
DeAndre Carter,9859,WR,11,HST,24,1,1,0,24,1,0,4.2,0.0,100.0
Ty Montgomery,9527,HB,13,BLT,36,1,1,0,43,1,0,2.8,0.0,100.0
Kyle Juszczyk,7912,FB,16,SF,37,2,2,0,91,2,1,5.4,0.0,100.0
David Johnson,9519,HB,16,ARZ,69,4,4,0,116,4,2,5.8,0.0,100.0
Andy Janovich,10810,FB,16,DEN,8,1,1,0,32,1,0,12.5,0.0,100.0
Robert Tonyan,12193,TE,11,GB,5,1,1,0,54,1,1,20.0,0.0,100.0
Rhett Ellison,7128,TE,14,NYG,32,1,1,0,29,1,0,3.1,0.0,100.0
Jarius Wright,7118,WR,16,CAR,57,3,3,0,76,3,0,5.3,0.0,100.0
Durham Smythe,47257,TE,13,MIA,8,1,1,0,21,1,0,12.5,0.0,100.0
Wendell Smallwood,10787,HB,14,PHI,32,1,1,0,34,1,0,3.1,0.0,100.0
John Phillips,5132,TE,8,ARZ,3,1,1,0,24,1,0,33.3,0.0,100.0
Seth DeValve,10772,TE,10,CLV,7,1,1,0,24,1,1,14.3,0.0,100.0
Aaron Jones,11937,HB,12,GB,32,1,1,0,24,1,1,3.1,0.0,100.0
Todd Gurley II,9443,HB,14,LA,76,1,1,0,32,1,0,1.3,0.0,100.0
Erik Swoope,9303,TE,7,IND,10,2,2,0,43,2,1,20.0,0.0,100.0
Taquan Mizzell Sr.,45675,HB,8,CHI,10,1,1,0,26,1,0,10.0,0.0,100.0
Scott Simonson,8954,TE,13,NYG,13,1,1,0,24,1,0,7.7,0.0,100.0
Tommylee Lewis,11231,WR,6,NO,3,2,2,0,48,2,1,66.7,0.0,100.0
Anthony Firkser,51837,TE,12,TEN,20,1,1,0,28,1,0,5.0,0.0,100.0
Ryan Switzer,11888,WR,16,PIT,44,1,1,0,24,1,0,2.3,0.0,100.0
Ezekiel Elliott,10638,HB,15,DAL,91,1,1,0,34,1,0,1.1,0.0,100.0
Luke Stocker,6256,TE,16,TEN,21,1,1,0,31,1,0,4.8,0.0,100.0
Jesse James,9593,TE,16,PIT,39,2,2,0,77,2,1,5.1,0.0,100.0
Darren Fells,8549,TE,16,CLV,12,1,1,0,49,1,1,8.3,0.0,100.0
Sean Culkin,12037,TE,13,LAC,1,1,1,0,24,1,0,100.0,0.0,100.0
Anthony Sherman,6288,FB,15,KC,9,1,1,0,36,1,1,11.1,0.0,100.0
Kareem Hunt,11841,HB,11,KC,33,1,1,0,67,1,1,3.0,0.0,100.0
Levine Toilolo,7915,TE,16,DET,24,1,1,0,39,1,0,4.2,0.0,100.0
