year,player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr
2018,Equanimeous St. Brown,47967,WR,11,GB,34,21,328,251,1.31
2018,Kevin White,9440,WR,9,CHI,8,4,92,70,1.31
2018,James Conner,11860,HB,13,PIT,67,55,497,380,1.31
2018,Jacquizz Rodgers,6297,HB,16,TB,43,38,304,234,1.3
2018,Phillip Lindsay,12660,HB,15,DEN,44,35,241,185,1.3
2018,Gerald Everett,11799,TE,16,LA,48,33,320,247,1.3
2018,Chris Thompson,7936,HB,10,WAS,52,41,268,206,1.3
2018,Tim Patrick,12087,WR,16,DEN,40,23,315,245,1.29
2018,Dede Westbrook,11865,WR,16,JAX,96,66,717,554,1.29
2018,Mark Ingram II,6180,HB,12,NO,25,21,170,133,1.28
2018,Bruce Ellington,8741,WR,7,DET,42,31,224,175,1.28
2018,David Njoku,11784,TE,16,CLV,83,56,639,498,1.28
2018,Phillip Dorsett,9462,WR,16,NE,43,32,290,228,1.27
2018,Kenny Stills,7926,WR,15,MIA,60,37,553,435,1.27
2018,Dion Lewis,6301,HB,16,TEN,67,59,400,315,1.27
2018,DeAndre Carter,9859,WR,11,HST,24,22,216,170,1.27
2018,Marvin Hall,11440,WR,16,ATL,19,10,149,117,1.27
2018,Pierre Garcon,4519,WR,8,SF,41,24,286,226,1.27
2018,Kerryon Johnson,34455,HB,10,DET,37,32,213,169,1.26
2018,Nick Boyle,9604,TE,16,BLT,31,23,213,169,1.26
2018,Dalvin Cook,11796,HB,11,MIN,48,40,305,244,1.25
2018,Elijah McGuire,11943,HB,8,NYJ,30,19,193,154,1.25
2018,Josh Reynolds,11872,WR,16,LA,49,29,402,325,1.24
2018,Isaiah McKenzie,11927,WR,8,BUF,29,18,179,144,1.24
2018,Kyle Juszczyk,7912,FB,16,SF,37,30,324,261,1.24
2018,Tyler Higbee,10744,TE,16,LA,29,24,292,236,1.24
2018,David Johnson,9519,HB,16,ARZ,69,50,446,360,1.24
2018,Nyheim Hines,48103,HB,16,IND,78,63,425,346,1.23
2018,Nelson Agholor,9453,WR,16,PHI,90,64,736,599,1.23
2018,John Phillips,5132,TE,8,ARZ,3,3,38,31,1.23
2018,Darren Fells,8549,TE,16,CLV,12,11,117,95,1.23
2018,Matt LaCosse,9840,TE,13,DEN,34,24,250,204,1.23
2018,Nick Vannett,10728,TE,15,SEA,40,29,269,219,1.23
2018,Marquez Valdes-Scantling,47809,WR,16,GB,67,38,581,476,1.22
2018,Chester Rogers,10918,WR,15,IND,71,53,485,399,1.22
2018,Donte Moncrief,8725,WR,16,JAX,85,48,668,546,1.22
2018,Michael Crabtree,4933,WR,16,BLT,98,54,607,500,1.21
2018,Antonio Callaway,48101,WR,16,CLV,78,43,586,490,1.2
2018,Damion Ratley,48182,WR,5,CLV,20,13,144,120,1.2
2018,Devontae Booker,10770,HB,16,DEN,47,37,271,226,1.2
2018,Zay Jones,11792,WR,16,BUF,99,56,652,545,1.2
2018,Shelton Gibson,11921,WR,9,PHI,3,1,48,40,1.2
2018,Chris Carson,12004,HB,14,SEA,22,20,163,137,1.19
2018,Deonte Thompson,7513,WR,13,BUF,30,17,161,135,1.19
2018,Greg Olsen,3647,TE,9,CAR,39,27,291,246,1.18
2018,Brandon Bolden,7469,HB,3,MIA,3,3,13,11,1.18
2018,Michael Gallup,26075,WR,16,DAL,66,33,507,431,1.18
2018,Bobo Wilson,12067,WR,5,TB,5,4,52,44,1.18
2018,Allen Hurns,8931,WR,16,DAL,33,20,295,251,1.18
2018,Roc Thomas,27875,HB,5,MIN,3,2,21,18,1.17
2018,Anthony Miller,48160,WR,14,CHI,54,33,423,361,1.17
2018,Wendell Smallwood,10787,HB,14,PHI,32,28,230,197,1.17
2018,Trey Burton,9185,TE,16,CHI,73,54,569,490,1.16
2018,Wayne Gallman,11895,HB,15,NYG,21,14,89,77,1.16
2018,Kyle Rudolph,6195,TE,16,MIN,76,64,634,546,1.16
2018,Justin Hardy,9540,WR,16,ATL,20,14,133,115,1.16
