year,player,player_id,position,player_game_count,team_name,route_snaps,targets,target_percent,slot_snaps,slot_snap_percent,slot_targets,slot_target_percent,slot_receptions,slot_drops,slot_yards,slot_yprr,slot_touchdowns,slot_drop_rate,slot_catch_rate
2018,Tyrone Swoopes,12267,TE,1,SEA,12,1,8.3,7,58.3,1,14.3,1,0,23,3.29,0,0,100
2018,Giovani Bernard,7818,HB,12,CIN,195,41,21,12,6.2,5,41.7,5,0,32,2.67,0,0,100
2018,Blake Bell,9550,TE,10,JAX,109,9,8.3,27,24.8,1,3.7,1,0,7,0.26,0,0,100
2018,Wayne Gallman,11895,HB,15,NYG,77,21,27.3,1,1.3,1,100,1,0,-2,-2,0,0,100
2018,Sammie Coates,9520,WR,2,HST,21,1,4.8,7,33.3,1,14.3,1,0,12,1.71,0,0,100
2018,Tyler Kroft,9518,TE,5,CIN,32,5,15.6,5,15.6,1,20,1,0,5,1,0,0,100
2018,Kyle Juszczyk,7912,FB,16,SF,261,37,14.2,41,15.7,3,7.3,3,0,72,1.76,0,0,100
2018,Chris Thompson,7936,HB,10,WAS,206,52,25.2,13,6.3,1,7.7,1,0,3,0.23,0,0,100
2018,Maxx Williams,9488,TE,12,BLT,84,16,19,17,20.2,1,5.9,1,0,4,0.24,0,0,100
2018,Kenjon Barner,7963,HB,5,CAR,19,1,5.3,3,15.8,1,33.3,1,0,3,1,0,0,100
2018,Mike Boone,31615,HB,5,MIN,22,3,13.6,2,9.1,1,50,1,0,0,0,0,0,100
2018,Spencer Ware,7975,HB,13,KC,142,22,15.5,5,3.5,2,40,2,0,12,2.4,0,0,100
2018,T.J. Logan,11935,HB,6,ARZ,18,7,38.9,6,33.3,1,16.7,1,0,-5,-0.83,0,0,100
2018,Aaron Jones,11937,HB,12,GB,204,32,15.7,7,3.4,1,14.3,1,0,0,0,0,0,100
2018,Brice Butler,7991,WR,8,MIA,72,10,13.9,22,30.6,1,4.5,1,0,12,0.55,0,0,100
2018,Breshad Perriman,9459,WR,10,CLV,134,25,18.7,30,22.4,3,10,3,0,89,2.97,1,0,100
2018,Melvin Gordon III,9448,HB,12,LAC,241,61,25.3,5,2.1,1,20,1,0,10,2,0,0,100
2018,Will Dissly,30762,TE,4,SEA,67,12,17.9,29,43.3,2,6.9,2,0,36,1.24,1,0,100
2018,Jordan Wilkins,26618,HB,13,IND,100,16,16,5,5,3,60,3,0,8,1.6,0,0,100
2018,David Moore,11981,WR,16,SEA,322,50,15.5,17,5.3,1,5.9,1,0,4,0.24,0,0,100
2018,Tommylee Lewis,11231,WR,6,NO,37,3,8.1,13,35.1,1,7.7,1,0,28,2.15,1,0,100
2018,Damien Williams,9205,HB,12,KC,117,24,20.5,5,4.3,1,20,1,0,0,0,0,0,100
2018,Keith Ford,23614,HB,2,BUF,32,4,12.5,12,37.5,1,8.3,1,0,7,0.58,0,0,100
2018,Jawill Davis,22489,WR,5,NYG,39,8,20.5,13,33.3,1,7.7,1,0,2,0.15,0,0,100
2018,Ryan Hewitt,9107,TE,11,IND,37,1,2.7,7,18.9,1,14.3,1,0,1,0.14,1,0,100
2018,Chad Beebe,21528,WR,3,MIN,37,4,10.8,28,75.7,2,7.1,2,0,31,1.11,0,0,100
2018,Ross Dwelley,20994,TE,4,SF,14,2,14.3,5,35.7,1,20,1,0,8,1.6,0,0,100
2018,Tim White,12144,WR,1,BLT,1,1,100,1,100,1,100,1,0,14,14,0,0,100
2018,Albert Wilson,8943,WR,7,MIA,129,36,27.9,42,32.6,12,28.6,12,0,231,5.5,3,0,100
2018,Kapri Bibbs,8906,HB,9,GB,128,21,16.4,6,4.7,1,16.7,1,0,8,1.33,0,0,100
2018,Robert Tonyan,12193,TE,11,GB,44,5,11.4,27,61.4,2,7.4,2,0,16,0.59,0,0,100
2018,Keon Hatcher,12249,WR,2,OAK,6,2,33.3,1,16.7,1,100,1,0,8,8,0,0,100
2018,Corey Clement,12253,HB,11,PHI,125,25,20,6,4.8,1,16.7,1,0,15,2.5,0,0,100
2018,Donte Moncrief,8725,WR,16,JAX,546,85,15.6,38,7,5,13.2,5,0,99,2.61,1,0,100
2018,Jalen Tolliver,66933,WR,3,ARZ,54,6,11.1,13,24.1,1,7.7,1,0,15,1.15,0,0,100
2018,J.J. Jones,66921,WR,2,NYJ,2,1,50,1,50,1,100,1,0,3,3,0,0,100
2018,Justin Watson,66915,WR,10,TB,30,2,6.7,8,26.7,1,12.5,1,0,5,0.63,0,0,100
2018,Brandon Marshall,3064,WR,7,NO,102,22,21.6,10,9.8,2,20,2,0,13,1.3,0,0,100
2018,Anthony Firkser,51837,TE,12,TEN,122,20,16.4,65,53.3,11,16.9,11,0,154,2.37,0,0,100
2018,Adrian Peterson,3623,HB,16,WAS,158,25,15.8,1,0.6,1,100,1,0,2,2,0,0,100
2018,Derrick Willies,48345,WR,3,CLV,20,5,25,7,35,1,14.3,1,0,9,1.29,0,0,100
2018,Marshawn Lynch,3628,HB,6,OAK,79,19,24.1,1,1.3,1,100,1,0,14,14,0,0,100
2018,Marvin Hall,11440,WR,16,ATL,117,19,16.2,16,13.7,1,6.3,1,0,9,0.56,0,0,100
2018,Geronimo Allison,11141,WR,5,GB,170,28,16.5,19,11.2,3,15.8,3,0,15,0.79,0,0,100
2018,Byron Marshall,11076,HB,6,WAS,29,6,20.7,1,3.4,1,100,1,0,17,17,0,0,100
2018,Marcus Johnson,11074,WR,5,IND,65,8,12.3,14,21.5,1,7.1,1,0,34,2.43,1,0,100
2018,John Phillips,5132,TE,8,ARZ,31,3,9.7,10,32.3,3,30,3,0,38,3.8,0,0,100
2018,Andy Janovich,10810,FB,16,DEN,66,8,12.1,13,19.7,1,7.7,1,0,7,0.54,0,0,100
2018,Alex Collins,10805,HB,10,BLT,123,17,13.8,5,4.1,1,20,1,0,-3,-0.6,0,0,100
2018,Seth DeValve,10772,TE,10,CLV,47,7,14.9,6,12.8,2,33.3,2,0,5,0.83,0,0,100
2018,Brandon LaFell,5602,WR,6,OAK,131,16,12.2,42,32.1,4,9.5,4,0,51,1.21,0,0,100
2018,Tyler Ervin,10753,HB,5,HST,37,3,8.1,23,62.2,2,8.7,2,0,23,1,0,0,100
