year,player,player_id,position,player_game_count,team_name,attempts,receptions,total_attempts,yco_attempt,rush_tackles_avoided,rec_tackles_avoided,elusive
2015,Adrian Peterson,3623,HB,16,MIN,327,30,357,2.35,50,7,37.5
2015,Devonta Freeman,8738,HB,15,ATL,265,73,338,2.06,36,16,31.8
2015,Doug Martin,7035,HB,16,TB,288,33,321,3.15,57,10,65.7
2015,Latavius Murray,7962,HB,16,OAK,266,41,307,2.34,42,14,42.7
2015,Frank Gore,2282,HB,16,IND,260,34,294,2.23,36,15,38.8
2015,Darren McFadden,4318,HB,16,DAL,239,40,279,2.3,26,6,26.4
2015,Chris Ivory,6007,HB,15,NYJ,247,30,277,2.61,47,9,52.7
2015,Matt Forte,4358,HB,13,CHI,218,44,262,2.24,24,5,24.8
2015,Jonathan Stewart,4327,HB,13,CAR,242,16,258,2.49,49,7,54.1
2015,Todd Gurley II,9443,HB,13,SL,229,21,250,2.87,43,5,55.2
2015,Lamar Miller,7097,HB,16,MIA,194,47,241,2.76,28,2,34.3
2015,DeAngelo Williams,2972,HB,16,PIT,200,40,240,2.21,23,8,28.5
2015,Jeremy Hill,8690,HB,16,CIN,223,15,238,2,24,3,22.7
2015,DeMarco Murray,6223,HB,15,PHI,193,44,237,2,25,17,35.4
2015,LeSean McCoy,4976,HB,12,BUF,203,32,235,2.02,35,6,35.2
2015,Ronnie Hillman,7069,HB,16,DEN,207,24,231,2.29,23,3,25.8
2015,Rashad Jennings,5174,HB,16,NYG,195,29,224,2.79,21,8,36.1
2015,T.J. Yeldon,9469,HB,12,JAX,182,36,218,2.32,34,12,48.9
2015,Melvin Gordon III,9448,HB,14,SD,184,33,217,2.22,33,12,46.1
2015,Mark Ingram II,6180,HB,12,NO,166,50,216,2.91,26,18,59.3
2015,Alfred Morris,7165,HB,16,WAS,202,10,212,2.25,14,0,14.9
2015,Eddie Lacy,7842,HB,15,GB,187,20,207,2.53,26,4,36.7
2015,Isaiah Crowell,9295,HB,16,CLV,185,19,204,2.3,21,5,29.3
2015,Giovani Bernard,7818,HB,16,CIN,154,49,203,2.45,27,15,50.6
2015,Chris Johnson,4338,HB,11,ARZ,196,6,202,2.53,30,1,38.8
2015,Alfred Blue,8816,HB,14,HST,183,15,198,2.16,20,2,24
2015,James Starks,5716,HB,16,GB,148,43,191,2.12,16,8,26.7
2015,Javorius Allen,9558,HB,16,BLT,137,45,182,2.04,12,14,29.2
2015,Justin Forsett,4547,HB,10,BLT,151,31,182,2.2,25,5,36.2
2015,Charcandrick West,9047,HB,13,KC,160,20,180,2.14,20,3,27.3
2015,Danny Woodhead,4914,HB,16,SD,98,80,178,1.42,2,19,16.7
2015,C.J. Anderson,8101,HB,15,DEN,152,25,177,2.88,24,7,50.5
2015,LeGarrette Blount,5863,HB,12,NE,165,6,171,2.44,34,1,50
2015,Jeremy Langford,9539,HB,15,CHI,148,22,170,1.76,7,3,10.3
2015,Ameer Abdullah,9487,HB,16,DET,143,25,168,1.97,12,7,22.3
2015,Duke Johnson Jr.,9510,HB,16,CLV,104,61,165,2.34,17,26,60.9
2015,Antonio Andrews,9014,HB,14,TEN,143,21,164,2.45,18,8,38.9
2015,Matt Jones,9528,HB,13,WAS,144,19,163,2.17,21,6,36
2015,David Johnson,9519,HB,16,ARZ,125,36,161,2.69,18,17,58.4
2015,Charles Sims,8704,HB,16,TB,106,52,158,2.77,24,13,65
2015,Thomas Rawls,9993,HB,13,SEA,147,9,156,3.12,26,2,56
2015,Antonio Brown,5718,WR,16,PIT,3,136,139,0,0,23,0
2015,Darren Sproles,2347,HB,16,PHI,83,55,138,2.04,7,5,17.7
2015,Le'Veon Bell,7829,HB,6,PIT,113,24,137,3.41,23,5,69.6
2015,Julio Jones,6158,WR,16,ATL,0,136,136,,0,20,14.7
2015,Jarvis Landry,8698,WR,16,MIA,17,110,127,4.35,12,26,130.2
2015,Carlos Hyde,8692,HB,7,SF,115,11,126,2.83,32,3,78.7
2015,Ryan Mathews,5537,HB,13,PHI,106,20,126,2.68,14,4,38.3
2015,Marshawn Lynch,3628,HB,7,SEA,110,13,123,2.67,29,8,80.4
2015,Theo Riddick,7980,HB,16,DET,43,80,123,1.81,2,36,56
2015,Shane Vereen,6208,HB,16,NYG,61,59,120,2.23,7,9,29.7
2015,Bilal Powell,6278,HB,11,NYJ,70,47,117,2.74,10,17,63.3
2015,Chris Polk,7532,HB,15,HST,99,16,115,2.28,13,0,25.8
2015,Joique Bell,5797,HB,13,DET,90,22,112,2.47,13,8,46.3
2015,DeAndre Hopkins,7808,WR,16,HST,0,111,111,,0,5,4.5
2015,Larry Fitzgerald,1724,WR,16,ARZ,0,109,109,,0,6,5.5
2015,Brandon Marshall,3064,WR,16,NYJ,0,109,109,,0,14,12.8
2015,Tim Hightower,4463,HB,6,NO,96,12,108,2.36,13,1,30.7
2015,Demaryius Thomas,5547,WR,16,DEN,0,105,105,,0,19,18.1
2015,Shaun Draughn,6440,HB,9,SF,78,27,105,1.91,7,5,21.8
2015,Tavon Austin,7789,WR,16,SL,52,52,104,2.96,14,19,94
2015,Karlos Williams,9588,HB,11,BUF,93,11,104,2.94,19,1,56.5
2015,Cam Newton,6153,QB,16,CAR,103,0,103,2.52,10,0,24.5
2015,Odell Beckham Jr.,8647,WR,15,NYG,1,96,97,0,0,13,0
2015,Golden Tate,5585,WR,16,DET,6,90,96,6.33,2,30,211.1
