year,player,player_id,position,player_game_count,team_name,route_snaps,targets,target_percent,slot_snaps,slot_snap_percent,slot_targets,slot_target_percent,slot_receptions,slot_drops,slot_yards,slot_yprr,slot_touchdowns,slot_drop_rate,slot_catch_rate
2019,Mack Hollins,11873,WR,15,MIA,222,22,9.9,67,30.2,7,10.4,4,0,29,0.43,0,0,57.1
2019,Jakeem Grant,10820,WR,10,MIA,148,33,22.3,60,40.5,14,23.3,8,1,58,0.97,0,11.1,57.1
2019,Seth DeValve,10772,TE,11,JAX,148,17,11.5,52,35.1,7,13.5,4,0,53,1.02,0,0,57.1
2019,Giovani Bernard,7818,HB,16,CIN,262,42,16,25,9.5,7,28,4,1,24,0.96,0,20,57.1
2019,Sammy Watkins,8639,WR,14,KC,462,88,19,258,55.8,44,17.1,25,1,297,1.15,0,3.8,56.8
2019,Chester Rogers,10918,WR,11,IND,224,27,12.1,197,87.9,23,11.7,13,3,155,0.79,1,18.8,56.5
2019,Demaryius Thomas,5547,WR,11,NYJ,288,55,19.1,100,34.7,18,18,10,3,138,1.38,1,23.1,55.6
2019,Cameron Brate,9207,TE,16,TB,291,52,17.9,107,36.8,20,18.7,11,1,120,1.12,2,8.3,55
2019,Nick Boyle,9604,TE,16,BLT,221,42,19,66,29.9,11,16.7,6,1,71,1.08,0,14.3,54.5
2019,Trey Burton,9185,TE,8,CHI,175,23,13.1,92,52.6,11,12,6,1,35,0.38,0,14.3,54.5
2019,Irv Smith Jr.,42060,TE,16,MIN,305,46,15.1,124,40.7,13,10.5,7,1,67,0.54,0,12.5,53.8
2019,Tim Patrick,12087,WR,8,DEN,185,30,16.2,50,27,13,26,7,0,87,1.74,0,0,53.8
2019,T.J. Hockenson,40912,TE,12,DET,287,56,19.5,131,45.6,34,26,18,0,197,1.5,2,0,52.9
2019,Curtis Samuel,11795,WR,16,CAR,647,103,15.9,182,28.1,23,12.6,12,1,151,0.83,2,7.7,52.2
2019,Mike Williams,11762,WR,15,LAC,525,85,16.2,192,36.6,23,12,12,2,218,1.14,0,14.3,52.2
2019,DaeSean Hamilton,45416,WR,16,DEN,392,48,12.2,309,78.8,35,11.3,18,4,173,0.56,0,18.2,51.4
2019,Tyler Ervin,10753,HB,4,GB,16,4,25,7,43.8,2,28.6,1,0,6,0.86,0,0,50
2019,De'Anthony Thomas,8759,WR,5,BLT,13,2,15.4,9,69.2,2,22.2,1,1,6,0.67,0,50,50
2019,Logan Thomas,8755,TE,16,DET,163,27,16.6,90,55.2,12,13.3,6,1,57,0.63,0,14.3,50
2019,Darren Sproles,2347,HB,6,PHI,66,10,15.2,8,12.1,2,25,1,0,4,0.5,0,0,50
2019,Dawson Knox,35883,TE,15,BUF,335,51,15.2,105,31.3,14,13.3,7,2,86,0.82,0,22.2,50
2019,Paul Richardson Jr.,8680,WR,10,WAS,260,41,15.8,60,23.1,8,13.3,4,0,27,0.45,1,0,50
2019,Darrius Shepherd,29347,WR,4,GB,36,2,5.6,33,91.7,2,6.1,1,1,1,0.03,0,50,50
2019,Devin Smith,9470,WR,3,DAL,69,8,11.6,19,27.5,2,10.5,1,0,33,1.74,0,0,50
2019,Clive Walford,9501,TE,7,MIA,50,8,16,26,52,2,7.7,1,1,19,0.73,0,50,50
2019,Hale Hentges,47150,TE,10,WAS,61,14,23,10,16.4,2,20,1,1,24,2.4,0,50,50
2019,Chris Herndon,47164,TE,1,NYJ,11,2,18.2,5,45.5,2,40,1,0,7,1.4,0,0,50
2019,Deon Cain,13597,WR,13,PIT,192,19,9.9,17,8.9,2,11.8,1,0,22,1.29,0,0,50
2019,Matt Breida,12271,HB,12,SF,98,22,22.4,4,4.1,2,50,1,0,5,1.25,0,0,50
2019,Robert Tonyan,12193,TE,11,GB,72,15,20.8,15,20.8,2,13.3,1,0,3,0.2,0,0,50
2019,Raheem Mostert,9783,HB,15,SF,149,21,14.1,6,4,2,33.3,1,0,7,1.17,0,0,50
2019,Jake Kumerow,9883,WR,13,GB,182,20,11,44,24.2,4,9.1,2,0,46,1.05,0,0,50
2019,James Washington,47792,WR,15,PIT,417,77,18.5,114,27.3,14,12.3,7,1,106,0.93,0,12.5,50
2019,Marquez Valdes-Scantling,47809,WR,16,GB,331,54,16.3,56,16.9,10,17.9,5,0,152,2.71,2,0,50
2019,Malcolm Brown,9902,HB,13,LA,98,5,5.1,12,12.2,2,16.7,1,0,6,0.5,0,0,50
2019,Damiere Byrd,9964,WR,11,ARZ,314,45,14.3,17,5.4,2,11.8,1,0,7,0.41,0,0,50
2019,Jarius Wright,7118,WR,16,CAR,509,56,11,413,81.1,46,11.1,23,5,246,0.6,0,17.9,50
2019,Braxton Berrios,47961,WR,11,NYJ,64,10,15.6,50,78.1,6,12,3,1,34,0.68,0,25,50
2019,Darius Jennings,10038,WR,8,TEN,23,5,21.7,8,34.8,2,25,1,0,11,1.38,0,0,50
2019,Antonio Callaway,48101,WR,4,CLV,99,15,15.2,23,23.2,2,8.7,1,1,10,0.43,0,50,50
2019,Laquon Treadwell,10657,WR,13,MIN,81,16,19.8,24,29.6,6,25,3,0,45,1.88,0,0,50
2019,Cedrick Wilson,48170,WR,3,DAL,39,8,20.5,14,35.9,2,14.3,1,0,10,0.71,0,0,50
2019,Ryan Grant,8777,WR,2,GB,56,9,16.1,24,42.9,4,16.7,2,0,7,0.29,0,0,50
2019,Peyton Barber,10927,HB,16,TB,110,20,18.2,8,7.3,2,25,1,0,5,0.63,0,0,50
2019,Leonard Fournette,11759,HB,15,JAX,483,95,19.7,10,2.1,2,20,1,0,2,0.2,0,0,50
2019,Dan Arnold,51842,TE,5,ARZ,67,13,19.4,33,49.3,4,12.1,2,0,42,1.27,1,0,50
2019,Damion Willis,61737,WR,9,CIN,144,16,11.1,50,34.7,6,12,3,0,26,0.52,0,0,50
2019,Duke Williams,11366,WR,4,BUF,123,19,15.4,55,44.7,6,10.9,3,1,18,0.33,0,25,50
2019,Ted Ginn Jr.,3625,WR,16,NO,438,53,12.1,94,21.5,12,12.8,6,1,109,1.16,0,14.3,50
2019,Stephen Carlson,94365,TE,9,CLV,59,6,10.2,13,22,2,15.4,1,0,7,0.54,0,0,50
2019,Auden Tate,48192,WR,12,CIN,409,78,19.1,108,26.4,13,12,6,2,51,0.47,0,25,46.2
2019,Dontrelle Inman,6597,WR,7,IND,127,21,16.5,60,47.2,11,18.3,5,2,61,1.02,0,28.6,45.5
2019,Chris Hogan,6468,WR,7,CAR,110,15,13.6,50,45.5,9,18,4,0,34,0.68,0,0,44.4
2019,Tyler Higbee,10744,TE,15,LA,282,86,30.5,34,12.1,7,20.6,3,0,30,0.88,0,0,42.9
2019,Vernon Davis,2951,TE,4,WAS,124,17,13.7,47,37.9,7,14.9,3,1,29,0.62,0,25,42.9
2019,Noah Fant,42388,TE,16,DEN,369,59,16,110,29.8,12,10.9,5,1,31,0.28,1,16.7,41.7
2019,Ben Braunecker,11335,TE,7,CHI,78,11,14.1,36,46.2,5,13.9,2,0,36,1,1,0,40
2019,Chris Lacy,29726,WR,6,DET,85,10,11.8,31,36.5,5,16.1,2,0,53,1.71,0,0,40
2019,Travis Benjamin,7100,WR,5,LAC,135,16,11.9,43,31.9,5,11.6,2,2,3,0.07,0,50,40
2019,J.J. Arcega-Whiteside,35014,WR,14,PHI,305,19,6.2,41,13.4,8,19.5,3,0,54,1.32,1,0,37.5
2019,David Moore,11981,WR,14,SEA,191,34,17.8,53,27.7,8,15.1,3,0,35,0.66,0,0,37.5
2019,Gerald Everett,11799,TE,12,LA,248,54,21.8,39,15.7,8,20.5,3,0,20,0.51,1,0,37.5
2019,Stanley Morgan Jr.,48110,WR,9,CIN,69,10,14.5,25,36.2,3,12,1,0,9,0.36,0,0,33.3
2019,Troy Fumagalli,47333,TE,11,DEN,71,9,12.7,17,23.9,3,17.6,1,0,7,0.41,0,0,33.3
2019,Jeremy Sprinkle,11909,TE,16,WAS,304,40,13.2,60,19.7,3,5,1,0,15,0.25,0,0,33.3
2019,Dare Ogunbowale,12329,HB,16,TB,223,45,20.2,8,3.6,3,37.5,1,1,6,0.75,0,50,33.3
2019,Jason Moore,91472,WR,8,LAC,49,5,10.2,18,36.7,3,16.7,1,0,32,1.78,0,0,33.3
2019,KhaDarel Hodge,26104,WR,9,CLV,96,10,10.4,31,32.3,3,9.7,1,0,41,1.32,0,0,33.3
2019,Tevin Jones,11163,WR,5,PIT,93,10,10.8,86,92.5,9,10.5,3,2,45,0.52,0,40,33.3
2019,Robby Anderson,11254,WR,16,NYJ,569,92,16.2,113,19.9,13,11.5,4,0,56,0.5,2,0,30.8
2019,Andre Patton,12043,WR,12,LAC,303,15,5,123,40.6,4,3.3,1,0,8,0.07,0,0,25
2019,D.K. Metcalf,47864,WR,16,SEA,534,97,18.2,61,11.4,8,13.1,2,0,45,0.74,1,0,25
2019,Marcus Johnson,11074,WR,8,IND,236,32,13.6,29,12.3,5,17.2,1,1,9,0.31,0,50,20
2019,Vyncint Smith,66957,WR,13,NYJ,170,29,17.1,45,26.5,5,11.1,1,1,5,0.11,0,50,20
2019,Donte Moncrief,8725,WR,8,CAR,89,14,15.7,28,31.5,5,17.9,1,0,3,0.11,0,0,20
2019,Chris Conley,9509,WR,16,JAX,584,88,15.1,61,10.4,5,8.2,1,2,70,1.15,1,66.7,20
2019,Javon Wims,41406,WR,16,CHI,288,38,13.2,59,20.5,10,16.9,2,0,23,0.39,0,0,20
2019,Lance Kendricks,6199,TE,9,LAC,55,7,12.7,38,69.1,5,13.2,1,0,13,0.34,0,0,20
2019,Damion Ratley,48182,WR,10,CLV,162,22,13.6,35,21.6,5,14.3,1,0,12,0.34,0,0,20
2019,Xavier Grimble,9092,TE,2,PIT,26,3,11.5,3,11.5,1,33.3,0,1,0,0,0,100,0
2019,Devonta Freeman,8738,HB,14,ATL,337,64,19,10,3,1,10,0,0,0,0,0,,0
2019,KeeSean Johnson,39587,WR,10,ARZ,241,40,16.6,12,5,1,8.3,0,0,0,0,0,,0
2019,T.J. Jones,8824,WR,3,NYG,33,4,12.1,4,12.1,1,25,0,0,0,0,0,,0
2019,Jeff Smith,48055,WR,1,NYJ,8,2,25,4,50,1,25,0,0,0,0,0,,0
2019,Eric Saubert,11929,TE,2,CHI,26,3,11.5,11,42.3,1,9.1,0,1,0,0,0,100,0
2019,Jordan Matthews,8677,WR,2,SF,97,13,13.4,15,15.5,4,26.7,0,0,0,0,0,,0
2019,Olamide Zaccheaus,44920,WR,9,ATL,39,4,10.3,14,35.9,1,7.1,0,0,0,0,0,,0
2019,Taywan Taylor,11827,WR,3,CLV,18,1,5.6,6,33.3,1,16.7,0,0,0,0,0,,0
2019,Tyler Kroft,9518,TE,11,BUF,110,13,11.8,26,23.6,1,3.8,0,0,0,0,0,,0
2019,MyCole Pruitt,9576,TE,15,TEN,100,7,7,8,8,1,12.5,0,0,0,0,0,,0
2019,Zach Line,8420,FB,11,NO,69,10,14.5,2,2.9,1,50,0,0,0,0,0,,0
2019,Latavius Murray,7962,HB,16,NO,198,42,21.2,5,2.5,1,20,0,0,0,0,0,,0
2019,Robert Foster,48230,WR,11,BUF,135,17,12.6,34,25.2,3,8.8,0,0,0,0,0,,0
2019,Deon Lacey,8512,LB,1,MIA,1,1,100,1,100,1,100,0,0,0,0,0,,0
2019,Ito Smith,45932,HB,5,ATL,80,14,17.5,2,2.5,1,50,0,0,0,0,0,,0
2019,Rashard Higgins,10806,WR,7,CLV,104,10,9.6,44,42.3,5,11.4,0,1,0,0,0,100,0
2019,Austin Carr,12215,WR,6,NO,93,4,4.3,62,66.7,1,1.6,0,0,0,0,0,,0
2019,Johnny Holton,11354,WR,15,PIT,96,13,13.5,22,22.9,4,18.2,0,1,0,0,0,100,0
2019,Bo Scarbrough,45731,HB,6,DET,45,2,4.4,3,6.7,1,33.3,0,0,0,0,0,,0
2019,Reggie Bonnafon,47542,HB,7,CAR,34,9,26.5,2,5.9,1,50,0,1,0,0,0,100,0
