year,player,player_id,position,player_game_count,team_name,targets,deep_targets,deep_receptions,deep_drops,deep_yards,deep_catchable,deep_touchdowns,target_rate,drop_rate,catch_rate
2019,Seth Roberts,9079,WR,16,BLT,32,4,3,0,73,3,2,12.5,0,75
2019,Marquise Goodwin,7859,WR,8,SF,21,4,3,1,88,4,1,19,25,75
2019,Kenny Stills,7926,WR,13,HST,53,12,9,0,292,9,4,22.6,0,75
2019,Will Dissly,30762,TE,6,SEA,26,4,3,0,88,3,0,15.4,0,75
2019,Kalif Raymond,11028,WR,8,TEN,12,4,3,0,115,3,1,33.3,0,75
2019,Mecole Hardman,42683,WR,16,KC,36,7,5,0,234,5,3,19.4,0,71.4
2019,Marcell Ateman,23670,WR,10,OAK,9,3,2,0,70,2,0,33.3,0,66.7
2019,Brandon Zylstra,66438,WR,6,CAR,12,3,2,0,62,2,0,25,0,66.7
2019,Jared Cook,5012,TE,14,NO,62,9,6,0,126,6,4,14.5,0,66.7
2019,Charles Clay,6326,TE,15,ARZ,24,3,2,0,69,2,0,12.5,0,66.7
2019,Kaden Smith,40973,TE,8,NYG,41,3,2,0,59,2,0,7.3,0,66.7
2019,Travis Kelce,7844,TE,16,KC,130,12,8,0,274,8,3,9.2,0,66.7
2019,Kyle Juszczyk,7912,FB,12,SF,23,3,2,1,76,3,0,13,33.3,66.7
2019,George Kittle,11901,TE,14,SF,106,6,4,0,137,4,2,5.7,0,66.7
2019,Darren Fells,8549,TE,15,HST,47,3,2,0,40,2,1,6.4,0,66.7
2019,Adam Humphries,10075,WR,12,TEN,47,3,2,0,52,2,0,6.4,0,66.7
2019,Daniel Brown,10144,TE,13,NYJ,9,3,2,0,44,2,1,33.3,0,66.7
2019,Cooper Kupp,11824,WR,16,LA,132,3,2,0,90,2,0,2.3,0,66.7
2019,James White,8765,HB,15,NE,90,3,2,0,56,2,0,3.3,0,66.7
2019,Jonnu Smith,11855,TE,16,TEN,44,3,2,0,43,2,1,6.8,0,66.7
2019,J.J. Arcega-Whiteside,35014,WR,14,PHI,19,8,5,1,123,6,1,42.1,16.7,62.5
2019,Keelan Cole,51593,WR,16,JAX,36,8,5,0,174,5,0,22.2,0,62.5
2019,Amari Cooper,9437,WR,16,DAL,116,24,15,2,503,17,5,20.7,11.8,62.5
2019,Josh Gordon,7618,WR,11,SEA,43,8,5,0,175,5,0,18.6,0,62.5
2019,Randall Cobb,6216,WR,15,DAL,79,10,6,0,162,6,2,12.7,0,60
2019,Byron Pringle,42345,WR,12,KC,16,5,3,0,82,3,1,31.3,0,60
2019,Ricky Seals-Jones,12020,TE,14,CLV,22,5,3,0,116,3,1,22.7,0,60
2019,Chris Godwin,11839,WR,14,TB,114,17,10,0,298,10,2,14.9,0,58.8
2019,Jakobi Meyers,47468,WR,15,NE,40,7,4,0,90,4,0,17.5,0,57.1
2019,Pharoh Cooper,10751,WR,13,ARZ,33,7,4,0,101,4,0,21.2,0,57.1
2019,Stefon Diggs,9579,WR,15,MIN,91,29,16,2,635,18,6,31.9,11.1,55.2
2019,Dede Westbrook,11865,WR,15,JAX,97,11,6,1,180,7,0,11.3,14.3,54.5
2019,Demarcus Robinson,10760,WR,16,KC,53,13,7,0,219,7,4,24.5,0,53.8
2019,Tyreek Hill,10799,WR,12,KC,87,19,10,0,383,10,4,21.8,0,52.6
2019,Saquon Barkley,45791,HB,13,NYG,69,2,1,0,33,1,1,2.9,0,50
2019,Irv Smith Jr.,42060,TE,16,MIN,46,6,3,0,76,3,0,13,0,50
2019,Rex Burkhead,7971,HB,13,NE,35,2,1,0,32,1,0,5.7,0,50
2019,Chris Lacy,29726,WR,6,DET,10,2,1,0,48,1,0,20,0,50
2019,Chester Rogers,10918,WR,11,IND,27,4,2,0,47,2,0,14.8,0,50
2019,Austin Hooper,10715,TE,13,ATL,93,4,2,0,61,2,0,4.3,0,50
2019,Deon Cain,13597,WR,13,PIT,19,6,3,0,82,3,0,31.6,0,50
2019,Durham Smythe,47257,TE,16,MIA,14,2,1,0,24,1,0,14.3,0,50
2019,Tommy Sweeney,47216,TE,6,BUF,10,2,1,0,29,1,0,20,0,50
2019,Joshua Perkins,11051,TE,4,PHI,12,2,1,0,24,1,1,16.7,0,50
2019,Alexander Hollins,63664,WR,5,MIN,4,2,1,0,35,1,0,50,0,50
2019,Dante Pettis,48113,WR,11,SF,23,2,1,0,21,1,1,8.7,0,50
2019,Richie James Jr.,28991,WR,15,SF,10,2,1,0,39,1,1,20,0,50
2019,Aaron Jones,11937,HB,16,GB,67,6,3,1,96,4,1,9,25,50
2019,Malik Turner,48078,WR,15,SEA,21,4,2,0,54,2,1,19,0,50
2019,Blake Bell,9550,TE,15,KC,13,2,1,0,30,1,0,15.4,0,50
2019,Jesse James,9593,TE,16,DET,25,2,1,0,23,1,0,8,0,50
2019,Le'Veon Bell,7829,HB,15,NYJ,74,2,1,0,23,1,0,2.7,0,50
2019,O.J. Howard,11774,TE,14,TB,52,10,5,0,141,5,0,19.2,0,50
2019,Devin Smith,9470,WR,3,DAL,8,2,1,0,51,1,1,25,0,50
2019,D.J. Chark Jr.,47702,WR,15,JAX,114,26,13,0,424,13,4,22.8,0,50
2019,Rashard Higgins,10806,WR,7,CLV,10,2,1,0,35,1,0,20,0,50
2019,Nick Boyle,9604,TE,16,BLT,42,2,1,0,25,1,0,4.8,0,50
2019,Deontay Burnett,47477,WR,1,PHI,4,2,1,0,41,1,0,50,0,50
2019,Dawson Knox,35883,TE,15,BUF,51,10,5,0,160,5,0,19.6,0,50
2019,Antonio Brown,5718,WR,1,NE,8,2,1,0,20,1,1,25,0,50
