year,player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
2019,Cethan Carter,47149,TE,7,CIN,3,2,66.7,13,1,53.2,56.9,68.3,64,59.5,6.5,7,3.5,8,2,0,0,0,0,115.3,1,0
2019,Quincy Enunwa,8843,WR,1,NYJ,3,1,33.3,-4,0,55.7,53.7,64.7,61.2,,-4,-4,-4,8,0,0,0,1,0,42.4,1,0
2019,Cam Sims,47908,WR,6,WAS,3,2,66.7,27,0,58.3,60.7,68.3,64,,13.5,8,4,15,1,0,0,0,0,95.1,1,0
2019,Darrell Daniels,12122,TE,6,ARZ,3,1,33.3,4,0,49.1,47.5,28.8,61.2,63.8,4,0,0,4,1,1,0,0,0,42.4,0,0
2019,Josh Bellamy,7472,WR,4,NYJ,3,2,66.7,20,0,47.1,51.5,29.9,64,,10,9,4.5,15,1,1,0,0,0,85.4,1,0
2019,C.J. Board,12088,WR,3,JAX,3,2,66.7,31,0,54.3,54,30,64,,15.5,7,3.5,23,1,1,0,0,0,100.7,0,0
2019,Cody Core,10833,WR,9,NYG,3,3,100,28,0,57.2,60.1,70.5,65.8,,9.3,2,0.7,11,2,0,0,0,0,105.6,1,0
2019,Anthony Sherman,6288,FB,11,KC,3,2,66.7,22,0,70.6,74.6,68.3,70,79.3,11,27,13.5,15,2,0,0,0,1,88.2,0,0
2019,Isaac Nauta,47119,TE,5,DET,3,2,66.7,13,0,55.7,58.4,29.9,64,77.1,6.5,7,3.5,10,1,1,0,0,0,75.7,0,0
2019,Trevon Wesco,42018,TE,14,NYJ,3,2,66.7,47,0,64.4,66.8,68.3,66.2,29.4,23.5,40,20,32,2,0,0,0,0,109.7,0,0
2019,Xavier Grimble,9092,TE,2,PIT,3,1,33.3,3,0,43.8,46.5,28.8,61.2,75.6,3,3,3,3,0,1,0,0,0,42.4,0,0
2019,Jaleel Scott,48097,WR,1,BLT,3,1,33.3,6,0,57.1,57.4,64.7,61.2,,6,6,6,6,0,0,0,0,0,42.4,0,0
2019,Troymaine Pope,11473,HB,2,LAC,3,2,66.7,14,1,61.4,56.5,29.9,82.7,74.1,7,14,7,13,1,1,0,0,0,116.7,0,0
2019,Marqise Lee,8674,WR,6,JAX,3,3,100,18,0,67.7,61.7,70.5,67.4,,6,4,1.3,8,2,0,0,0,0,91.7,0,0
2019,Geremy Davis,9619,WR,5,LAC,3,3,100,38,0,58.2,57.8,70.5,65.8,65.6,12.7,2,0.7,19,1,0,0,0,0,118.8,0,0
2019,T.J. Logan,11935,HB,8,TB,3,2,66.7,13,0,55.4,60,68.3,83.5,,6.5,9,4.5,11,1,0,0,0,0,75.7,0,0
2019,Travis Fulgham,48023,WR,3,DET,3,0,0,0,0,49,40.7,25.6,,70.6,,0,,0,0,2,0,0,0,39.6,0,0
2019,Wes Hills,30228,HB,1,DET,2,2,100,1,0,59.8,63.1,68.3,73.9,80.1,0.5,2,1,2,0,0,0,0,0,79.2,0,0
