year,player,player_id,position,player_game_count,team_name,dropbacks,pressure_dropbacks,pressure_sacks,pressure_attempts,pressure_completions,pressure_thrown_aways,pressure_hit_as_threw,pressure_drops,pressure_yards,pressure_touchdowns,pressure_interceptions,pressure_dropback_percent,pressure_sack_percent,pressure_completion_percent,pressure_accuracy_percent,pressure_qb_rating
2018,Kirk Cousins,7102,QB,16,MIN,669,260,40,211,135,13,8,7,1425,6,5,38.9,15.4,64,75.9,83.1
2018,Case Keenum,7323,QB,16,DEN,633,228,34,188,80,26,11,10,963,5,7,36,14.9,42.6,60,52.2
2018,Patrick Mahomes,11765,QB,16,KC,639,225,26,185,88,21,16,7,1353,9,8,35.2,11.6,47.6,66.4,70.4
2018,Deshaun Watson,11767,QB,16,HST,628,281,61,183,106,15,7,4,1443,9,5,44.7,21.7,57.9,69.2,88.2
2018,Matt Ryan,4317,QB,16,ATL,668,219,41,174,100,17,2,10,1296,8,4,32.8,18.7,57.5,72.4,86.8
2018,Andrew Luck,7007,QB,16,IND,679,200,18,173,97,8,5,5,1082,8,7,29.5,9,56.1,64.6,73.4
2018,Eli Manning,1722,QB,16,NYG,627,213,46,165,85,16,5,7,999,5,4,34,21.6,51.5,64.3,70.2
2018,Aaron Rodgers,2241,QB,16,GB,681,225,49,159,60,51,5,3,844,5,0,33,21.8,37.7,61.2,66.1
2018,Jared Goff,10635,QB,16,LA,615,197,34,157,68,30,5,9,913,5,5,32,17.3,43.3,63.6,59.8
2018,Philip Rivers,1725,QB,16,LAC,544,192,32,156,90,7,7,11,1218,8,6,35.3,16.7,57.7,71.6,83.8
2018,Dak Prescott,10769,QB,16,DAL,611,226,56,156,82,15,6,7,1022,9,2,37,24.8,52.6,66.9,87.1
2018,Ben Roethlisberger,1732,QB,16,PIT,713,173,24,139,68,11,8,8,976,5,8,24.3,13.9,48.9,64.4,60.1
2018,Matthew Stafford,4924,QB,16,DET,608,186,40,138,69,9,5,10,914,5,4,30.6,21.5,50,64.8,71.3
2018,Russell Wilson,7077,QB,16,SEA,509,202,51,134,64,21,4,3,926,10,3,39.7,25.2,47.8,62,86.2
2018,Josh Rosen,35460,QB,14,ARZ,453,183,45,130,54,17,6,11,565,1,6,40.4,24.6,41.5,63.1,38.1
2018,Derek Carr,8671,QB,16,OAK,612,183,50,129,68,15,5,8,853,4,8,29.9,27.3,52.7,70.4,58.1
2018,Tom Brady,698,QB,16,NE,596,154,21,128,58,21,2,8,743,9,5,25.8,13.6,45.3,62.9,71.2
2018,Cam Newton,6153,QB,14,CAR,531,174,29,126,65,15,1,4,639,2,7,32.8,16.7,51.6,65.1,48.3
2018,Sam Darnold,29048,QB,13,NYJ,460,165,30,124,53,16,2,9,598,2,7,35.9,18.2,42.7,59,39.7
2018,Blake Bortles,8638,QB,13,JAX,476,171,31,120,59,9,8,10,709,2,3,35.9,18.1,49.2,69.7,62.8
2018,Baker Mayfield,46518,QB,14,CLV,531,154,25,118,61,12,2,4,862,8,7,29,16.2,51.7,62.5,73.5
2018,Josh Allen,46601,QB,12,BUF,396,172,28,113,32,20,4,12,652,5,5,43.4,16.3,28.3,49.4,47.4
2018,Drew Brees,802,QB,15,NO,510,131,17,112,68,11,3,5,720,5,4,25.7,13,60.7,74.5,79.5
2018,Carson Wentz,10636,QB,11,PHI,448,140,30,99,52,4,10,6,618,4,2,31.3,21.4,52.5,68.2,76.9
2018,Jameis Winston,9434,QB,11,TB,441,150,27,99,56,5,3,4,848,5,4,34,18,56.6,65.9,84.9
2018,Mitchell Trubisky,11757,QB,14,CHI,497,147,24,98,49,7,2,2,669,3,1,29.6,16.3,50,58,78.1
2018,Andy Dalton,6187,QB,11,CIN,398,127,21,98,44,9,4,7,639,6,4,31.9,16.5,44.9,61.4,70.1
2018,Joe Flacco,4332,QB,9,BLT,400,113,16,95,46,13,4,3,456,2,4,28.3,14.2,48.4,65.3,51.9
2018,Nick Mullens,12282,QB,8,SF,292,109,17,92,46,5,15,3,553,2,5,37.3,15.6,50,69,53.4
2018,Alex Smith,2218,QB,10,WAS,374,119,21,89,37,16,6,1,387,3,3,31.8,17.6,41.6,57.6,52
2018,Marcus Mariota,9435,QB,14,TEN,409,141,42,81,45,12,0,5,585,2,2,34.5,29.8,55.6,72.5,76.4
2018,Ryan Tannehill,7014,QB,11,MIA,318,120,35,81,39,10,3,2,509,5,3,37.7,29.2,48.1,60.3,73.5
2018,Ryan Fitzpatrick,2467,QB,8,TB,285,101,14,74,43,5,2,2,542,8,7,35.4,13.9,58.1,68.2,77.6
2018,Brock Osweiler,7059,QB,7,MIA,200,85,17,65,31,10,4,1,440,1,0,42.5,20,47.7,65.3,75.2
2018,Lamar Jackson,46416,QB,12,BLT,203,76,15,50,27,5,1,2,411,1,1,37.4,19.7,54,65.9,79.7
2018,Nick Foles,7089,QB,5,PHI,206,60,9,50,33,1,0,1,422,1,1,29.1,15,66,69.4,90.6
2018,Jeff Driskel,10841,QB,8,CIN,203,70,15,49,28,4,1,3,320,2,1,34.5,21.4,57.1,75.6,82
2018,Cody Kessler,10727,QB,5,JAX,169,73,21,46,22,9,1,4,190,2,1,43.2,28.8,47.8,72.2,64.6
2018,C.J. Beathard,11859,QB,5,SF,198,71,18,45,20,2,2,1,292,1,3,35.9,25.4,44.4,52.5,45.8
2018,Josh McCown,1085,QB,4,NYJ,122,47,7,38,13,2,2,5,168,0,2,38.5,14.9,34.2,56.3,27.1
2018,Josh Johnson,4474,QB,4,WAS,114,49,10,36,14,5,1,1,170,0,2,43,20.4,38.9,50,31
2018,Jimmy Garoppolo,8697,QB,3,SF,107,48,13,32,15,2,0,2,226,1,2,44.9,27.1,46.9,58.6,54.9
2018,Sam Bradford,5526,QB,3,ARZ,88,37,6,29,14,1,0,1,108,1,3,42,16.2,48.3,55.6,29.7
2018,Tyrod Taylor,6332,QB,4,CLV,108,42,13,24,7,4,1,1,58,0,0,38.9,31,29.2,47.1,39.6
2018,Chase Daniel,5214,QB,2,CHI,87,29,9,19,12,0,2,1,147,0,1,33.3,31,63.2,76.5,65
