player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,completion_percent,yards,ypa,touchdowns,interceptions,grades_offense,grades_pass,grades_run,grades_hands_fumble,sacks,bats,drops,thrown_aways,hit_as_threw,qb_rating,scrambles,first_downs
Ben Roethlisberger,1732,QB,16,PIT,713,675,452,67.0,5129,7.6,34,16,78.2,75.2,78.4,73.8,24,7,21,17,8,96.5,13,254
Andrew Luck,7007,QB,16,IND,679,639,430,67.3,4593,7.2,39,15,91.0,88.8,76.9,88.9,18,12,32,10,5,98.7,21,240
Matt Ryan,4317,QB,16,ATL,669,609,422,69.3,4924,8.1,35,7,84.3,80.6,79.0,44.1,42,8,26,21,2,107.9,18,243
Kirk Cousins,7102,QB,16,MIN,669,606,425,70.1,4298,7.1,30,10,79.3,79.2,51.4,61.1,40,17,21,17,8,99.7,17,220
Aaron Rodgers,2241,QB,16,GB,681,597,372,62.3,4442,7.4,25,2,89.1,86.4,77.0,60.3,49,0,21,59,5,97.6,34,221
Case Keenum,7323,QB,16,DEN,633,586,365,62.3,3890,6.6,18,15,70.0,66.9,81.5,46.1,34,8,37,30,11,81.2,12,186
Patrick Mahomes,11765,QB,16,KC,639,580,383,66.0,5097,8.8,50,12,93.2,92.7,66.4,64.3,26,10,32,26,16,113.8,29,247
Eli Manning,1722,QB,16,NYG,627,576,380,66.0,4299,7.5,21,11,64.3,63.7,59.6,55.1,47,6,26,22,5,92.4,4,205
Tom Brady,698,QB,16,NE,596,570,375,65.8,4355,7.6,29,11,90.7,88.6,75.1,80.6,21,4,27,30,2,97.7,5,209
Jared Goff,10635,QB,16,LA,615,561,364,64.9,4688,8.4,32,12,85.5,84.3,58.3,55.4,34,11,14,40,5,101.1,20,238
Matthew Stafford,4924,QB,16,DET,608,555,367,66.1,3777,6.8,21,11,77.8,76.6,59.0,63.6,40,11,26,17,5,89.9,13,203
Derek Carr,8671,QB,16,OAK,612,553,381,68.9,4049,7.3,19,10,73.2,71.9,64.6,46.7,51,8,22,22,5,93.9,8,200
Dak Prescott,10769,QB,16,DAL,611,526,356,67.7,3885,7.4,22,8,74.6,73.4,65.5,28.8,56,5,19,20,7,96.9,29,198
