year,player,player_id,position,player_game_count,team_name,dropbacks,avg_time_to_throw,avg_time_in_pocket,avg_time_to_sack,avg_time_to_run,less_dropbacks,less_percent,less_sacks,less_attempts,less_completions,less_completion_percent,less_touchdowns,less_interceptions,less_qb_rating,more_dropbacks,more_percent,more_sacks,more_attempts,more_completions,more_completion_percent,more_touchdowns,more_interceptions,more_qb_rating
2018,Ryan Tannehill,7014,QB,11,MIA,317,2.46,2.58,3.05,4.93,153,48.3,11,141,108,76.6,9,2,109.4,164,51.7,24,132,68,51.5,8,7,75.5
2018,Nick Mullens,12282,QB,8,SF,288,2.52,2.54,2.77,5.3,148,51.4,4,144,109,75.7,7,5,101,140,48.6,13,126,67,53.2,6,5,82.1
2018,Ryan Fitzpatrick,2467,QB,8,TB,285,2.42,2.63,3.2,4.52,140,49.1,1,138,97,70.3,9,6,101.3,145,50.9,13,108,67,62,8,6,99.3
2018,Nick Foles,7089,QB,5,PHI,204,2.46,2.51,2.93,5.1,114,55.9,3,111,87,78.4,5,0,109,90,44.1,6,82,54,65.9,2,4,79.6
2018,Lamar Jackson,46416,QB,12,BLT,203,2.9,3.17,3.79,5.24,80,39.4,3,77,48,62.3,3,1,87.3,123,60.6,12,93,51,54.8,3,2,82.1
2018,Jeff Driskel,10841,QB,8,CIN,203,2.36,2.59,2.89,5.69,110,54.2,5,105,72,68.6,3,0,98.3,93,45.8,10,71,33,46.5,3,2,58.3
2018,Brock Osweiler,7059,QB,7,MIA,199,2.53,2.59,2.88,4.73,103,51.8,3,99,69,69.7,3,2,88.8,96,48.2,14,78,44,56.4,3,2,83.7
2018,C.J. Beathard,11859,QB,5,SF,198,2.38,2.59,2.99,5.07,111,56.1,6,105,64,61,3,4,72.8,87,43.9,12,64,38,59.4,5,3,96.4
2018,Cody Kessler,10727,QB,5,JAX,169,2.73,2.87,2.76,4.45,74,43.8,6,67,49,73.1,1,0,93,95,56.2,16,64,36,56.3,1,2,61.1
2018,Josh McCown,1085,QB,4,NYJ,121,2.4,2.56,3.59,4.7,60,49.6,1,59,38,64.4,0,2,62.4,61,50.4,6,50,22,44,1,2,49.2
2018,Josh Johnson,4474,QB,4,WAS,114,2.92,3.21,3.66,4.86,42,36.8,0,42,30,71.4,2,1,100.2,72,63.2,10,49,22,44.9,1,3,43
2018,Tyrod Taylor,6332,QB,4,CLV,107,2.7,2.98,3.66,4.45,47,43.9,2,45,22,48.9,1,1,56.8,60,56.1,11,39,20,51.3,1,1,74.9
2018,Jimmy Garoppolo,8697,QB,3,SF,107,2.61,2.96,3.82,6.82,49,45.8,2,47,31,66,2,3,74.3,58,54.2,11,42,22,52.4,3,0,107.5
2018,Blaine Gabbert,6162,QB,6,TEN,106,2.29,2.29,2.44,,70,66,2,68,42,61.8,3,3,74.9,36,34,3,33,19,57.6,1,1,74.9
2018,Nathan Peterman,11926,QB,4,BUF,96,2.46,2.81,3.96,5.35,47,49,1,46,27,58.7,1,3,43.8,49,51,6,35,17,48.6,0,4,21.4
2018,Sam Bradford,5526,QB,3,ARZ,88,2.31,2.34,3.02,3.2,54,61.4,1,52,35,67.3,0,0,73.3,34,38.6,5,28,15,53.6,2,4,62.4
2018,Chase Daniel,5214,QB,2,CHI,87,2.56,2.74,3.81,5.05,39,44.8,0,39,30,76.9,2,1,102.3,48,55.2,9,37,23,62.2,1,1,78.3
2018,Derek Anderson,2430,QB,2,BUF,75,2.39,2.46,3.36,,44,58.7,1,43,29,67.4,0,1,78.2,31,41.3,4,27,13,48.1,0,3,27.2
2018,Colt McCoy,5609,QB,3,WAS,65,2.31,2.8,4.3,5.13,34,52.3,0,34,25,73.5,2,1,101,31,47.7,6,18,9,50,1,2,51.6
2018,Taylor Heinicke,9896,QB,5,CAR,59,2.67,2.71,3.1,4,26,44.1,1,25,14,56,0,2,41.6,33,55.9,1,31,21,67.7,1,1,77.8
2018,DeShone Kizer,11807,QB,2,GB,49,2.85,3.3,4.6,6.6,14,28.6,0,14,8,57.1,0,1,40.2,35,71.4,4,27,12,44.4,0,1,42.1
2018,Mark Sanchez,4928,QB,2,WAS,43,2.52,2.69,3.4,3.8,22,51.2,0,22,13,59.1,0,2,31.3,21,48.8,7,13,6,46.2,0,1,22.6
2018,Kyle Allen,26152,QB,2,CAR,34,2.66,2.86,,4.9,10,29.4,0,10,7,70,0,0,97.1,24,70.6,0,21,13,61.9,2,0,120.7
2018,Teddy Bridgewater,8667,QB,2,NO,28,3.07,3.34,5.25,4.17,9,32.1,0,9,6,66.7,0,0,73.4,19,67.9,2,14,8,57.1,1,1,68.8
2018,Matt Barkley,7880,QB,1,BUF,26,2.6,2.58,2.1,,13,50,1,12,7,58.3,0,0,73.6,13,50,0,13,8,61.5,2,0,145
2018,Mike Glennon,7854,QB,2,ARZ,22,2.11,2.19,3.8,,19,86.4,0,19,14,73.7,1,0,115.5,3,13.6,1,2,1,50,0,0,79.2
2018,Matt Cassel,2447,QB,2,DET,19,2.34,2.51,2.6,5.3,11,57.9,0,11,5,45.5,0,1,16.1,8,42.1,1,6,2,33.3,0,0,45.1
2018,Joshua Dobbs,11890,QB,3,PIT,14,2.48,2.98,,6,5,35.7,0,5,3,60,0,0,64.6,9,64.3,0,7,3,42.9,0,1,18.5
2018,Taysom Hill,12112,QB,7,NO,10,2.5,3.34,3.4,6.25,3,30,0,3,2,66.7,0,0,85.4,7,70,1,4,1,25,0,1,33.3
2018,Matt Schaub,1811,QB,1,ATL,7,1.99,1.99,,,6,85.7,0,6,4,66.7,0,0,76.4,1,14.3,0,1,1,100,0,0,79.2
2018,Robert Griffin III,7008,QB,2,BLT,6,3.23,3.23,,,2,33.3,0,2,2,100,0,0,110.4,4,66.7,0,4,0,0,0,0,39.6
2018,Geno Smith,7820,QB,3,LAC,6,3.03,3.2,3.6,3.5,1,16.7,0,1,1,100,0,0,100,5,83.3,1,3,0,0,0,0,39.6
2018,Kyle Lauletta,46452,QB,1,NYG,5,2.7,2.7,,,1,20,0,1,0,0,0,0,39.6,4,80,0,4,0,0,0,1,0
2018,Johnny Hekker,7252,P,5,LA,5,2.43,2.94,,5,2,40,0,2,2,100,0,0,106.3,3,60,0,2,0,0,0,0,39.6
2018,A.J. McCarron,8799,QB,1,OAK,4,3.73,3.6,3.2,,1,25,0,1,1,100,0,0,100,3,75,1,2,0,0,0,0,39.6
2018,Jacoby Brissett,10725,QB,3,IND,4,3.1,3.1,,,2,50,0,2,2,100,0,0,79.2,2,50,0,2,0,0,0,0,39.6
2018,Garrett Gilbert,8848,QB,1,CAR,4,3.33,3.65,4.6,,1,25,0,1,1,100,0,0,104.2,3,75,1,2,1,50,0,0,95.8
2018,Chad Henne,4371,QB,1,KC,3,1.73,1.73,,,3,100,0,3,2,66.7,0,0,97.9,0,0,0,0,0,,0,0,0
2018,Sean Mannion,9522,QB,1,LA,3,2.13,2.13,,,3,100,0,3,2,66.7,0,0,89.6,0,0,0,0,0,,0,0,0
2018,Derrick Henry,10679,HB,3,TEN,3,1.53,1.53,,,2,66.7,0,2,2,100,0,0,95.8,1,33.3,0,1,0,0,0,0,39.6
2018,Julian Edelman,5156,WR,2,NE,2,3.25,3.25,,,0,0,0,0,0,,0,0,0,2,100,0,2,2,100,0,0,118.8
2018,Jarvis Landry,8698,WR,2,CLV,2,4.8,4.8,,,0,0,0,0,0,,0,0,0,2,100,0,2,1,50,0,0,95.8
2018,Keenan Allen,7857,WR,2,LAC,2,,3.5,7,,1,50,0,0,0,,0,0,0,1,50,1,0,0,,0,0,0
2018,Odell Beckham Jr.,8647,WR,2,NYG,2,3.95,3.95,,,0,0,0,0,0,,0,0,0,2,100,0,2,2,100,2,0,158.3
2018,Brian Hoyer,5277,QB,2,NE,2,1.35,1.35,,,2,100,0,2,1,50,0,0,58.3,0,0,0,0,0,,0,0,0
2018,Mohamed Sanu,7084,WR,2,ATL,2,2.5,2.5,,,1,50,0,1,0,0,0,0,39.6,1,50,0,1,1,100,1,0,127.1
2018,Nate Sudfeld,10821,QB,2,PHI,2,2.2,2.2,,,2,100,0,2,1,50,1,0,129.2,0,0,0,0,0,,0,0,0
2018,Anthony Miller,48160,WR,1,CHI,1,3,3,,,0,0,0,0,0,,0,0,0,1,100,0,1,1,100,0,0,100
2018,Larry Fitzgerald,1724,WR,1,ARZ,1,3.4,3.4,,,0,0,0,0,0,,0,0,0,1,100,0,1,1,100,1,0,158.3
2018,Sam Koch,3148,P,1,BLT,1,2.3,2.3,,,1,100,0,1,1,100,0,0,118.8,0,0,0,0,0,,0,0,0
2018,Matt Prater,3471,K,1,DET,1,1.5,1.5,,,1,100,0,1,1,100,1,0,139.6,0,0,0,0,0,,0,0,0
2018,Danny Amendola,4717,WR,1,MIA,1,2.9,2.9,,,0,0,0,0,0,,0,0,0,1,100,0,1,1,100,1,0,158.3
2018,Emmanuel Sanders,5606,WR,1,DEN,1,3.3,3.3,,,0,0,0,0,0,,0,0,0,1,100,0,1,1,100,1,0,158.3
