player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,drops,thrown_aways,bats,spikes,hit_as_threw,drop_percent,accuracy_percent
Ben Roethlisberger,1732,QB,16,PIT,713,675,452,21,17,7,3,8,3.1,73.9
Andrew Luck,7007,QB,16,IND,679,639,430,32,10,12,2,5,5.0,75.7
Matt Ryan,4317,QB,16,ATL,668,608,422,26,21,8,1,2,4.3,77.8
Kirk Cousins,7102,QB,16,MIN,669,606,425,21,17,17,3,8,3.5,79.5
Aaron Rodgers,2241,QB,16,GB,681,597,372,21,59,0,2,5,3.5,74.0
Case Keenum,7323,QB,16,DEN,633,586,365,37,30,8,2,11,6.3,75.1
Patrick Mahomes,11765,QB,16,KC,639,580,383,32,26,10,1,16,5.5,78.7
Eli Manning,1722,QB,16,NYG,627,576,380,26,22,6,1,5,4.5,74.9
Tom Brady,698,QB,16,NE,596,570,375,27,30,4,2,2,4.7,75.6
Jared Goff,10635,QB,16,LA,615,561,364,14,40,11,2,5,2.5,75.1
Matthew Stafford,4924,QB,16,DET,608,555,367,26,17,11,1,5,4.7,75.4
Derek Carr,8671,QB,16,OAK,612,553,381,22,22,8,7,5,4.0,78.9
Dak Prescott,10769,QB,16,DAL,611,526,356,19,20,5,0,7,3.6,75.9
Philip Rivers,1725,QB,16,LAC,544,508,347,23,16,12,0,7,4.5,78.2
Deshaun Watson,11767,QB,16,HST,628,505,345,11,18,6,6,7,2.2,76.1
Drew Brees,802,QB,15,NO,510,489,364,20,13,6,0,3,4.1,82.2
Baker Mayfield,46518,QB,14,CLV,531,486,310,28,15,9,3,2,5.8,74.0
Cam Newton,6153,QB,14,CAR,531,471,320,24,18,8,3,1,5.1,78.0
Mitchell Trubisky,11757,QB,14,CHI,497,434,289,10,10,2,1,2,2.3,71.4
Russell Wilson,7077,QB,16,SEA,509,427,280,13,26,7,8,4,3.0,76.7
Sam Darnold,29048,QB,13,NYJ,460,414,239,25,25,7,1,2,6.0,69.7
Blake Bortles,8638,QB,13,JAX,476,403,243,31,13,14,0,8,7.7,74.5
Carson Wentz,10636,QB,11,PHI,448,401,279,21,5,3,2,10,5.2,78.7
Josh Rosen,35460,QB,14,ARZ,453,393,217,22,24,10,1,6,5.6,67.9
Joe Flacco,4332,QB,9,BLT,400,379,232,24,17,13,3,4,6.3,74.9
Jameis Winston,9434,QB,11,TB,441,378,244,12,5,4,1,4,3.2,70.3
Andy Dalton,6187,QB,11,CIN,398,365,226,21,11,6,3,4,5.8,72.4
Marcus Mariota,9435,QB,14,TEN,409,331,228,15,13,3,0,0,4.5,77.1
Alex Smith,2218,QB,10,WAS,374,328,205,9,21,5,2,6,2.7,72.8
Josh Allen,46601,QB,12,BUF,396,320,169,20,23,1,0,4,6.3,64.7
Nick Mullens,12282,QB,8,SF,292,274,176,11,8,8,4,15,4.0,78.2
Ryan Tannehill,7014,QB,11,MIA,318,274,176,9,11,10,1,3,3.3,74.3
Ryan Fitzpatrick,2467,QB,8,TB,285,246,164,11,6,4,0,2,4.5,74.8
Nick Foles,7089,QB,5,PHI,206,195,141,7,3,1,2,0,3.6,78.3
Brock Osweiler,7059,QB,7,MIA,200,178,113,5,11,3,1,4,2.8,74.2
